Nation,Time,Confirmed Case,Death,Recover,timestamp
ANDORRA,2020-04-03 14:30:10,428.0,15.0,14.0,8260210
ANDORRA,2020-04-03 14:30:11,428.0,15.0,14.0,8260211
ANDORRA,2020-04-03 17:30:12,428.0,15.0,14.0,8271012
ANDORRA,2020-04-03 20:30:12,439.0,16.0,16.0,8281812
ANDORRA,2020-04-03 23:30:19,439.0,16.0,16.0,8292619
ANDORRA,2020-04-04 08:30:14,439.0,16.0,16.0,8325014
ANDORRA,2020-04-04 11:30:14,439.0,16.0,16.0,8335814
ANDORRA,2020-04-04 14:30:16,439.0,16.0,16.0,8346616
ANDORRA,2020-04-04 17:30:18,439.0,16.0,16.0,8357418
ANDORRA,2020-04-04 20:30:33,466.0,17.0,21.0,8368233
ANDORRA,2020-04-04 23:30:05,466.0,17.0,21.0,8379005
ANDORRA,2020-04-05 08:30:07,466.0,17.0,21.0,8411407
ANDORRA,2020-04-05 11:30:03,466.0,17.0,21.0,8422203
ANDORRA,2020-04-05 14:30:04,466.0,17.0,21.0,8433004
ANDORRA,2020-04-05 17:40:33,501.0,18.0,26.0,8444433
ANDORRA,2020-04-05 20:33:28,501.0,18.0,26.0,8454808
ANDORRA,2020-04-05 23:30:02,501.0,18.0,26.0,8465402
ANDORRA,2020-04-06 08:37:49,501.0,18.0,26.0,8498269
ANDORRA,2020-04-06 11:30:05,501.0,18.0,26.0,8508605
ANDORRA,2020-04-06 14:44:21,501.0,18.0,26.0,8520261
ANDORRA,2020-04-06 17:30:04,501.0,18.0,26.0,8530204
ANDORRA,2020-04-06 21:00:44,501.0,18.0,26.0,8542844
ANDORRA,2020-04-07 00:00:03,501.0,18.0,26.0,8553603
ANDORRA,2020-04-07 09:00:04,525.0,21.0,31.0,8586004
ANDORRA,2020-04-07 12:15:51,525.0,21.0,31.0,8597751
ANDORRA,2020-04-07 15:59:55,525.0,21.0,31.0,8611195
ANDORRA,2020-04-07 18:03:46,525.0,21.0,31.0,8618626
ANDORRA,2020-04-07 21:32:15,525.0,21.0,31.0,8631135
ANDORRA,2020-04-08 00:00:04,525.0,21.0,31.0,8640004
ANDORRA,2020-04-08 09:00:46,545.0,22.0,39.0,8672446
ANDORRA,2020-04-08 12:21:18,545.0,22.0,39.0,8684478
ANDORRA,2020-04-08 15:04:46,545.0,22.0,39.0,8694286
ANDORRA,2020-04-08 18:11:16,545.0,22.0,39.0,8705476
ANDORRA,2020-04-08 21:33:56,564.0,23.0,52.0,8717636
ANDORRA,2020-04-09 00:14:12,564.0,23.0,52.0,8727252
ANDORRA,2020-04-09 11:19:24,564.0,23.0,52.0,8767164
ANDORRA,2020-04-09 12:07:24,564.0,23.0,52.0,8770044
ANDORRA,2020-04-09 14:57:09,564.0,23.0,52.0,8780229
