Nation,Time,Confirmed Case,Death,Recover,timestamp
ANGOLA,3.4.2020.14.30.10,8.0,2.0,1.0,8260210
ANGOLA,3.4.2020.14.30.11,8.0,2.0,1.0,8260211
ANGOLA,3.4.2020.17.30.12,8.0,2.0,1.0,8271012
ANGOLA,3.4.2020.20.30.12,8.0,2.0,1.0,8281812
ANGOLA,3.4.2020.23.30.19,8.0,2.0,1.0,8292619
ANGOLA,4.4.2020.8.30.14,8.0,2.0,1.0,8325014
ANGOLA,4.4.2020.11.30.14,8.0,2.0,1.0,8335814
ANGOLA,4.4.2020.14.30.16,8.0,2.0,1.0,8346616
ANGOLA,4.4.2020.17.30.18,8.0,2.0,1.0,8357418
ANGOLA,4.4.2020.20.30.33,8.0,2.0,1.0,8368233
ANGOLA,4.4.2020.23.30.5,8.0,2.0,1.0,8379005
ANGOLA,5.4.2020.8.30.7,10.0,2.0,2.0,8411407
ANGOLA,5.4.2020.11.30.3,10.0,2.0,2.0,8422203
ANGOLA,5.4.2020.14.30.4,10.0,2.0,2.0,8433004
ANGOLA,5.4.2020.17.40.33,10.0,2.0,2.0,8444433
ANGOLA,5.4.2020.20.33.28,10.0,2.0,2.0,8454808
ANGOLA,5.4.2020.23.30.2,10.0,2.0,2.0,8465402
ANGOLA,6.4.2020.8.37.49,14.0,2.0,2.0,8498269
ANGOLA,6.4.2020.11.30.5,14.0,2.0,2.0,8508605
ANGOLA,6.4.2020.14.44.21,14.0,2.0,2.0,8520261
ANGOLA,6.4.2020.17.30.4,14.0,2.0,2.0,8530204
ANGOLA,6.4.2020.21.0.44,14.0,2.0,2.0,8542844
ANGOLA,7.4.2020.0.0.3,16.0,2.0,2.0,8553603
ANGOLA,7.4.2020.9.0.4,16.0,2.0,2.0,8586004
ANGOLA,7.4.2020.12.15.51,16.0,2.0,2.0,8597751
ANGOLA,7.4.2020.15.59.55,16.0,2.0,2.0,8611195
ANGOLA,7.4.2020.18.3.46,16.0,2.0,2.0,8618626
ANGOLA,7.4.2020.21.32.15,16.0,2.0,2.0,8631135
ANGOLA,8.4.2020.0.0.4,16.0,2.0,2.0,8640004
ANGOLA,8.4.2020.9.0.46,17.0,2.0,2.0,8672446
ANGOLA,8.4.2020.12.21.18,17.0,2.0,2.0,8684478
ANGOLA,8.4.2020.15.4.46,17.0,2.0,2.0,8694286
ANGOLA,8.4.2020.18.11.16,17.0,2.0,2.0,8705476
ANGOLA,8.4.2020.21.33.56,17.0,2.0,2.0,8717636
ANGOLA,9.4.2020.0.14.12,17.0,2.0,2.0,8727252
ANGOLA,9.4.2020.11.19.24,19.0,2.0,2.0,8767164
ANGOLA,9.4.2020.12.7.24,19.0,2.0,2.0,8770044
ANGOLA,9.4.2020.14.57.9,19.0,2.0,2.0,8780229
ANGOLA,9.4.2020.18.0.2,19.0,2.0,2.0,8791202
ANGOLA,10.4.2020.1.6.14,19.0,2.0,2.0,8816774
ANGOLA,10.4.2020.9.4.46,19.0,2.0,2.0,8845486
ANGOLA,10.4.2020.12.9.17,19.0,2.0,2.0,8856557
ANGOLA,10.4.2020.14.55.51,19.0,2.0,2.0,8866551
ANGOLA,10.4.2020.18.41.5,19.0,2.0,2.0,8880065
ANGOLA,10.4.2020.21.59.17,19.0,2.0,2.0,8891957
ANGOLA,11.4.2020.0.0.34,19.0,2.0,2.0,8899234
ANGOLA,11.4.2020.9.1.32,19.0,2.0,2.0,8931692
ANGOLA,11.4.2020.12.8.24,19.0,2.0,2.0,8942904
ANGOLA,11.4.2020.17.0.40,19.0,2.0,2.0,8960440
ANGOLA,11.4.2020.18.12.28,19.0,2.0,2.0,8964748
ANGOLA,11.4.2020.21.44.19,19.0,2.0,2.0,8977459
ANGOLA,11.4.2020.23.59.29,19.0,2.0,2.0,8985569
ANGOLA,12.4.2020.9.0.42,19.0,2.0,4.0,9018042
ANGOLA,12.4.2020.12.5.42,19.0,2.0,4.0,9029142
ANGOLA,12.4.2020.15.9.25,19.0,2.0,4.0,9040165
ANGOLA,12.4.2020.18.22.1,19.0,2.0,4.0,9051721
ANGOLA,12.4.2020.20.59.25,19.0,2.0,4.0,9061165
ANGOLA,13.4.2020.0.7.13,19.0,2.0,4.0,9072433
ANGOLA,13.4.2020.9.26.16,19.0,2.0,4.0,9105976
ANGOLA,13.4.2020.11.59.14,19.0,2.0,4.0,9115154
ANGOLA,13.4.2020.15.13.1,19.0,2.0,4.0,9126781
ANGOLA,13.4.2020.20.23.47,19.0,2.0,4.0,9145427
ANGOLA,13.4.2020.21.1.27,19.0,2.0,4.0,9147687
ANGOLA,14.4.2020.0.30.40,19.0,2.0,4.0,9160240
ANGOLA,14.4.2020.9.9.9,19.0,2.0,4.0,9191349
ANGOLA,14.4.2020.12.13.23,19.0,2.0,4.0,9202403
ANGOLA,14.4.2020.15.49.28,19.0,2.0,4.0,9215368
ANGOLA,14.4.2020.18.27.14,19.0,2.0,4.0,9224834
ANGOLA,14.4.2020.21.18.50,19.0,2.0,4.0,9235130
ANGOLA,15.4.2020.0.7.14,19.0,2.0,4.0,9245234
ANGOLA,15.4.2020.9.0.9,19.0,2.0,5.0,9277209
ANGOLA,15.4.2020.14.56.18,19.0,2.0,5.0,9298578
ANGOLA,15.4.2020.19.52.38,19.0,2.0,5.0,9316358
ANGOLA,15.4.2020.21.18.33,19.0,2.0,5.0,9321513
ANGOLA,16.4.2020.0.51.15,19.0,2.0,5.0,9334275
ANGOLA,16.4.2020.9.4.51,19.0,2.0,5.0,9363891
ANGOLA,16.4.2020.12.5.8,19.0,2.0,5.0,9374708
ANGOLA,16.4.2020.14.57.8,19.0,2.0,5.0,9385028
ANGOLA,16.4.2020.17.58.25,19.0,2.0,5.0,9395905
ANGOLA,16.4.2020.22.41.20,19.0,2.0,5.0,9412880
ANGOLA,17.4.2020.1.32.36,19.0,2.0,5.0,9423156
ANGOLA,17.4.2020.9.11.4,19.0,2.0,5.0,9450664
ANGOLA,17.4.2020.12.2.1,19.0,2.0,5.0,9460921
ANGOLA,17.4.2020.14.56.35,19.0,2.0,5.0,9471395
ANGOLA,17.4.2020.18.39.21,19.0,2.0,5.0,9484761
ANGOLA,17.4.2020.22.45.21,19.0,2.0,5.0,9499521
ANGOLA,18.4.2020.8.54.14,19.0,2.0,5.0,9536054
ANGOLA,18.4.2020.13.55.54,19.0,2.0,5.0,9554154
ANGOLA,18.4.2020.15.41.6,19.0,2.0,5.0,9560466
ANGOLA,18.4.2020.18.3.48,19.0,2.0,5.0,9569028
ANGOLA,19.4.2020.0.17.39,24.0,2.0,6.0,9591459
ANGOLA,19.4.2020.9.10.8,24.0,2.0,6.0,9623408
ANGOLA,19.4.2020.15.11.32,24.0,2.0,6.0,9645092
ANGOLA,19.4.2020.18.7.21,24.0,2.0,6.0,9655641
ANGOLA,19.4.2020.21.1.51,24.0,2.0,6.0,9666111
