Nation,Time,Confirmed Case,Death,Recover,timestamp
ANTIGUA AND BARBUDA,2020-04-03 14:30:10,9.0,0.0,0.0,8260210
ANTIGUA AND BARBUDA,2020-04-03 14:30:11,9.0,0.0,0.0,8260211
ANTIGUA AND BARBUDA,2020-04-03 17:30:12,9.0,0.0,0.0,8271012
ANTIGUA AND BARBUDA,2020-04-03 20:30:12,9.0,0.0,0.0,8281812
ANTIGUA AND BARBUDA,2020-04-03 23:30:19,9.0,0.0,0.0,8292619
ANTIGUA AND BARBUDA,2020-04-04 08:30:14,15.0,0.0,0.0,8325014
ANTIGUA AND BARBUDA,2020-04-04 11:30:14,15.0,0.0,0.0,8335814
ANTIGUA AND BARBUDA,2020-04-04 14:30:16,15.0,0.0,0.0,8346616
ANTIGUA AND BARBUDA,2020-04-04 17:30:18,15.0,0.0,0.0,8357418
ANTIGUA AND BARBUDA,2020-04-04 20:30:33,15.0,0.0,0.0,8368233
ANTIGUA AND BARBUDA,2020-04-04 23:30:05,15.0,0.0,0.0,8379005
ANTIGUA AND BARBUDA,2020-04-05 08:30:07,15.0,0.0,0.0,8411407
ANTIGUA AND BARBUDA,2020-04-05 11:30:03,15.0,0.0,0.0,8422203
ANTIGUA AND BARBUDA,2020-04-05 14:30:04,15.0,0.0,0.0,8433004
ANTIGUA AND BARBUDA,2020-04-05 17:40:33,15.0,0.0,0.0,8444433
ANTIGUA AND BARBUDA,2020-04-05 20:33:28,15.0,0.0,0.0,8454808
ANTIGUA AND BARBUDA,2020-04-05 23:30:02,15.0,0.0,0.0,8465402
ANTIGUA AND BARBUDA,2020-04-06 08:37:49,15.0,0.0,0.0,8498269
ANTIGUA AND BARBUDA,2020-04-06 11:30:05,15.0,0.0,0.0,8508605
ANTIGUA AND BARBUDA,2020-04-06 14:44:21,15.0,0.0,0.0,8520261
ANTIGUA AND BARBUDA,2020-04-06 17:30:04,15.0,0.0,0.0,8530204
ANTIGUA AND BARBUDA,2020-04-06 21:00:44,15.0,0.0,0.0,8542844
ANTIGUA AND BARBUDA,2020-04-07 00:00:03,15.0,0.0,0.0,8553603
ANTIGUA AND BARBUDA,2020-04-07 09:00:04,15.0,0.0,0.0,8586004
ANTIGUA AND BARBUDA,2020-04-07 12:15:51,15.0,0.0,0.0,8597751
ANTIGUA AND BARBUDA,2020-04-07 15:59:55,15.0,0.0,0.0,8611195
ANTIGUA AND BARBUDA,2020-04-07 18:03:46,15.0,0.0,0.0,8618626
ANTIGUA AND BARBUDA,2020-04-07 21:32:15,15.0,0.0,0.0,8631135
ANTIGUA AND BARBUDA,2020-04-08 00:00:04,16.0,0.0,0.0,8640004
ANTIGUA AND BARBUDA,2020-04-08 09:00:46,19.0,1.0,0.0,8672446
ANTIGUA AND BARBUDA,2020-04-08 12:21:18,19.0,1.0,0.0,8684478
ANTIGUA AND BARBUDA,2020-04-08 15:04:46,19.0,2.0,0.0,8694286
ANTIGUA AND BARBUDA,2020-04-08 18:11:16,19.0,2.0,0.0,8705476
ANTIGUA AND BARBUDA,2020-04-08 21:33:56,19.0,2.0,0.0,8717636
ANTIGUA AND BARBUDA,2020-04-09 00:14:12,19.0,2.0,0.0,8727252
ANTIGUA AND BARBUDA,2020-04-09 11:19:24,19.0,2.0,0.0,8767164
ANTIGUA AND BARBUDA,2020-04-09 12:07:24,19.0,2.0,0.0,8770044
ANTIGUA AND BARBUDA,2020-04-09 14:57:09,19.0,2.0,0.0,8780229
ANTIGUA AND BARBUDA,2020-04-09 18:00:02,19.0,2.0,0.0,8791202
ANTIGUA AND BARBUDA,2020-04-10 01:06:14,19.0,2.0,0.0,8816774
ANTIGUA AND BARBUDA,2020-04-10 09:04:46,19.0,2.0,0.0,8845486
ANTIGUA AND BARBUDA,2020-04-10 12:09:17,19.0,2.0,0.0,8856557
ANTIGUA AND BARBUDA,2020-04-10 14:55:51,19.0,2.0,0.0,8866551
ANTIGUA AND BARBUDA,2020-04-10 18:41:05,19.0,2.0,0.0,8880065
ANTIGUA AND BARBUDA,2020-04-10 21:59:17,19.0,2.0,0.0,8891957
ANTIGUA AND BARBUDA,2020-04-11 00:00:34,19.0,2.0,0.0,8899234
ANTIGUA AND BARBUDA,2020-04-11 09:01:32,21.0,2.0,0.0,8931692
ANTIGUA AND BARBUDA,2020-04-11 12:08:24,21.0,2.0,0.0,8942904
ANTIGUA AND BARBUDA,2020-04-11 17:00:40,21.0,2.0,0.0,8960440
ANTIGUA AND BARBUDA,2020-04-11 18:12:28,21.0,2.0,0.0,8964748
ANTIGUA AND BARBUDA,2020-04-11 21:44:19,21.0,2.0,0.0,8977459
