Nation,Time,Confirmed Case,Death,Recover,timestamp
ARGENTINA,2020-04-03 14:30:10,1265.0,37.0,256.0,8260210
ARGENTINA,2020-04-03 14:30:11,1265.0,37.0,256.0,8260211
ARGENTINA,2020-04-03 17:30:12,1265.0,37.0,256.0,8271012
ARGENTINA,2020-04-03 20:30:12,1265.0,39.0,256.0,8281812
ARGENTINA,2020-04-03 23:30:19,1265.0,39.0,266.0,8292619
ARGENTINA,2020-04-04 08:30:14,1353.0,42.0,266.0,8325014
ARGENTINA,2020-04-04 11:30:14,1353.0,42.0,266.0,8335814
ARGENTINA,2020-04-04 14:30:16,1353.0,42.0,266.0,8346616
ARGENTINA,2020-04-04 17:30:18,1353.0,42.0,266.0,8357418
ARGENTINA,2020-04-04 20:30:33,1353.0,42.0,266.0,8368233
ARGENTINA,2020-04-04 23:30:05,1353.0,42.0,266.0,8379005
ARGENTINA,2020-04-05 08:30:07,1451.0,43.0,279.0,8411407
ARGENTINA,2020-04-05 11:30:03,1451.0,43.0,279.0,8422203
ARGENTINA,2020-04-05 14:30:04,1451.0,43.0,279.0,8433004
ARGENTINA,2020-04-05 17:40:33,1451.0,43.0,279.0,8444433
ARGENTINA,2020-04-05 20:33:28,1451.0,44.0,279.0,8454808
ARGENTINA,2020-04-05 23:30:02,1451.0,44.0,280.0,8465402
ARGENTINA,2020-04-06 08:37:49,1554.0,47.0,280.0,8498269
ARGENTINA,2020-04-06 11:30:05,1554.0,47.0,280.0,8508605
ARGENTINA,2020-04-06 14:44:21,1554.0,47.0,280.0,8520261
ARGENTINA,2020-04-06 17:30:04,1554.0,47.0,280.0,8530204
ARGENTINA,2020-04-06 21:00:44,1554.0,48.0,325.0,8542844
ARGENTINA,2020-04-07 00:00:03,1554.0,48.0,325.0,8553603
ARGENTINA,2020-04-07 09:00:04,1628.0,53.0,325.0,8586004
ARGENTINA,2020-04-07 12:15:51,1628.0,53.0,325.0,8597751
ARGENTINA,2020-04-07 15:59:55,1628.0,53.0,325.0,8611195
ARGENTINA,2020-04-07 18:03:46,1628.0,53.0,325.0,8618626
ARGENTINA,2020-04-07 21:32:15,1628.0,55.0,338.0,8631135
ARGENTINA,2020-04-08 00:00:04,1628.0,56.0,338.0,8640004
ARGENTINA,2020-04-08 09:00:46,1715.0,60.0,338.0,8672446
ARGENTINA,2020-04-08 12:21:18,1715.0,60.0,338.0,8684478
ARGENTINA,2020-04-08 15:04:46,1715.0,60.0,338.0,8694286
ARGENTINA,2020-04-08 18:11:16,1715.0,60.0,338.0,8705476
ARGENTINA,2020-04-08 21:33:56,1715.0,62.0,338.0,8717636
ARGENTINA,2020-04-09 00:14:12,1715.0,63.0,338.0,8727252
ARGENTINA,2020-04-09 11:19:24,1795.0,65.0,358.0,8767164
ARGENTINA,2020-04-09 12:07:24,1795.0,65.0,358.0,8770044
ARGENTINA,2020-04-09 14:57:09,1795.0,65.0,358.0,8780229
ARGENTINA,2020-04-09 18:00:02,1795.0,65.0,358.0,8791202
ARGENTINA,2020-04-10 01:06:14,1795.0,71.0,365.0,8816774
ARGENTINA,2020-04-10 09:04:46,1894.0,79.0,365.0,8845486
ARGENTINA,2020-04-10 12:09:17,1894.0,79.0,365.0,8856557
ARGENTINA,2020-04-10 14:55:51,1894.0,79.0,365.0,8866551
ARGENTINA,2020-04-10 18:41:05,1894.0,79.0,365.0,8880065
ARGENTINA,2020-04-10 21:59:17,1894.0,81.0,375.0,8891957
ARGENTINA,2020-04-11 00:00:34,1894.0,81.0,375.0,8899234
ARGENTINA,2020-04-11 09:01:32,1975.0,82.0,375.0,8931692
ARGENTINA,2020-04-11 12:08:24,1975.0,82.0,375.0,8942904
ARGENTINA,2020-04-11 17:00:40,1975.0,82.0,375.0,8960440
ARGENTINA,2020-04-11 18:12:28,1975.0,82.0,375.0,8964748
ARGENTINA,2020-04-11 21:44:19,1975.0,83.0,440.0,8977459
ARGENTINA,2020-04-11 23:59:29,1975.0,83.0,440.0,8985569
ARGENTINA,2020-04-12 09:00:42,2142.0,89.0,440.0,9018042
ARGENTINA,2020-04-12 12:05:42,2142.0,89.0,440.0,9029142
ARGENTINA,2020-04-12 15:09:25,2142.0,89.0,440.0,9040165
ARGENTINA,2020-04-12 18:22:01,2142.0,90.0,440.0,9051721
ARGENTINA,2020-04-12 20:59:25,2142.0,90.0,468.0,9061165
ARGENTINA,2020-04-13 00:07:13,2142.0,90.0,468.0,9072433
ARGENTINA,2020-04-13 09:26:16,2208.0,95.0,468.0,9105976
ARGENTINA,2020-04-13 11:59:14,2208.0,95.0,468.0,9115154
ARGENTINA,2020-04-13 15:13:01,2208.0,95.0,468.0,9126781
ARGENTINA,2020-04-13 20:23:47,2208.0,96.0,468.0,9145427
ARGENTINA,2020-04-13 21:01:27,2208.0,97.0,468.0,9147687
ARGENTINA,2020-04-14 00:30:40,2208.0,97.0,515.0,9160240
ARGENTINA,2020-04-14 09:09:09,2277.0,98.0,515.0,9191349
ARGENTINA,2020-04-14 12:13:23,2277.0,98.0,515.0,9202403
ARGENTINA,2020-04-14 15:49:28,2277.0,98.0,515.0,9215368
ARGENTINA,2020-04-14 18:27:14,2277.0,98.0,515.0,9224834
ARGENTINA,2020-04-14 21:18:50,2277.0,102.0,559.0,9235130
ARGENTINA,2020-04-15 00:07:14,2277.0,102.0,559.0,9245234
ARGENTINA,2020-04-15 09:00:09,2443.0,105.0,559.0,9277209
ARGENTINA,2020-04-15 14:56:18,2443.0,105.0,559.0,9298578
ARGENTINA,2020-04-15 19:52:38,2443.0,109.0,596.0,9316358
ARGENTINA,2020-04-15 21:18:33,2443.0,109.0,596.0,9321513
ARGENTINA,2020-04-16 00:51:15,2443.0,111.0,596.0,9334275
ARGENTINA,2020-04-16 09:04:51,2571.0,112.0,596.0,9363891
ARGENTINA,2020-04-16 12:05:08,2571.0,112.0,596.0,9374708
ARGENTINA,2020-04-16 14:57:08,2571.0,112.0,596.0,9385028
ARGENTINA,2020-04-16 17:58:25,2571.0,112.0,596.0,9395905
ARGENTINA,2020-04-16 22:41:20,2571.0,115.0,631.0,9412880
ARGENTINA,2020-04-17 01:32:36,2571.0,115.0,631.0,9423156
ARGENTINA,2020-04-17 09:11:04,2669.0,122.0,631.0,9450664
ARGENTINA,2020-04-17 12:02:01,2669.0,122.0,631.0,9460921
ARGENTINA,2020-04-17 14:56:35,2669.0,122.0,631.0,9471395
ARGENTINA,2020-04-17 18:39:21,2669.0,122.0,631.0,9484761
ARGENTINA,2020-04-17 22:45:21,2669.0,122.0,666.0,9499521
ARGENTINA,2020-04-18 08:54:14,2758.0,129.0,666.0,9536054
ARGENTINA,2020-04-18 13:55:54,2758.0,129.0,666.0,9554154
ARGENTINA,2020-04-18 15:41:06,2758.0,129.0,666.0,9560466
ARGENTINA,2020-04-18 18:03:48,2758.0,129.0,666.0,9569028
