Nation,Time,Confirmed Case,Death,Recover,timestamp
AZERBAIJAN,3.4.2020.14.30.10,443.0,5.0,32.0,8260210
AZERBAIJAN,3.4.2020.14.30.11,443.0,5.0,32.0,8260211
AZERBAIJAN,3.4.2020.17.30.12,443.0,5.0,32.0,8271012
AZERBAIJAN,3.4.2020.20.30.12,443.0,5.0,32.0,8281812
AZERBAIJAN,3.4.2020.23.30.19,443.0,5.0,32.0,8292619
AZERBAIJAN,4.4.2020.8.30.14,443.0,5.0,32.0,8325014
AZERBAIJAN,4.4.2020.11.30.14,443.0,5.0,32.0,8335814
AZERBAIJAN,4.4.2020.14.30.16,443.0,5.0,32.0,8346616
AZERBAIJAN,4.4.2020.17.30.18,521.0,5.0,32.0,8357418
AZERBAIJAN,4.4.2020.20.30.33,521.0,5.0,32.0,8368233
AZERBAIJAN,4.4.2020.23.30.5,521.0,5.0,32.0,8379005
AZERBAIJAN,5.4.2020.8.30.7,521.0,5.0,32.0,8411407
AZERBAIJAN,5.4.2020.11.30.3,521.0,5.0,32.0,8422203
AZERBAIJAN,5.4.2020.14.30.4,521.0,5.0,32.0,8433004
AZERBAIJAN,5.4.2020.17.40.33,584.0,5.0,32.0,8444433
AZERBAIJAN,5.4.2020.20.33.28,584.0,5.0,32.0,8454808
AZERBAIJAN,5.4.2020.23.30.2,584.0,7.0,32.0,8465402
AZERBAIJAN,6.4.2020.8.37.49,584.0,7.0,32.0,8498269
AZERBAIJAN,6.4.2020.11.30.5,584.0,7.0,32.0,8508605
AZERBAIJAN,6.4.2020.14.44.21,584.0,7.0,32.0,8520261
AZERBAIJAN,6.4.2020.17.30.4,641.0,7.0,44.0,8530204
AZERBAIJAN,6.4.2020.21.0.44,641.0,7.0,44.0,8542844
AZERBAIJAN,7.4.2020.0.0.3,641.0,7.0,44.0,8553603
AZERBAIJAN,7.4.2020.9.0.4,641.0,7.0,44.0,8586004
AZERBAIJAN,7.4.2020.12.15.51,641.0,7.0,44.0,8597751
AZERBAIJAN,7.4.2020.15.59.55,641.0,7.0,44.0,8611195
AZERBAIJAN,7.4.2020.18.3.46,717.0,8.0,44.0,8618626
AZERBAIJAN,7.4.2020.21.32.15,717.0,8.0,44.0,8631135
AZERBAIJAN,8.4.2020.0.0.4,717.0,8.0,44.0,8640004
AZERBAIJAN,8.4.2020.9.0.46,717.0,8.0,44.0,8672446
AZERBAIJAN,8.4.2020.12.21.18,717.0,8.0,44.0,8684478
AZERBAIJAN,8.4.2020.15.4.46,717.0,8.0,44.0,8694286
AZERBAIJAN,8.4.2020.18.11.16,717.0,8.0,44.0,8705476
AZERBAIJAN,8.4.2020.21.33.56,822.0,8.0,63.0,8717636
AZERBAIJAN,9.4.2020.0.14.12,822.0,8.0,63.0,8727252
AZERBAIJAN,9.4.2020.11.19.24,822.0,8.0,63.0,8767164
AZERBAIJAN,9.4.2020.12.7.24,822.0,8.0,63.0,8770044
AZERBAIJAN,9.4.2020.14.57.9,822.0,8.0,63.0,8780229
AZERBAIJAN,9.4.2020.18.0.2,822.0,8.0,63.0,8791202
AZERBAIJAN,10.4.2020.1.6.14,926.0,9.0,101.0,8816774
AZERBAIJAN,10.4.2020.9.4.46,926.0,9.0,101.0,8845486
AZERBAIJAN,10.4.2020.12.9.17,926.0,9.0,101.0,8856557
AZERBAIJAN,10.4.2020.14.55.51,926.0,9.0,101.0,8866551
AZERBAIJAN,10.4.2020.18.41.5,926.0,9.0,101.0,8880065
AZERBAIJAN,10.4.2020.21.59.17,991.0,10.0,159.0,8891957
AZERBAIJAN,11.4.2020.0.0.34,991.0,10.0,159.0,8899234
AZERBAIJAN,11.4.2020.9.1.32,991.0,10.0,159.0,8931692
AZERBAIJAN,11.4.2020.12.8.24,991.0,10.0,159.0,8942904
AZERBAIJAN,11.4.2020.17.0.40,991.0,10.0,159.0,8960440
AZERBAIJAN,11.4.2020.18.12.28,991.0,10.0,159.0,8964748
AZERBAIJAN,11.4.2020.21.44.19,1058.0,11.0,200.0,8977459
AZERBAIJAN,11.4.2020.23.59.29,1058.0,11.0,200.0,8985569
AZERBAIJAN,12.4.2020.9.0.42,1058.0,11.0,200.0,9018042
AZERBAIJAN,12.4.2020.12.5.42,1058.0,11.0,200.0,9029142
AZERBAIJAN,12.4.2020.15.9.25,1058.0,11.0,200.0,9040165
AZERBAIJAN,12.4.2020.18.22.1,1058.0,11.0,200.0,9051721
AZERBAIJAN,12.4.2020.20.59.25,1098.0,11.0,250.0,9061165
AZERBAIJAN,13.4.2020.0.7.13,1098.0,11.0,250.0,9072433
AZERBAIJAN,13.4.2020.9.26.16,1098.0,11.0,250.0,9105976
AZERBAIJAN,13.4.2020.11.59.14,1098.0,11.0,250.0,9115154
AZERBAIJAN,13.4.2020.15.13.1,1098.0,11.0,250.0,9126781
AZERBAIJAN,13.4.2020.20.23.47,1148.0,12.0,289.0,9145427
AZERBAIJAN,13.4.2020.21.1.27,1148.0,12.0,289.0,9147687
AZERBAIJAN,14.4.2020.0.30.40,1148.0,12.0,289.0,9160240
AZERBAIJAN,14.4.2020.9.9.9,1148.0,12.0,289.0,9191349
AZERBAIJAN,14.4.2020.12.13.23,1148.0,12.0,289.0,9202403
AZERBAIJAN,14.4.2020.15.49.28,1148.0,12.0,289.0,9215368
AZERBAIJAN,14.4.2020.18.27.14,1148.0,12.0,289.0,9224834
AZERBAIJAN,14.4.2020.21.18.50,1197.0,13.0,351.0,9235130
AZERBAIJAN,15.4.2020.0.7.14,1197.0,13.0,351.0,9245234
AZERBAIJAN,15.4.2020.9.0.9,1197.0,13.0,351.0,9277209
AZERBAIJAN,15.4.2020.14.56.18,1197.0,13.0,351.0,9298578
AZERBAIJAN,15.4.2020.19.52.38,1253.0,13.0,404.0,9316358
AZERBAIJAN,15.4.2020.21.18.33,1253.0,13.0,404.0,9321513
AZERBAIJAN,16.4.2020.0.51.15,1253.0,13.0,404.0,9334275
AZERBAIJAN,16.4.2020.9.4.51,1253.0,13.0,404.0,9363891
AZERBAIJAN,16.4.2020.12.5.8,1253.0,13.0,404.0,9374708
AZERBAIJAN,16.4.2020.14.57.8,1253.0,13.0,404.0,9385028
AZERBAIJAN,16.4.2020.17.58.25,1253.0,13.0,404.0,9395905
AZERBAIJAN,16.4.2020.22.41.20,1283.0,15.0,460.0,9412880
AZERBAIJAN,17.4.2020.1.32.36,1283.0,15.0,460.0,9423156
AZERBAIJAN,17.4.2020.9.11.4,1283.0,15.0,460.0,9450664
AZERBAIJAN,17.4.2020.12.2.1,1283.0,15.0,460.0,9460921
AZERBAIJAN,17.4.2020.14.56.35,1283.0,15.0,460.0,9471395
AZERBAIJAN,17.4.2020.18.39.21,1283.0,15.0,460.0,9484761
AZERBAIJAN,17.4.2020.22.45.21,1340.0,15.0,528.0,9499521
AZERBAIJAN,18.4.2020.8.54.14,1340.0,15.0,528.0,9536054
AZERBAIJAN,18.4.2020.13.55.54,1340.0,15.0,528.0,9554154
AZERBAIJAN,18.4.2020.15.41.6,1340.0,15.0,528.0,9560466
AZERBAIJAN,18.4.2020.18.3.48,1340.0,15.0,528.0,9569028
AZERBAIJAN,19.4.2020.0.17.39,1373.0,18.0,590.0,9591459
AZERBAIJAN,19.4.2020.9.10.8,1373.0,18.0,590.0,9623408
AZERBAIJAN,19.4.2020.15.11.32,1373.0,18.0,590.0,9645092
AZERBAIJAN,19.4.2020.18.7.21,1373.0,18.0,590.0,9655641
AZERBAIJAN,19.4.2020.21.1.51,1398.0,19.0,712.0,9666111
AZERBAIJAN,20.4.2020.0.0.38,1398.0,19.0,712.0,9676838
AZERBAIJAN,20.4.2020.12.46.45,1398.0,19.0,712.0,9722805
AZERBAIJAN,20.4.2020.15.15.13,1398.0,19.0,712.0,9731713
AZERBAIJAN,20.4.2020.18.0.55,1398.0,19.0,712.0,9741655
AZERBAIJAN,20.4.2020.20.51.26,1436.0,19.0,791.0,9751886
AZERBAIJAN,20.4.2020.23.57.35,1436.0,19.0,791.0,9763055
AZERBAIJAN,21.4.2020.12.5.6,1436.0,19.0,791.0,9806706
AZERBAIJAN,21.4.2020.18.5.54,1436.0,19.0,791.0,9828354
AZERBAIJAN,21.4.2020.20.56.52,1480.0,20.0,865.0,9838612
AZERBAIJAN,22.4.2020.10.13.50,1480.0,20.0,865.0,9886430
AZERBAIJAN,22.4.2020.12.1.15,1480.0,20.0,865.0,9892875
AZERBAIJAN,22.4.2020.15.4.35,1480.0,20.0,865.0,9903875
AZERBAIJAN,23.4.2020.0.41.34,1518.0,20.0,907.0,9938494
AZERBAIJAN,23.4.2020.11.0.28,1518.0,20.0,907.0,9975628
AZERBAIJAN,23.4.2020.18.9.30,1548.0,20.0,948.0,10001370
AZERBAIJAN,23.4.2020.21.15.10,1548.0,20.0,948.0,10012510
AZERBAIJAN,24.4.2020.12.38.27,1548.0,20.0,948.0,10067907
AZERBAIJAN,24.4.2020.15.7.1,1548.0,20.0,948.0,10076821
AZERBAIJAN,24.4.2020.18.5.8,1592.0,21.0,1013.0,10087508
AZERBAIJAN,25.4.2020.1.24.20,1592.0,21.0,1013.0,10113860
AZERBAIJAN,25.4.2020.10.29.29,1592.0,21.0,1013.0,10146569
AZERBAIJAN,25.4.2020.13.6.30,1592.0,21.0,1013.0,10155990
AZERBAIJAN,25.4.2020.15.13.19,1592.0,21.0,1013.0,10163599
AZERBAIJAN,25.4.2020.18.5.53,1617.0,21.0,1080.0,10173953
AZERBAIJAN,26.4.2020.0.2.26,1617.0,21.0,1080.0,10195346
AZERBAIJAN,26.4.2020.10.30.36,1617.0,21.0,1080.0,10233036
AZERBAIJAN,26.4.2020.14.0.20,1617.0,21.0,1080.0,10245620
AZERBAIJAN,26.4.2020.15.0.26,1592.0,21.0,1013.0,10249226
AZERBAIJAN,26.4.2020.18.4.29,1645.0,21.0,1139.0,10260269
AZERBAIJAN,26.4.2020.20.55.24,1645.0,21.0,1139.0,10270524
AZERBAIJAN,27.4.2020.1.26.23,1645.0,21.0,1139.0,10286783
AZERBAIJAN,27.4.2020.12.2.22,1645.0,21.0,1139.0,10324942
AZERBAIJAN,27.4.2020.18.28.29,1645.0,21.0,1139.0,10348109
AZERBAIJAN,27.4.2020.23.10.6,1678.0,22.0,1162.0,10365006
AZERBAIJAN,28.4.2020.0.52.18,1678.0,22.0,1162.0,10371138
AZERBAIJAN,28.4.2020.12.28.54,1678.0,22.0,1162.0,10412934
AZERBAIJAN,29.4.2020.0.5.46,1717.0,22.0,1221.0,10454746
AZERBAIJAN,29.4.2020.11.12.43,1717.0,22.0,1221.0,10494763
AZERBAIJAN,29.4.2020.13.2.52,1717.0,22.0,1221.0,10501372
AZERBAIJAN,29.4.2020.15.8.24,1717.0,22.0,1221.0,10508904
AZERBAIJAN,29.4.2020.18.9.12,1717.0,22.0,1221.0,10519752
AZERBAIJAN,29.4.2020.21.32.47,1766.0,23.0,1267.0,10531967
AZERBAIJAN,30.4.2020.0.17.29,1766.0,23.0,1267.0,10541849
AZERBAIJAN,30.4.2020.9.21.28,1766.0,23.0,1267.0,10574488
AZERBAIJAN,30.4.2020.12.29.51,1766.0,23.0,1267.0,10585791
AZERBAIJAN,30.4.2020.15.13.47,1766.0,23.0,1267.0,10595627
AZERBAIJAN,1.5.2020.0.5.16,1804.0,24.0,1325.0,10713916
AZERBAIJAN,1.5.2020.10.41.27,1804.0,24.0,1325.0,10752087
AZERBAIJAN,1.5.2020.11.53.59,1804.0,24.0,1325.0,10756439
AZERBAIJAN,1.5.2020.15.33.11,1804.0,24.0,1325.0,10769591
AZERBAIJAN,1.5.2020.17.55.59,1804.0,24.0,1325.0,10778159
AZERBAIJAN,1.5.2020.21.26.40,1854.0,25.0,1365.0,10790800
AZERBAIJAN,2.5.2020.0.11.13,1854.0,25.0,1365.0,10800673
