Nation,Time,Confirmed Case,Death,Recover,timestamp
BAHRAIN,2020-04-03 14:30:10,643.0,4.0,381.0,8260210
BAHRAIN,2020-04-03 14:30:11,643.0,4.0,381.0,8260211
BAHRAIN,2020-04-03 17:30:12,672.0,4.0,382.0,8271012
BAHRAIN,2020-04-03 20:30:12,672.0,4.0,382.0,8281812
BAHRAIN,2020-04-03 23:30:19,672.0,4.0,382.0,8292619
BAHRAIN,2020-04-04 08:30:14,673.0,4.0,388.0,8325014
BAHRAIN,2020-04-04 11:30:14,673.0,4.0,388.0,8335814
BAHRAIN,2020-04-04 14:30:16,673.0,4.0,388.0,8346616
BAHRAIN,2020-04-04 17:30:18,688.0,4.0,399.0,8357418
BAHRAIN,2020-04-04 20:30:33,688.0,4.0,399.0,8368233
BAHRAIN,2020-04-04 23:30:05,688.0,4.0,423.0,8379005
BAHRAIN,2020-04-05 08:30:07,688.0,4.0,423.0,8411407
BAHRAIN,2020-04-05 11:30:03,688.0,4.0,423.0,8422203
BAHRAIN,2020-04-05 14:30:04,688.0,4.0,423.0,8433004
BAHRAIN,2020-04-05 17:40:33,698.0,4.0,427.0,8444433
BAHRAIN,2020-04-05 20:33:28,698.0,4.0,427.0,8454808
BAHRAIN,2020-04-05 23:30:02,698.0,4.0,427.0,8465402
BAHRAIN,2020-04-06 08:37:49,700.0,4.0,431.0,8498269
BAHRAIN,2020-04-06 11:30:05,700.0,4.0,431.0,8508605
BAHRAIN,2020-04-06 14:44:21,700.0,4.0,431.0,8520261
BAHRAIN,2020-04-06 17:30:04,723.0,4.0,451.0,8530204
BAHRAIN,2020-04-06 21:00:44,723.0,4.0,451.0,8542844
BAHRAIN,2020-04-07 00:00:03,756.0,4.0,458.0,8553603
BAHRAIN,2020-04-07 09:00:04,756.0,4.0,458.0,8586004
BAHRAIN,2020-04-07 12:15:51,756.0,4.0,458.0,8597751
BAHRAIN,2020-04-07 15:59:55,756.0,4.0,458.0,8611195
BAHRAIN,2020-04-07 18:03:46,756.0,4.0,458.0,8618626
BAHRAIN,2020-04-07 21:32:15,811.0,4.0,458.0,8631135
BAHRAIN,2020-04-08 00:00:04,811.0,4.0,458.0,8640004
BAHRAIN,2020-04-08 09:00:46,811.0,5.0,458.0,8672446
BAHRAIN,2020-04-08 12:21:18,811.0,5.0,458.0,8684478
BAHRAIN,2020-04-08 15:04:46,811.0,5.0,465.0,8694286
BAHRAIN,2020-04-08 18:11:16,811.0,5.0,465.0,8705476
BAHRAIN,2020-04-08 21:33:56,821.0,5.0,467.0,8717636
BAHRAIN,2020-04-09 00:14:12,823.0,5.0,477.0,8727252
