Nation,Time,Confirmed Case,Death,Recover,timestamp
BANGLADESH,2020-04-03 14:30:10,61.0,6.0,26.0,8260210
BANGLADESH,2020-04-03 14:30:11,61.0,6.0,26.0,8260211
BANGLADESH,2020-04-03 17:30:12,61.0,6.0,26.0,8271012
BANGLADESH,2020-04-03 20:30:12,61.0,6.0,26.0,8281812
BANGLADESH,2020-04-03 23:30:19,61.0,6.0,26.0,8292619
BANGLADESH,2020-04-04 08:30:14,61.0,6.0,26.0,8325014
BANGLADESH,2020-04-04 11:30:14,61.0,6.0,26.0,8335814
BANGLADESH,2020-04-04 14:30:16,70.0,8.0,30.0,8346616
BANGLADESH,2020-04-04 17:30:18,70.0,8.0,30.0,8357418
BANGLADESH,2020-04-04 20:30:33,70.0,8.0,30.0,8368233
BANGLADESH,2020-04-04 23:30:05,70.0,8.0,30.0,8379005
BANGLADESH,2020-04-05 08:30:07,70.0,8.0,30.0,8411407
BANGLADESH,2020-04-05 11:30:03,70.0,8.0,30.0,8422203
BANGLADESH,2020-04-05 14:30:04,88.0,9.0,33.0,8433004
BANGLADESH,2020-04-05 17:40:33,88.0,9.0,33.0,8444433
BANGLADESH,2020-04-05 20:33:28,88.0,9.0,33.0,8454808
BANGLADESH,2020-04-05 23:30:02,88.0,9.0,33.0,8465402
BANGLADESH,2020-04-06 08:37:49,88.0,9.0,33.0,8498269
BANGLADESH,2020-04-06 11:30:05,88.0,10.0,33.0,8508605
BANGLADESH,2020-04-06 14:44:21,123.0,13.0,33.0,8520261
BANGLADESH,2020-04-06 17:30:04,123.0,12.0,33.0,8530204
BANGLADESH,2020-04-06 21:00:44,123.0,12.0,33.0,8542844
BANGLADESH,2020-04-07 00:00:03,123.0,12.0,33.0,8553603
BANGLADESH,2020-04-07 09:00:04,123.0,12.0,33.0,8586004
BANGLADESH,2020-04-07 12:15:51,123.0,12.0,33.0,8597751
BANGLADESH,2020-04-07 15:59:55,164.0,17.0,33.0,8611195
BANGLADESH,2020-04-07 18:03:46,164.0,17.0,33.0,8618626
BANGLADESH,2020-04-07 21:32:15,164.0,17.0,33.0,8631135
BANGLADESH,2020-04-08 00:00:04,164.0,17.0,33.0,8640004
BANGLADESH,2020-04-08 09:00:46,164.0,17.0,33.0,8672446
BANGLADESH,2020-04-08 12:21:18,164.0,17.0,33.0,8684478
BANGLADESH,2020-04-08 15:04:46,218.0,20.0,33.0,8694286
BANGLADESH,2020-04-08 18:11:16,218.0,20.0,33.0,8705476
BANGLADESH,2020-04-08 21:33:56,218.0,20.0,33.0,8717636
BANGLADESH,2020-04-09 00:14:12,218.0,20.0,33.0,8727252
BANGLADESH,2020-04-09 11:19:24,218.0,20.0,33.0,8767164
BANGLADESH,2020-04-09 12:07:24,218.0,20.0,33.0,8770044
BANGLADESH,2020-04-09 14:57:09,330.0,21.0,33.0,8780229
BANGLADESH,2020-04-09 18:00:02,330.0,21.0,33.0,8791202
BANGLADESH,2020-04-10 01:06:14,330.0,21.0,33.0,8816774
BANGLADESH,2020-04-10 09:04:46,330.0,21.0,33.0,8845486
BANGLADESH,2020-04-10 12:09:17,330.0,21.0,33.0,8856557
BANGLADESH,2020-04-10 14:55:51,424.0,27.0,33.0,8866551
