Nation,Time,Confirmed Case,Death,Recover,timestamp
BARBADOS,2020-04-03 14:30:10,46.0,0.0,0.0,8260210
BARBADOS,2020-04-03 14:30:11,46.0,0.0,0.0,8260211
BARBADOS,2020-04-03 17:30:12,46.0,0.0,0.0,8271012
BARBADOS,2020-04-03 20:30:12,46.0,0.0,0.0,8281812
BARBADOS,2020-04-03 23:30:19,51.0,0.0,0.0,8292619
BARBADOS,2020-04-04 08:30:14,51.0,0.0,0.0,8325014
BARBADOS,2020-04-04 11:30:14,51.0,0.0,0.0,8335814
BARBADOS,2020-04-04 14:30:16,51.0,0.0,0.0,8346616
BARBADOS,2020-04-04 17:30:18,51.0,0.0,0.0,8357418
BARBADOS,2020-04-04 20:30:33,51.0,0.0,0.0,8368233
BARBADOS,2020-04-04 23:30:05,52.0,0.0,0.0,8379005
BARBADOS,2020-04-05 08:30:07,52.0,0.0,0.0,8411407
BARBADOS,2020-04-05 11:30:03,52.0,0.0,0.0,8422203
BARBADOS,2020-04-05 14:30:04,52.0,0.0,0.0,8433004
BARBADOS,2020-04-05 17:40:33,52.0,0.0,0.0,8444433
BARBADOS,2020-04-05 20:33:28,52.0,0.0,0.0,8454808
BARBADOS,2020-04-05 23:30:02,56.0,1.0,6.0,8465402
BARBADOS,2020-04-06 08:37:49,56.0,1.0,6.0,8498269
BARBADOS,2020-04-06 11:30:05,56.0,1.0,6.0,8508605
BARBADOS,2020-04-06 14:44:21,56.0,1.0,6.0,8520261
BARBADOS,2020-04-06 17:30:04,56.0,1.0,6.0,8530204
BARBADOS,2020-04-06 21:00:44,56.0,1.0,6.0,8542844
BARBADOS,2020-04-07 00:00:03,56.0,1.0,6.0,8553603
BARBADOS,2020-04-07 09:00:04,60.0,2.0,6.0,8586004
BARBADOS,2020-04-07 12:15:51,60.0,2.0,6.0,8597751
BARBADOS,2020-04-07 15:59:55,60.0,2.0,6.0,8611195
BARBADOS,2020-04-07 18:03:46,60.0,2.0,6.0,8618626
BARBADOS,2020-04-07 21:32:15,60.0,2.0,6.0,8631135
BARBADOS,2020-04-08 00:00:04,63.0,3.0,6.0,8640004
BARBADOS,2020-04-08 09:00:46,63.0,3.0,6.0,8672446
BARBADOS,2020-04-08 12:21:18,63.0,3.0,6.0,8684478
BARBADOS,2020-04-08 15:04:46,63.0,3.0,6.0,8694286
BARBADOS,2020-04-08 18:11:16,63.0,3.0,6.0,8705476
BARBADOS,2020-04-08 21:33:56,63.0,3.0,6.0,8717636
BARBADOS,2020-04-09 00:14:12,63.0,3.0,6.0,8727252
BARBADOS,2020-04-09 11:19:24,63.0,3.0,8.0,8767164
BARBADOS,2020-04-09 12:07:24,63.0,3.0,8.0,8770044
BARBADOS,2020-04-09 14:57:09,63.0,3.0,8.0,8780229
BARBADOS,2020-04-09 18:00:02,63.0,3.0,8.0,8791202
BARBADOS,2020-04-10 01:06:14,63.0,3.0,8.0,8816774
BARBADOS,2020-04-10 09:04:46,66.0,3.0,11.0,8845486
BARBADOS,2020-04-10 12:09:17,66.0,3.0,11.0,8856557
BARBADOS,2020-04-10 14:55:51,66.0,3.0,11.0,8866551
BARBADOS,2020-04-10 18:41:05,66.0,3.0,11.0,8880065
BARBADOS,2020-04-10 21:59:17,66.0,4.0,11.0,8891957
BARBADOS,2020-04-11 00:00:34,66.0,4.0,11.0,8899234
BARBADOS,2020-04-11 09:01:32,67.0,4.0,11.0,8931692
BARBADOS,2020-04-11 12:08:24,67.0,4.0,11.0,8942904
BARBADOS,2020-04-11 17:00:40,67.0,4.0,11.0,8960440
BARBADOS,2020-04-11 18:12:28,67.0,4.0,11.0,8964748
BARBADOS,2020-04-11 21:44:19,67.0,4.0,11.0,8977459
BARBADOS,2020-04-11 23:59:29,67.0,4.0,11.0,8985569
BARBADOS,2020-04-12 09:00:42,68.0,4.0,11.0,9018042
BARBADOS,2020-04-12 12:05:42,68.0,4.0,11.0,9029142
BARBADOS,2020-04-12 15:09:25,68.0,4.0,11.0,9040165
BARBADOS,2020-04-12 18:22:01,68.0,4.0,11.0,9051721
BARBADOS,2020-04-12 20:59:25,68.0,4.0,11.0,9061165
BARBADOS,2020-04-13 00:07:13,68.0,4.0,11.0,9072433
BARBADOS,2020-04-13 09:26:16,71.0,4.0,11.0,9105976
BARBADOS,2020-04-13 11:59:14,71.0,4.0,11.0,9115154
BARBADOS,2020-04-13 15:13:01,71.0,4.0,11.0,9126781
BARBADOS,2020-04-13 20:23:47,71.0,4.0,11.0,9145427
BARBADOS,2020-04-13 21:01:27,71.0,4.0,11.0,9147687
BARBADOS,2020-04-14 00:30:40,71.0,4.0,11.0,9160240
BARBADOS,2020-04-14 09:09:09,72.0,4.0,13.0,9191349
BARBADOS,2020-04-14 12:13:23,72.0,4.0,13.0,9202403
BARBADOS,2020-04-14 15:49:28,72.0,4.0,13.0,9215368
BARBADOS,2020-04-14 18:27:14,72.0,4.0,13.0,9224834
BARBADOS,2020-04-14 21:18:50,72.0,4.0,13.0,9235130
BARBADOS,2020-04-15 00:07:14,72.0,4.0,13.0,9245234
BARBADOS,2020-04-15 09:00:09,73.0,5.0,15.0,9277209
