Nation,Time,Confirmed Case,Death,Recover,timestamp
BELARUS,2020-04-03 14:30:10,304.0,4.0,58.0,8260210
BELARUS,2020-04-03 14:30:11,304.0,4.0,58.0,8260211
BELARUS,2020-04-03 17:30:12,351.0,4.0,58.0,8271012
BELARUS,2020-04-03 20:30:12,351.0,4.0,58.0,8281812
BELARUS,2020-04-03 23:30:19,351.0,4.0,58.0,8292619
BELARUS,2020-04-04 08:30:14,351.0,4.0,58.0,8325014
BELARUS,2020-04-04 11:30:14,351.0,4.0,58.0,8335814
BELARUS,2020-04-04 14:30:16,351.0,4.0,58.0,8346616
BELARUS,2020-04-04 17:30:18,351.0,4.0,58.0,8357418
BELARUS,2020-04-04 20:30:33,440.0,5.0,58.0,8368233
BELARUS,2020-04-04 23:30:05,440.0,5.0,58.0,8379005
BELARUS,2020-04-05 08:30:07,440.0,5.0,58.0,8411407
BELARUS,2020-04-05 11:30:03,440.0,5.0,58.0,8422203
BELARUS,2020-04-05 14:30:04,440.0,5.0,58.0,8433004
BELARUS,2020-04-05 17:40:33,562.0,8.0,52.0,8444433
BELARUS,2020-04-05 20:33:28,562.0,8.0,52.0,8454808
BELARUS,2020-04-05 23:30:02,562.0,8.0,52.0,8465402
BELARUS,2020-04-06 08:37:49,562.0,8.0,52.0,8498269
BELARUS,2020-04-06 11:30:05,562.0,8.0,52.0,8508605
BELARUS,2020-04-06 14:44:21,700.0,13.0,52.0,8520261
BELARUS,2020-04-06 17:30:04,700.0,13.0,52.0,8530204
BELARUS,2020-04-06 21:00:44,700.0,13.0,52.0,8542844
BELARUS,2020-04-07 00:00:03,700.0,13.0,52.0,8553603
BELARUS,2020-04-07 09:00:04,700.0,13.0,52.0,8586004
BELARUS,2020-04-07 12:15:51,700.0,13.0,52.0,8597751
BELARUS,2020-04-07 15:59:55,700.0,13.0,52.0,8611195
BELARUS,2020-04-07 18:03:46,700.0,13.0,52.0,8618626
BELARUS,2020-04-07 21:32:15,861.0,13.0,54.0,8631135
BELARUS,2020-04-08 00:00:04,861.0,13.0,54.0,8640004
BELARUS,2020-04-08 09:00:46,861.0,13.0,54.0,8672446
BELARUS,2020-04-08 12:21:18,861.0,13.0,54.0,8684478
BELARUS,2020-04-08 15:04:46,1066.0,13.0,77.0,8694286
BELARUS,2020-04-08 18:11:16,1066.0,13.0,77.0,8705476
BELARUS,2020-04-08 21:33:56,1066.0,13.0,77.0,8717636
