Nation,Time,Confirmed Case,Death,Recover,timestamp
BELGIUM,2020-04-03 14:30:10,15348.0,1011.0,2495.0,8260210
BELGIUM,2020-04-03 14:30:11,15348.0,1011.0,2495.0,8260211
BELGIUM,2020-04-03 17:30:12,16770.0,1143.0,2872.0,8271012
BELGIUM,2020-04-03 20:30:12,16770.0,1143.0,2872.0,8281812
BELGIUM,2020-04-03 23:30:19,16770.0,1143.0,2872.0,8292619
BELGIUM,2020-04-04 08:30:14,16770.0,1143.0,2872.0,8325014
BELGIUM,2020-04-04 11:30:14,16770.0,1143.0,2872.0,8335814
BELGIUM,2020-04-04 14:30:16,16770.0,1143.0,2872.0,8346616
BELGIUM,2020-04-04 17:30:18,18431.0,1283.0,3247.0,8357418
BELGIUM,2020-04-04 20:30:33,18431.0,1283.0,3247.0,8368233
BELGIUM,2020-04-04 23:30:05,18431.0,1283.0,3247.0,8379005
BELGIUM,2020-04-05 08:30:07,18431.0,1283.0,3247.0,8411407
BELGIUM,2020-04-05 11:30:03,18431.0,1283.0,3247.0,8422203
BELGIUM,2020-04-05 14:30:04,18431.0,1283.0,3247.0,8433004
BELGIUM,2020-04-05 17:40:33,19691.0,1447.0,3751.0,8444433
BELGIUM,2020-04-05 20:33:28,19691.0,1447.0,3751.0,8454808
BELGIUM,2020-04-05 23:30:02,19691.0,1447.0,3751.0,8465402
BELGIUM,2020-04-06 08:37:49,19691.0,1447.0,3751.0,8498269
BELGIUM,2020-04-06 11:30:05,19691.0,1447.0,3751.0,8508605
BELGIUM,2020-04-06 14:44:21,19691.0,1447.0,3751.0,8520261
BELGIUM,2020-04-06 17:30:04,20814.0,1632.0,3986.0,8530204
BELGIUM,2020-04-06 21:00:44,20814.0,1632.0,3986.0,8542844
BELGIUM,2020-04-07 00:00:03,20814.0,1632.0,3986.0,8553603
BELGIUM,2020-04-07 09:00:04,20814.0,1632.0,3986.0,8586004
BELGIUM,2020-04-07 12:15:51,20814.0,1632.0,3986.0,8597751
BELGIUM,2020-04-07 15:59:55,22194.0,2035.0,4157.0,8611195
BELGIUM,2020-04-07 18:03:46,22194.0,2035.0,4157.0,8618626
BELGIUM,2020-04-07 21:32:15,22194.0,2035.0,4157.0,8631135
BELGIUM,2020-04-08 00:00:04,22194.0,2035.0,4157.0,8640004
BELGIUM,2020-04-08 09:00:46,22194.0,2035.0,4157.0,8672446
BELGIUM,2020-04-08 12:21:18,22194.0,2035.0,4157.0,8684478
BELGIUM,2020-04-08 15:04:46,23403.0,2240.0,4681.0,8694286
BELGIUM,2020-04-08 18:11:16,23403.0,2240.0,4681.0,8705476
BELGIUM,2020-04-08 21:33:56,23403.0,2240.0,4681.0,8717636
BELGIUM,2020-04-09 00:14:12,23403.0,2240.0,4681.0,8727252
BELGIUM,2020-04-09 11:19:24,23403.0,2240.0,4681.0,8767164
BELGIUM,2020-04-09 12:07:24,23403.0,2240.0,4681.0,8770044
BELGIUM,2020-04-09 14:57:09,24983.0,2523.0,5164.0,8780229
BELGIUM,2020-04-09 18:00:02,24983.0,2523.0,5164.0,8791202
BELGIUM,2020-04-10 01:06:14,24983.0,2523.0,5164.0,8816774
BELGIUM,2020-04-10 09:04:46,24983.0,2523.0,5164.0,8845486
BELGIUM,2020-04-10 12:09:17,24983.0,2523.0,5164.0,8856557
BELGIUM,2020-04-10 14:55:51,26667.0,3019.0,5568.0,8866551
BELGIUM,2020-04-10 18:41:05,26667.0,3019.0,5568.0,8880065
BELGIUM,2020-04-10 21:59:17,26667.0,3019.0,5568.0,8891957
BELGIUM,2020-04-11 00:00:34,26667.0,3019.0,5568.0,8899234
BELGIUM,2020-04-11 09:01:32,26667.0,3019.0,5568.0,8931692
BELGIUM,2020-04-11 12:08:24,26667.0,3019.0,5568.0,8942904
BELGIUM,2020-04-11 17:00:40,28018.0,3346.0,5986.0,8960440
BELGIUM,2020-04-11 18:12:28,28018.0,3346.0,5986.0,8964748
BELGIUM,2020-04-11 21:44:19,28018.0,3346.0,5986.0,8977459
BELGIUM,2020-04-11 23:59:29,28018.0,3346.0,5986.0,8985569
BELGIUM,2020-04-12 09:00:42,28018.0,3346.0,5986.0,9018042
BELGIUM,2020-04-12 12:05:42,28018.0,3346.0,5986.0,9029142
BELGIUM,2020-04-12 15:09:25,29647.0,3600.0,6463.0,9040165
BELGIUM,2020-04-12 18:22:01,29647.0,3600.0,6463.0,9051721
BELGIUM,2020-04-12 20:59:25,29647.0,3600.0,6463.0,9061165
BELGIUM,2020-04-13 00:07:13,29647.0,3600.0,6463.0,9072433
BELGIUM,2020-04-13 09:26:16,29647.0,3600.0,6463.0,9105976
BELGIUM,2020-04-13 11:59:14,29647.0,3600.0,6463.0,9115154
BELGIUM,2020-04-13 15:13:01,30589.0,3903.0,6707.0,9126781
BELGIUM,2020-04-13 20:23:47,30589.0,3903.0,6707.0,9145427
BELGIUM,2020-04-13 21:01:27,30589.0,3903.0,6707.0,9147687
BELGIUM,2020-04-14 00:30:40,30589.0,3903.0,6707.0,9160240
BELGIUM,2020-04-14 09:09:09,30589.0,3903.0,6707.0,9191349
BELGIUM,2020-04-14 12:13:23,30589.0,3903.0,6707.0,9202403
BELGIUM,2020-04-14 15:49:28,31119.0,4157.0,6868.0,9215368
BELGIUM,2020-04-14 18:27:14,31119.0,4157.0,6868.0,9224834
BELGIUM,2020-04-14 21:18:50,31119.0,4157.0,6868.0,9235130
BELGIUM,2020-04-15 00:07:14,31119.0,4157.0,6868.0,9245234
BELGIUM,2020-04-15 09:00:09,31119.0,4157.0,6868.0,9277209
BELGIUM,2020-04-15 14:56:18,33573.0,4440.0,7107.0,9298578
BELGIUM,2020-04-15 19:52:38,33573.0,4440.0,7107.0,9316358
BELGIUM,2020-04-15 21:18:33,33573.0,4440.0,7107.0,9321513
BELGIUM,2020-04-16 00:51:15,33573.0,4440.0,7107.0,9334275
BELGIUM,2020-04-16 09:04:51,33573.0,4440.0,7107.0,9363891
BELGIUM,2020-04-16 12:05:08,33573.0,4440.0,7107.0,9374708
BELGIUM,2020-04-16 14:57:08,34809.0,4857.0,7562.0,9385028
BELGIUM,2020-04-16 17:58:25,34809.0,4857.0,7562.0,9395905
BELGIUM,2020-04-16 22:41:20,34809.0,4857.0,7562.0,9412880
BELGIUM,2020-04-17 01:32:36,34809.0,4857.0,7562.0,9423156
BELGIUM,2020-04-17 09:11:04,34809.0,4857.0,7562.0,9450664
BELGIUM,2020-04-17 12:02:01,34809.0,4857.0,7562.0,9460921
BELGIUM,2020-04-17 14:56:35,36138.0,5163.0,7961.0,9471395
BELGIUM,2020-04-17 18:39:21,36138.0,5163.0,7961.0,9484761
BELGIUM,2020-04-17 22:45:21,36138.0,5163.0,7961.0,9499521
BELGIUM,2020-04-18 08:54:14,36138.0,5163.0,7961.0,9536054
BELGIUM,2020-04-18 13:55:54,36138.0,5163.0,7961.0,9554154
BELGIUM,2020-04-18 15:41:06,37183.0,5453.0,8348.0,9560466
BELGIUM,2020-04-18 18:03:48,37183.0,5453.0,8348.0,9569028
BELGIUM,2020-04-19 00:17:39,37183.0,5453.0,8348.0,9591459
BELGIUM,2020-04-19 09:10:08,37183.0,5453.0,8348.0,9623408
BELGIUM,2020-04-19 15:11:32,38496.0,5683.0,8757.0,9645092
BELGIUM,2020-04-19 18:07:21,38496.0,5683.0,8757.0,9655641
BELGIUM,2020-04-19 21:01:51,38496.0,5683.0,8757.0,9666111
BELGIUM,2020-04-20 00:00:38,38496.0,5683.0,8757.0,9676838
BELGIUM,2020-04-20 12:46:45,38496.0,5683.0,8757.0,9722805
BELGIUM,2020-04-20 15:15:13,39983.0,5828.0,8895.0,9731713
BELGIUM,2020-04-20 18:00:55,39983.0,5828.0,8895.0,9741655
BELGIUM,2020-04-20 20:51:26,39983.0,5828.0,8895.0,9751886
BELGIUM,2020-04-20 23:57:35,39983.0,5828.0,8895.0,9763055
BELGIUM,2020-04-21 12:05:06,39983.0,5828.0,8895.0,9806706
BELGIUM,2020-04-21 18:05:54,40956.0,5998.0,9002.0,9828354
BELGIUM,2020-04-21 20:56:52,40956.0,5998.0,9002.0,9838612
BELGIUM,2020-04-22 10:13:50,40956.0,5998.0,9002.0,9886430
