Nation,Time,Confirmed Case,Death,Recover,timestamp
BERMUDA,3.4.2020.14.30.10,35.0,0.0,11.0,8260210
BERMUDA,3.4.2020.14.30.11,35.0,0.0,11.0,8260211
BERMUDA,3.4.2020.17.30.12,35.0,0.0,11.0,8271012
BERMUDA,3.4.2020.20.30.12,35.0,0.0,11.0,8281812
BERMUDA,3.4.2020.23.30.19,35.0,0.0,11.0,8292619
BERMUDA,4.4.2020.8.30.14,35.0,0.0,14.0,8325014
BERMUDA,4.4.2020.11.30.14,35.0,0.0,14.0,8335814
BERMUDA,4.4.2020.14.30.16,35.0,0.0,14.0,8346616
BERMUDA,4.4.2020.17.30.18,35.0,0.0,14.0,8357418
BERMUDA,4.4.2020.20.30.33,35.0,0.0,14.0,8368233
BERMUDA,4.4.2020.23.30.5,35.0,0.0,14.0,8379005
BERMUDA,5.4.2020.8.30.7,37.0,0.0,14.0,8411407
BERMUDA,5.4.2020.11.30.3,37.0,0.0,14.0,8422203
BERMUDA,5.4.2020.14.30.4,37.0,0.0,14.0,8433004
BERMUDA,5.4.2020.17.40.33,37.0,0.0,14.0,8444433
BERMUDA,5.4.2020.20.33.28,37.0,0.0,14.0,8454808
BERMUDA,5.4.2020.23.30.2,37.0,0.0,14.0,8465402
BERMUDA,6.4.2020.8.37.49,37.0,0.0,14.0,8498269
BERMUDA,6.4.2020.11.30.5,37.0,0.0,14.0,8508605
BERMUDA,6.4.2020.14.44.21,37.0,0.0,14.0,8520261
BERMUDA,6.4.2020.17.30.4,37.0,0.0,14.0,8530204
BERMUDA,6.4.2020.21.0.44,37.0,0.0,14.0,8542844
BERMUDA,7.4.2020.0.0.3,37.0,0.0,14.0,8553603
BERMUDA,7.4.2020.9.0.4,39.0,2.0,17.0,8586004
BERMUDA,7.4.2020.12.15.51,39.0,2.0,17.0,8597751
BERMUDA,7.4.2020.15.59.55,39.0,2.0,17.0,8611195
BERMUDA,7.4.2020.18.3.46,39.0,2.0,17.0,8618626
BERMUDA,7.4.2020.21.32.15,39.0,2.0,17.0,8631135
BERMUDA,8.4.2020.0.0.4,39.0,2.0,17.0,8640004
BERMUDA,8.4.2020.9.0.46,39.0,2.0,17.0,8672446
BERMUDA,8.4.2020.12.21.18,39.0,2.0,17.0,8684478
BERMUDA,8.4.2020.15.4.46,39.0,2.0,17.0,8694286
BERMUDA,8.4.2020.18.11.16,39.0,2.0,17.0,8705476
BERMUDA,8.4.2020.21.33.56,39.0,2.0,17.0,8717636
BERMUDA,9.4.2020.0.14.12,39.0,2.0,17.0,8727252
BERMUDA,9.4.2020.11.19.24,39.0,3.0,23.0,8767164
BERMUDA,9.4.2020.12.7.24,39.0,3.0,23.0,8770044
BERMUDA,9.4.2020.14.57.9,39.0,3.0,23.0,8780229
BERMUDA,9.4.2020.18.0.2,39.0,3.0,23.0,8791202
BERMUDA,10.4.2020.1.6.14,39.0,3.0,23.0,8816774
BERMUDA,10.4.2020.9.4.46,39.0,4.0,25.0,8845486
BERMUDA,10.4.2020.12.9.17,39.0,4.0,25.0,8856557
BERMUDA,10.4.2020.14.55.51,39.0,4.0,25.0,8866551
BERMUDA,10.4.2020.18.41.5,39.0,4.0,25.0,8880065
BERMUDA,10.4.2020.21.59.17,39.0,4.0,25.0,8891957
BERMUDA,11.4.2020.0.0.34,39.0,4.0,25.0,8899234
BERMUDA,11.4.2020.9.1.32,39.0,4.0,25.0,8931692
BERMUDA,11.4.2020.12.8.24,39.0,4.0,25.0,8942904
BERMUDA,11.4.2020.17.0.40,39.0,4.0,25.0,8960440
BERMUDA,11.4.2020.18.12.28,39.0,4.0,25.0,8964748
BERMUDA,11.4.2020.21.44.19,39.0,4.0,25.0,8977459
BERMUDA,11.4.2020.23.59.29,39.0,4.0,25.0,8985569
BERMUDA,12.4.2020.9.0.42,39.0,4.0,28.0,9018042
BERMUDA,12.4.2020.12.5.42,39.0,4.0,28.0,9029142
BERMUDA,12.4.2020.15.9.25,39.0,4.0,28.0,9040165
BERMUDA,12.4.2020.18.22.1,39.0,4.0,28.0,9051721
BERMUDA,12.4.2020.20.59.25,39.0,4.0,28.0,9061165
BERMUDA,13.4.2020.0.7.13,39.0,4.0,28.0,9072433
BERMUDA,13.4.2020.9.26.16,39.0,4.0,29.0,9105976
BERMUDA,13.4.2020.11.59.14,39.0,4.0,29.0,9115154
BERMUDA,13.4.2020.15.13.1,39.0,4.0,29.0,9126781
BERMUDA,13.4.2020.20.23.47,57.0,4.0,29.0,9145427
BERMUDA,13.4.2020.21.1.27,57.0,4.0,29.0,9147687
