Nation,Time,Confirmed Case,Death,Recover,timestamp
BOLIVIA,2020-04-03 14:30:10,132.0,9.0,1.0,8260210
BOLIVIA,2020-04-03 14:30:11,132.0,9.0,1.0,8260211
BOLIVIA,2020-04-03 17:30:12,132.0,9.0,1.0,8271012
BOLIVIA,2020-04-03 20:30:12,132.0,9.0,1.0,8281812
BOLIVIA,2020-04-03 23:30:19,132.0,9.0,1.0,8292619
BOLIVIA,2020-04-04 08:30:14,139.0,10.0,1.0,8325014
BOLIVIA,2020-04-04 11:30:14,139.0,10.0,1.0,8335814
BOLIVIA,2020-04-04 14:30:16,139.0,10.0,1.0,8346616
BOLIVIA,2020-04-04 17:30:18,139.0,10.0,2.0,8357418
BOLIVIA,2020-04-04 20:30:33,139.0,10.0,2.0,8368233
BOLIVIA,2020-04-04 23:30:05,139.0,10.0,2.0,8379005
BOLIVIA,2020-04-05 08:30:07,157.0,10.0,2.0,8411407
BOLIVIA,2020-04-05 11:30:03,157.0,10.0,2.0,8422203
BOLIVIA,2020-04-05 14:30:04,157.0,10.0,2.0,8433004
BOLIVIA,2020-04-05 17:40:33,157.0,10.0,2.0,8444433
BOLIVIA,2020-04-05 20:33:28,157.0,10.0,2.0,8454808
BOLIVIA,2020-04-05 23:30:02,157.0,10.0,2.0,8465402
BOLIVIA,2020-04-06 08:37:49,183.0,11.0,2.0,8498269
BOLIVIA,2020-04-06 11:30:05,183.0,11.0,2.0,8508605
BOLIVIA,2020-04-06 14:44:21,183.0,11.0,2.0,8520261
BOLIVIA,2020-04-06 17:30:04,183.0,11.0,2.0,8530204
BOLIVIA,2020-04-06 21:00:44,183.0,11.0,2.0,8542844
BOLIVIA,2020-04-07 00:00:03,183.0,11.0,2.0,8553603
BOLIVIA,2020-04-07 09:00:04,194.0,14.0,2.0,8586004
BOLIVIA,2020-04-07 12:15:51,194.0,14.0,2.0,8597751
BOLIVIA,2020-04-07 15:59:55,194.0,14.0,2.0,8611195
