Nation,Time,Confirmed Case,Death,Recover,timestamp
BURUNDI,3.4.2020.14.30.10,3.0,0.0,0.0,8260210
BURUNDI,3.4.2020.14.30.11,3.0,0.0,0.0,8260211
BURUNDI,3.4.2020.17.30.12,3.0,0.0,0.0,8271012
BURUNDI,3.4.2020.20.30.12,3.0,0.0,0.0,8281812
BURUNDI,3.4.2020.23.30.19,3.0,0.0,0.0,8292619
BURUNDI,4.4.2020.8.30.14,3.0,0.0,0.0,8325014
BURUNDI,4.4.2020.11.30.14,3.0,0.0,0.0,8335814
BURUNDI,4.4.2020.14.30.16,3.0,0.0,0.0,8346616
BURUNDI,4.4.2020.17.30.18,3.0,0.0,0.0,8357418
BURUNDI,4.4.2020.20.30.33,3.0,0.0,0.0,8368233
BURUNDI,4.4.2020.23.30.5,3.0,0.0,0.0,8379005
BURUNDI,5.4.2020.8.30.7,3.0,0.0,0.0,8411407
BURUNDI,5.4.2020.11.30.3,3.0,0.0,0.0,8422203
BURUNDI,5.4.2020.14.30.4,3.0,0.0,0.0,8433004
BURUNDI,5.4.2020.17.40.33,3.0,0.0,0.0,8444433
BURUNDI,5.4.2020.20.33.28,3.0,0.0,0.0,8454808
BURUNDI,5.4.2020.23.30.2,3.0,0.0,0.0,8465402
BURUNDI,6.4.2020.8.37.49,3.0,0.0,0.0,8498269
BURUNDI,6.4.2020.11.30.5,3.0,0.0,0.0,8508605
BURUNDI,6.4.2020.14.44.21,3.0,0.0,0.0,8520261
BURUNDI,6.4.2020.17.30.4,3.0,0.0,0.0,8530204
BURUNDI,6.4.2020.21.0.44,3.0,0.0,0.0,8542844
BURUNDI,7.4.2020.0.0.3,3.0,0.0,0.0,8553603
BURUNDI,7.4.2020.9.0.4,3.0,0.0,0.0,8586004
BURUNDI,7.4.2020.12.15.51,3.0,0.0,0.0,8597751
BURUNDI,7.4.2020.15.59.55,3.0,0.0,0.0,8611195
BURUNDI,7.4.2020.18.3.46,3.0,0.0,0.0,8618626
BURUNDI,7.4.2020.21.32.15,3.0,0.0,0.0,8631135
BURUNDI,8.4.2020.0.0.4,3.0,0.0,0.0,8640004
BURUNDI,8.4.2020.9.0.46,3.0,0.0,0.0,8672446
BURUNDI,8.4.2020.12.21.18,3.0,0.0,0.0,8684478
BURUNDI,8.4.2020.15.4.46,3.0,0.0,0.0,8694286
BURUNDI,8.4.2020.18.11.16,3.0,0.0,0.0,8705476
BURUNDI,8.4.2020.21.33.56,3.0,0.0,0.0,8717636
BURUNDI,9.4.2020.0.14.12,3.0,0.0,0.0,8727252
BURUNDI,9.4.2020.11.19.24,3.0,0.0,0.0,8767164
BURUNDI,9.4.2020.12.7.24,3.0,0.0,0.0,8770044
BURUNDI,9.4.2020.14.57.9,3.0,0.0,0.0,8780229
BURUNDI,9.4.2020.18.0.2,3.0,0.0,0.0,8791202
BURUNDI,10.4.2020.1.6.14,3.0,0.0,0.0,8816774
BURUNDI,10.4.2020.9.4.46,3.0,0.0,0.0,8845486
BURUNDI,10.4.2020.12.9.17,3.0,0.0,0.0,8856557
BURUNDI,10.4.2020.14.55.51,3.0,0.0,0.0,8866551
BURUNDI,10.4.2020.18.41.5,3.0,0.0,0.0,8880065
BURUNDI,10.4.2020.21.59.17,3.0,0.0,0.0,8891957
BURUNDI,11.4.2020.0.0.34,3.0,0.0,0.0,8899234
BURUNDI,11.4.2020.9.1.32,3.0,0.0,0.0,8931692
BURUNDI,11.4.2020.12.8.24,3.0,0.0,0.0,8942904
BURUNDI,11.4.2020.17.0.40,3.0,0.0,0.0,8960440
BURUNDI,11.4.2020.18.12.28,3.0,0.0,0.0,8964748
BURUNDI,11.4.2020.21.44.19,3.0,0.0,0.0,8977459
BURUNDI,11.4.2020.23.59.29,5.0,0.0,0.0,8985569
BURUNDI,12.4.2020.9.0.42,5.0,0.0,0.0,9018042
BURUNDI,12.4.2020.12.5.42,5.0,0.0,0.0,9029142
BURUNDI,12.4.2020.15.9.25,5.0,0.0,0.0,9040165
BURUNDI,12.4.2020.18.22.1,5.0,0.0,0.0,9051721
BURUNDI,12.4.2020.20.59.25,5.0,0.0,0.0,9061165
BURUNDI,13.4.2020.0.7.13,5.0,0.0,0.0,9072433
BURUNDI,13.4.2020.9.26.16,5.0,0.0,0.0,9105976
BURUNDI,13.4.2020.11.59.14,5.0,0.0,0.0,9115154
BURUNDI,13.4.2020.15.13.1,5.0,0.0,0.0,9126781
BURUNDI,13.4.2020.20.23.47,5.0,1.0,0.0,9145427
BURUNDI,13.4.2020.21.1.27,5.0,1.0,0.0,9147687
BURUNDI,14.4.2020.0.30.40,5.0,1.0,0.0,9160240
BURUNDI,14.4.2020.9.9.9,5.0,1.0,0.0,9191349
BURUNDI,14.4.2020.12.13.23,5.0,1.0,0.0,9202403
BURUNDI,14.4.2020.15.49.28,5.0,1.0,0.0,9215368
BURUNDI,14.4.2020.18.27.14,5.0,1.0,0.0,9224834
BURUNDI,14.4.2020.21.18.50,5.0,1.0,0.0,9235130
BURUNDI,15.4.2020.0.7.14,5.0,1.0,0.0,9245234
BURUNDI,15.4.2020.9.0.9,5.0,1.0,0.0,9277209
BURUNDI,15.4.2020.14.56.18,5.0,1.0,0.0,9298578
BURUNDI,15.4.2020.19.52.38,5.0,1.0,0.0,9316358
BURUNDI,15.4.2020.21.18.33,5.0,1.0,0.0,9321513
BURUNDI,16.4.2020.0.51.15,5.0,1.0,0.0,9334275
BURUNDI,16.4.2020.9.4.51,5.0,1.0,0.0,9363891
BURUNDI,16.4.2020.12.5.8,5.0,1.0,0.0,9374708
