Nation,Time,Confirmed Case,Death,Recover,timestamp
CABO VERDE,2020-04-03 14:30:10,6.0,1.0,0.0,8260210
CABO VERDE,2020-04-03 14:30:11,6.0,1.0,0.0,8260211
CABO VERDE,2020-04-03 17:30:12,6.0,1.0,0.0,8271012
CABO VERDE,2020-04-03 20:30:12,6.0,1.0,0.0,8281812
CABO VERDE,2020-04-03 23:30:19,6.0,1.0,0.0,8292619
CABO VERDE,2020-04-04 08:30:14,6.0,1.0,0.0,8325014
CABO VERDE,2020-04-04 11:30:14,6.0,1.0,0.0,8335814
CABO VERDE,2020-04-04 14:30:16,6.0,1.0,0.0,8346616
CABO VERDE,2020-04-04 17:30:18,7.0,1.0,0.0,8357418
CABO VERDE,2020-04-04 20:30:33,7.0,1.0,0.0,8368233
CABO VERDE,2020-04-04 23:30:05,7.0,1.0,0.0,8379005
CABO VERDE,2020-04-05 08:30:07,7.0,1.0,0.0,8411407
CABO VERDE,2020-04-05 11:30:03,7.0,1.0,0.0,8422203
CABO VERDE,2020-04-05 14:30:04,7.0,1.0,0.0,8433004
CABO VERDE,2020-04-05 17:40:33,7.0,1.0,0.0,8444433
CABO VERDE,2020-04-05 20:33:28,7.0,1.0,0.0,8454808
CABO VERDE,2020-04-05 23:30:02,7.0,1.0,0.0,8465402
CABO VERDE,2020-04-06 08:37:49,7.0,1.0,0.0,8498269
CABO VERDE,2020-04-06 11:30:05,7.0,1.0,0.0,8508605
CABO VERDE,2020-04-06 14:44:21,7.0,1.0,0.0,8520261
CABO VERDE,2020-04-06 17:30:04,7.0,1.0,1.0,8530204
CABO VERDE,2020-04-06 21:00:44,7.0,1.0,1.0,8542844
CABO VERDE,2020-04-07 00:00:03,7.0,1.0,1.0,8553603
CABO VERDE,2020-04-07 09:00:04,7.0,1.0,1.0,8586004
CABO VERDE,2020-04-07 12:15:51,7.0,1.0,1.0,8597751
CABO VERDE,2020-04-07 15:59:55,7.0,1.0,1.0,8611195
CABO VERDE,2020-04-07 18:03:46,7.0,1.0,1.0,8618626
CABO VERDE,2020-04-07 21:32:15,7.0,1.0,1.0,8631135
CABO VERDE,2020-04-08 00:00:04,7.0,1.0,1.0,8640004
CABO VERDE,2020-04-08 09:00:46,7.0,1.0,1.0,8672446
CABO VERDE,2020-04-08 12:21:18,7.0,1.0,1.0,8684478
CABO VERDE,2020-04-08 15:04:46,7.0,1.0,1.0,8694286
CABO VERDE,2020-04-08 18:11:16,7.0,1.0,1.0,8705476
CABO VERDE,2020-04-08 21:33:56,7.0,1.0,1.0,8717636
CABO VERDE,2020-04-09 00:14:12,7.0,1.0,1.0,8727252
CABO VERDE,2020-04-09 11:19:24,7.0,1.0,1.0,8767164
CABO VERDE,2020-04-09 12:07:24,7.0,1.0,1.0,8770044
CABO VERDE,2020-04-09 14:57:09,7.0,1.0,1.0,8780229
CABO VERDE,2020-04-09 18:00:02,7.0,1.0,1.0,8791202
CABO VERDE,2020-04-10 01:06:14,7.0,1.0,1.0,8816774
CABO VERDE,2020-04-10 09:04:46,7.0,1.0,1.0,8845486
CABO VERDE,2020-04-10 12:09:17,7.0,1.0,1.0,8856557
CABO VERDE,2020-04-10 14:55:51,7.0,1.0,1.0,8866551
CABO VERDE,2020-04-10 18:41:05,7.0,1.0,1.0,8880065
CABO VERDE,2020-04-10 21:59:17,7.0,1.0,1.0,8891957
CABO VERDE,2020-04-11 00:00:34,7.0,1.0,1.0,8899234
CABO VERDE,2020-04-11 09:01:32,7.0,1.0,1.0,8931692
CABO VERDE,2020-04-11 12:08:24,7.0,1.0,1.0,8942904
CABO VERDE,2020-04-11 17:00:40,7.0,1.0,1.0,8960440
CABO VERDE,2020-04-11 18:12:28,7.0,1.0,1.0,8964748
CABO VERDE,2020-04-11 21:44:19,8.0,1.0,1.0,8977459
CABO VERDE,2020-04-11 23:59:29,8.0,1.0,1.0,8985569
CABO VERDE,2020-04-12 09:00:42,8.0,1.0,1.0,9018042
CABO VERDE,2020-04-12 12:05:42,8.0,1.0,1.0,9029142
CABO VERDE,2020-04-12 15:09:25,8.0,1.0,1.0,9040165
CABO VERDE,2020-04-12 18:22:01,8.0,1.0,1.0,9051721
CABO VERDE,2020-04-12 20:59:25,8.0,1.0,1.0,9061165
CABO VERDE,2020-04-13 00:07:13,8.0,1.0,1.0,9072433
CABO VERDE,2020-04-13 09:26:16,8.0,1.0,1.0,9105976
CABO VERDE,2020-04-13 11:59:14,8.0,1.0,1.0,9115154
CABO VERDE,2020-04-13 15:13:01,8.0,1.0,1.0,9126781
CABO VERDE,2020-04-13 20:23:47,10.0,1.0,1.0,9145427
CABO VERDE,2020-04-13 21:01:27,10.0,1.0,1.0,9147687
CABO VERDE,2020-04-14 00:30:40,10.0,1.0,1.0,9160240
CABO VERDE,2020-04-14 09:09:09,10.0,1.0,1.0,9191349
CABO VERDE,2020-04-14 12:13:23,10.0,1.0,1.0,9202403
CABO VERDE,2020-04-14 15:49:28,10.0,1.0,1.0,9215368
CABO VERDE,2020-04-14 18:27:14,10.0,1.0,1.0,9224834
