Nation,Time,Confirmed Case,Death,Recover,timestamp
CAMBODIA,3.4.2020.14.30.10,114.0,0.0,35.0,8260210
CAMBODIA,3.4.2020.14.30.11,114.0,0.0,35.0,8260211
CAMBODIA,3.4.2020.17.30.12,114.0,0.0,35.0,8271012
CAMBODIA,3.4.2020.20.30.12,114.0,0.0,35.0,8281812
CAMBODIA,3.4.2020.23.30.19,114.0,0.0,35.0,8292619
CAMBODIA,4.4.2020.8.30.14,114.0,0.0,35.0,8325014
CAMBODIA,4.4.2020.11.30.14,114.0,0.0,50.0,8335814
CAMBODIA,4.4.2020.14.30.16,114.0,0.0,50.0,8346616
CAMBODIA,4.4.2020.17.30.18,114.0,0.0,50.0,8357418
CAMBODIA,4.4.2020.20.30.33,114.0,0.0,50.0,8368233
CAMBODIA,4.4.2020.23.30.5,114.0,0.0,50.0,8379005
CAMBODIA,5.4.2020.8.30.7,114.0,0.0,50.0,8411407
CAMBODIA,5.4.2020.11.30.3,114.0,0.0,50.0,8422203
CAMBODIA,5.4.2020.14.30.4,114.0,0.0,50.0,8433004
CAMBODIA,5.4.2020.17.40.33,114.0,0.0,50.0,8444433
CAMBODIA,5.4.2020.20.33.28,114.0,0.0,50.0,8454808
CAMBODIA,5.4.2020.23.30.2,114.0,0.0,50.0,8465402
CAMBODIA,6.4.2020.8.37.49,114.0,0.0,50.0,8498269
CAMBODIA,6.4.2020.11.30.5,114.0,0.0,53.0,8508605
CAMBODIA,6.4.2020.14.44.21,114.0,0.0,53.0,8520261
CAMBODIA,6.4.2020.17.30.4,114.0,0.0,53.0,8530204
CAMBODIA,6.4.2020.21.0.44,114.0,0.0,53.0,8542844
CAMBODIA,7.4.2020.0.0.3,114.0,0.0,53.0,8553603
CAMBODIA,7.4.2020.9.0.4,114.0,0.0,53.0,8586004
CAMBODIA,7.4.2020.12.15.51,115.0,0.0,58.0,8597751
CAMBODIA,7.4.2020.15.59.55,115.0,0.0,58.0,8611195
CAMBODIA,7.4.2020.18.3.46,115.0,0.0,58.0,8618626
CAMBODIA,7.4.2020.21.32.15,115.0,0.0,58.0,8631135
CAMBODIA,8.4.2020.0.0.4,115.0,0.0,58.0,8640004
CAMBODIA,8.4.2020.9.0.46,117.0,0.0,63.0,8672446
CAMBODIA,8.4.2020.12.21.18,117.0,0.0,63.0,8684478
CAMBODIA,8.4.2020.15.4.46,117.0,0.0,63.0,8694286
CAMBODIA,8.4.2020.18.11.16,117.0,0.0,63.0,8705476
CAMBODIA,8.4.2020.21.33.56,117.0,0.0,63.0,8717636
CAMBODIA,9.4.2020.0.14.12,117.0,0.0,63.0,8727252
CAMBODIA,9.4.2020.11.19.24,117.0,0.0,63.0,8767164
CAMBODIA,9.4.2020.12.7.24,117.0,0.0,63.0,8770044
CAMBODIA,9.4.2020.14.57.9,117.0,0.0,63.0,8780229
CAMBODIA,9.4.2020.18.0.2,117.0,0.0,63.0,8791202
CAMBODIA,10.4.2020.1.6.14,119.0,0.0,63.0,8816774
CAMBODIA,10.4.2020.9.4.46,119.0,0.0,63.0,8845486
CAMBODIA,10.4.2020.12.9.17,119.0,0.0,72.0,8856557
CAMBODIA,10.4.2020.14.55.51,119.0,0.0,72.0,8866551
CAMBODIA,10.4.2020.18.41.5,119.0,0.0,72.0,8880065
CAMBODIA,10.4.2020.21.59.17,119.0,0.0,72.0,8891957
CAMBODIA,11.4.2020.0.0.34,119.0,0.0,72.0,8899234
CAMBODIA,11.4.2020.9.1.32,119.0,0.0,72.0,8931692
CAMBODIA,11.4.2020.12.8.24,120.0,0.0,75.0,8942904
CAMBODIA,11.4.2020.17.0.40,120.0,0.0,75.0,8960440
CAMBODIA,11.4.2020.18.12.28,120.0,0.0,75.0,8964748
CAMBODIA,11.4.2020.21.44.19,120.0,0.0,75.0,8977459
CAMBODIA,11.4.2020.23.59.29,120.0,0.0,75.0,8985569
CAMBODIA,12.4.2020.9.0.42,122.0,0.0,77.0,9018042
CAMBODIA,12.4.2020.12.5.42,122.0,0.0,77.0,9029142
CAMBODIA,12.4.2020.15.9.25,122.0,0.0,77.0,9040165
CAMBODIA,12.4.2020.18.22.1,122.0,0.0,77.0,9051721
CAMBODIA,12.4.2020.20.59.25,122.0,0.0,77.0,9061165
CAMBODIA,13.4.2020.0.7.13,122.0,0.0,77.0,9072433
CAMBODIA,13.4.2020.9.26.16,122.0,0.0,77.0,9105976
CAMBODIA,13.4.2020.11.59.14,122.0,0.0,77.0,9115154
