Nation,Time,Confirmed Case,Death,Recover,timestamp
CAYMAN ISLAND,3.4.2020.14.30.10,28.0,1.0,0.0,8260210
CAYMAN ISLAND,3.4.2020.14.30.11,28.0,1.0,0.0,8260211
CAYMAN ISLAND,3.4.2020.17.30.12,28.0,1.0,0.0,8271012
CAYMAN ISLAND,3.4.2020.20.30.12,28.0,1.0,0.0,8281812
CAYMAN ISLAND,3.4.2020.23.30.19,28.0,1.0,0.0,8292619
CAYMAN ISLAND,4.4.2020.8.30.14,29.0,1.0,1.0,8325014
CAYMAN ISLAND,4.4.2020.11.30.14,29.0,1.0,1.0,8335814
CAYMAN ISLAND,4.4.2020.14.30.16,29.0,1.0,1.0,8346616
CAYMAN ISLAND,4.4.2020.17.30.18,29.0,1.0,1.0,8357418
CAYMAN ISLAND,4.4.2020.20.30.33,29.0,1.0,1.0,8368233
CAYMAN ISLAND,4.4.2020.23.30.5,29.0,1.0,1.0,8379005
CAYMAN ISLAND,5.4.2020.8.30.7,35.0,1.0,1.0,8411407
CAYMAN ISLAND,5.4.2020.11.30.3,35.0,1.0,1.0,8422203
CAYMAN ISLAND,5.4.2020.14.30.4,35.0,1.0,1.0,8433004
CAYMAN ISLAND,5.4.2020.17.40.33,35.0,1.0,1.0,8444433
CAYMAN ISLAND,5.4.2020.20.33.28,35.0,1.0,1.0,8454808
CAYMAN ISLAND,5.4.2020.23.30.2,35.0,1.0,1.0,8465402
CAYMAN ISLAND,6.4.2020.8.37.49,39.0,1.0,1.0,8498269
CAYMAN ISLAND,6.4.2020.11.30.5,39.0,1.0,1.0,8508605
CAYMAN ISLAND,6.4.2020.14.44.21,39.0,1.0,1.0,8520261
CAYMAN ISLAND,6.4.2020.17.30.4,39.0,1.0,1.0,8530204
CAYMAN ISLAND,6.4.2020.21.0.44,39.0,1.0,1.0,8542844
CAYMAN ISLAND,7.4.2020.0.0.3,39.0,1.0,1.0,8553603
CAYMAN ISLAND,7.4.2020.9.0.4,39.0,1.0,1.0,8586004
CAYMAN ISLAND,7.4.2020.12.15.51,39.0,1.0,1.0,8597751
CAYMAN ISLAND,7.4.2020.15.59.55,39.0,1.0,1.0,8611195
CAYMAN ISLAND,7.4.2020.18.3.46,39.0,1.0,1.0,8618626
CAYMAN ISLAND,7.4.2020.21.32.15,39.0,1.0,1.0,8631135
CAYMAN ISLAND,8.4.2020.0.0.4,39.0,1.0,1.0,8640004
CAYMAN ISLAND,8.4.2020.9.0.46,45.0,1.0,6.0,8672446
CAYMAN ISLAND,8.4.2020.12.21.18,45.0,1.0,6.0,8684478
CAYMAN ISLAND,8.4.2020.15.4.46,45.0,1.0,6.0,8694286
CAYMAN ISLAND,8.4.2020.18.11.16,45.0,1.0,6.0,8705476
CAYMAN ISLAND,8.4.2020.21.33.56,45.0,1.0,6.0,8717636
CAYMAN ISLAND,9.4.2020.0.14.12,45.0,1.0,6.0,8727252
CAYMAN ISLAND,9.4.2020.11.19.24,45.0,1.0,6.0,8767164
CAYMAN ISLAND,9.4.2020.12.7.24,45.0,1.0,6.0,8770044
CAYMAN ISLAND,9.4.2020.14.57.9,45.0,1.0,6.0,8780229
CAYMAN ISLAND,9.4.2020.18.0.2,45.0,1.0,6.0,8791202
CAYMAN ISLAND,10.4.2020.1.6.14,45.0,1.0,6.0,8816774
CAYMAN ISLAND,10.4.2020.9.4.46,45.0,1.0,6.0,8845486
