Nation,Time,Confirmed Case,Death,Recover,timestamp
CHAD,2020-04-03 14:30:10,8.0,0.0,0.0,8260210
CHAD,2020-04-03 14:30:11,8.0,0.0,0.0,8260211
CHAD,2020-04-03 17:30:12,8.0,0.0,0.0,8271012
CHAD,2020-04-03 20:30:12,8.0,0.0,0.0,8281812
CHAD,2020-04-03 23:30:19,8.0,0.0,0.0,8292619
CHAD,2020-04-04 08:30:14,8.0,0.0,0.0,8325014
CHAD,2020-04-04 11:30:14,8.0,0.0,0.0,8335814
CHAD,2020-04-04 14:30:16,9.0,0.0,0.0,8346616
CHAD,2020-04-04 17:30:18,9.0,0.0,0.0,8357418
CHAD,2020-04-04 20:30:33,9.0,0.0,0.0,8368233
CHAD,2020-04-04 23:30:05,9.0,0.0,0.0,8379005
CHAD,2020-04-05 08:30:07,9.0,0.0,0.0,8411407
CHAD,2020-04-05 11:30:03,9.0,0.0,0.0,8422203
CHAD,2020-04-05 14:30:04,9.0,0.0,0.0,8433004
CHAD,2020-04-05 17:40:33,9.0,0.0,0.0,8444433
CHAD,2020-04-05 20:33:28,9.0,0.0,0.0,8454808
CHAD,2020-04-05 23:30:02,9.0,0.0,0.0,8465402
CHAD,2020-04-06 08:37:49,9.0,0.0,0.0,8498269
CHAD,2020-04-06 11:30:05,9.0,0.0,0.0,8508605
CHAD,2020-04-06 14:44:21,9.0,0.0,0.0,8520261
CHAD,2020-04-06 17:30:04,9.0,0.0,0.0,8530204
CHAD,2020-04-06 21:00:44,9.0,0.0,0.0,8542844
CHAD,2020-04-07 00:00:03,9.0,0.0,0.0,8553603
CHAD,2020-04-07 09:00:04,9.0,0.0,0.0,8586004
CHAD,2020-04-07 12:15:51,9.0,0.0,0.0,8597751
CHAD,2020-04-07 15:59:55,9.0,0.0,0.0,8611195
CHAD,2020-04-07 18:03:46,9.0,0.0,0.0,8618626
CHAD,2020-04-07 21:32:15,10.0,0.0,2.0,8631135
CHAD,2020-04-08 00:00:04,10.0,0.0,2.0,8640004
CHAD,2020-04-08 09:00:46,10.0,0.0,2.0,8672446
CHAD,2020-04-08 12:21:18,10.0,0.0,2.0,8684478
CHAD,2020-04-08 15:04:46,10.0,0.0,2.0,8694286
CHAD,2020-04-08 18:11:16,10.0,0.0,2.0,8705476
CHAD,2020-04-08 21:33:56,10.0,0.0,2.0,8717636
CHAD,2020-04-09 00:14:12,10.0,0.0,2.0,8727252
CHAD,2020-04-09 11:19:24,10.0,0.0,2.0,8767164
CHAD,2020-04-09 12:07:24,10.0,0.0,2.0,8770044
CHAD,2020-04-09 14:57:09,10.0,0.0,2.0,8780229
CHAD,2020-04-09 18:00:02,10.0,0.0,2.0,8791202
CHAD,2020-04-10 01:06:14,11.0,0.0,2.0,8816774
CHAD,2020-04-10 09:04:46,11.0,0.0,2.0,8845486
CHAD,2020-04-10 12:09:17,11.0,0.0,2.0,8856557
CHAD,2020-04-10 14:55:51,11.0,0.0,2.0,8866551
CHAD,2020-04-10 18:41:05,11.0,0.0,2.0,8880065
CHAD,2020-04-10 21:59:17,11.0,0.0,2.0,8891957
CHAD,2020-04-11 00:00:34,11.0,0.0,2.0,8899234
CHAD,2020-04-11 09:01:32,11.0,0.0,2.0,8931692
CHAD,2020-04-11 12:08:24,11.0,0.0,2.0,8942904
CHAD,2020-04-11 17:00:40,11.0,0.0,2.0,8960440
CHAD,2020-04-11 18:12:28,11.0,0.0,2.0,8964748
CHAD,2020-04-11 21:44:19,11.0,0.0,2.0,8977459
CHAD,2020-04-11 23:59:29,11.0,0.0,2.0,8985569
CHAD,2020-04-12 09:00:42,11.0,0.0,2.0,9018042
CHAD,2020-04-12 12:05:42,11.0,0.0,2.0,9029142
CHAD,2020-04-12 15:09:25,11.0,0.0,2.0,9040165
CHAD,2020-04-12 18:22:01,11.0,0.0,2.0,9051721
CHAD,2020-04-12 20:59:25,18.0,0.0,2.0,9061165
CHAD,2020-04-13 00:07:13,18.0,0.0,2.0,9072433
CHAD,2020-04-13 09:26:16,18.0,0.0,2.0,9105976
CHAD,2020-04-13 11:59:14,18.0,0.0,2.0,9115154
CHAD,2020-04-13 15:13:01,18.0,0.0,2.0,9126781
CHAD,2020-04-13 20:23:47,18.0,0.0,2.0,9145427
CHAD,2020-04-13 21:01:27,18.0,0.0,2.0,9147687
CHAD,2020-04-14 00:30:40,23.0,0.0,2.0,9160240
CHAD,2020-04-14 09:09:09,23.0,0.0,2.0,9191349
CHAD,2020-04-14 12:13:23,23.0,0.0,2.0,9202403
CHAD,2020-04-14 15:49:28,23.0,0.0,2.0,9215368
CHAD,2020-04-14 18:27:14,23.0,0.0,2.0,9224834
CHAD,2020-04-14 21:18:50,23.0,0.0,2.0,9235130
CHAD,2020-04-15 00:07:14,23.0,0.0,2.0,9245234
CHAD,2020-04-15 09:00:09,23.0,0.0,2.0,9277209
CHAD,2020-04-15 14:56:18,23.0,0.0,2.0,9298578
CHAD,2020-04-15 19:52:38,23.0,0.0,2.0,9316358
CHAD,2020-04-15 21:18:33,23.0,0.0,2.0,9321513
CHAD,2020-04-16 00:51:15,23.0,0.0,2.0,9334275
CHAD,2020-04-16 09:04:51,23.0,0.0,2.0,9363891
CHAD,2020-04-16 12:05:08,23.0,0.0,2.0,9374708
CHAD,2020-04-16 14:57:08,27.0,0.0,5.0,9385028
CHAD,2020-04-16 17:58:25,27.0,0.0,5.0,9395905
CHAD,2020-04-16 22:41:20,27.0,0.0,5.0,9412880
CHAD,2020-04-17 01:32:36,27.0,0.0,5.0,9423156
CHAD,2020-04-17 09:11:04,27.0,0.0,5.0,9450664
CHAD,2020-04-17 12:02:01,27.0,0.0,5.0,9460921
