Nation,Time,Confirmed Case,Death,Recover,timestamp
CHANNEL ISLANDS,3.4.2020.14.30.10,193.0,3.0,0.0,8260210
CHANNEL ISLANDS,3.4.2020.14.30.11,193.0,3.0,0.0,8260211
CHANNEL ISLANDS,3.4.2020.17.30.12,193.0,3.0,0.0,8271012
CHANNEL ISLANDS,3.4.2020.20.30.12,232.0,4.0,13.0,8281812
CHANNEL ISLANDS,3.4.2020.23.30.19,232.0,4.0,13.0,8292619
CHANNEL ISLANDS,4.4.2020.8.30.14,232.0,4.0,13.0,8325014
CHANNEL ISLANDS,4.4.2020.11.30.14,232.0,4.0,13.0,8335814
CHANNEL ISLANDS,4.4.2020.14.30.16,232.0,4.0,13.0,8346616
CHANNEL ISLANDS,4.4.2020.17.30.18,232.0,5.0,13.0,8357418
CHANNEL ISLANDS,4.4.2020.20.30.33,232.0,5.0,13.0,8368233
CHANNEL ISLANDS,4.4.2020.23.30.5,232.0,5.0,13.0,8379005
CHANNEL ISLANDS,5.4.2020.8.30.7,262.0,5.0,13.0,8411407
CHANNEL ISLANDS,5.4.2020.11.30.3,262.0,5.0,13.0,8422203
CHANNEL ISLANDS,5.4.2020.14.30.4,262.0,5.0,13.0,8433004
CHANNEL ISLANDS,5.4.2020.17.40.33,262.0,5.0,13.0,8444433
CHANNEL ISLANDS,5.4.2020.20.33.28,262.0,5.0,13.0,8454808
CHANNEL ISLANDS,5.4.2020.23.30.2,280.0,6.0,27.0,8465402
CHANNEL ISLANDS,6.4.2020.8.37.49,309.0,6.0,27.0,8498269
CHANNEL ISLANDS,6.4.2020.11.30.5,309.0,6.0,27.0,8508605
CHANNEL ISLANDS,6.4.2020.14.44.21,309.0,6.0,27.0,8520261
CHANNEL ISLANDS,6.4.2020.17.30.4,309.0,6.0,27.0,8530204
CHANNEL ISLANDS,6.4.2020.21.0.44,309.0,6.0,27.0,8542844
CHANNEL ISLANDS,7.4.2020.0.0.3,323.0,7.0,27.0,8553603
CHANNEL ISLANDS,7.4.2020.9.0.4,323.0,7.0,27.0,8586004
CHANNEL ISLANDS,7.4.2020.12.15.51,323.0,7.0,27.0,8597751
CHANNEL ISLANDS,7.4.2020.15.59.55,334.0,7.0,27.0,8611195
CHANNEL ISLANDS,7.4.2020.18.3.46,334.0,7.0,27.0,8618626
CHANNEL ISLANDS,7.4.2020.21.32.15,335.0,7.0,34.0,8631135
CHANNEL ISLANDS,8.4.2020.0.0.4,335.0,7.0,34.0,8640004
CHANNEL ISLANDS,8.4.2020.9.0.46,335.0,7.0,34.0,8672446
CHANNEL ISLANDS,8.4.2020.12.21.18,335.0,7.0,34.0,8684478
CHANNEL ISLANDS,8.4.2020.15.4.46,335.0,7.0,34.0,8694286
CHANNEL ISLANDS,8.4.2020.18.11.16,335.0,7.0,34.0,8705476
CHANNEL ISLANDS,8.4.2020.21.33.56,335.0,7.0,34.0,8717636
CHANNEL ISLANDS,9.4.2020.0.14.12,351.0,8.0,38.0,8727252
CHANNEL ISLANDS,9.4.2020.11.19.24,351.0,8.0,38.0,8767164
CHANNEL ISLANDS,9.4.2020.12.7.24,351.0,8.0,38.0,8770044
CHANNEL ISLANDS,9.4.2020.14.57.9,351.0,8.0,38.0,8780229
CHANNEL ISLANDS,9.4.2020.18.0.2,351.0,8.0,38.0,8791202
CHANNEL ISLANDS,10.4.2020.1.6.14,361.0,8.0,40.0,8816774
CHANNEL ISLANDS,10.4.2020.9.4.46,361.0,8.0,40.0,8845486
CHANNEL ISLANDS,10.4.2020.12.9.17,361.0,8.0,40.0,8856557
CHANNEL ISLANDS,10.4.2020.14.55.51,361.0,8.0,40.0,8866551
CHANNEL ISLANDS,10.4.2020.18.41.5,361.0,8.0,40.0,8880065
CHANNEL ISLANDS,10.4.2020.21.59.17,361.0,8.0,40.0,8891957
CHANNEL ISLANDS,11.4.2020.0.0.34,398.0,9.0,40.0,8899234
CHANNEL ISLANDS,11.4.2020.9.1.32,398.0,9.0,40.0,8931692
CHANNEL ISLANDS,11.4.2020.12.8.24,398.0,9.0,40.0,8942904
CHANNEL ISLANDS,11.4.2020.17.0.40,398.0,9.0,40.0,8960440
CHANNEL ISLANDS,11.4.2020.18.12.28,398.0,9.0,40.0,8964748
CHANNEL ISLANDS,11.4.2020.21.44.19,398.0,9.0,40.0,8977459
CHANNEL ISLANDS,11.4.2020.23.59.29,398.0,9.0,40.0,8985569
CHANNEL ISLANDS,12.4.2020.9.0.42,407.0,9.0,48.0,9018042
CHANNEL ISLANDS,12.4.2020.12.5.42,407.0,9.0,48.0,9029142
CHANNEL ISLANDS,12.4.2020.15.9.25,407.0,9.0,48.0,9040165
CHANNEL ISLANDS,12.4.2020.18.22.1,407.0,9.0,48.0,9051721
CHANNEL ISLANDS,12.4.2020.20.59.25,407.0,9.0,48.0,9061165
CHANNEL ISLANDS,13.4.2020.0.7.13,407.0,9.0,48.0,9072433
CHANNEL ISLANDS,13.4.2020.9.26.16,431.0,9.0,48.0,9105976
CHANNEL ISLANDS,13.4.2020.11.59.14,431.0,9.0,48.0,9115154
CHANNEL ISLANDS,13.4.2020.15.13.1,431.0,9.0,48.0,9126781
CHANNEL ISLANDS,13.4.2020.20.23.47,431.0,9.0,48.0,9145427
CHANNEL ISLANDS,13.4.2020.21.1.27,431.0,9.0,48.0,9147687
CHANNEL ISLANDS,14.4.2020.0.30.40,436.0,9.0,48.0,9160240
CHANNEL ISLANDS,14.4.2020.9.9.9,436.0,9.0,48.0,9191349
CHANNEL ISLANDS,14.4.2020.12.13.23,436.0,9.0,48.0,9202403
CHANNEL ISLANDS,14.4.2020.15.49.28,436.0,9.0,48.0,9215368
CHANNEL ISLANDS,14.4.2020.18.27.14,436.0,9.0,48.0,9224834
CHANNEL ISLANDS,14.4.2020.21.18.50,436.0,9.0,48.0,9235130
CHANNEL ISLANDS,15.4.2020.0.7.14,436.0,9.0,48.0,9245234
CHANNEL ISLANDS,15.4.2020.9.0.9,440.0,13.0,48.0,9277209
CHANNEL ISLANDS,15.4.2020.14.56.18,440.0,13.0,48.0,9298578
CHANNEL ISLANDS,15.4.2020.19.52.38,445.0,13.0,69.0,9316358
CHANNEL ISLANDS,15.4.2020.21.18.33,445.0,13.0,69.0,9321513
CHANNEL ISLANDS,16.4.2020.0.51.15,447.0,15.0,69.0,9334275
CHANNEL ISLANDS,16.4.2020.9.4.51,447.0,15.0,69.0,9363891
CHANNEL ISLANDS,16.4.2020.12.5.8,447.0,15.0,69.0,9374708
CHANNEL ISLANDS,16.4.2020.14.57.8,447.0,15.0,69.0,9385028
CHANNEL ISLANDS,16.4.2020.17.58.25,447.0,15.0,69.0,9395905
CHANNEL ISLANDS,16.4.2020.22.41.20,447.0,15.0,69.0,9412880
CHANNEL ISLANDS,17.4.2020.1.32.36,447.0,15.0,69.0,9423156
CHANNEL ISLANDS,17.4.2020.9.11.4,457.0,19.0,73.0,9450664
CHANNEL ISLANDS,17.4.2020.12.2.1,457.0,19.0,73.0,9460921
CHANNEL ISLANDS,17.4.2020.14.56.35,457.0,19.0,73.0,9471395
CHANNEL ISLANDS,17.4.2020.18.39.21,457.0,19.0,73.0,9484761
CHANNEL ISLANDS,17.4.2020.22.45.21,470.0,20.0,73.0,9499521
CHANNEL ISLANDS,18.4.2020.8.54.14,470.0,20.0,73.0,9536054
CHANNEL ISLANDS,18.4.2020.13.55.54,470.0,20.0,73.0,9554154
CHANNEL ISLANDS,18.4.2020.15.41.6,470.0,20.0,73.0,9560466
CHANNEL ISLANDS,18.4.2020.18.3.48,470.0,20.0,73.0,9569028
CHANNEL ISLANDS,19.4.2020.0.17.39,470.0,20.0,73.0,9591459
