Nation,Time,Confirmed Case,Death,Recover,timestamp
COLOMBIA,2020-04-03 14:30:10,1161.0,19.0,55.0,8260210
COLOMBIA,2020-04-03 14:30:11,1161.0,19.0,55.0,8260211
COLOMBIA,2020-04-03 17:30:12,1161.0,19.0,55.0,8271012
COLOMBIA,2020-04-03 20:30:12,1161.0,19.0,55.0,8281812
COLOMBIA,2020-04-03 23:30:19,1161.0,19.0,55.0,8292619
COLOMBIA,2020-04-04 08:30:14,1267.0,25.0,55.0,8325014
COLOMBIA,2020-04-04 11:30:14,1267.0,25.0,55.0,8335814
COLOMBIA,2020-04-04 14:30:16,1267.0,25.0,55.0,8346616
COLOMBIA,2020-04-04 17:30:18,1267.0,25.0,55.0,8357418
COLOMBIA,2020-04-04 20:30:33,1267.0,25.0,55.0,8368233
COLOMBIA,2020-04-04 23:30:05,1267.0,25.0,55.0,8379005
COLOMBIA,2020-04-05 08:30:07,1406.0,32.0,85.0,8411407
COLOMBIA,2020-04-05 11:30:03,1406.0,32.0,85.0,8422203
COLOMBIA,2020-04-05 14:30:04,1406.0,32.0,85.0,8433004
COLOMBIA,2020-04-05 17:40:33,1406.0,32.0,85.0,8444433
COLOMBIA,2020-04-05 20:33:28,1406.0,32.0,85.0,8454808
COLOMBIA,2020-04-05 23:30:02,1406.0,32.0,85.0,8465402
COLOMBIA,2020-04-06 08:37:49,1485.0,35.0,88.0,8498269
COLOMBIA,2020-04-06 11:30:05,1485.0,35.0,88.0,8508605
COLOMBIA,2020-04-06 14:44:21,1485.0,35.0,88.0,8520261
COLOMBIA,2020-04-06 17:30:04,1485.0,35.0,88.0,8530204
COLOMBIA,2020-04-06 21:00:44,1485.0,35.0,88.0,8542844
COLOMBIA,2020-04-07 00:00:03,1485.0,35.0,88.0,8553603
COLOMBIA,2020-04-07 09:00:04,1579.0,46.0,88.0,8586004
COLOMBIA,2020-04-07 12:15:51,1579.0,46.0,88.0,8597751
COLOMBIA,2020-04-07 15:59:55,1579.0,46.0,88.0,8611195
COLOMBIA,2020-04-07 18:03:46,1579.0,46.0,88.0,8618626
COLOMBIA,2020-04-07 21:32:15,1579.0,46.0,88.0,8631135
COLOMBIA,2020-04-08 00:00:04,1579.0,46.0,88.0,8640004
COLOMBIA,2020-04-08 09:00:46,1780.0,50.0,100.0,8672446
COLOMBIA,2020-04-08 12:21:18,1780.0,50.0,100.0,8684478
COLOMBIA,2020-04-08 15:04:46,1780.0,50.0,100.0,8694286
COLOMBIA,2020-04-08 18:11:16,1780.0,50.0,100.0,8705476
COLOMBIA,2020-04-08 21:33:56,1780.0,50.0,100.0,8717636
COLOMBIA,2020-04-09 00:14:12,1780.0,50.0,100.0,8727252
COLOMBIA,2020-04-09 11:19:24,2054.0,55.0,123.0,8767164
COLOMBIA,2020-04-09 12:07:24,2054.0,55.0,123.0,8770044
COLOMBIA,2020-04-09 14:57:09,2054.0,55.0,123.0,8780229
COLOMBIA,2020-04-09 18:00:02,2054.0,55.0,123.0,8791202
COLOMBIA,2020-04-10 01:06:14,2054.0,55.0,123.0,8816774
COLOMBIA,2020-04-10 09:04:46,2223.0,69.0,174.0,8845486
COLOMBIA,2020-04-10 12:09:17,2223.0,69.0,174.0,8856557
COLOMBIA,2020-04-10 14:55:51,2223.0,69.0,174.0,8866551
COLOMBIA,2020-04-10 18:41:05,2223.0,69.0,174.0,8880065
COLOMBIA,2020-04-10 21:59:17,2223.0,69.0,174.0,8891957
COLOMBIA,2020-04-11 00:00:34,2223.0,69.0,174.0,8899234
COLOMBIA,2020-04-11 09:01:32,2473.0,80.0,197.0,8931692
COLOMBIA,2020-04-11 12:08:24,2473.0,80.0,197.0,8942904
COLOMBIA,2020-04-11 17:00:40,2473.0,80.0,197.0,8960440
COLOMBIA,2020-04-11 18:12:28,2473.0,80.0,197.0,8964748
COLOMBIA,2020-04-11 21:44:19,2473.0,80.0,197.0,8977459
COLOMBIA,2020-04-11 23:59:29,2473.0,80.0,197.0,8985569
COLOMBIA,2020-04-12 09:00:42,2709.0,100.0,214.0,9018042
COLOMBIA,2020-04-12 12:05:42,2709.0,100.0,214.0,9029142
COLOMBIA,2020-04-12 15:09:25,2709.0,100.0,214.0,9040165
COLOMBIA,2020-04-12 18:22:01,2709.0,100.0,214.0,9051721
COLOMBIA,2020-04-12 20:59:25,2709.0,100.0,214.0,9061165
COLOMBIA,2020-04-13 00:07:13,2709.0,100.0,214.0,9072433
COLOMBIA,2020-04-13 09:26:16,2776.0,109.0,270.0,9105976
COLOMBIA,2020-04-13 11:59:14,2776.0,109.0,270.0,9115154
COLOMBIA,2020-04-13 15:13:01,2776.0,109.0,270.0,9126781
COLOMBIA,2020-04-13 20:23:47,2776.0,109.0,270.0,9145427
COLOMBIA,2020-04-13 21:01:27,2776.0,109.0,270.0,9147687
COLOMBIA,2020-04-14 00:30:40,2776.0,109.0,270.0,9160240
COLOMBIA,2020-04-14 09:09:09,2852.0,112.0,319.0,9191349
