Nation,Time,Confirmed Case,Death,Recover,timestamp
CONGO,2020-04-03 14:30:10,22.0,2.0,2.0,8260210
CONGO,2020-04-03 14:30:11,22.0,2.0,2.0,8260211
CONGO,2020-04-03 17:30:12,22.0,2.0,2.0,8271012
CONGO,2020-04-03 20:30:12,22.0,2.0,2.0,8281812
CONGO,2020-04-03 23:30:19,22.0,2.0,2.0,8292619
CONGO,2020-04-04 08:30:14,22.0,2.0,2.0,8325014
CONGO,2020-04-04 11:30:14,22.0,2.0,2.0,8335814
CONGO,2020-04-04 14:30:16,22.0,2.0,2.0,8346616
CONGO,2020-04-04 17:30:18,22.0,2.0,2.0,8357418
CONGO,2020-04-04 20:30:33,22.0,2.0,2.0,8368233
CONGO,2020-04-04 23:30:05,22.0,2.0,2.0,8379005
CONGO,2020-04-05 08:30:07,22.0,2.0,2.0,8411407
CONGO,2020-04-05 11:30:03,22.0,2.0,2.0,8422203
CONGO,2020-04-05 14:30:04,22.0,2.0,2.0,8433004
CONGO,2020-04-05 17:40:33,45.0,5.0,2.0,8444433
CONGO,2020-04-05 20:33:28,45.0,5.0,2.0,8454808
CONGO,2020-04-05 23:30:02,45.0,5.0,2.0,8465402
CONGO,2020-04-06 08:37:49,45.0,5.0,2.0,8498269
CONGO,2020-04-06 11:30:05,45.0,5.0,2.0,8508605
CONGO,2020-04-06 14:44:21,45.0,5.0,2.0,8520261
CONGO,2020-04-06 17:30:04,45.0,5.0,2.0,8530204
CONGO,2020-04-06 21:00:44,45.0,5.0,2.0,8542844
CONGO,2020-04-07 00:00:03,45.0,5.0,2.0,8553603
CONGO,2020-04-07 09:00:04,45.0,5.0,2.0,8586004
CONGO,2020-04-07 12:15:51,45.0,5.0,2.0,8597751
CONGO,2020-04-07 15:59:55,45.0,5.0,2.0,8611195
CONGO,2020-04-07 18:03:46,45.0,5.0,2.0,8618626
CONGO,2020-04-07 21:32:15,45.0,5.0,2.0,8631135
CONGO,2020-04-08 00:00:04,45.0,5.0,2.0,8640004
CONGO,2020-04-08 09:00:46,45.0,5.0,2.0,8672446
CONGO,2020-04-08 12:21:18,45.0,5.0,2.0,8684478
CONGO,2020-04-08 15:04:46,45.0,5.0,2.0,8694286
