Nation,Time,Confirmed Case,Death,Recover,timestamp
COTE D'IVOIRE,2020-04-03 14:30:10,194.0,1.0,15.0,8260210
COTE D'IVOIRE,2020-04-03 14:30:11,194.0,1.0,15.0,8260211
COTE D'IVOIRE,2020-04-03 17:30:12,194.0,1.0,15.0,8271012
COTE D'IVOIRE,2020-04-03 20:30:12,194.0,1.0,15.0,8281812
COTE D'IVOIRE,2020-04-03 23:30:19,194.0,1.0,15.0,8292619
COTE D'IVOIRE,2020-04-04 08:30:14,218.0,1.0,19.0,8325014
COTE D'IVOIRE,2020-04-04 11:30:14,218.0,1.0,19.0,8335814
COTE D'IVOIRE,2020-04-04 14:30:16,218.0,1.0,19.0,8346616
COTE D'IVOIRE,2020-04-04 17:30:18,218.0,1.0,19.0,8357418
COTE D'IVOIRE,2020-04-04 20:30:33,218.0,1.0,19.0,8368233
COTE D'IVOIRE,2020-04-04 23:30:05,218.0,1.0,19.0,8379005
COTE D'IVOIRE,2020-04-05 08:30:07,245.0,1.0,25.0,8411407
COTE D'IVOIRE,2020-04-05 11:30:03,245.0,1.0,25.0,8422203
COTE D'IVOIRE,2020-04-05 14:30:04,245.0,1.0,25.0,8433004
COTE D'IVOIRE,2020-04-05 17:40:33,245.0,1.0,25.0,8444433
COTE D'IVOIRE,2020-04-05 20:33:28,245.0,1.0,25.0,8454808
COTE D'IVOIRE,2020-04-05 23:30:02,245.0,1.0,25.0,8465402
COTE D'IVOIRE,2020-04-06 08:37:49,261.0,3.0,37.0,8498269
COTE D'IVOIRE,2020-04-06 11:30:05,261.0,3.0,37.0,8508605
COTE D'IVOIRE,2020-04-06 14:44:21,261.0,3.0,37.0,8520261
COTE D'IVOIRE,2020-04-06 17:30:04,261.0,3.0,37.0,8530204
COTE D'IVOIRE,2020-04-06 21:00:44,261.0,3.0,37.0,8542844
COTE D'IVOIRE,2020-04-07 00:00:03,261.0,3.0,37.0,8553603
COTE D'IVOIRE,2020-04-07 09:00:04,323.0,3.0,41.0,8586004
COTE D'IVOIRE,2020-04-07 12:15:51,323.0,3.0,41.0,8597751
COTE D'IVOIRE,2020-04-07 15:59:55,323.0,3.0,41.0,8611195
COTE D'IVOIRE,2020-04-07 18:03:46,323.0,3.0,41.0,8618626
COTE D'IVOIRE,2020-04-07 21:32:15,323.0,3.0,41.0,8631135
COTE D'IVOIRE,2020-04-08 00:00:04,323.0,3.0,41.0,8640004
COTE D'IVOIRE,2020-04-08 09:00:46,349.0,3.0,41.0,8672446
COTE D'IVOIRE,2020-04-08 12:21:18,349.0,3.0,41.0,8684478
COTE D'IVOIRE,2020-04-08 15:04:46,349.0,3.0,41.0,8694286
COTE D'IVOIRE,2020-04-08 18:11:16,349.0,3.0,41.0,8705476
COTE D'IVOIRE,2020-04-08 21:33:56,349.0,3.0,41.0,8717636
COTE D'IVOIRE,2020-04-09 00:14:12,349.0,3.0,41.0,8727252
COTE D'IVOIRE,2020-04-09 11:19:24,384.0,3.0,48.0,8767164
