Nation,Time,Confirmed Case,Death,Recover,timestamp
CURACAO,2020-04-03 14:30:10,11.0,1.0,3.0,8260210
CURACAO,2020-04-03 14:30:11,11.0,1.0,3.0,8260211
CURACAO,2020-04-03 17:30:12,11.0,1.0,3.0,8271012
CURACAO,2020-04-03 20:30:12,11.0,1.0,3.0,8281812
CURACAO,2020-04-03 23:30:19,11.0,1.0,3.0,8292619
CURACAO,2020-04-04 08:30:14,11.0,1.0,3.0,8325014
CURACAO,2020-04-04 11:30:14,11.0,1.0,3.0,8335814
CURACAO,2020-04-04 14:30:16,11.0,1.0,3.0,8346616
CURACAO,2020-04-04 17:30:18,11.0,1.0,3.0,8357418
CURACAO,2020-04-04 20:30:33,11.0,1.0,3.0,8368233
CURACAO,2020-04-04 23:30:05,11.0,1.0,3.0,8379005
CURACAO,2020-04-05 08:30:07,11.0,1.0,5.0,8411407
CURACAO,2020-04-05 11:30:03,11.0,1.0,5.0,8422203
CURACAO,2020-04-05 14:30:04,11.0,1.0,5.0,8433004
CURACAO,2020-04-05 17:40:33,11.0,1.0,5.0,8444433
CURACAO,2020-04-05 20:33:28,11.0,1.0,5.0,8454808
CURACAO,2020-04-05 23:30:02,11.0,1.0,5.0,8465402
CURACAO,2020-04-06 08:37:49,11.0,1.0,5.0,8498269
CURACAO,2020-04-06 11:30:05,11.0,1.0,5.0,8508605
CURACAO,2020-04-06 14:44:21,11.0,1.0,5.0,8520261
CURACAO,2020-04-06 17:30:04,11.0,1.0,5.0,8530204
CURACAO,2020-04-06 21:00:44,11.0,1.0,5.0,8542844
CURACAO,2020-04-07 00:00:03,13.0,1.0,5.0,8553603
CURACAO,2020-04-07 09:00:04,13.0,1.0,5.0,8586004
CURACAO,2020-04-07 12:15:51,13.0,1.0,5.0,8597751
CURACAO,2020-04-07 15:59:55,13.0,1.0,5.0,8611195
CURACAO,2020-04-07 18:03:46,13.0,1.0,5.0,8618626
CURACAO,2020-04-07 21:32:15,13.0,1.0,5.0,8631135
CURACAO,2020-04-08 00:00:04,13.0,1.0,7.0,8640004
CURACAO,2020-04-08 09:00:46,13.0,1.0,7.0,8672446
CURACAO,2020-04-08 12:21:18,13.0,1.0,7.0,8684478
CURACAO,2020-04-08 15:04:46,13.0,1.0,7.0,8694286
CURACAO,2020-04-08 18:11:16,13.0,1.0,7.0,8705476
CURACAO,2020-04-08 21:33:56,13.0,1.0,7.0,8717636
CURACAO,2020-04-09 00:14:12,13.0,1.0,7.0,8727252
CURACAO,2020-04-09 11:19:24,14.0,1.0,7.0,8767164
CURACAO,2020-04-09 12:07:24,14.0,1.0,7.0,8770044
CURACAO,2020-04-09 14:57:09,14.0,1.0,7.0,8780229
CURACAO,2020-04-09 18:00:02,14.0,1.0,7.0,8791202
CURACAO,2020-04-10 01:06:14,14.0,1.0,7.0,8816774
CURACAO,2020-04-10 09:04:46,14.0,1.0,7.0,8845486
CURACAO,2020-04-10 12:09:17,14.0,1.0,7.0,8856557
CURACAO,2020-04-10 14:55:51,14.0,1.0,7.0,8866551
CURACAO,2020-04-10 18:41:05,14.0,1.0,7.0,8880065
CURACAO,2020-04-10 21:59:17,14.0,1.0,7.0,8891957
CURACAO,2020-04-11 00:00:34,14.0,1.0,7.0,8899234
CURACAO,2020-04-11 09:01:32,14.0,1.0,7.0,8931692
CURACAO,2020-04-11 12:08:24,14.0,1.0,7.0,8942904
CURACAO,2020-04-11 17:00:40,14.0,1.0,7.0,8960440
CURACAO,2020-04-11 18:12:28,14.0,1.0,7.0,8964748
CURACAO,2020-04-11 21:44:19,14.0,1.0,7.0,8977459
CURACAO,2020-04-11 23:59:29,14.0,1.0,7.0,8985569
CURACAO,2020-04-12 09:00:42,14.0,1.0,7.0,9018042
CURACAO,2020-04-12 12:05:42,14.0,1.0,7.0,9029142
CURACAO,2020-04-12 15:09:25,14.0,1.0,7.0,9040165
CURACAO,2020-04-12 18:22:01,14.0,1.0,7.0,9051721
CURACAO,2020-04-12 20:59:25,14.0,1.0,7.0,9061165
CURACAO,2020-04-13 00:07:13,14.0,1.0,7.0,9072433
CURACAO,2020-04-13 09:26:16,14.0,1.0,8.0,9105976
CURACAO,2020-04-13 11:59:14,14.0,1.0,8.0,9115154
CURACAO,2020-04-13 15:13:01,14.0,1.0,8.0,9126781
CURACAO,2020-04-13 20:23:47,14.0,1.0,8.0,9145427
CURACAO,2020-04-13 21:01:27,14.0,1.0,8.0,9147687
CURACAO,2020-04-14 00:30:40,14.0,1.0,8.0,9160240
CURACAO,2020-04-14 09:09:09,14.0,1.0,8.0,9191349
CURACAO,2020-04-14 12:13:23,14.0,1.0,10.0,9202403
CURACAO,2020-04-14 15:49:28,14.0,1.0,10.0,9215368
CURACAO,2020-04-14 18:27:14,14.0,1.0,10.0,9224834
CURACAO,2020-04-14 21:18:50,14.0,1.0,10.0,9235130
CURACAO,2020-04-15 00:07:14,14.0,1.0,10.0,9245234
CURACAO,2020-04-15 09:00:09,14.0,1.0,10.0,9277209
CURACAO,2020-04-15 14:56:18,14.0,1.0,10.0,9298578
CURACAO,2020-04-15 19:52:38,14.0,1.0,10.0,9316358
CURACAO,2020-04-15 21:18:33,14.0,1.0,10.0,9321513
CURACAO,2020-04-16 00:51:15,14.0,1.0,10.0,9334275
CURACAO,2020-04-16 09:04:51,14.0,1.0,10.0,9363891
CURACAO,2020-04-16 12:05:08,14.0,1.0,10.0,9374708
CURACAO,2020-04-16 14:57:08,14.0,1.0,10.0,9385028
CURACAO,2020-04-16 17:58:25,14.0,1.0,10.0,9395905
CURACAO,2020-04-16 22:41:20,14.0,1.0,10.0,9412880
CURACAO,2020-04-17 01:32:36,14.0,1.0,10.0,9423156
CURACAO,2020-04-17 09:11:04,14.0,1.0,10.0,9450664
CURACAO,2020-04-17 12:02:01,14.0,1.0,10.0,9460921
CURACAO,2020-04-17 14:56:35,14.0,1.0,10.0,9471395
CURACAO,2020-04-17 18:39:21,14.0,1.0,10.0,9484761
CURACAO,2020-04-17 22:45:21,14.0,1.0,10.0,9499521
CURACAO,2020-04-18 08:54:14,14.0,1.0,10.0,9536054
CURACAO,2020-04-18 13:55:54,14.0,1.0,10.0,9554154
CURACAO,2020-04-18 15:41:06,14.0,1.0,10.0,9560466
CURACAO,2020-04-18 18:03:48,14.0,1.0,10.0,9569028
CURACAO,2020-04-19 00:17:39,14.0,1.0,11.0,9591459
CURACAO,2020-04-19 09:10:08,14.0,1.0,11.0,9623408
CURACAO,2020-04-19 15:11:32,14.0,1.0,11.0,9645092
CURACAO,2020-04-19 18:07:21,14.0,1.0,11.0,9655641
CURACAO,2020-04-19 21:01:51,14.0,1.0,11.0,9666111
CURACAO,2020-04-20 00:00:38,14.0,1.0,11.0,9676838
CURACAO,2020-04-20 12:46:45,14.0,1.0,11.0,9722805
CURACAO,2020-04-20 15:15:13,14.0,1.0,11.0,9731713
CURACAO,2020-04-20 18:00:55,14.0,1.0,11.0,9741655
CURACAO,2020-04-20 20:51:26,14.0,1.0,11.0,9751886
CURACAO,2020-04-20 23:57:35,14.0,1.0,11.0,9763055
CURACAO,2020-04-21 12:05:06,14.0,1.0,11.0,9806706
CURACAO,2020-04-21 18:05:54,14.0,1.0,11.0,9828354
CURACAO,2020-04-21 20:56:52,14.0,1.0,11.0,9838612
CURACAO,2020-04-22 10:13:50,14.0,1.0,11.0,9886430
CURACAO,2020-04-22 12:01:15,14.0,1.0,11.0,9892875
CURACAO,2020-04-22 15:04:35,14.0,1.0,11.0,9903875
CURACAO,2020-04-23 00:41:34,14.0,1.0,11.0,9938494
CURACAO,2020-04-23 11:00:28,14.0,1.0,11.0,9975628
CURACAO,2020-04-23 18:09:30,14.0,1.0,11.0,10001370
CURACAO,2020-04-23 21:15:10,14.0,1.0,11.0,10012510
CURACAO,2020-04-24 12:38:27,14.0,1.0,11.0,10067907
CURACAO,2020-04-24 15:07:01,14.0,1.0,11.0,10076821
CURACAO,2020-04-24 18:05:08,14.0,1.0,11.0,10087508
CURACAO,2020-04-25 01:24:20,14.0,1.0,11.0,10113860
CURACAO,2020-04-25 10:29:29,16.0,1.0,11.0,10146569
CURACAO,2020-04-25 13:06:30,16.0,1.0,11.0,10155990
CURACAO,2020-04-25 15:13:19,16.0,1.0,11.0,10163599
CURACAO,2020-04-25 18:05:53,16.0,1.0,11.0,10173953
CURACAO,2020-04-26 00:02:26,16.0,1.0,11.0,10195346
CURACAO,2020-04-26 10:30:36,16.0,1.0,11.0,10233036
CURACAO,2020-04-26 14:00:20,16.0,1.0,11.0,10245620
CURACAO,2020-04-26 15:00:26,16.0,1.0,11.0,10249226
CURACAO,2020-04-26 18:04:29,16.0,1.0,11.0,10260269
CURACAO,2020-04-26 20:55:24,16.0,1.0,11.0,10270524
CURACAO,2020-04-27 01:26:23,16.0,1.0,11.0,10286783
CURACAO,2020-04-27 12:02:22,16.0,1.0,11.0,10324942
CURACAO,2020-04-27 18:28:29,16.0,1.0,11.0,10348109
CURACAO,2020-04-27 23:10:06,16.0,1.0,11.0,10365006
CURACAO,2020-04-28 00:52:18,16.0,1.0,11.0,10371138
CURACAO,2020-04-28 12:28:54,16.0,1.0,11.0,10412934
CURACAO,2020-04-29 00:05:46,16.0,1.0,11.0,10454746
CURACAO,2020-04-29 11:12:43,16.0,1.0,11.0,10494763
CURACAO,2020-04-29 13:02:52,16.0,1.0,11.0,10501372
CURACAO,2020-04-29 15:08:24,16.0,1.0,11.0,10508904
CURACAO,2020-04-29 18:09:12,16.0,1.0,11.0,10519752
CURACAO,2020-04-29 21:32:47,16.0,1.0,12.0,10531967
CURACAO,2020-04-30 00:17:29,16.0,1.0,12.0,10541849
CURACAO,2020-04-30 09:21:28,16.0,1.0,13.0,10574488
CURACAO,2020-04-30 12:29:51,16.0,1.0,13.0,10585791
CURACAO,2020-04-30 15:13:47,16.0,1.0,13.0,10595627
CURACAO,2020-05-01 00:05:16,16.0,1.0,13.0,10713916
CURACAO,2020-05-01 10:41:27,16.0,1.0,13.0,10752087
CURACAO,2020-05-01 11:53:59,16.0,1.0,13.0,10756439
CURACAO,2020-05-01 15:33:11,16.0,1.0,13.0,10769591
CURACAO,2020-05-01 17:55:59,16.0,1.0,13.0,10778159
CURACAO,2020-05-01 21:26:40,16.0,1.0,13.0,10790800
CURACAO,2020-05-02 00:11:13,16.0,1.0,13.0,10800673
CURACAO,2020-05-02 09:45:39,16.0,1.0,13.0,10835139
CURACAO,2020-05-02 12:46:52,16.0,1.0,13.0,10846012
CURACAO,2020-05-02 15:00:02,16.0,1.0,13.0,10854002
CURACAO,2020-05-02 18:00:30,16.0,1.0,13.0,10864830
CURACAO,2020-05-03 00:04:29,16.0,1.0,13.0,10886669
CURACAO,2020-05-03 11:56:15,16.0,1.0,13.0,10929375
CURACAO,2020-05-03 15:05:11,16.0,1.0,13.0,10940711
CURACAO,2020-05-03 17:57:14,16.0,1.0,13.0,10951034
CURACAO,2020-05-03 21:09:20,16.0,1.0,13.0,10962560
CURACAO,2020-05-03 23:58:14,16.0,1.0,13.0,10972694
CURACAO,2020-05-04 15:08:30,16.0,1.0,13.0,11027310
CURACAO,2020-05-04 18:37:54,16.0,1.0,13.0,11039874
CURACAO,2020-05-04 23:58:07,16.0,1.0,13.0,11059087
CURACAO,2020-05-05 01:13:37,16.0,1.0,13.0,11063617
CURACAO,2020-05-05 13:08:43,16.0,1.0,13.0,11106523
CURACAO,2020-05-05 15:01:21,16.0,1.0,13.0,11113281
CURACAO,2020-05-05 21:05:55,16.0,1.0,13.0,11135155
CURACAO,2020-05-06 00:00:44,16.0,1.0,13.0,11145644
CURACAO,2020-05-06 12:01:14,16.0,1.0,13.0,11188874
CURACAO,2020-05-06 18:00:04,16.0,1.0,13.0,11210404
CURACAO,2020-05-07 00:14:11,16.0,1.0,13.0,11232851
CURACAO,2020-05-07 11:57:25,16.0,1.0,13.0,11275045
CURACAO,2020-05-07 15:00:03,16.0,1.0,13.0,11286003
CURACAO,2020-05-07 18:26:51,16.0,1.0,13.0,11298411
CURACAO,2020-05-07 23:58:31,16.0,1.0,13.0,11318311
CURACAO,2020-05-08 12:02:06,16.0,1.0,14.0,11361726
CURACAO,2020-05-08 15:12:55,16.0,1.0,14.0,11373175
CURACAO,2020-05-08 18:26:19,16.0,1.0,14.0,11384779
CURACAO,2020-05-08 21:29:34,16.0,1.0,14.0,11395774
CURACAO,2020-05-09 00:43:24,16.0,1.0,14.0,11407404
CURACAO,2020-05-09 13:13:55,16.0,1.0,14.0,11452435
CURACAO,2020-05-09 15:22:29,16.0,1.0,14.0,11460149
CURACAO,2020-05-09 18:00:02,16.0,1.0,14.0,11469602
CURACAO,2020-05-10 00:44:24,16.0,1.0,14.0,11493864
CURACAO,2020-05-10 12:00:15,16.0,1.0,14.0,11534415
