Nation,Time,Confirmed Case,Death,Recover,timestamp
CYPRUS,2020-04-03 14:30:10,356.0,10.0,28.0,8260210
CYPRUS,2020-04-03 14:30:11,356.0,10.0,28.0,8260211
CYPRUS,2020-04-03 17:30:12,356.0,10.0,28.0,8271012
CYPRUS,2020-04-03 20:30:12,356.0,10.0,28.0,8281812
CYPRUS,2020-04-03 23:30:19,396.0,11.0,28.0,8292619
CYPRUS,2020-04-04 08:30:14,396.0,13.0,28.0,8325014
CYPRUS,2020-04-04 11:30:14,396.0,13.0,28.0,8335814
CYPRUS,2020-04-04 14:30:16,396.0,13.0,28.0,8346616
CYPRUS,2020-04-04 17:30:18,396.0,13.0,28.0,8357418
CYPRUS,2020-04-04 20:30:33,396.0,13.0,28.0,8368233
CYPRUS,2020-04-04 23:30:05,426.0,13.0,33.0,8379005
CYPRUS,2020-04-05 08:30:07,426.0,13.0,33.0,8411407
CYPRUS,2020-04-05 11:30:03,426.0,13.0,33.0,8422203
CYPRUS,2020-04-05 14:30:04,426.0,13.0,33.0,8433004
CYPRUS,2020-04-05 17:40:33,426.0,13.0,33.0,8444433
CYPRUS,2020-04-05 20:33:28,426.0,13.0,33.0,8454808
CYPRUS,2020-04-05 23:30:02,446.0,13.0,37.0,8465402
CYPRUS,2020-04-06 08:37:49,446.0,13.0,37.0,8498269
CYPRUS,2020-04-06 11:30:05,446.0,13.0,37.0,8508605
CYPRUS,2020-04-06 14:44:21,446.0,13.0,37.0,8520261
CYPRUS,2020-04-06 17:30:04,446.0,13.0,37.0,8530204
CYPRUS,2020-04-06 21:00:44,465.0,13.0,45.0,8542844
CYPRUS,2020-04-07 00:00:03,465.0,13.0,45.0,8553603
CYPRUS,2020-04-07 09:00:04,465.0,13.0,45.0,8586004
CYPRUS,2020-04-07 12:15:51,465.0,13.0,45.0,8597751
CYPRUS,2020-04-07 15:59:55,465.0,13.0,45.0,8611195
CYPRUS,2020-04-07 18:03:46,465.0,13.0,45.0,8618626
CYPRUS,2020-04-07 21:32:15,494.0,13.0,45.0,8631135
CYPRUS,2020-04-08 00:00:04,494.0,13.0,47.0,8640004
CYPRUS,2020-04-08 09:00:46,494.0,13.0,47.0,8672446
CYPRUS,2020-04-08 12:21:18,494.0,13.0,47.0,8684478
CYPRUS,2020-04-08 15:04:46,494.0,13.0,47.0,8694286
CYPRUS,2020-04-08 18:11:16,494.0,13.0,47.0,8705476
CYPRUS,2020-04-08 21:33:56,526.0,13.0,52.0,8717636
CYPRUS,2020-04-09 00:14:12,526.0,13.0,52.0,8727252
CYPRUS,2020-04-09 11:19:24,526.0,13.0,52.0,8767164
CYPRUS,2020-04-09 12:07:24,526.0,13.0,52.0,8770044
CYPRUS,2020-04-09 14:57:09,526.0,13.0,52.0,8780229
CYPRUS,2020-04-09 18:00:02,526.0,13.0,52.0,8791202
CYPRUS,2020-04-10 01:06:14,564.0,13.0,53.0,8816774
CYPRUS,2020-04-10 09:04:46,564.0,13.0,53.0,8845486
CYPRUS,2020-04-10 12:09:17,564.0,13.0,53.0,8856557
CYPRUS,2020-04-10 14:55:51,564.0,13.0,53.0,8866551
CYPRUS,2020-04-10 18:41:05,564.0,13.0,53.0,8880065
CYPRUS,2020-04-10 21:59:17,595.0,13.0,53.0,8891957
CYPRUS,2020-04-11 00:00:34,595.0,13.0,58.0,8899234
CYPRUS,2020-04-11 09:01:32,595.0,15.0,58.0,8931692
CYPRUS,2020-04-11 12:08:24,595.0,15.0,58.0,8942904
CYPRUS,2020-04-11 17:00:40,595.0,15.0,58.0,8960440
CYPRUS,2020-04-11 18:12:28,595.0,15.0,58.0,8964748
CYPRUS,2020-04-11 21:44:19,616.0,13.0,58.0,8977459
CYPRUS,2020-04-11 23:59:29,616.0,13.0,61.0,8985569
CYPRUS,2020-04-12 09:00:42,616.0,13.0,61.0,9018042
CYPRUS,2020-04-12 12:05:42,616.0,13.0,61.0,9029142
CYPRUS,2020-04-12 15:09:25,616.0,15.0,61.0,9040165
CYPRUS,2020-04-12 18:22:01,616.0,15.0,61.0,9051721
CYPRUS,2020-04-12 20:59:25,633.0,15.0,65.0,9061165
CYPRUS,2020-04-13 00:07:13,633.0,15.0,65.0,9072433
CYPRUS,2020-04-13 09:26:16,633.0,17.0,65.0,9105976
CYPRUS,2020-04-13 11:59:14,633.0,17.0,65.0,9115154
CYPRUS,2020-04-13 15:13:01,633.0,17.0,65.0,9126781
CYPRUS,2020-04-13 20:23:47,633.0,16.0,65.0,9145427
CYPRUS,2020-04-13 21:01:27,662.0,16.0,65.0,9147687
CYPRUS,2020-04-14 00:30:40,662.0,16.0,65.0,9160240
CYPRUS,2020-04-14 09:09:09,662.0,16.0,65.0,9191349
CYPRUS,2020-04-14 12:13:23,662.0,16.0,65.0,9202403
CYPRUS,2020-04-14 15:49:28,662.0,16.0,65.0,9215368
CYPRUS,2020-04-14 18:27:14,662.0,16.0,65.0,9224834
CYPRUS,2020-04-14 21:18:50,695.0,16.0,65.0,9235130
CYPRUS,2020-04-15 00:07:14,695.0,16.0,65.0,9245234
CYPRUS,2020-04-15 09:00:09,695.0,16.0,84.0,9277209
CYPRUS,2020-04-15 14:56:18,695.0,16.0,84.0,9298578
CYPRUS,2020-04-15 19:52:38,695.0,16.0,84.0,9316358
CYPRUS,2020-04-15 21:18:33,715.0,16.0,84.0,9321513
CYPRUS,2020-04-16 00:51:15,715.0,16.0,84.0,9334275
CYPRUS,2020-04-16 09:04:51,715.0,16.0,84.0,9363891
CYPRUS,2020-04-16 12:05:08,715.0,16.0,84.0,9374708
CYPRUS,2020-04-16 14:57:08,715.0,16.0,84.0,9385028
CYPRUS,2020-04-16 17:58:25,715.0,16.0,84.0,9395905
CYPRUS,2020-04-16 22:41:20,735.0,16.0,84.0,9412880
CYPRUS,2020-04-17 01:32:36,735.0,16.0,84.0,9423156
CYPRUS,2020-04-17 09:11:04,735.0,16.0,84.0,9450664
CYPRUS,2020-04-17 12:02:01,735.0,16.0,84.0,9460921
CYPRUS,2020-04-17 14:56:35,735.0,16.0,84.0,9471395
CYPRUS,2020-04-17 18:39:21,735.0,16.0,84.0,9484761
