Nation,Time,Confirmed Case,Death,Recover,timestamp
DOMINICAN REPUBLIC,3.4.2020.14.30.10,1380.0,60.0,16.0,8260210
DOMINICAN REPUBLIC,3.4.2020.14.30.11,1380.0,60.0,16.0,8260211
DOMINICAN REPUBLIC,3.4.2020.17.30.12,1380.0,60.0,16.0,8271012
DOMINICAN REPUBLIC,3.4.2020.20.30.12,1488.0,68.0,16.0,8281812
DOMINICAN REPUBLIC,3.4.2020.23.30.19,1488.0,68.0,16.0,8292619
DOMINICAN REPUBLIC,4.4.2020.8.30.14,1488.0,68.0,16.0,8325014
DOMINICAN REPUBLIC,4.4.2020.11.30.14,1488.0,68.0,16.0,8335814
DOMINICAN REPUBLIC,4.4.2020.14.30.16,1488.0,68.0,16.0,8346616
DOMINICAN REPUBLIC,4.4.2020.17.30.18,1488.0,68.0,16.0,8357418
DOMINICAN REPUBLIC,4.4.2020.20.30.33,1488.0,68.0,16.0,8368233
DOMINICAN REPUBLIC,4.4.2020.23.30.5,1488.0,68.0,16.0,8379005
DOMINICAN REPUBLIC,5.4.2020.8.30.7,1578.0,77.0,17.0,8411407
DOMINICAN REPUBLIC,5.4.2020.11.30.3,1578.0,77.0,17.0,8422203
DOMINICAN REPUBLIC,5.4.2020.14.30.4,1578.0,77.0,17.0,8433004
DOMINICAN REPUBLIC,5.4.2020.17.40.33,1578.0,77.0,17.0,8444433
DOMINICAN REPUBLIC,5.4.2020.20.33.28,1747.0,82.0,24.0,8454808
DOMINICAN REPUBLIC,5.4.2020.23.30.2,1747.0,82.0,24.0,8465402
DOMINICAN REPUBLIC,6.4.2020.8.37.49,1747.0,82.0,24.0,8498269
DOMINICAN REPUBLIC,6.4.2020.11.30.5,1747.0,82.0,24.0,8508605
DOMINICAN REPUBLIC,6.4.2020.14.44.21,1747.0,82.0,24.0,8520261
DOMINICAN REPUBLIC,6.4.2020.17.30.4,1747.0,82.0,24.0,8530204
DOMINICAN REPUBLIC,6.4.2020.21.0.44,1828.0,86.0,33.0,8542844
DOMINICAN REPUBLIC,7.4.2020.0.0.3,1828.0,86.0,33.0,8553603
DOMINICAN REPUBLIC,7.4.2020.9.0.4,1828.0,86.0,33.0,8586004
DOMINICAN REPUBLIC,7.4.2020.12.15.51,1828.0,86.0,33.0,8597751
DOMINICAN REPUBLIC,7.4.2020.15.59.55,1828.0,86.0,33.0,8611195
DOMINICAN REPUBLIC,7.4.2020.18.3.46,1828.0,86.0,33.0,8618626
DOMINICAN REPUBLIC,7.4.2020.21.32.15,1956.0,98.0,36.0,8631135
DOMINICAN REPUBLIC,8.4.2020.0.0.4,1956.0,98.0,36.0,8640004
DOMINICAN REPUBLIC,8.4.2020.9.0.46,1956.0,98.0,36.0,8672446
DOMINICAN REPUBLIC,8.4.2020.12.21.18,1956.0,98.0,36.0,8684478
DOMINICAN REPUBLIC,8.4.2020.15.4.46,1956.0,98.0,36.0,8694286
DOMINICAN REPUBLIC,8.4.2020.18.11.16,1956.0,98.0,36.0,8705476
DOMINICAN REPUBLIC,8.4.2020.21.33.56,2111.0,108.0,50.0,8717636
DOMINICAN REPUBLIC,9.4.2020.0.14.12,2111.0,108.0,50.0,8727252
DOMINICAN REPUBLIC,9.4.2020.11.19.24,2111.0,108.0,50.0,8767164
DOMINICAN REPUBLIC,9.4.2020.12.7.24,2111.0,108.0,50.0,8770044
DOMINICAN REPUBLIC,9.4.2020.14.57.9,2111.0,108.0,50.0,8780229
DOMINICAN REPUBLIC,9.4.2020.18.0.2,2111.0,108.0,50.0,8791202
DOMINICAN REPUBLIC,10.4.2020.1.6.14,2349.0,118.0,80.0,8816774
DOMINICAN REPUBLIC,10.4.2020.9.4.46,2349.0,118.0,80.0,8845486
DOMINICAN REPUBLIC,10.4.2020.12.9.17,2349.0,118.0,80.0,8856557
DOMINICAN REPUBLIC,10.4.2020.14.55.51,2349.0,118.0,80.0,8866551
DOMINICAN REPUBLIC,10.4.2020.18.41.5,2349.0,118.0,80.0,8880065
DOMINICAN REPUBLIC,10.4.2020.21.59.17,2349.0,118.0,80.0,8891957
DOMINICAN REPUBLIC,11.4.2020.0.0.34,2620.0,126.0,98.0,8899234
DOMINICAN REPUBLIC,11.4.2020.9.1.32,2620.0,126.0,98.0,8931692
DOMINICAN REPUBLIC,11.4.2020.12.8.24,2620.0,126.0,98.0,8942904
DOMINICAN REPUBLIC,11.4.2020.17.0.40,2620.0,126.0,98.0,8960440
DOMINICAN REPUBLIC,11.4.2020.18.12.28,2620.0,126.0,98.0,8964748
DOMINICAN REPUBLIC,11.4.2020.21.44.19,2620.0,126.0,98.0,8977459
DOMINICAN REPUBLIC,11.4.2020.23.59.29,2620.0,126.0,98.0,8985569
DOMINICAN REPUBLIC,12.4.2020.9.0.42,2759.0,135.0,108.0,9018042
DOMINICAN REPUBLIC,12.4.2020.12.5.42,2759.0,135.0,108.0,9029142
DOMINICAN REPUBLIC,12.4.2020.15.9.25,2759.0,135.0,108.0,9040165
DOMINICAN REPUBLIC,12.4.2020.18.22.1,2759.0,135.0,108.0,9051721
DOMINICAN REPUBLIC,12.4.2020.20.59.25,2759.0,135.0,108.0,9061165
DOMINICAN REPUBLIC,13.4.2020.0.7.13,2967.0,173.0,131.0,9072433
DOMINICAN REPUBLIC,13.4.2020.9.26.16,2967.0,173.0,131.0,9105976
DOMINICAN REPUBLIC,13.4.2020.11.59.14,2967.0,173.0,131.0,9115154
DOMINICAN REPUBLIC,13.4.2020.15.13.1,2967.0,173.0,131.0,9126781
DOMINICAN REPUBLIC,13.4.2020.20.23.47,3167.0,177.0,152.0,9145427
DOMINICAN REPUBLIC,13.4.2020.21.1.27,3167.0,177.0,152.0,9147687
DOMINICAN REPUBLIC,14.4.2020.0.30.40,3167.0,177.0,152.0,9160240
DOMINICAN REPUBLIC,14.4.2020.9.9.9,3167.0,177.0,152.0,9191349
DOMINICAN REPUBLIC,14.4.2020.12.13.23,3167.0,177.0,152.0,9202403
DOMINICAN REPUBLIC,14.4.2020.15.49.28,3167.0,177.0,152.0,9215368
DOMINICAN REPUBLIC,14.4.2020.18.27.14,3167.0,177.0,152.0,9224834
DOMINICAN REPUBLIC,14.4.2020.21.18.50,3286.0,183.0,162.0,9235130
DOMINICAN REPUBLIC,15.4.2020.0.7.14,3286.0,183.0,162.0,9245234
DOMINICAN REPUBLIC,15.4.2020.9.0.9,3286.0,183.0,162.0,9277209
DOMINICAN REPUBLIC,15.4.2020.14.56.18,3286.0,183.0,162.0,9298578
DOMINICAN REPUBLIC,15.4.2020.19.52.38,3286.0,183.0,162.0,9316358
DOMINICAN REPUBLIC,15.4.2020.21.18.33,3614.0,189.0,208.0,9321513
DOMINICAN REPUBLIC,16.4.2020.0.51.15,3614.0,189.0,208.0,9334275
DOMINICAN REPUBLIC,16.4.2020.9.4.51,3614.0,189.0,208.0,9363891
DOMINICAN REPUBLIC,16.4.2020.12.5.8,3614.0,189.0,208.0,9374708
DOMINICAN REPUBLIC,16.4.2020.14.57.8,3614.0,189.0,208.0,9385028
DOMINICAN REPUBLIC,16.4.2020.17.58.25,3614.0,189.0,208.0,9395905
DOMINICAN REPUBLIC,16.4.2020.22.41.20,3755.0,196.0,215.0,9412880
DOMINICAN REPUBLIC,17.4.2020.1.32.36,3755.0,196.0,215.0,9423156
DOMINICAN REPUBLIC,17.4.2020.9.11.4,3755.0,196.0,215.0,9450664
DOMINICAN REPUBLIC,17.4.2020.12.2.1,3755.0,196.0,215.0,9460921
DOMINICAN REPUBLIC,17.4.2020.14.56.35,3755.0,196.0,215.0,9471395
DOMINICAN REPUBLIC,17.4.2020.18.39.21,3755.0,196.0,215.0,9484761
DOMINICAN REPUBLIC,17.4.2020.22.45.21,4126.0,200.0,268.0,9499521
DOMINICAN REPUBLIC,18.4.2020.8.54.14,4126.0,200.0,268.0,9536054
DOMINICAN REPUBLIC,18.4.2020.13.55.54,4126.0,200.0,268.0,9554154
DOMINICAN REPUBLIC,18.4.2020.15.41.6,4126.0,200.0,268.0,9560466
DOMINICAN REPUBLIC,18.4.2020.18.3.48,4126.0,200.0,268.0,9569028
DOMINICAN REPUBLIC,19.4.2020.0.17.39,4335.0,217.0,312.0,9591459
DOMINICAN REPUBLIC,19.4.2020.9.10.8,4335.0,217.0,312.0,9623408
DOMINICAN REPUBLIC,19.4.2020.15.11.32,4335.0,217.0,312.0,9645092
DOMINICAN REPUBLIC,19.4.2020.18.7.21,4335.0,217.0,312.0,9655641
DOMINICAN REPUBLIC,19.4.2020.21.1.51,4680.0,226.0,363.0,9666111
DOMINICAN REPUBLIC,20.4.2020.0.0.38,4680.0,226.0,363.0,9676838
DOMINICAN REPUBLIC,20.4.2020.12.46.45,4680.0,226.0,363.0,9722805
