Nation,Time,Confirmed Case,Death,Recover,timestamp
DR CONGO,3.4.2020.14.30.10,134.0,13.0,3.0,8260210
DR CONGO,3.4.2020.14.30.11,134.0,13.0,3.0,8260211
DR CONGO,3.4.2020.17.30.12,134.0,13.0,3.0,8271012
DR CONGO,3.4.2020.20.30.12,134.0,13.0,3.0,8281812
DR CONGO,3.4.2020.23.30.19,134.0,13.0,3.0,8292619
DR CONGO,4.4.2020.8.30.14,148.0,16.0,3.0,8325014
DR CONGO,4.4.2020.11.30.14,148.0,16.0,3.0,8335814
DR CONGO,4.4.2020.14.30.16,148.0,16.0,3.0,8346616
DR CONGO,4.4.2020.17.30.18,148.0,16.0,3.0,8357418
DR CONGO,4.4.2020.20.30.33,148.0,16.0,3.0,8368233
DR CONGO,4.4.2020.23.30.5,148.0,16.0,3.0,8379005
DR CONGO,5.4.2020.8.30.7,154.0,18.0,3.0,8411407
DR CONGO,5.4.2020.11.30.3,154.0,18.0,3.0,8422203
DR CONGO,5.4.2020.14.30.4,154.0,18.0,3.0,8433004
DR CONGO,5.4.2020.17.40.33,154.0,18.0,3.0,8444433
DR CONGO,5.4.2020.20.33.28,154.0,18.0,3.0,8454808
DR CONGO,5.4.2020.23.30.2,154.0,18.0,3.0,8465402
DR CONGO,6.4.2020.8.37.49,154.0,18.0,3.0,8498269
DR CONGO,6.4.2020.11.30.5,154.0,18.0,3.0,8508605
DR CONGO,6.4.2020.14.44.21,154.0,18.0,3.0,8520261
DR CONGO,6.4.2020.17.30.4,154.0,18.0,3.0,8530204
DR CONGO,6.4.2020.21.0.44,154.0,18.0,3.0,8542844
DR CONGO,7.4.2020.0.0.3,161.0,18.0,5.0,8553603
DR CONGO,7.4.2020.9.0.4,161.0,18.0,5.0,8586004
DR CONGO,7.4.2020.12.15.51,161.0,18.0,5.0,8597751
DR CONGO,7.4.2020.15.59.55,161.0,18.0,5.0,8611195
DR CONGO,7.4.2020.18.3.46,161.0,18.0,5.0,8618626
DR CONGO,7.4.2020.21.32.15,161.0,18.0,5.0,8631135
DR CONGO,8.4.2020.0.0.4,161.0,18.0,5.0,8640004
DR CONGO,8.4.2020.9.0.46,180.0,18.0,9.0,8672446
DR CONGO,8.4.2020.12.21.18,180.0,18.0,9.0,8684478
DR CONGO,8.4.2020.15.4.46,180.0,18.0,9.0,8694286
DR CONGO,8.4.2020.18.11.16,180.0,18.0,9.0,8705476
DR CONGO,8.4.2020.21.33.56,180.0,18.0,9.0,8717636
DR CONGO,9.4.2020.0.14.12,180.0,18.0,9.0,8727252
DR CONGO,9.4.2020.11.19.24,180.0,18.0,9.0,8767164
DR CONGO,9.4.2020.12.7.24,180.0,18.0,9.0,8770044
DR CONGO,9.4.2020.14.57.9,180.0,18.0,9.0,8780229
DR CONGO,9.4.2020.18.0.2,180.0,18.0,9.0,8791202
DR CONGO,10.4.2020.1.6.14,180.0,18.0,9.0,8816774
DR CONGO,10.4.2020.9.4.46,215.0,20.0,13.0,8845486
DR CONGO,10.4.2020.12.9.17,215.0,20.0,13.0,8856557
DR CONGO,10.4.2020.14.55.51,215.0,20.0,13.0,8866551
DR CONGO,10.4.2020.18.41.5,215.0,20.0,13.0,8880065
DR CONGO,10.4.2020.21.59.17,215.0,20.0,13.0,8891957
DR CONGO,11.4.2020.0.0.34,215.0,20.0,13.0,8899234
DR CONGO,11.4.2020.9.1.32,223.0,20.0,16.0,8931692
DR CONGO,11.4.2020.12.8.24,223.0,20.0,16.0,8942904
DR CONGO,11.4.2020.17.0.40,223.0,20.0,16.0,8960440
DR CONGO,11.4.2020.18.12.28,223.0,20.0,16.0,8964748
DR CONGO,11.4.2020.21.44.19,223.0,20.0,16.0,8977459
DR CONGO,11.4.2020.23.59.29,223.0,20.0,16.0,8985569
DR CONGO,12.4.2020.9.0.42,223.0,20.0,16.0,9018042
DR CONGO,12.4.2020.12.5.42,223.0,20.0,16.0,9029142
DR CONGO,12.4.2020.15.9.25,223.0,20.0,16.0,9040165
DR CONGO,12.4.2020.18.22.1,234.0,20.0,16.0,9051721
DR CONGO,12.4.2020.20.59.25,234.0,20.0,16.0,9061165
DR CONGO,13.4.2020.0.7.13,234.0,20.0,16.0,9072433
DR CONGO,13.4.2020.9.26.16,235.0,20.0,17.0,9105976
DR CONGO,13.4.2020.11.59.14,235.0,20.0,17.0,9115154
DR CONGO,13.4.2020.15.13.1,235.0,20.0,17.0,9126781
DR CONGO,13.4.2020.20.23.47,235.0,20.0,17.0,9145427
DR CONGO,13.4.2020.21.1.27,235.0,20.0,17.0,9147687
DR CONGO,14.4.2020.0.30.40,235.0,20.0,17.0,9160240
DR CONGO,14.4.2020.9.9.9,235.0,20.0,17.0,9191349
