Nation,Time,Confirmed Case,Death,Recover,timestamp
EQUATORIAL GUINEA,3.4.2020.14.30.10,15.0,0.0,1.0,8260210
EQUATORIAL GUINEA,3.4.2020.14.30.11,15.0,0.0,1.0,8260211
EQUATORIAL GUINEA,3.4.2020.17.30.12,15.0,0.0,1.0,8271012
EQUATORIAL GUINEA,3.4.2020.20.30.12,15.0,0.0,1.0,8281812
EQUATORIAL GUINEA,3.4.2020.23.30.19,16.0,0.0,1.0,8292619
EQUATORIAL GUINEA,4.4.2020.8.30.14,16.0,0.0,1.0,8325014
EQUATORIAL GUINEA,4.4.2020.11.30.14,16.0,0.0,1.0,8335814
EQUATORIAL GUINEA,4.4.2020.14.30.16,16.0,0.0,1.0,8346616
EQUATORIAL GUINEA,4.4.2020.17.30.18,16.0,0.0,1.0,8357418
EQUATORIAL GUINEA,4.4.2020.20.30.33,16.0,0.0,1.0,8368233
EQUATORIAL GUINEA,4.4.2020.23.30.5,16.0,0.0,1.0,8379005
EQUATORIAL GUINEA,5.4.2020.8.30.7,16.0,0.0,1.0,8411407
EQUATORIAL GUINEA,5.4.2020.11.30.3,16.0,0.0,1.0,8422203
EQUATORIAL GUINEA,5.4.2020.14.30.4,16.0,0.0,1.0,8433004
EQUATORIAL GUINEA,5.4.2020.17.40.33,16.0,0.0,1.0,8444433
EQUATORIAL GUINEA,5.4.2020.20.33.28,16.0,0.0,1.0,8454808
EQUATORIAL GUINEA,5.4.2020.23.30.2,16.0,0.0,1.0,8465402
EQUATORIAL GUINEA,6.4.2020.8.37.49,16.0,0.0,1.0,8498269
EQUATORIAL GUINEA,6.4.2020.11.30.5,16.0,0.0,1.0,8508605
EQUATORIAL GUINEA,6.4.2020.14.44.21,16.0,0.0,1.0,8520261
EQUATORIAL GUINEA,6.4.2020.17.30.4,16.0,0.0,1.0,8530204
EQUATORIAL GUINEA,6.4.2020.21.0.44,16.0,0.0,1.0,8542844
EQUATORIAL GUINEA,7.4.2020.0.0.3,16.0,0.0,1.0,8553603
EQUATORIAL GUINEA,7.4.2020.9.0.4,16.0,0.0,3.0,8586004
EQUATORIAL GUINEA,7.4.2020.12.15.51,16.0,0.0,3.0,8597751
EQUATORIAL GUINEA,7.4.2020.15.59.55,16.0,0.0,3.0,8611195
EQUATORIAL GUINEA,7.4.2020.18.3.46,16.0,0.0,3.0,8618626
EQUATORIAL GUINEA,7.4.2020.21.32.15,16.0,0.0,3.0,8631135
EQUATORIAL GUINEA,8.4.2020.0.0.4,16.0,0.0,3.0,8640004
EQUATORIAL GUINEA,8.4.2020.9.0.46,16.0,0.0,3.0,8672446
EQUATORIAL GUINEA,8.4.2020.12.21.18,16.0,0.0,3.0,8684478
EQUATORIAL GUINEA,8.4.2020.15.4.46,16.0,0.0,3.0,8694286
EQUATORIAL GUINEA,8.4.2020.18.11.16,16.0,0.0,3.0,8705476
EQUATORIAL GUINEA,8.4.2020.21.33.56,16.0,0.0,3.0,8717636
EQUATORIAL GUINEA,9.4.2020.0.14.12,16.0,0.0,3.0,8727252
EQUATORIAL GUINEA,9.4.2020.11.19.24,18.0,0.0,3.0,8767164
EQUATORIAL GUINEA,9.4.2020.12.7.24,18.0,0.0,3.0,8770044
EQUATORIAL GUINEA,9.4.2020.14.57.9,18.0,0.0,3.0,8780229
EQUATORIAL GUINEA,9.4.2020.18.0.2,18.0,0.0,3.0,8791202
EQUATORIAL GUINEA,10.4.2020.1.6.14,18.0,0.0,3.0,8816774
EQUATORIAL GUINEA,10.4.2020.9.4.46,18.0,0.0,3.0,8845486
EQUATORIAL GUINEA,10.4.2020.12.9.17,18.0,0.0,3.0,8856557
EQUATORIAL GUINEA,10.4.2020.14.55.51,18.0,0.0,3.0,8866551
EQUATORIAL GUINEA,10.4.2020.18.41.5,18.0,0.0,3.0,8880065
EQUATORIAL GUINEA,10.4.2020.21.59.17,18.0,0.0,3.0,8891957
EQUATORIAL GUINEA,11.4.2020.0.0.34,18.0,0.0,3.0,8899234
EQUATORIAL GUINEA,11.4.2020.9.1.32,18.0,0.0,3.0,8931692
EQUATORIAL GUINEA,11.4.2020.12.8.24,18.0,0.0,3.0,8942904
EQUATORIAL GUINEA,11.4.2020.17.0.40,18.0,0.0,3.0,8960440
EQUATORIAL GUINEA,11.4.2020.18.12.28,18.0,0.0,3.0,8964748
EQUATORIAL GUINEA,11.4.2020.21.44.19,18.0,0.0,3.0,8977459
EQUATORIAL GUINEA,11.4.2020.23.59.29,18.0,0.0,3.0,8985569
EQUATORIAL GUINEA,12.4.2020.9.0.42,18.0,0.0,3.0,9018042
EQUATORIAL GUINEA,12.4.2020.12.5.42,18.0,0.0,3.0,9029142
EQUATORIAL GUINEA,12.4.2020.15.9.25,18.0,0.0,3.0,9040165
EQUATORIAL GUINEA,12.4.2020.18.22.1,21.0,0.0,3.0,9051721
EQUATORIAL GUINEA,12.4.2020.20.59.25,21.0,0.0,3.0,9061165
EQUATORIAL GUINEA,13.4.2020.0.7.13,21.0,0.0,3.0,9072433
EQUATORIAL GUINEA,13.4.2020.9.26.16,21.0,0.0,3.0,9105976
EQUATORIAL GUINEA,13.4.2020.11.59.14,21.0,0.0,3.0,9115154
EQUATORIAL GUINEA,13.4.2020.15.13.1,21.0,0.0,3.0,9126781
EQUATORIAL GUINEA,13.4.2020.20.23.47,21.0,0.0,3.0,9145427
