Nation,Time,Confirmed Case,Death,Recover,timestamp
ERITREA,2020-04-03 14:30:10,22.0,0.0,0.0,8260210
ERITREA,2020-04-03 14:30:11,22.0,0.0,0.0,8260211
ERITREA,2020-04-03 17:30:12,22.0,0.0,0.0,8271012
ERITREA,2020-04-03 20:30:12,22.0,0.0,0.0,8281812
ERITREA,2020-04-03 23:30:19,22.0,0.0,0.0,8292619
ERITREA,2020-04-04 08:30:14,22.0,0.0,0.0,8325014
ERITREA,2020-04-04 11:30:14,22.0,0.0,0.0,8335814
ERITREA,2020-04-04 14:30:16,22.0,0.0,0.0,8346616
ERITREA,2020-04-04 17:30:18,22.0,0.0,0.0,8357418
ERITREA,2020-04-04 20:30:33,22.0,0.0,0.0,8368233
ERITREA,2020-04-04 23:30:05,22.0,0.0,0.0,8379005
ERITREA,2020-04-05 08:30:07,29.0,0.0,0.0,8411407
ERITREA,2020-04-05 11:30:03,29.0,0.0,0.0,8422203
ERITREA,2020-04-05 14:30:04,29.0,0.0,0.0,8433004
ERITREA,2020-04-05 17:40:33,29.0,0.0,0.0,8444433
ERITREA,2020-04-05 20:33:28,29.0,0.0,0.0,8454808
ERITREA,2020-04-05 23:30:02,29.0,0.0,0.0,8465402
ERITREA,2020-04-06 08:37:49,29.0,0.0,0.0,8498269
ERITREA,2020-04-06 11:30:05,29.0,0.0,0.0,8508605
ERITREA,2020-04-06 14:44:21,29.0,0.0,0.0,8520261
ERITREA,2020-04-06 17:30:04,29.0,0.0,0.0,8530204
ERITREA,2020-04-06 21:00:44,29.0,0.0,0.0,8542844
ERITREA,2020-04-07 00:00:03,29.0,0.0,0.0,8553603
ERITREA,2020-04-07 09:00:04,31.0,0.0,0.0,8586004
ERITREA,2020-04-07 12:15:51,31.0,0.0,0.0,8597751
ERITREA,2020-04-07 15:59:55,31.0,0.0,0.0,8611195
ERITREA,2020-04-07 18:03:46,31.0,0.0,0.0,8618626
ERITREA,2020-04-07 21:32:15,31.0,0.0,0.0,8631135
ERITREA,2020-04-08 00:00:04,31.0,0.0,0.0,8640004
ERITREA,2020-04-08 09:00:46,31.0,0.0,0.0,8672446
ERITREA,2020-04-08 12:21:18,31.0,0.0,0.0,8684478
ERITREA,2020-04-08 15:04:46,31.0,0.0,0.0,8694286
ERITREA,2020-04-08 18:11:16,31.0,0.0,0.0,8705476
ERITREA,2020-04-08 21:33:56,31.0,0.0,0.0,8717636
ERITREA,2020-04-09 00:14:12,31.0,0.0,0.0,8727252
ERITREA,2020-04-09 11:19:24,33.0,0.0,0.0,8767164
ERITREA,2020-04-09 12:07:24,33.0,0.0,0.0,8770044
ERITREA,2020-04-09 14:57:09,33.0,0.0,0.0,8780229
ERITREA,2020-04-09 18:00:02,33.0,0.0,0.0,8791202
ERITREA,2020-04-10 01:06:14,33.0,0.0,0.0,8816774
ERITREA,2020-04-10 09:04:46,33.0,0.0,0.0,8845486
ERITREA,2020-04-10 12:09:17,33.0,0.0,0.0,8856557
ERITREA,2020-04-10 14:55:51,33.0,0.0,0.0,8866551
ERITREA,2020-04-10 18:41:05,33.0,0.0,0.0,8880065
ERITREA,2020-04-10 21:59:17,33.0,0.0,0.0,8891957
ERITREA,2020-04-11 00:00:34,34.0,0.0,0.0,8899234
ERITREA,2020-04-11 09:01:32,34.0,0.0,0.0,8931692
