Nation,Time,Confirmed Case,Death,Recover,timestamp
ETHIOPIA,3.4.2020.14.30.10,29.0,0.0,3.0,8260210
ETHIOPIA,3.4.2020.14.30.11,29.0,0.0,3.0,8260211
ETHIOPIA,3.4.2020.17.30.12,35.0,0.0,3.0,8271012
ETHIOPIA,3.4.2020.20.30.12,35.0,0.0,3.0,8281812
ETHIOPIA,3.4.2020.23.30.19,35.0,0.0,3.0,8292619
ETHIOPIA,4.4.2020.8.30.14,35.0,0.0,3.0,8325014
ETHIOPIA,4.4.2020.11.30.14,35.0,0.0,3.0,8335814
ETHIOPIA,4.4.2020.14.30.16,35.0,0.0,3.0,8346616
ETHIOPIA,4.4.2020.17.30.18,38.0,0.0,4.0,8357418
ETHIOPIA,4.4.2020.20.30.33,38.0,0.0,4.0,8368233
ETHIOPIA,4.4.2020.23.30.5,38.0,0.0,4.0,8379005
ETHIOPIA,5.4.2020.8.30.7,38.0,0.0,4.0,8411407
ETHIOPIA,5.4.2020.11.30.3,38.0,0.0,4.0,8422203
ETHIOPIA,5.4.2020.14.30.4,38.0,0.0,4.0,8433004
ETHIOPIA,5.4.2020.17.40.33,43.0,0.0,4.0,8444433
ETHIOPIA,5.4.2020.20.33.28,43.0,1.0,4.0,8454808
ETHIOPIA,5.4.2020.23.30.2,43.0,2.0,4.0,8465402
ETHIOPIA,6.4.2020.8.37.49,43.0,2.0,4.0,8498269
ETHIOPIA,6.4.2020.11.30.5,43.0,2.0,4.0,8508605
ETHIOPIA,6.4.2020.14.44.21,43.0,2.0,4.0,8520261
ETHIOPIA,6.4.2020.17.30.4,44.0,2.0,4.0,8530204
ETHIOPIA,6.4.2020.21.0.44,44.0,2.0,4.0,8542844
ETHIOPIA,7.4.2020.0.0.3,44.0,2.0,4.0,8553603
ETHIOPIA,7.4.2020.9.0.4,44.0,2.0,4.0,8586004
ETHIOPIA,7.4.2020.12.15.51,44.0,2.0,4.0,8597751
ETHIOPIA,7.4.2020.15.59.55,44.0,2.0,4.0,8611195
ETHIOPIA,7.4.2020.18.3.46,52.0,2.0,4.0,8618626
ETHIOPIA,7.4.2020.21.32.15,52.0,2.0,4.0,8631135
ETHIOPIA,8.4.2020.0.0.4,52.0,2.0,4.0,8640004
ETHIOPIA,8.4.2020.9.0.46,52.0,2.0,4.0,8672446
ETHIOPIA,8.4.2020.12.21.18,52.0,2.0,4.0,8684478
ETHIOPIA,8.4.2020.15.4.46,52.0,2.0,4.0,8694286
ETHIOPIA,8.4.2020.18.11.16,55.0,2.0,4.0,8705476
ETHIOPIA,8.4.2020.21.33.56,55.0,2.0,4.0,8717636
ETHIOPIA,9.4.2020.0.14.12,55.0,2.0,4.0,8727252
ETHIOPIA,9.4.2020.11.19.24,55.0,2.0,4.0,8767164
ETHIOPIA,9.4.2020.12.7.24,55.0,2.0,4.0,8770044
ETHIOPIA,9.4.2020.14.57.9,55.0,2.0,4.0,8780229
ETHIOPIA,9.4.2020.18.0.2,56.0,2.0,4.0,8791202
ETHIOPIA,10.4.2020.1.6.14,56.0,2.0,4.0,8816774
ETHIOPIA,10.4.2020.9.4.46,56.0,2.0,4.0,8845486
ETHIOPIA,10.4.2020.12.9.17,56.0,2.0,4.0,8856557
ETHIOPIA,10.4.2020.14.55.51,56.0,2.0,4.0,8866551
ETHIOPIA,10.4.2020.18.41.5,65.0,2.0,4.0,8880065
ETHIOPIA,10.4.2020.21.59.17,65.0,3.0,4.0,8891957
ETHIOPIA,11.4.2020.0.0.34,65.0,3.0,4.0,8899234
ETHIOPIA,11.4.2020.9.1.32,65.0,3.0,4.0,8931692
ETHIOPIA,11.4.2020.12.8.24,65.0,3.0,4.0,8942904
ETHIOPIA,11.4.2020.17.0.40,69.0,3.0,10.0,8960440
ETHIOPIA,11.4.2020.18.12.28,69.0,3.0,10.0,8964748
ETHIOPIA,11.4.2020.21.44.19,69.0,3.0,10.0,8977459
ETHIOPIA,11.4.2020.23.59.29,69.0,3.0,10.0,8985569
ETHIOPIA,12.4.2020.9.0.42,69.0,3.0,10.0,9018042
ETHIOPIA,12.4.2020.12.5.42,69.0,3.0,10.0,9029142
ETHIOPIA,12.4.2020.15.9.25,69.0,3.0,10.0,9040165
ETHIOPIA,12.4.2020.18.22.1,71.0,3.0,10.0,9051721
ETHIOPIA,12.4.2020.20.59.25,71.0,3.0,10.0,9061165
ETHIOPIA,13.4.2020.0.7.13,71.0,3.0,10.0,9072433
ETHIOPIA,13.4.2020.9.26.16,71.0,3.0,10.0,9105976
ETHIOPIA,13.4.2020.11.59.14,71.0,3.0,10.0,9115154
ETHIOPIA,13.4.2020.15.13.1,71.0,3.0,10.0,9126781
ETHIOPIA,13.4.2020.20.23.47,74.0,3.0,14.0,9145427
ETHIOPIA,13.4.2020.21.1.27,74.0,3.0,14.0,9147687
ETHIOPIA,14.4.2020.0.30.40,74.0,3.0,14.0,9160240
ETHIOPIA,14.4.2020.9.9.9,74.0,3.0,14.0,9191349
ETHIOPIA,14.4.2020.12.13.23,74.0,3.0,14.0,9202403
ETHIOPIA,14.4.2020.15.49.28,82.0,3.0,14.0,9215368
ETHIOPIA,14.4.2020.18.27.14,82.0,3.0,14.0,9224834
ETHIOPIA,14.4.2020.21.18.50,82.0,3.0,14.0,9235130
ETHIOPIA,15.4.2020.0.7.14,82.0,3.0,14.0,9245234
ETHIOPIA,15.4.2020.9.0.9,82.0,3.0,14.0,9277209
ETHIOPIA,15.4.2020.14.56.18,85.0,3.0,15.0,9298578
ETHIOPIA,15.4.2020.19.52.38,85.0,3.0,15.0,9316358
ETHIOPIA,15.4.2020.21.18.33,85.0,3.0,15.0,9321513
ETHIOPIA,16.4.2020.0.51.15,85.0,3.0,15.0,9334275
ETHIOPIA,16.4.2020.9.4.51,85.0,3.0,15.0,9363891
ETHIOPIA,16.4.2020.12.5.8,85.0,3.0,15.0,9374708
ETHIOPIA,16.4.2020.14.57.8,85.0,3.0,15.0,9385028
ETHIOPIA,16.4.2020.17.58.25,92.0,3.0,15.0,9395905
ETHIOPIA,16.4.2020.22.41.20,92.0,3.0,15.0,9412880
ETHIOPIA,17.4.2020.1.32.36,92.0,3.0,15.0,9423156
ETHIOPIA,17.4.2020.9.11.4,92.0,3.0,15.0,9450664
ETHIOPIA,17.4.2020.12.2.1,92.0,3.0,15.0,9460921
ETHIOPIA,17.4.2020.14.56.35,92.0,3.0,15.0,9471395
ETHIOPIA,17.4.2020.18.39.21,96.0,3.0,15.0,9484761
ETHIOPIA,17.4.2020.22.45.21,96.0,3.0,15.0,9499521
ETHIOPIA,18.4.2020.8.54.14,96.0,3.0,15.0,9536054
ETHIOPIA,18.4.2020.13.55.54,96.0,3.0,15.0,9554154
ETHIOPIA,18.4.2020.15.41.6,105.0,3.0,16.0,9560466
ETHIOPIA,18.4.2020.18.3.48,105.0,3.0,16.0,9569028
ETHIOPIA,19.4.2020.0.17.39,105.0,3.0,16.0,9591459
ETHIOPIA,19.4.2020.9.10.8,105.0,3.0,16.0,9623408
ETHIOPIA,19.4.2020.15.11.32,105.0,3.0,16.0,9645092
ETHIOPIA,19.4.2020.18.7.21,108.0,3.0,16.0,9655641
ETHIOPIA,19.4.2020.21.1.51,108.0,3.0,16.0,9666111
ETHIOPIA,20.4.2020.0.0.38,108.0,3.0,16.0,9676838
ETHIOPIA,20.4.2020.12.46.45,108.0,3.0,16.0,9722805
ETHIOPIA,20.4.2020.15.15.13,108.0,3.0,16.0,9731713
ETHIOPIA,20.4.2020.18.0.55,111.0,3.0,16.0,9741655
ETHIOPIA,20.4.2020.20.51.26,111.0,3.0,16.0,9751886
ETHIOPIA,20.4.2020.23.57.35,111.0,3.0,16.0,9763055
ETHIOPIA,21.4.2020.12.5.6,111.0,3.0,16.0,9806706
ETHIOPIA,21.4.2020.18.5.54,114.0,3.0,16.0,9828354
ETHIOPIA,21.4.2020.20.56.52,114.0,3.0,16.0,9838612
ETHIOPIA,22.4.2020.10.13.50,114.0,3.0,16.0,9886430
ETHIOPIA,22.4.2020.12.1.15,114.0,3.0,16.0,9892875
ETHIOPIA,22.4.2020.15.4.35,114.0,3.0,16.0,9903875
ETHIOPIA,23.4.2020.0.41.34,116.0,3.0,21.0,9938494
ETHIOPIA,23.4.2020.11.0.28,116.0,3.0,21.0,9975628
ETHIOPIA,23.4.2020.18.9.30,116.0,3.0,21.0,10001370
ETHIOPIA,23.4.2020.21.15.10,116.0,3.0,21.0,10012510
ETHIOPIA,24.4.2020.12.38.27,116.0,3.0,21.0,10067907
ETHIOPIA,24.4.2020.15.7.1,117.0,3.0,21.0,10076821
ETHIOPIA,24.4.2020.18.5.8,117.0,3.0,25.0,10087508
ETHIOPIA,25.4.2020.1.24.20,117.0,3.0,25.0,10113860
ETHIOPIA,25.4.2020.10.29.29,117.0,3.0,25.0,10146569
ETHIOPIA,25.4.2020.13.6.30,117.0,3.0,25.0,10155990
ETHIOPIA,25.4.2020.15.13.19,117.0,3.0,25.0,10163599
ETHIOPIA,25.4.2020.18.5.53,122.0,3.0,29.0,10173953
ETHIOPIA,26.4.2020.0.2.26,122.0,3.0,29.0,10195346
ETHIOPIA,26.4.2020.10.30.36,122.0,3.0,29.0,10233036
ETHIOPIA,26.4.2020.14.0.20,122.0,3.0,29.0,10245620
ETHIOPIA,26.4.2020.15.0.26,117.0,3.0,25.0,10249226
ETHIOPIA,26.4.2020.18.4.29,123.0,3.0,41.0,10260269
ETHIOPIA,26.4.2020.20.55.24,123.0,3.0,41.0,10270524
ETHIOPIA,27.4.2020.1.26.23,123.0,3.0,41.0,10286783
ETHIOPIA,27.4.2020.12.2.22,123.0,3.0,41.0,10324942
ETHIOPIA,27.4.2020.18.28.29,124.0,3.0,50.0,10348109
ETHIOPIA,27.4.2020.23.10.6,124.0,3.0,50.0,10365006
ETHIOPIA,28.4.2020.0.52.18,124.0,3.0,50.0,10371138
ETHIOPIA,28.4.2020.12.28.54,124.0,3.0,50.0,10412934
ETHIOPIA,29.4.2020.0.5.46,126.0,3.0,50.0,10454746
ETHIOPIA,29.4.2020.11.12.43,126.0,3.0,50.0,10494763
ETHIOPIA,29.4.2020.13.2.52,126.0,3.0,50.0,10501372
ETHIOPIA,29.4.2020.15.8.24,126.0,3.0,50.0,10508904
ETHIOPIA,29.4.2020.18.9.12,130.0,3.0,58.0,10519752
ETHIOPIA,29.4.2020.21.32.47,130.0,3.0,58.0,10531967
ETHIOPIA,30.4.2020.0.17.29,130.0,3.0,58.0,10541849
ETHIOPIA,30.4.2020.9.21.28,130.0,3.0,58.0,10574488
ETHIOPIA,30.4.2020.12.29.51,130.0,3.0,58.0,10585791
ETHIOPIA,30.4.2020.15.13.47,131.0,3.0,59.0,10595627
ETHIOPIA,1.5.2020.0.5.16,131.0,3.0,59.0,10713916
ETHIOPIA,1.5.2020.10.41.27,131.0,3.0,59.0,10752087
ETHIOPIA,1.5.2020.11.53.59,131.0,3.0,59.0,10756439
ETHIOPIA,1.5.2020.15.33.11,133.0,3.0,66.0,10769591
ETHIOPIA,1.5.2020.17.55.59,133.0,3.0,66.0,10778159
ETHIOPIA,1.5.2020.21.26.40,133.0,3.0,66.0,10790800
ETHIOPIA,2.5.2020.0.11.13,133.0,3.0,66.0,10800673
ETHIOPIA,2.5.2020.9.45.39,133.0,3.0,66.0,10835139
ETHIOPIA,2.5.2020.12.46.52,133.0,3.0,66.0,10846012
ETHIOPIA,2.5.2020.15.0.2,133.0,3.0,66.0,10854002
ETHIOPIA,2.5.2020.18.0.30,133.0,3.0,69.0,10864830
ETHIOPIA,3.5.2020.0.4.29,133.0,3.0,69.0,10886669
ETHIOPIA,3.5.2020.11.56.15,133.0,3.0,69.0,10929375
ETHIOPIA,3.5.2020.15.5.11,135.0,3.0,75.0,10940711
ETHIOPIA,3.5.2020.17.57.14,135.0,3.0,75.0,10951034
ETHIOPIA,3.5.2020.21.9.20,135.0,3.0,75.0,10962560
ETHIOPIA,3.5.2020.23.58.14,135.0,3.0,75.0,10972694
ETHIOPIA,4.5.2020.15.8.30,135.0,3.0,75.0,11027310
ETHIOPIA,4.5.2020.18.37.54,140.0,3.0,75.0,11039874
ETHIOPIA,4.5.2020.23.58.7,140.0,3.0,75.0,11059087
ETHIOPIA,5.5.2020.1.13.37,140.0,3.0,75.0,11063617
ETHIOPIA,5.5.2020.13.8.43,140.0,3.0,75.0,11106523
ETHIOPIA,5.5.2020.15.1.21,140.0,3.0,75.0,11113281
ETHIOPIA,5.5.2020.21.5.55,145.0,4.0,91.0,11135155
ETHIOPIA,6.5.2020.0.0.44,145.0,4.0,91.0,11145644
ETHIOPIA,6.5.2020.12.1.14,145.0,4.0,91.0,11188874
ETHIOPIA,6.5.2020.18.0.4,162.0,4.0,93.0,11210404
ETHIOPIA,7.5.2020.0.14.11,162.0,4.0,93.0,11232851
ETHIOPIA,7.5.2020.11.57.25,162.0,4.0,93.0,11275045
ETHIOPIA,7.5.2020.15.0.3,162.0,4.0,93.0,11286003
ETHIOPIA,7.5.2020.18.26.51,187.0,4.0,93.0,11298411
ETHIOPIA,7.5.2020.23.58.31,191.0,4.0,93.0,11318311
ETHIOPIA,8.5.2020.12.2.6,191.0,4.0,93.0,11361726
ETHIOPIA,8.5.2020.15.12.55,191.0,4.0,93.0,11373175
ETHIOPIA,8.5.2020.18.26.19,194.0,4.0,95.0,11384779
ETHIOPIA,8.5.2020.21.29.34,194.0,4.0,95.0,11395774
ETHIOPIA,9.5.2020.0.43.24,194.0,4.0,95.0,11407404
ETHIOPIA,9.5.2020.13.13.55,194.0,4.0,95.0,11452435
ETHIOPIA,9.5.2020.15.22.29,194.0,4.0,95.0,11460149
ETHIOPIA,9.5.2020.18.0.2,210.0,5.0,97.0,11469602
ETHIOPIA,10.5.2020.0.44.24,210.0,5.0,97.0,11493864
ETHIOPIA,10.5.2020.12.0.15,210.0,5.0,97.0,11534415
ETHIOPIA,10.5.2020.15.9.2,239.0,5.0,99.0,11545742
ETHIOPIA,10.5.2020.22.50.52,239.0,5.0,99.0,11573452
ETHIOPIA,10.5.2020.23.59.1,241.0,5.0,99.0,11577541
ETHIOPIA,11.5.2020.10.34.59,239.0,5.0,99.0,11615699
ETHIOPIA,11.5.2020.14.55.28,239.0,5.0,99.0,11631328
ETHIOPIA,11.5.2020.19.31.25,250.0,5.0,105.0,11647885
ETHIOPIA,11.5.2020.21.0.14,250.0,5.0,105.0,11653214
ETHIOPIA,12.5.2020.1.0.51,250.0,5.0,105.0,11667651
ETHIOPIA,12.5.2020.10.8.26,250.0,5.0,105.0,11700506
ETHIOPIA,12.5.2020.12.2.54,250.0,5.0,105.0,11707374
ETHIOPIA,12.5.2020.15.0.2,250.0,5.0,105.0,11718002
ETHIOPIA,12.5.2020.17.58.36,261.0,5.0,106.0,11728716
ETHIOPIA,12.5.2020.21.1.11,261.0,5.0,106.0,11739671
ETHIOPIA,12.5.2020.23.56.29,261.0,5.0,106.0,11750189
ETHIOPIA,13.5.2020.10.34.40,261.0,5.0,106.0,11788480
ETHIOPIA,13.5.2020.12.0.2,261.0,5.0,106.0,11793602
ETHIOPIA,13.5.2020.16.27.8,263.0,5.0,108.0,11809628
ETHIOPIA,13.5.2020.21.0.25,263.0,5.0,108.0,11826025
ETHIOPIA,14.5.2020.0.30.12,263.0,5.0,108.0,11838612
ETHIOPIA,14.5.2020.12.1.47,263.0,5.0,108.0,11880107
ETHIOPIA,14.5.2020.15.54.36,272.0,5.0,108.0,11894076
ETHIOPIA,14.5.2020.19.5.5,272.0,5.0,108.0,11905505
ETHIOPIA,14.5.2020.20.56.4,272.0,5.0,108.0,11912164
ETHIOPIA,15.5.2020.1.21.38,272.0,5.0,108.0,11928098
ETHIOPIA,15.5.2020.12.16.9,272.0,5.0,108.0,11967369
ETHIOPIA,15.5.2020.15.26.20,287.0,5.0,112.0,11978780
ETHIOPIA,15.5.2020.17.53.43,287.0,5.0,112.0,11987623
ETHIOPIA,15.5.2020.21.0.16,287.0,5.0,112.0,11998816
ETHIOPIA,15.5.2020.23.56.42,287.0,5.0,112.0,12009402
ETHIOPIA,16.5.2020.12.26.0,287.0,5.0,112.0,12054360
ETHIOPIA,16.5.2020.17.5.26,306.0,5.0,113.0,12071126
ETHIOPIA,16.5.2020.18.40.21,306.0,5.0,113.0,12076821
ETHIOPIA,16.5.2020.23.58.26,306.0,5.0,113.0,12095906
ETHIOPIA,17.5.2020.12.0.2,306.0,5.0,113.0,12139202
ETHIOPIA,17.5.2020.14.58.45,306.0,5.0,113.0,12149925
ETHIOPIA,17.5.2020.18.48.59,317.0,5.0,113.0,12163739
ETHIOPIA,17.5.2020.21.23.35,317.0,5.0,113.0,12173015
ETHIOPIA,18.5.2020.0.5.4,317.0,5.0,113.0,12182704
ETHIOPIA,18.5.2020.12.2.55,317.0,5.0,113.0,12225775
ETHIOPIA,18.5.2020.15.32.44,317.0,5.0,113.0,12238364
ETHIOPIA,18.5.2020.18.17.4,352.0,5.0,116.0,12248224
ETHIOPIA,18.5.2020.21.14.7,352.0,5.0,116.0,12258847
ETHIOPIA,18.5.2020.23.56.7,352.0,5.0,116.0,12268567
ETHIOPIA,19.5.2020.11.30.38,352.0,5.0,116.0,12310238
ETHIOPIA,19.5.2020.16.31.59,365.0,5.0,120.0,12328319
ETHIOPIA,19.5.2020.19.6.49,365.0,5.0,120.0,12337609
ETHIOPIA,19.5.2020.21.27.31,365.0,5.0,120.0,12346051
ETHIOPIA,19.5.2020.23.57.27,365.0,5.0,120.0,12355047
ETHIOPIA,20.5.2020.12.3.0,365.0,5.0,120.0,12398580
ETHIOPIA,20.5.2020.14.57.38,365.0,5.0,120.0,12409058
