Nation,Time,Confirmed Case,Death,Recover,timestamp
FAEROE ISLANDS,2020-04-03 14:30:10,179.0,0.0,91.0,8260210
FAEROE ISLANDS,2020-04-03 14:30:11,179.0,0.0,91.0,8260211
FAEROE ISLANDS,2020-04-03 17:30:12,179.0,0.0,91.0,8271012
FAEROE ISLANDS,2020-04-03 20:30:12,179.0,0.0,91.0,8281812
FAEROE ISLANDS,2020-04-03 23:30:19,179.0,0.0,91.0,8292619
FAEROE ISLANDS,2020-04-04 08:30:14,179.0,0.0,91.0,8325014
FAEROE ISLANDS,2020-04-04 11:30:14,179.0,0.0,91.0,8335814
FAEROE ISLANDS,2020-04-04 14:30:16,181.0,0.0,93.0,8346616
FAEROE ISLANDS,2020-04-04 17:30:18,181.0,0.0,93.0,8357418
FAEROE ISLANDS,2020-04-04 20:30:33,181.0,0.0,93.0,8368233
FAEROE ISLANDS,2020-04-04 23:30:05,181.0,0.0,93.0,8379005
FAEROE ISLANDS,2020-04-05 08:30:07,181.0,0.0,93.0,8411407
FAEROE ISLANDS,2020-04-05 11:30:03,181.0,0.0,93.0,8422203
FAEROE ISLANDS,2020-04-05 14:30:04,181.0,0.0,99.0,8433004
FAEROE ISLANDS,2020-04-05 17:40:33,181.0,0.0,99.0,8444433
FAEROE ISLANDS,2020-04-05 20:33:28,181.0,0.0,99.0,8454808
FAEROE ISLANDS,2020-04-05 23:30:02,181.0,0.0,99.0,8465402
FAEROE ISLANDS,2020-04-06 08:37:49,181.0,0.0,99.0,8498269
FAEROE ISLANDS,2020-04-06 11:30:05,181.0,0.0,99.0,8508605
FAEROE ISLANDS,2020-04-06 14:44:21,183.0,0.0,107.0,8520261
FAEROE ISLANDS,2020-04-06 17:30:04,183.0,0.0,107.0,8530204
FAEROE ISLANDS,2020-04-06 21:00:44,183.0,0.0,107.0,8542844
FAEROE ISLANDS,2020-04-07 00:00:03,183.0,0.0,107.0,8553603
FAEROE ISLANDS,2020-04-07 09:00:04,183.0,0.0,107.0,8586004
FAEROE ISLANDS,2020-04-07 12:15:51,183.0,0.0,107.0,8597751
FAEROE ISLANDS,2020-04-07 15:59:55,184.0,0.0,129.0,8611195
FAEROE ISLANDS,2020-04-07 18:03:46,184.0,0.0,129.0,8618626
FAEROE ISLANDS,2020-04-07 21:32:15,184.0,0.0,120.0,8631135
FAEROE ISLANDS,2020-04-08 00:00:04,184.0,0.0,120.0,8640004
FAEROE ISLANDS,2020-04-08 09:00:46,184.0,0.0,120.0,8672446
FAEROE ISLANDS,2020-04-08 12:21:18,184.0,0.0,131.0,8684478
FAEROE ISLANDS,2020-04-08 15:04:46,184.0,0.0,131.0,8694286
FAEROE ISLANDS,2020-04-08 18:11:16,184.0,0.0,131.0,8705476
FAEROE ISLANDS,2020-04-08 21:33:56,184.0,0.0,131.0,8717636
FAEROE ISLANDS,2020-04-09 00:14:12,184.0,0.0,131.0,8727252
FAEROE ISLANDS,2020-04-09 11:19:24,184.0,0.0,131.0,8767164
FAEROE ISLANDS,2020-04-09 12:07:24,184.0,0.0,131.0,8770044
FAEROE ISLANDS,2020-04-09 14:57:09,184.0,0.0,136.0,8780229
FAEROE ISLANDS,2020-04-09 18:00:02,184.0,0.0,136.0,8791202
FAEROE ISLANDS,2020-04-10 01:06:14,184.0,0.0,136.0,8816774
FAEROE ISLANDS,2020-04-10 09:04:46,184.0,0.0,136.0,8845486
FAEROE ISLANDS,2020-04-10 12:09:17,184.0,0.0,136.0,8856557
FAEROE ISLANDS,2020-04-10 14:55:51,184.0,0.0,145.0,8866551
FAEROE ISLANDS,2020-04-10 18:41:05,184.0,0.0,145.0,8880065
FAEROE ISLANDS,2020-04-10 21:59:17,184.0,0.0,145.0,8891957
FAEROE ISLANDS,2020-04-11 00:00:34,184.0,0.0,145.0,8899234
FAEROE ISLANDS,2020-04-11 09:01:32,184.0,0.0,145.0,8931692
FAEROE ISLANDS,2020-04-11 12:08:24,184.0,0.0,145.0,8942904
FAEROE ISLANDS,2020-04-11 17:00:40,184.0,0.0,145.0,8960440
FAEROE ISLANDS,2020-04-11 18:12:28,184.0,0.0,145.0,8964748
FAEROE ISLANDS,2020-04-11 21:44:19,184.0,0.0,145.0,8977459
FAEROE ISLANDS,2020-04-11 23:59:29,184.0,0.0,145.0,8985569
FAEROE ISLANDS,2020-04-12 09:00:42,184.0,0.0,145.0,9018042
FAEROE ISLANDS,2020-04-12 12:05:42,184.0,0.0,145.0,9029142
FAEROE ISLANDS,2020-04-12 15:09:25,184.0,0.0,157.0,9040165
FAEROE ISLANDS,2020-04-12 18:22:01,184.0,0.0,157.0,9051721
FAEROE ISLANDS,2020-04-12 20:59:25,184.0,0.0,157.0,9061165
FAEROE ISLANDS,2020-04-13 00:07:13,184.0,0.0,157.0,9072433
FAEROE ISLANDS,2020-04-13 09:26:16,184.0,0.0,157.0,9105976
FAEROE ISLANDS,2020-04-13 11:59:14,184.0,0.0,157.0,9115154
FAEROE ISLANDS,2020-04-13 15:13:01,184.0,0.0,157.0,9126781
FAEROE ISLANDS,2020-04-13 20:23:47,184.0,0.0,157.0,9145427
FAEROE ISLANDS,2020-04-13 21:01:27,184.0,0.0,157.0,9147687
FAEROE ISLANDS,2020-04-14 00:30:40,184.0,0.0,157.0,9160240
FAEROE ISLANDS,2020-04-14 09:09:09,184.0,0.0,157.0,9191349
FAEROE ISLANDS,2020-04-14 12:13:23,184.0,0.0,157.0,9202403
FAEROE ISLANDS,2020-04-14 15:49:28,184.0,0.0,163.0,9215368
FAEROE ISLANDS,2020-04-14 18:27:14,184.0,0.0,163.0,9224834
FAEROE ISLANDS,2020-04-14 21:18:50,184.0,0.0,163.0,9235130
FAEROE ISLANDS,2020-04-15 00:07:14,184.0,0.0,163.0,9245234
FAEROE ISLANDS,2020-04-15 09:00:09,184.0,0.0,163.0,9277209
FAEROE ISLANDS,2020-04-15 14:56:18,184.0,0.0,166.0,9298578
FAEROE ISLANDS,2020-04-15 19:52:38,184.0,0.0,166.0,9316358
FAEROE ISLANDS,2020-04-15 21:18:33,184.0,0.0,166.0,9321513
FAEROE ISLANDS,2020-04-16 00:51:15,184.0,0.0,166.0,9334275
FAEROE ISLANDS,2020-04-16 09:04:51,184.0,0.0,166.0,9363891
FAEROE ISLANDS,2020-04-16 12:05:08,184.0,0.0,166.0,9374708
FAEROE ISLANDS,2020-04-16 14:57:08,184.0,0.0,169.0,9385028
FAEROE ISLANDS,2020-04-16 17:58:25,184.0,0.0,169.0,9395905
