Nation,Time,Confirmed Case,Death,Recover,timestamp
FRENCH POLYNESIA,2020-04-03 14:30:10,37.0,0.0,0.0,8260210
FRENCH POLYNESIA,2020-04-03 14:30:11,37.0,0.0,0.0,8260211
FRENCH POLYNESIA,2020-04-03 17:30:12,37.0,0.0,0.0,8271012
FRENCH POLYNESIA,2020-04-03 20:30:12,37.0,0.0,0.0,8281812
FRENCH POLYNESIA,2020-04-03 23:30:19,37.0,0.0,0.0,8292619
FRENCH POLYNESIA,2020-04-04 08:30:14,39.0,0.0,0.0,8325014
FRENCH POLYNESIA,2020-04-04 11:30:14,39.0,0.0,0.0,8335814
FRENCH POLYNESIA,2020-04-04 14:30:16,39.0,0.0,0.0,8346616
FRENCH POLYNESIA,2020-04-04 17:30:18,39.0,0.0,0.0,8357418
FRENCH POLYNESIA,2020-04-04 20:30:33,39.0,0.0,0.0,8368233
FRENCH POLYNESIA,2020-04-04 23:30:05,39.0,0.0,0.0,8379005
FRENCH POLYNESIA,2020-04-05 08:30:07,40.0,0.0,0.0,8411407
FRENCH POLYNESIA,2020-04-05 11:30:03,40.0,0.0,0.0,8422203
FRENCH POLYNESIA,2020-04-05 14:30:04,40.0,0.0,0.0,8433004
FRENCH POLYNESIA,2020-04-05 17:40:33,40.0,0.0,0.0,8444433
FRENCH POLYNESIA,2020-04-05 20:33:28,40.0,0.0,0.0,8454808
FRENCH POLYNESIA,2020-04-05 23:30:02,40.0,0.0,0.0,8465402
FRENCH POLYNESIA,2020-04-06 08:37:49,41.0,0.0,0.0,8498269
FRENCH POLYNESIA,2020-04-06 11:30:05,41.0,0.0,0.0,8508605
FRENCH POLYNESIA,2020-04-06 14:44:21,41.0,0.0,0.0,8520261
FRENCH POLYNESIA,2020-04-06 17:30:04,41.0,0.0,0.0,8530204
FRENCH POLYNESIA,2020-04-06 21:00:44,41.0,0.0,0.0,8542844
FRENCH POLYNESIA,2020-04-07 00:00:03,41.0,0.0,0.0,8553603
FRENCH POLYNESIA,2020-04-07 09:00:04,42.0,0.0,0.0,8586004
FRENCH POLYNESIA,2020-04-07 12:15:51,42.0,0.0,0.0,8597751
FRENCH POLYNESIA,2020-04-07 15:59:55,42.0,0.0,0.0,8611195
FRENCH POLYNESIA,2020-04-07 18:03:46,42.0,0.0,0.0,8618626
FRENCH POLYNESIA,2020-04-07 21:32:15,42.0,0.0,0.0,8631135
FRENCH POLYNESIA,2020-04-08 00:00:04,42.0,0.0,0.0,8640004
FRENCH POLYNESIA,2020-04-08 09:00:46,47.0,0.0,0.0,8672446
FRENCH POLYNESIA,2020-04-08 12:21:18,47.0,0.0,0.0,8684478
FRENCH POLYNESIA,2020-04-08 15:04:46,47.0,0.0,0.0,8694286
FRENCH POLYNESIA,2020-04-08 18:11:16,47.0,0.0,0.0,8705476
FRENCH POLYNESIA,2020-04-08 21:33:56,47.0,0.0,0.0,8717636
FRENCH POLYNESIA,2020-04-09 00:14:12,47.0,0.0,0.0,8727252
FRENCH POLYNESIA,2020-04-09 11:19:24,51.0,0.0,0.0,8767164
