Nation,Time,Confirmed Case,Death,Recover,timestamp
GABON,3.4.2020.14.30.10,21.0,1.0,1.0,8260210
GABON,3.4.2020.14.30.11,21.0,1.0,1.0,8260211
GABON,3.4.2020.17.30.12,21.0,1.0,1.0,8271012
GABON,3.4.2020.20.30.12,21.0,1.0,1.0,8281812
GABON,3.4.2020.23.30.19,21.0,1.0,1.0,8292619
GABON,4.4.2020.8.30.14,21.0,1.0,1.0,8325014
GABON,4.4.2020.11.30.14,21.0,1.0,1.0,8335814
GABON,4.4.2020.14.30.16,21.0,1.0,1.0,8346616
GABON,4.4.2020.17.30.18,21.0,1.0,1.0,8357418
GABON,4.4.2020.20.30.33,21.0,1.0,1.0,8368233
GABON,4.4.2020.23.30.5,21.0,1.0,1.0,8379005
GABON,5.4.2020.8.30.7,21.0,1.0,1.0,8411407
GABON,5.4.2020.11.30.3,21.0,1.0,1.0,8422203
GABON,5.4.2020.14.30.4,21.0,1.0,1.0,8433004
GABON,5.4.2020.17.40.33,21.0,1.0,1.0,8444433
GABON,5.4.2020.20.33.28,21.0,1.0,1.0,8454808
GABON,5.4.2020.23.30.2,21.0,1.0,1.0,8465402
GABON,6.4.2020.8.37.49,21.0,1.0,1.0,8498269
GABON,6.4.2020.11.30.5,21.0,1.0,1.0,8508605
GABON,6.4.2020.14.44.21,24.0,1.0,1.0,8520261
GABON,6.4.2020.17.30.4,24.0,1.0,1.0,8530204
GABON,6.4.2020.21.0.44,24.0,1.0,1.0,8542844
GABON,7.4.2020.0.0.3,24.0,1.0,1.0,8553603
GABON,7.4.2020.9.0.4,24.0,1.0,1.0,8586004
GABON,7.4.2020.12.15.51,24.0,1.0,1.0,8597751
GABON,7.4.2020.15.59.55,30.0,1.0,1.0,8611195
GABON,7.4.2020.18.3.46,30.0,1.0,1.0,8618626
GABON,7.4.2020.21.32.15,30.0,1.0,1.0,8631135
GABON,8.4.2020.0.0.4,30.0,1.0,1.0,8640004
GABON,8.4.2020.9.0.46,30.0,1.0,1.0,8672446
GABON,8.4.2020.12.21.18,30.0,1.0,1.0,8684478
GABON,8.4.2020.15.4.46,30.0,1.0,1.0,8694286
GABON,8.4.2020.18.11.16,30.0,1.0,1.0,8705476
GABON,8.4.2020.21.33.56,30.0,1.0,1.0,8717636
GABON,9.4.2020.0.14.12,30.0,1.0,1.0,8727252
GABON,9.4.2020.11.19.24,34.0,1.0,1.0,8767164
GABON,9.4.2020.12.7.24,34.0,1.0,1.0,8770044
GABON,9.4.2020.14.57.9,34.0,1.0,1.0,8780229
GABON,9.4.2020.18.0.2,34.0,1.0,1.0,8791202
GABON,10.4.2020.1.6.14,44.0,1.0,1.0,8816774
GABON,10.4.2020.9.4.46,44.0,1.0,1.0,8845486
GABON,10.4.2020.12.9.17,44.0,1.0,1.0,8856557
GABON,10.4.2020.14.55.51,44.0,1.0,1.0,8866551
GABON,10.4.2020.18.41.5,44.0,1.0,1.0,8880065
GABON,10.4.2020.21.59.17,44.0,1.0,1.0,8891957
GABON,11.4.2020.0.0.34,44.0,1.0,1.0,8899234
GABON,11.4.2020.9.1.32,46.0,1.0,1.0,8931692
GABON,11.4.2020.12.8.24,46.0,1.0,1.0,8942904
GABON,11.4.2020.17.0.40,46.0,1.0,1.0,8960440
GABON,11.4.2020.18.12.28,46.0,1.0,1.0,8964748
GABON,11.4.2020.21.44.19,44.0,1.0,1.0,8977459
GABON,11.4.2020.23.59.29,46.0,1.0,1.0,8985569
GABON,12.4.2020.9.0.42,46.0,1.0,1.0,9018042
GABON,12.4.2020.12.5.42,49.0,1.0,1.0,9029142
GABON,12.4.2020.15.9.25,49.0,1.0,1.0,9040165
GABON,12.4.2020.18.22.1,49.0,1.0,1.0,9051721
GABON,12.4.2020.20.59.25,49.0,1.0,1.0,9061165
GABON,13.4.2020.0.7.13,49.0,1.0,1.0,9072433
GABON,13.4.2020.9.26.16,49.0,1.0,1.0,9105976
GABON,13.4.2020.11.59.14,49.0,1.0,1.0,9115154
GABON,13.4.2020.15.13.1,57.0,1.0,1.0,9126781
GABON,13.4.2020.20.23.47,57.0,1.0,1.0,9145427
GABON,13.4.2020.21.1.27,57.0,1.0,1.0,9147687
GABON,14.4.2020.0.30.40,57.0,1.0,1.0,9160240
GABON,14.4.2020.9.9.9,57.0,1.0,1.0,9191349
GABON,14.4.2020.12.13.23,57.0,1.0,1.0,9202403
GABON,14.4.2020.15.49.28,57.0,1.0,1.0,9215368
GABON,14.4.2020.18.27.14,57.0,1.0,1.0,9224834
GABON,14.4.2020.21.18.50,57.0,1.0,1.0,9235130
GABON,15.4.2020.0.7.14,57.0,1.0,1.0,9245234
GABON,15.4.2020.9.0.9,80.0,1.0,5.0,9277209
GABON,15.4.2020.14.56.18,80.0,1.0,5.0,9298578
GABON,15.4.2020.19.52.38,80.0,1.0,5.0,9316358
GABON,15.4.2020.21.18.33,80.0,1.0,5.0,9321513
GABON,16.4.2020.0.51.15,80.0,1.0,5.0,9334275
GABON,16.4.2020.9.4.51,80.0,1.0,5.0,9363891
GABON,16.4.2020.12.5.8,80.0,1.0,5.0,9374708
GABON,16.4.2020.14.57.8,80.0,1.0,5.0,9385028
GABON,16.4.2020.17.58.25,80.0,1.0,5.0,9395905
GABON,16.4.2020.22.41.20,80.0,1.0,5.0,9412880
GABON,17.4.2020.1.32.36,80.0,1.0,5.0,9423156
GABON,17.4.2020.9.11.4,95.0,1.0,6.0,9450664
GABON,17.4.2020.12.2.1,95.0,1.0,6.0,9460921
GABON,17.4.2020.14.56.35,95.0,1.0,6.0,9471395
GABON,17.4.2020.18.39.21,95.0,1.0,6.0,9484761
GABON,17.4.2020.22.45.21,95.0,1.0,6.0,9499521
GABON,18.4.2020.8.54.14,108.0,1.0,7.0,9536054
GABON,18.4.2020.13.55.54,108.0,1.0,7.0,9554154
GABON,18.4.2020.15.41.6,108.0,1.0,7.0,9560466
GABON,18.4.2020.18.3.48,108.0,1.0,7.0,9569028
GABON,19.4.2020.0.17.39,108.0,1.0,7.0,9591459
GABON,19.4.2020.9.10.8,109.0,1.0,7.0,9623408
GABON,19.4.2020.15.11.32,109.0,1.0,7.0,9645092
GABON,19.4.2020.18.7.21,109.0,1.0,7.0,9655641
GABON,19.4.2020.21.1.51,109.0,1.0,7.0,9666111
GABON,20.4.2020.0.0.38,109.0,1.0,7.0,9676838
GABON,20.4.2020.12.46.45,109.0,1.0,7.0,9722805
GABON,20.4.2020.15.15.13,109.0,1.0,7.0,9731713
GABON,20.4.2020.18.0.55,109.0,1.0,7.0,9741655
GABON,20.4.2020.20.51.26,109.0,1.0,7.0,9751886
GABON,20.4.2020.23.57.35,109.0,1.0,7.0,9763055
GABON,21.4.2020.12.5.6,120.0,1.0,7.0,9806706
GABON,21.4.2020.18.5.54,120.0,1.0,7.0,9828354
GABON,21.4.2020.20.56.52,120.0,1.0,7.0,9838612
GABON,22.4.2020.10.13.50,156.0,1.0,16.0,9886430
GABON,22.4.2020.12.1.15,156.0,1.0,16.0,9892875
GABON,22.4.2020.15.4.35,156.0,1.0,16.0,9903875
GABON,23.4.2020.0.41.34,156.0,1.0,16.0,9938494
GABON,23.4.2020.11.0.28,166.0,1.0,24.0,9975628
GABON,23.4.2020.18.9.30,166.0,2.0,24.0,10001370
GABON,23.4.2020.21.15.10,166.0,2.0,24.0,10012510
GABON,24.4.2020.12.38.27,167.0,2.0,24.0,10067907
GABON,24.4.2020.15.7.1,167.0,2.0,24.0,10076821
GABON,24.4.2020.18.5.8,167.0,2.0,24.0,10087508
GABON,25.4.2020.1.24.20,167.0,2.0,24.0,10113860
GABON,25.4.2020.10.29.29,172.0,3.0,26.0,10146569
GABON,25.4.2020.13.6.30,172.0,3.0,26.0,10155990
GABON,25.4.2020.15.13.19,172.0,3.0,26.0,10163599
GABON,25.4.2020.18.5.53,172.0,3.0,26.0,10173953
GABON,26.4.2020.0.2.26,172.0,3.0,26.0,10195346
GABON,26.4.2020.10.30.36,176.0,3.0,30.0,10233036
GABON,26.4.2020.14.0.20,176.0,3.0,30.0,10245620
GABON,26.4.2020.15.0.26,172.0,3.0,26.0,10249226
GABON,26.4.2020.18.4.29,176.0,3.0,30.0,10260269
GABON,26.4.2020.20.55.24,176.0,3.0,30.0,10270524
GABON,27.4.2020.1.26.23,176.0,3.0,30.0,10286783
GABON,27.4.2020.12.2.22,176.0,3.0,30.0,10324942
GABON,27.4.2020.18.28.29,176.0,3.0,30.0,10348109
GABON,27.4.2020.23.10.6,176.0,3.0,30.0,10365006
GABON,28.4.2020.0.52.18,176.0,3.0,30.0,10371138
GABON,28.4.2020.12.28.54,211.0,3.0,43.0,10412934
GABON,29.4.2020.0.5.46,211.0,3.0,43.0,10454746
GABON,29.4.2020.11.12.43,238.0,3.0,53.0,10494763
GABON,29.4.2020.13.2.52,238.0,3.0,53.0,10501372
GABON,29.4.2020.15.8.24,238.0,3.0,53.0,10508904
GABON,29.4.2020.18.9.12,238.0,3.0,53.0,10519752
GABON,29.4.2020.21.32.47,238.0,3.0,53.0,10531967
GABON,30.4.2020.0.17.29,238.0,3.0,53.0,10541849
GABON,30.4.2020.9.21.28,276.0,3.0,67.0,10574488
GABON,30.4.2020.12.29.51,276.0,3.0,67.0,10585791
GABON,30.4.2020.15.13.47,276.0,3.0,67.0,10595627
GABON,1.5.2020.0.5.16,276.0,3.0,67.0,10713916
