Nation,Time,Confirmed Case,Death,Recover,timestamp
GEORGIA,3.4.2020.14.30.10,148.0,0.0,27.0,8260210
GEORGIA,3.4.2020.14.30.11,148.0,0.0,27.0,8260211
GEORGIA,3.4.2020.17.30.12,148.0,0.0,27.0,8271012
GEORGIA,3.4.2020.20.30.12,148.0,0.0,27.0,8281812
GEORGIA,3.4.2020.23.30.19,148.0,0.0,27.0,8292619
GEORGIA,4.4.2020.8.30.14,155.0,0.0,28.0,8325014
GEORGIA,4.4.2020.11.30.14,155.0,0.0,28.0,8335814
GEORGIA,4.4.2020.14.30.16,156.0,1.0,28.0,8346616
GEORGIA,4.4.2020.17.30.18,157.0,1.0,28.0,8357418
GEORGIA,4.4.2020.20.30.33,157.0,1.0,28.0,8368233
GEORGIA,4.4.2020.23.30.5,159.0,1.0,31.0,8379005
GEORGIA,5.4.2020.8.30.7,162.0,1.0,36.0,8411407
GEORGIA,5.4.2020.11.30.3,162.0,1.0,36.0,8422203
GEORGIA,5.4.2020.14.30.4,170.0,1.0,36.0,8433004
GEORGIA,5.4.2020.17.40.33,170.0,2.0,36.0,8444433
GEORGIA,5.4.2020.20.33.28,170.0,2.0,36.0,8454808
GEORGIA,5.4.2020.23.30.2,174.0,2.0,36.0,8465402
GEORGIA,6.4.2020.8.37.49,174.0,2.0,36.0,8498269
GEORGIA,6.4.2020.11.30.5,174.0,2.0,36.0,8508605
GEORGIA,6.4.2020.14.44.21,188.0,2.0,36.0,8520261
GEORGIA,6.4.2020.17.30.4,188.0,2.0,36.0,8530204
GEORGIA,6.4.2020.21.0.44,188.0,2.0,39.0,8542844
GEORGIA,7.4.2020.0.0.3,188.0,2.0,39.0,8553603
GEORGIA,7.4.2020.9.0.4,188.0,2.0,39.0,8586004
GEORGIA,7.4.2020.12.15.51,195.0,2.0,39.0,8597751
GEORGIA,7.4.2020.15.59.55,195.0,2.0,39.0,8611195
GEORGIA,7.4.2020.18.3.46,195.0,2.0,39.0,8618626
GEORGIA,7.4.2020.21.32.15,195.0,3.0,45.0,8631135
GEORGIA,8.4.2020.0.0.4,196.0,3.0,46.0,8640004
GEORGIA,8.4.2020.9.0.46,196.0,3.0,46.0,8672446
GEORGIA,8.4.2020.12.21.18,208.0,3.0,46.0,8684478
GEORGIA,8.4.2020.15.4.46,208.0,3.0,48.0,8694286
GEORGIA,8.4.2020.18.11.16,208.0,3.0,48.0,8705476
GEORGIA,8.4.2020.21.33.56,208.0,3.0,48.0,8717636
GEORGIA,9.4.2020.0.14.12,211.0,3.0,50.0,8727252
GEORGIA,9.4.2020.11.19.24,211.0,3.0,50.0,8767164
GEORGIA,9.4.2020.12.7.24,211.0,3.0,50.0,8770044
GEORGIA,9.4.2020.14.57.9,214.0,3.0,50.0,8780229
GEORGIA,9.4.2020.18.0.2,214.0,3.0,50.0,8791202
GEORGIA,10.4.2020.1.6.14,218.0,3.0,51.0,8816774
GEORGIA,10.4.2020.9.4.46,218.0,3.0,51.0,8845486
GEORGIA,10.4.2020.12.9.17,218.0,3.0,51.0,8856557
GEORGIA,10.4.2020.14.55.51,230.0,3.0,52.0,8866551
GEORGIA,10.4.2020.18.41.5,230.0,3.0,52.0,8880065
GEORGIA,10.4.2020.21.59.17,234.0,3.0,54.0,8891957
GEORGIA,11.4.2020.0.0.34,234.0,3.0,54.0,8899234
GEORGIA,11.4.2020.9.1.32,234.0,3.0,54.0,8931692
GEORGIA,11.4.2020.12.8.24,234.0,3.0,54.0,8942904
GEORGIA,11.4.2020.17.0.40,233.0,3.0,56.0,8960440
GEORGIA,11.4.2020.18.12.28,233.0,3.0,56.0,8964748
GEORGIA,11.4.2020.21.44.19,233.0,3.0,56.0,8977459
GEORGIA,11.4.2020.23.59.29,233.0,3.0,60.0,8985569
GEORGIA,12.4.2020.9.0.42,233.0,3.0,60.0,9018042
GEORGIA,12.4.2020.12.5.42,233.0,3.0,60.0,9029142
GEORGIA,12.4.2020.15.9.25,233.0,3.0,63.0,9040165
GEORGIA,12.4.2020.18.22.1,252.0,3.0,63.0,9051721
GEORGIA,12.4.2020.20.59.25,252.0,3.0,63.0,9061165
GEORGIA,13.4.2020.0.7.13,257.0,3.0,67.0,9072433
GEORGIA,13.4.2020.9.26.16,257.0,3.0,67.0,9105976
GEORGIA,13.4.2020.11.59.14,257.0,3.0,67.0,9115154
GEORGIA,13.4.2020.15.13.1,266.0,3.0,67.0,9126781
GEORGIA,13.4.2020.20.23.47,266.0,3.0,67.0,9145427
GEORGIA,13.4.2020.21.1.27,266.0,3.0,67.0,9147687
GEORGIA,14.4.2020.0.30.40,272.0,3.0,68.0,9160240
GEORGIA,14.4.2020.9.9.9,272.0,3.0,68.0,9191349
GEORGIA,14.4.2020.12.13.23,296.0,3.0,68.0,9202403
GEORGIA,14.4.2020.15.49.28,296.0,3.0,68.0,9215368
GEORGIA,14.4.2020.18.27.14,296.0,3.0,68.0,9224834
GEORGIA,14.4.2020.21.18.50,296.0,3.0,68.0,9235130
GEORGIA,15.4.2020.0.7.14,296.0,3.0,69.0,9245234
GEORGIA,15.4.2020.9.0.9,300.0,3.0,69.0,9277209
GEORGIA,15.4.2020.14.56.18,306.0,3.0,69.0,9298578
GEORGIA,15.4.2020.19.52.38,306.0,3.0,69.0,9316358
GEORGIA,15.4.2020.21.18.33,306.0,3.0,69.0,9321513
GEORGIA,16.4.2020.0.51.15,306.0,3.0,71.0,9334275
GEORGIA,16.4.2020.9.4.51,306.0,3.0,71.0,9363891
GEORGIA,16.4.2020.12.5.8,306.0,3.0,71.0,9374708
GEORGIA,16.4.2020.14.57.8,336.0,3.0,74.0,9385028
GEORGIA,16.4.2020.17.58.25,336.0,3.0,74.0,9395905
GEORGIA,16.4.2020.22.41.20,348.0,3.0,76.0,9412880
GEORGIA,17.4.2020.1.32.36,348.0,3.0,76.0,9423156
