Nation,Time,Confirmed Case,Death,Recover,timestamp
GERMANY,2020-04-03 14:30:10,84789.0,1109.0,22943.0,8260210
GERMANY,2020-04-03 14:30:11,84789.0,1109.0,22943.0,8260211
GERMANY,2020-04-03 17:30:12,85528.0,1109.0,22943.0,8271012
GERMANY,2020-04-03 20:30:12,88914.0,1203.0,25590.0,8281812
GERMANY,2020-04-03 23:30:19,89410.0,1233.0,26016.0,8292619
GERMANY,2020-04-04 08:30:14,91077.0,1277.0,26888.0,8325014
GERMANY,2020-04-04 11:30:14,91077.0,1277.0,26888.0,8335814
GERMANY,2020-04-04 14:30:16,91078.0,1277.0,26888.0,8346616
GERMANY,2020-04-04 17:30:18,91565.0,1277.0,26888.0,8357418
GERMANY,2020-04-04 20:30:33,91565.0,1277.0,26888.0,8368233
GERMANY,2020-04-04 23:30:05,92292.0,1300.0,26888.0,8379005
GERMANY,2020-04-05 08:30:07,96109.0,1446.0,28910.0,8411407
GERMANY,2020-04-05 11:30:03,96109.0,1446.0,28910.0,8422203
GERMANY,2020-04-05 14:30:04,96109.0,1446.0,28910.0,8433004
GERMANY,2020-04-05 17:40:33,96109.0,1446.0,28910.0,8444433
GERMANY,2020-04-05 20:33:28,97381.0,1446.0,28910.0,8454808
GERMANY,2020-04-05 23:30:02,98779.0,1519.0,30562.0,8465402
GERMANY,2020-04-06 08:37:49,100132.0,1584.0,32003.0,8498269
GERMANY,2020-04-06 11:30:05,100132.0,1584.0,32003.0,8508605
GERMANY,2020-04-06 14:44:21,100132.0,1584.0,32003.0,8520261
GERMANY,2020-04-06 17:30:04,100132.0,1584.0,32003.0,8530204
GERMANY,2020-04-06 21:00:44,100232.0,1584.0,32003.0,8542844
GERMANY,2020-04-07 00:00:03,101525.0,1759.0,35800.0,8553603
GERMANY,2020-04-07 09:00:04,103493.0,1810.0,35980.0,8586004
GERMANY,2020-04-07 12:15:51,103493.0,1810.0,35946.0,8597751
GERMANY,2020-04-07 15:59:55,103493.0,1810.0,35946.0,8611195
GERMANY,2020-04-07 18:03:46,104013.0,1851.0,36294.0,8618626
GERMANY,2020-04-07 21:32:15,105388.0,1919.0,38656.0,8631135
GERMANY,2020-04-08 00:00:04,106409.0,1948.0,39018.0,8640004
GERMANY,2020-04-08 09:00:46,107907.0,2024.0,40445.0,8672446
GERMANY,2020-04-08 12:21:18,107907.0,2024.0,40445.0,8684478
GERMANY,2020-04-08 15:04:46,107907.0,2024.0,40445.0,8694286
GERMANY,2020-04-08 18:11:16,108263.0,2024.0,40445.0,8705476
GERMANY,2020-04-08 21:33:56,110100.0,2174.0,42751.0,8717636
GERMANY,2020-04-09 00:14:12,110100.0,2174.0,42751.0,8727252
GERMANY,2020-04-09 11:19:24,113460.0,2280.0,45172.0,8767164
GERMANY,2020-04-09 12:07:24,113460.0,2280.0,45172.0,8770044
GERMANY,2020-04-09 14:57:09,113460.0,2280.0,45172.0,8780229
GERMANY,2020-04-09 18:00:02,113576.0,2280.0,45172.0,8791202
GERMANY,2020-04-10 01:06:14,115696.0,2447.0,48752.0,8816774
GERMANY,2020-04-10 09:04:46,118463.0,2536.0,46786.0,8845486
GERMANY,2020-04-10 12:09:17,118463.0,2536.0,46786.0,8856557
GERMANY,2020-04-10 14:55:51,118463.0,2536.0,46786.0,8866551
GERMANY,2020-04-10 18:41:05,118767.0,2589.0,47077.0,8880065
GERMANY,2020-04-10 21:59:17,119132.0,2608.0,49045.0,8891957
GERMANY,2020-04-11 00:00:34,119311.0,2666.0,53913.0,8899234
GERMANY,2020-04-11 09:01:32,122295.0,2705.0,50323.0,8931692
GERMANY,2020-04-11 12:08:24,122295.0,2705.0,50323.0,8942904
GERMANY,2020-04-11 17:00:40,122295.0,2705.0,50323.0,8960440
GERMANY,2020-04-11 18:12:28,122295.0,2720.0,50323.0,8964748
GERMANY,2020-04-11 21:44:19,122422.0,2778.0,52108.0,8977459
GERMANY,2020-04-11 23:59:29,122422.0,2778.0,52108.0,8985569
GERMANY,2020-04-12 09:00:42,125608.0,2871.0,53667.0,9018042
GERMANY,2020-04-12 12:05:42,125608.0,2871.0,53667.0,9029142
GERMANY,2020-04-12 15:09:25,125608.0,2871.0,53667.0,9040165
GERMANY,2020-04-12 18:22:01,125608.0,2871.0,53667.0,9051721
GERMANY,2020-04-12 20:59:25,126117.0,2945.0,55316.0,9061165
GERMANY,2020-04-13 00:07:13,126117.0,2945.0,55316.0,9072433
GERMANY,2020-04-13 09:26:16,127890.0,3022.0,56297.0,9105976
GERMANY,2020-04-13 11:59:14,127890.0,3022.0,56297.0,9115154
GERMANY,2020-04-13 15:13:01,127890.0,3022.0,56297.0,9126781
GERMANY,2020-04-13 20:23:47,127890.0,3022.0,56297.0,9145427
GERMANY,2020-04-13 21:01:27,127952.0,3105.0,57940.0,9147687
GERMANY,2020-04-14 00:30:40,127952.0,3105.0,57940.0,9160240
GERMANY,2020-04-14 09:09:09,130084.0,3194.0,58818.0,9191349
GERMANY,2020-04-14 12:13:23,130084.0,3194.0,58818.0,9202403
GERMANY,2020-04-14 15:49:28,130084.0,3194.0,58818.0,9215368
GERMANY,2020-04-14 18:27:14,130364.0,3272.0,60867.0,9224834
GERMANY,2020-04-14 21:18:50,130826.0,3356.0,61725.0,9235130
GERMANY,2020-04-15 00:07:14,131149.0,3445.0,63362.0,9245234
GERMANY,2020-04-15 09:00:09,132286.0,3495.0,63694.0,9277209
GERMANY,2020-04-15 14:56:18,132286.0,3498.0,63720.0,9298578
GERMANY,2020-04-15 19:52:38,132540.0,3570.0,66004.0,9316358
GERMANY,2020-04-15 21:18:33,132610.0,3640.0,66411.0,9321513
GERMANY,2020-04-16 00:51:15,133214.0,3772.0,68795.0,9334275
GERMANY,2020-04-16 09:04:51,134834.0,3804.0,68507.0,9363891
GERMANY,2020-04-16 12:05:08,134834.0,3804.0,68507.0,9374708
GERMANY,2020-04-16 14:57:08,134834.0,3804.0,68507.0,9385028
GERMANY,2020-04-16 17:58:25,134834.0,3804.0,68507.0,9395905
GERMANY,2020-04-16 22:41:20,135441.0,3935.0,71041.0,9412880
GERMANY,2020-04-17 01:32:36,137389.0,4102.0,73073.0,9423156
GERMANY,2020-04-17 09:11:04,138253.0,4105.0,73096.0,9450664
GERMANY,2020-04-17 12:02:01,138253.0,4105.0,73096.0,9460921
GERMANY,2020-04-17 14:56:35,138307.0,4129.0,73246.0,9471395
GERMANY,2020-04-17 18:39:21,138307.0,4129.0,73246.0,9484761
GERMANY,2020-04-17 22:45:21,138584.0,4256.0,76711.0,9499521
GERMANY,2020-04-18 08:54:14,141451.0,4367.0,78035.0,9536054
GERMANY,2020-04-18 13:55:54,141451.0,4367.0,78035.0,9554154
GERMANY,2020-04-18 15:41:06,141451.0,4367.0,78035.0,9560466
GERMANY,2020-04-18 18:03:48,141451.0,4367.0,78035.0,9569028
GERMANY,2020-04-19 00:17:39,142509.0,4512.0,83652.0,9591459
GERMANY,2020-04-19 09:10:08,143768.0,4542.0,81761.0,9623408
GERMANY,2020-04-19 15:11:32,143768.0,4542.0,81761.0,9645092
GERMANY,2020-04-19 18:07:21,143768.0,4542.0,81761.0,9655641
GERMANY,2020-04-19 21:01:51,143978.0,4569.0,81761.0,9666111
GERMANY,2020-04-20 00:00:38,143978.0,4569.0,81761.0,9676838
GERMANY,2020-04-20 12:46:45,145798.0,4648.0,85466.0,9722805
GERMANY,2020-04-20 15:15:13,145798.0,4649.0,85466.0,9731713
GERMANY,2020-04-20 18:00:55,145798.0,4670.0,85765.0,9741655
GERMANY,2020-04-20 20:51:26,146476.0,4734.0,91657.0,9751886
GERMANY,2020-04-20 23:57:35,146904.0,4829.0,92065.0,9763055
GERMANY,2020-04-21 12:05:06,147146.0,4865.0,92292.0,9806706
GERMANY,2020-04-21 18:05:54,147316.0,4868.0,95200.0,9828354
GERMANY,2020-04-21 20:56:52,147601.0,4897.0,95200.0,9838612
GERMANY,2020-04-22 10:13:50,148576.0,5102.0,95200.0,9886430
GERMANY,2020-04-22 12:01:15,148576.0,5102.0,95200.0,9892875
GERMANY,2020-04-22 15:04:35,148576.0,5102.0,95200.0,9903875
GERMANY,2020-04-23 00:41:34,150187.0,5259.0,100600.0,9938494
GERMANY,2020-04-23 11:00:28,150634.0,5321.0,100600.0,9975628
GERMANY,2020-04-23 18:09:30,150634.0,5321.0,100600.0,10001370
GERMANY,2020-04-23 21:15:10,150634.0,5321.0,100600.0,10012510
GERMANY,2020-04-24 12:38:27,153188.0,5581.0,103300.0,10067907
GERMANY,2020-04-24 15:07:01,153188.0,5581.0,103300.0,10076821
GERMANY,2020-04-24 18:05:08,153188.0,5581.0,103300.0,10087508
GERMANY,2020-04-25 01:24:20,153188.0,5581.0,103300.0,10113860
GERMANY,2020-04-25 10:29:29,155102.0,5786.0,106800.0,10146569
GERMANY,2020-04-25 13:06:30,155102.0,5786.0,106800.0,10155990
GERMANY,2020-04-25 15:13:19,155102.0,5786.0,106800.0,10163599
GERMANY,2020-04-25 18:05:53,155102.0,5786.0,106800.0,10173953
GERMANY,2020-04-26 00:02:26,155102.0,5786.0,106800.0,10195346
