Nation,Time,Confirmed Case,Death,Recover,timestamp
GHANA,3.4.2020.14.30.10,204.0,5.0,31.0,8260210
GHANA,3.4.2020.14.30.11,204.0,5.0,31.0,8260211
GHANA,3.4.2020.17.30.12,204.0,5.0,31.0,8271012
GHANA,3.4.2020.20.30.12,204.0,5.0,31.0,8281812
GHANA,3.4.2020.23.30.19,205.0,5.0,31.0,8292619
GHANA,4.4.2020.8.30.14,205.0,5.0,31.0,8325014
GHANA,4.4.2020.11.30.14,205.0,5.0,31.0,8335814
GHANA,4.4.2020.14.30.16,205.0,5.0,31.0,8346616
GHANA,4.4.2020.17.30.18,205.0,5.0,31.0,8357418
GHANA,4.4.2020.20.30.33,205.0,5.0,31.0,8368233
GHANA,4.4.2020.23.30.5,205.0,5.0,31.0,8379005
GHANA,5.4.2020.8.30.7,205.0,5.0,31.0,8411407
GHANA,5.4.2020.11.30.3,205.0,5.0,31.0,8422203
GHANA,5.4.2020.14.30.4,214.0,5.0,31.0,8433004
GHANA,5.4.2020.17.40.33,214.0,5.0,31.0,8444433
GHANA,5.4.2020.20.33.28,214.0,5.0,31.0,8454808
GHANA,5.4.2020.23.30.2,214.0,5.0,31.0,8465402
GHANA,6.4.2020.8.37.49,214.0,5.0,31.0,8498269
GHANA,6.4.2020.11.30.5,214.0,5.0,31.0,8508605
GHANA,6.4.2020.14.44.21,214.0,5.0,31.0,8520261
GHANA,6.4.2020.17.30.4,214.0,5.0,31.0,8530204
GHANA,6.4.2020.21.0.44,214.0,5.0,31.0,8542844
GHANA,7.4.2020.0.0.3,214.0,5.0,31.0,8553603
GHANA,7.4.2020.9.0.4,287.0,5.0,31.0,8586004
GHANA,7.4.2020.12.15.51,287.0,5.0,31.0,8597751
GHANA,7.4.2020.15.59.55,287.0,5.0,31.0,8611195
GHANA,7.4.2020.18.3.46,287.0,5.0,31.0,8618626
GHANA,7.4.2020.21.32.15,287.0,5.0,31.0,8631135
GHANA,8.4.2020.0.0.4,287.0,5.0,31.0,8640004
GHANA,8.4.2020.9.0.46,287.0,5.0,31.0,8672446
GHANA,8.4.2020.12.21.18,287.0,5.0,31.0,8684478
GHANA,8.4.2020.15.4.46,287.0,5.0,31.0,8694286
GHANA,8.4.2020.18.11.16,287.0,5.0,31.0,8705476
GHANA,8.4.2020.21.33.56,313.0,6.0,34.0,8717636
GHANA,9.4.2020.0.14.12,313.0,6.0,34.0,8727252
GHANA,9.4.2020.11.19.24,313.0,6.0,34.0,8767164
GHANA,9.4.2020.12.7.24,313.0,6.0,34.0,8770044
GHANA,9.4.2020.14.57.9,313.0,6.0,34.0,8780229
GHANA,9.4.2020.18.0.2,313.0,6.0,34.0,8791202
GHANA,10.4.2020.1.6.14,313.0,6.0,34.0,8816774
GHANA,10.4.2020.9.4.46,378.0,6.0,31.0,8845486
GHANA,10.4.2020.12.9.17,378.0,6.0,31.0,8856557
GHANA,10.4.2020.14.55.51,378.0,6.0,31.0,8866551
GHANA,10.4.2020.18.41.5,378.0,6.0,31.0,8880065
GHANA,10.4.2020.21.59.17,378.0,6.0,31.0,8891957
GHANA,11.4.2020.0.0.34,378.0,6.0,31.0,8899234
GHANA,11.4.2020.9.1.32,378.0,6.0,31.0,8931692
GHANA,11.4.2020.12.8.24,378.0,6.0,31.0,8942904
GHANA,11.4.2020.17.0.40,378.0,6.0,31.0,8960440
GHANA,11.4.2020.18.12.28,378.0,6.0,31.0,8964748
GHANA,11.4.2020.21.44.19,408.0,8.0,31.0,8977459
GHANA,11.4.2020.23.59.29,408.0,8.0,31.0,8985569
GHANA,12.4.2020.9.0.42,408.0,8.0,31.0,9018042
GHANA,12.4.2020.12.5.42,408.0,8.0,31.0,9029142
GHANA,12.4.2020.15.9.25,408.0,8.0,31.0,9040165
GHANA,12.4.2020.18.22.1,408.0,8.0,31.0,9051721
GHANA,12.4.2020.20.59.25,408.0,8.0,31.0,9061165
GHANA,13.4.2020.0.7.13,408.0,8.0,31.0,9072433
GHANA,13.4.2020.9.26.16,566.0,8.0,31.0,9105976
GHANA,13.4.2020.11.59.14,566.0,8.0,31.0,9115154
GHANA,13.4.2020.15.13.1,566.0,8.0,31.0,9126781
GHANA,13.4.2020.20.23.47,566.0,8.0,31.0,9145427
GHANA,13.4.2020.21.1.27,566.0,8.0,31.0,9147687
GHANA,14.4.2020.0.30.40,566.0,8.0,31.0,9160240
GHANA,14.4.2020.9.9.9,566.0,8.0,31.0,9191349
GHANA,14.4.2020.12.13.23,566.0,8.0,31.0,9202403
GHANA,14.4.2020.15.49.28,566.0,8.0,31.0,9215368
GHANA,14.4.2020.18.27.14,566.0,8.0,31.0,9224834
GHANA,14.4.2020.21.18.50,636.0,8.0,31.0,9235130
GHANA,15.4.2020.0.7.14,636.0,8.0,31.0,9245234
GHANA,15.4.2020.9.0.9,636.0,8.0,31.0,9277209
GHANA,15.4.2020.14.56.18,636.0,8.0,31.0,9298578
GHANA,15.4.2020.19.52.38,636.0,8.0,31.0,9316358
GHANA,15.4.2020.21.18.33,636.0,8.0,31.0,9321513
GHANA,16.4.2020.0.51.15,636.0,8.0,31.0,9334275
GHANA,16.4.2020.9.4.51,641.0,8.0,83.0,9363891
GHANA,16.4.2020.12.5.8,641.0,8.0,83.0,9374708
GHANA,16.4.2020.14.57.8,641.0,8.0,83.0,9385028
GHANA,16.4.2020.17.58.25,641.0,8.0,83.0,9395905
GHANA,16.4.2020.22.41.20,641.0,8.0,83.0,9412880
GHANA,17.4.2020.1.32.36,641.0,8.0,83.0,9423156
GHANA,17.4.2020.9.11.4,641.0,8.0,83.0,9450664
GHANA,17.4.2020.12.2.1,641.0,8.0,83.0,9460921
GHANA,17.4.2020.14.56.35,641.0,8.0,83.0,9471395
GHANA,17.4.2020.18.39.21,641.0,8.0,83.0,9484761
GHANA,17.4.2020.22.45.21,641.0,8.0,83.0,9499521
GHANA,18.4.2020.8.54.14,641.0,8.0,83.0,9536054
GHANA,18.4.2020.13.55.54,641.0,8.0,83.0,9554154
GHANA,18.4.2020.15.41.6,641.0,8.0,83.0,9560466
GHANA,18.4.2020.18.3.48,641.0,8.0,83.0,9569028
GHANA,19.4.2020.0.17.39,834.0,9.0,99.0,9591459
GHANA,19.4.2020.9.10.8,834.0,9.0,99.0,9623408
GHANA,19.4.2020.15.11.32,834.0,9.0,99.0,9645092
GHANA,19.4.2020.18.7.21,834.0,9.0,99.0,9655641
GHANA,19.4.2020.21.1.51,834.0,9.0,99.0,9666111
GHANA,20.4.2020.0.0.38,834.0,9.0,99.0,9676838
GHANA,20.4.2020.12.46.45,1042.0,9.0,99.0,9722805
GHANA,20.4.2020.15.15.13,1042.0,9.0,99.0,9731713
GHANA,20.4.2020.18.0.55,1042.0,9.0,99.0,9741655
GHANA,20.4.2020.20.51.26,1042.0,9.0,99.0,9751886
GHANA,20.4.2020.23.57.35,1042.0,9.0,99.0,9763055
GHANA,21.4.2020.12.5.6,1042.0,9.0,99.0,9806706
GHANA,21.4.2020.18.5.54,1042.0,9.0,99.0,9828354
GHANA,21.4.2020.20.56.52,1042.0,9.0,99.0,9838612
GHANA,22.4.2020.10.13.50,1042.0,9.0,99.0,9886430
GHANA,22.4.2020.12.1.15,1042.0,9.0,99.0,9892875
GHANA,22.4.2020.15.4.35,1042.0,9.0,99.0,9903875
GHANA,23.4.2020.0.41.34,1154.0,9.0,99.0,9938494
GHANA,23.4.2020.11.0.28,1154.0,9.0,99.0,9975628
GHANA,23.4.2020.18.9.30,1154.0,9.0,99.0,10001370
GHANA,23.4.2020.21.15.10,1154.0,9.0,99.0,10012510
GHANA,24.4.2020.12.38.27,1154.0,9.0,99.0,10067907
GHANA,24.4.2020.15.7.1,1154.0,9.0,99.0,10076821
GHANA,24.4.2020.18.5.8,1154.0,9.0,99.0,10087508
GHANA,25.4.2020.1.24.20,1279.0,10.0,134.0,10113860
GHANA,25.4.2020.10.29.29,1279.0,10.0,134.0,10146569
GHANA,25.4.2020.13.6.30,1279.0,10.0,134.0,10155990
GHANA,25.4.2020.15.13.19,1279.0,10.0,134.0,10163599
GHANA,25.4.2020.18.5.53,1279.0,10.0,134.0,10173953
GHANA,26.4.2020.0.2.26,1279.0,10.0,134.0,10195346
GHANA,26.4.2020.10.30.36,1279.0,10.0,134.0,10233036
GHANA,26.4.2020.14.0.20,1279.0,10.0,134.0,10245620
GHANA,26.4.2020.15.0.26,1279.0,10.0,134.0,10249226
GHANA,26.4.2020.18.4.29,1550.0,11.0,155.0,10260269
GHANA,26.4.2020.20.55.24,1550.0,11.0,155.0,10270524
GHANA,27.4.2020.1.26.23,1550.0,11.0,155.0,10286783
GHANA,27.4.2020.12.2.22,1550.0,11.0,155.0,10324942
GHANA,27.4.2020.18.28.29,1550.0,11.0,155.0,10348109
GHANA,27.4.2020.23.10.6,1550.0,11.0,155.0,10365006
GHANA,28.4.2020.0.52.18,1550.0,11.0,155.0,10371138
GHANA,28.4.2020.12.28.54,1550.0,11.0,155.0,10412934
GHANA,29.4.2020.0.5.46,1671.0,16.0,188.0,10454746
GHANA,29.4.2020.11.12.43,1671.0,16.0,188.0,10494763
GHANA,29.4.2020.13.2.52,1671.0,16.0,188.0,10501372
GHANA,29.4.2020.15.8.24,1671.0,16.0,188.0,10508904
GHANA,29.4.2020.18.9.12,1671.0,16.0,188.0,10519752
GHANA,29.4.2020.21.32.47,1671.0,16.0,188.0,10531967
GHANA,30.4.2020.0.17.29,1671.0,16.0,188.0,10541849
GHANA,30.4.2020.9.21.28,1671.0,16.0,188.0,10574488
GHANA,30.4.2020.12.29.51,1671.0,16.0,188.0,10585791
GHANA,30.4.2020.15.13.47,2074.0,17.0,212.0,10595627
GHANA,1.5.2020.0.5.16,2074.0,17.0,212.0,10713916
GHANA,1.5.2020.10.41.27,2074.0,17.0,212.0,10752087
GHANA,1.5.2020.11.53.59,2074.0,17.0,212.0,10756439
GHANA,1.5.2020.15.33.11,2074.0,17.0,212.0,10769591
GHANA,1.5.2020.17.55.59,2074.0,17.0,212.0,10778159
GHANA,1.5.2020.21.26.40,2074.0,17.0,212.0,10790800
GHANA,2.5.2020.0.11.13,2074.0,17.0,212.0,10800673
GHANA,2.5.2020.9.45.39,2074.0,17.0,212.0,10835139
GHANA,2.5.2020.12.46.52,2074.0,17.0,212.0,10846012
GHANA,2.5.2020.15.0.2,2074.0,17.0,212.0,10854002
GHANA,2.5.2020.18.0.30,2074.0,17.0,212.0,10864830
GHANA,3.5.2020.0.4.29,2169.0,18.0,229.0,10886669
GHANA,3.5.2020.11.56.15,2169.0,18.0,229.0,10929375
GHANA,3.5.2020.15.5.11,2169.0,18.0,229.0,10940711
GHANA,3.5.2020.17.57.14,2169.0,18.0,229.0,10951034
GHANA,3.5.2020.21.9.20,2169.0,18.0,229.0,10962560
GHANA,3.5.2020.23.58.14,2169.0,18.0,229.0,10972694
GHANA,4.5.2020.15.8.30,2169.0,18.0,229.0,11027310
GHANA,4.5.2020.18.37.54,2169.0,18.0,229.0,11039874
GHANA,4.5.2020.23.58.7,2719.0,18.0,294.0,11059087
GHANA,5.5.2020.1.13.37,2719.0,18.0,294.0,11063617
GHANA,5.5.2020.13.8.43,2719.0,18.0,294.0,11106523
GHANA,5.5.2020.15.1.21,2719.0,18.0,294.0,11113281
GHANA,5.5.2020.21.5.55,2719.0,18.0,294.0,11135155
GHANA,6.5.2020.0.0.44,2719.0,18.0,294.0,11145644
GHANA,6.5.2020.12.1.14,2719.0,18.0,294.0,11188874
GHANA,6.5.2020.18.0.4,2719.0,18.0,294.0,11210404
GHANA,7.5.2020.0.14.11,2719.0,18.0,294.0,11232851
GHANA,7.5.2020.11.57.25,3091.0,18.0,303.0,11275045
GHANA,7.5.2020.15.0.3,3091.0,18.0,303.0,11286003
GHANA,7.5.2020.18.26.51,3091.0,18.0,303.0,11298411
GHANA,7.5.2020.23.58.31,3091.0,18.0,303.0,11318311
GHANA,8.5.2020.12.2.6,3091.0,18.0,303.0,11361726
GHANA,8.5.2020.15.12.55,3091.0,18.0,303.0,11373175
GHANA,8.5.2020.18.26.19,3091.0,18.0,303.0,11384779
GHANA,8.5.2020.21.29.34,3091.0,18.0,303.0,11395774
GHANA,9.5.2020.0.43.24,4012.0,18.0,323.0,11407404
GHANA,9.5.2020.13.13.55,4012.0,18.0,323.0,11452435
GHANA,9.5.2020.15.22.29,4012.0,18.0,323.0,11460149
GHANA,9.5.2020.18.0.2,4012.0,18.0,323.0,11469602
GHANA,10.5.2020.0.44.24,4012.0,18.0,323.0,11493864
GHANA,10.5.2020.12.0.15,4263.0,22.0,378.0,11534415
GHANA,10.5.2020.15.9.2,4263.0,22.0,378.0,11545742
GHANA,10.5.2020.22.50.52,4263.0,22.0,378.0,11573452
GHANA,10.5.2020.23.59.1,4263.0,22.0,378.0,11577541
GHANA,11.5.2020.10.34.59,4263.0,22.0,378.0,11615699
GHANA,11.5.2020.14.55.28,4700.0,22.0,494.0,11631328
GHANA,11.5.2020.19.31.25,4700.0,22.0,494.0,11647885
GHANA,11.5.2020.21.0.14,4700.0,22.0,494.0,11653214
GHANA,12.5.2020.1.0.51,4700.0,22.0,494.0,11667651
GHANA,12.5.2020.10.8.26,4700.0,22.0,494.0,11700506
GHANA,12.5.2020.12.2.54,4700.0,22.0,494.0,11707374
GHANA,12.5.2020.15.0.2,4700.0,22.0,494.0,11718002
GHANA,12.5.2020.17.58.36,5127.0,22.0,494.0,11728716
GHANA,12.5.2020.21.1.11,5127.0,22.0,494.0,11739671
GHANA,12.5.2020.23.56.29,5127.0,22.0,494.0,11750189
GHANA,13.5.2020.10.34.40,5127.0,22.0,494.0,11788480
GHANA,13.5.2020.12.0.2,5127.0,22.0,494.0,11793602
GHANA,13.5.2020.16.27.8,5127.0,22.0,494.0,11809628
GHANA,13.5.2020.21.0.25,5127.0,22.0,494.0,11826025
GHANA,14.5.2020.0.30.12,5408.0,24.0,514.0,11838612
GHANA,14.5.2020.12.1.47,5408.0,24.0,514.0,11880107
GHANA,14.5.2020.15.54.36,5408.0,24.0,514.0,11894076
GHANA,14.5.2020.19.5.5,5408.0,24.0,514.0,11905505
GHANA,14.5.2020.20.56.4,5408.0,24.0,514.0,11912164
GHANA,15.5.2020.1.21.38,5408.0,24.0,514.0,11928098
GHANA,15.5.2020.12.16.9,5530.0,24.0,674.0,11967369
GHANA,15.5.2020.15.26.20,5530.0,24.0,674.0,11978780
GHANA,15.5.2020.17.53.43,5530.0,24.0,674.0,11987623
GHANA,15.5.2020.21.0.16,5530.0,24.0,674.0,11998816
GHANA,15.5.2020.23.56.42,5530.0,24.0,674.0,12009402
GHANA,16.5.2020.12.26.0,5638.0,28.0,1460.0,12054360
GHANA,16.5.2020.17.5.26,5638.0,28.0,1460.0,12071126
GHANA,16.5.2020.18.40.21,5638.0,28.0,1460.0,12076821
