Nation,Time,Confirmed Case,Death,Recover,timestamp
GIBRALTAR,2020-04-03 14:30:10,88.0,0.0,46.0,8260210
GIBRALTAR,2020-04-03 14:30:11,88.0,0.0,46.0,8260211
GIBRALTAR,2020-04-03 17:30:12,88.0,0.0,46.0,8271012
GIBRALTAR,2020-04-03 20:30:12,88.0,0.0,46.0,8281812
GIBRALTAR,2020-04-03 23:30:19,95.0,0.0,46.0,8292619
GIBRALTAR,2020-04-04 08:30:14,95.0,0.0,46.0,8325014
GIBRALTAR,2020-04-04 11:30:14,95.0,0.0,46.0,8335814
GIBRALTAR,2020-04-04 14:30:16,95.0,0.0,46.0,8346616
GIBRALTAR,2020-04-04 17:30:18,95.0,0.0,46.0,8357418
GIBRALTAR,2020-04-04 20:30:33,98.0,0.0,52.0,8368233
GIBRALTAR,2020-04-04 23:30:05,98.0,0.0,52.0,8379005
GIBRALTAR,2020-04-05 08:30:07,98.0,0.0,52.0,8411407
GIBRALTAR,2020-04-05 11:30:03,98.0,0.0,52.0,8422203
GIBRALTAR,2020-04-05 14:30:04,98.0,0.0,52.0,8433004
GIBRALTAR,2020-04-05 17:40:33,98.0,0.0,52.0,8444433
GIBRALTAR,2020-04-05 20:33:28,103.0,0.0,52.0,8454808
GIBRALTAR,2020-04-05 23:30:02,103.0,0.0,52.0,8465402
GIBRALTAR,2020-04-06 08:37:49,103.0,0.0,52.0,8498269
GIBRALTAR,2020-04-06 11:30:05,103.0,0.0,52.0,8508605
GIBRALTAR,2020-04-06 14:44:21,103.0,0.0,52.0,8520261
GIBRALTAR,2020-04-06 17:30:04,103.0,0.0,52.0,8530204
GIBRALTAR,2020-04-06 21:00:44,103.0,0.0,52.0,8542844
GIBRALTAR,2020-04-07 00:00:03,109.0,0.0,52.0,8553603
GIBRALTAR,2020-04-07 09:00:04,109.0,0.0,52.0,8586004
GIBRALTAR,2020-04-07 12:15:51,109.0,0.0,52.0,8597751
