Nation,Time,Confirmed Case,Death,Recover,timestamp
GREENLAND,2020-04-03 14:30:10,10.0,0.0,3.0,8260210
GREENLAND,2020-04-03 14:30:11,10.0,0.0,3.0,8260211
GREENLAND,2020-04-03 17:30:12,10.0,0.0,3.0,8271012
GREENLAND,2020-04-03 20:30:12,10.0,0.0,3.0,8281812
GREENLAND,2020-04-03 23:30:19,10.0,0.0,3.0,8292619
GREENLAND,2020-04-04 08:30:14,10.0,0.0,3.0,8325014
GREENLAND,2020-04-04 11:30:14,10.0,0.0,3.0,8335814
GREENLAND,2020-04-04 14:30:16,10.0,0.0,3.0,8346616
GREENLAND,2020-04-04 17:30:18,10.0,0.0,3.0,8357418
GREENLAND,2020-04-04 20:30:33,10.0,0.0,3.0,8368233
GREENLAND,2020-04-04 23:30:05,11.0,0.0,3.0,8379005
GREENLAND,2020-04-05 08:30:07,11.0,0.0,3.0,8411407
GREENLAND,2020-04-05 11:30:03,11.0,0.0,3.0,8422203
GREENLAND,2020-04-05 14:30:04,11.0,0.0,3.0,8433004
GREENLAND,2020-04-05 17:40:33,11.0,0.0,4.0,8444433
GREENLAND,2020-04-05 20:33:28,11.0,0.0,4.0,8454808
GREENLAND,2020-04-05 23:30:02,11.0,0.0,4.0,8465402
GREENLAND,2020-04-06 08:37:49,11.0,0.0,4.0,8498269
GREENLAND,2020-04-06 11:30:05,11.0,0.0,4.0,8508605
GREENLAND,2020-04-06 14:44:21,11.0,0.0,4.0,8520261
GREENLAND,2020-04-06 17:30:04,11.0,0.0,4.0,8530204
GREENLAND,2020-04-06 21:00:44,11.0,0.0,4.0,8542844
GREENLAND,2020-04-07 00:00:03,11.0,0.0,4.0,8553603
GREENLAND,2020-04-07 09:00:04,11.0,0.0,4.0,8586004
GREENLAND,2020-04-07 12:15:51,11.0,0.0,4.0,8597751
GREENLAND,2020-04-07 15:59:55,11.0,0.0,4.0,8611195
GREENLAND,2020-04-07 18:03:46,11.0,0.0,4.0,8618626
GREENLAND,2020-04-07 21:32:15,11.0,0.0,10.0,8631135
GREENLAND,2020-04-08 00:00:04,11.0,0.0,10.0,8640004
GREENLAND,2020-04-08 09:00:46,11.0,0.0,10.0,8672446
GREENLAND,2020-04-08 12:21:18,11.0,0.0,10.0,8684478
GREENLAND,2020-04-08 15:04:46,11.0,0.0,10.0,8694286
GREENLAND,2020-04-08 18:11:16,11.0,0.0,10.0,8705476
GREENLAND,2020-04-08 21:33:56,11.0,0.0,10.0,8717636
GREENLAND,2020-04-09 00:14:12,11.0,0.0,11.0,8727252
GREENLAND,2020-04-09 11:19:24,11.0,0.0,11.0,8767164
GREENLAND,2020-04-09 12:07:24,11.0,0.0,11.0,8770044
GREENLAND,2020-04-09 14:57:09,11.0,0.0,11.0,8780229
GREENLAND,2020-04-09 18:00:02,11.0,0.0,11.0,8791202
GREENLAND,2020-04-10 01:06:14,11.0,0.0,11.0,8816774
GREENLAND,2020-04-10 09:04:46,11.0,0.0,11.0,8845486
GREENLAND,2020-04-10 12:09:17,11.0,0.0,11.0,8856557
GREENLAND,2020-04-10 14:55:51,11.0,0.0,11.0,8866551
GREENLAND,2020-04-10 18:41:05,11.0,0.0,11.0,8880065
GREENLAND,2020-04-10 21:59:17,11.0,0.0,11.0,8891957
GREENLAND,2020-04-11 00:00:34,11.0,0.0,11.0,8899234
GREENLAND,2020-04-11 09:01:32,11.0,0.0,11.0,8931692
GREENLAND,2020-04-11 12:08:24,11.0,0.0,11.0,8942904
GREENLAND,2020-04-11 17:00:40,11.0,0.0,11.0,8960440
GREENLAND,2020-04-11 18:12:28,11.0,0.0,11.0,8964748
GREENLAND,2020-04-11 21:44:19,11.0,0.0,11.0,8977459
GREENLAND,2020-04-11 23:59:29,11.0,0.0,11.0,8985569
GREENLAND,2020-04-12 09:00:42,11.0,0.0,11.0,9018042
GREENLAND,2020-04-12 12:05:42,11.0,0.0,11.0,9029142
GREENLAND,2020-04-12 15:09:25,11.0,0.0,11.0,9040165
GREENLAND,2020-04-12 18:22:01,11.0,0.0,11.0,9051721
GREENLAND,2020-04-12 20:59:25,11.0,0.0,11.0,9061165
GREENLAND,2020-04-13 00:07:13,11.0,0.0,11.0,9072433
GREENLAND,2020-04-13 09:26:16,11.0,0.0,11.0,9105976
GREENLAND,2020-04-13 11:59:14,11.0,0.0,11.0,9115154
GREENLAND,2020-04-13 15:13:01,11.0,0.0,11.0,9126781
GREENLAND,2020-04-13 20:23:47,11.0,0.0,11.0,9145427
