Nation,Time,Confirmed Case,Death,Recover,timestamp
GRENADA,3.4.2020.14.30.10,10.0,0.0,0.0,8260210
GRENADA,3.4.2020.14.30.11,10.0,0.0,0.0,8260211
GRENADA,3.4.2020.17.30.12,10.0,0.0,0.0,8271012
GRENADA,3.4.2020.20.30.12,10.0,0.0,0.0,8281812
GRENADA,3.4.2020.23.30.19,10.0,0.0,0.0,8292619
GRENADA,4.4.2020.8.30.14,12.0,0.0,0.0,8325014
GRENADA,4.4.2020.11.30.14,12.0,0.0,0.0,8335814
GRENADA,4.4.2020.14.30.16,12.0,0.0,0.0,8346616
GRENADA,4.4.2020.17.30.18,12.0,0.0,0.0,8357418
GRENADA,4.4.2020.20.30.33,12.0,0.0,0.0,8368233
GRENADA,4.4.2020.23.30.5,12.0,0.0,0.0,8379005
GRENADA,5.4.2020.8.30.7,12.0,0.0,0.0,8411407
GRENADA,5.4.2020.11.30.3,12.0,0.0,0.0,8422203
GRENADA,5.4.2020.14.30.4,12.0,0.0,0.0,8433004
GRENADA,5.4.2020.17.40.33,12.0,0.0,0.0,8444433
GRENADA,5.4.2020.20.33.28,12.0,0.0,0.0,8454808
GRENADA,5.4.2020.23.30.2,12.0,0.0,0.0,8465402
GRENADA,6.4.2020.8.37.49,12.0,0.0,0.0,8498269
GRENADA,6.4.2020.11.30.5,12.0,0.0,0.0,8508605
GRENADA,6.4.2020.14.44.21,12.0,0.0,0.0,8520261
GRENADA,6.4.2020.17.30.4,12.0,0.0,0.0,8530204
GRENADA,6.4.2020.21.0.44,12.0,0.0,0.0,8542844
GRENADA,7.4.2020.0.0.3,12.0,0.0,0.0,8553603
GRENADA,7.4.2020.9.0.4,12.0,0.0,0.0,8586004
GRENADA,7.4.2020.12.15.51,12.0,0.0,0.0,8597751
GRENADA,7.4.2020.15.59.55,12.0,0.0,0.0,8611195
GRENADA,7.4.2020.18.3.46,12.0,0.0,0.0,8618626
GRENADA,7.4.2020.21.32.15,12.0,0.0,0.0,8631135
GRENADA,8.4.2020.0.0.4,12.0,0.0,0.0,8640004
GRENADA,8.4.2020.9.0.46,12.0,0.0,0.0,8672446
GRENADA,8.4.2020.12.21.18,12.0,0.0,0.0,8684478
GRENADA,8.4.2020.15.4.46,12.0,0.0,0.0,8694286
GRENADA,8.4.2020.18.11.16,12.0,0.0,0.0,8705476
GRENADA,8.4.2020.21.33.56,12.0,0.0,0.0,8717636
GRENADA,9.4.2020.0.14.12,12.0,0.0,0.0,8727252
GRENADA,9.4.2020.11.19.24,12.0,0.0,0.0,8767164
GRENADA,9.4.2020.12.7.24,12.0,0.0,0.0,8770044
GRENADA,9.4.2020.14.57.9,12.0,0.0,0.0,8780229
GRENADA,9.4.2020.18.0.2,12.0,0.0,0.0,8791202
GRENADA,10.4.2020.1.6.14,12.0,0.0,0.0,8816774
GRENADA,10.4.2020.9.4.46,12.0,0.0,0.0,8845486
GRENADA,10.4.2020.12.9.17,12.0,0.0,0.0,8856557
GRENADA,10.4.2020.14.55.51,12.0,0.0,0.0,8866551
GRENADA,10.4.2020.18.41.5,12.0,0.0,0.0,8880065
GRENADA,10.4.2020.21.59.17,12.0,0.0,0.0,8891957
GRENADA,11.4.2020.0.0.34,12.0,0.0,0.0,8899234
GRENADA,11.4.2020.9.1.32,14.0,0.0,0.0,8931692
GRENADA,11.4.2020.12.8.24,14.0,0.0,0.0,8942904
GRENADA,11.4.2020.17.0.40,14.0,0.0,0.0,8960440
GRENADA,11.4.2020.18.12.28,14.0,0.0,0.0,8964748
GRENADA,11.4.2020.21.44.19,14.0,0.0,0.0,8977459
GRENADA,11.4.2020.23.59.29,14.0,0.0,0.0,8985569
GRENADA,12.4.2020.9.0.42,14.0,0.0,0.0,9018042
GRENADA,12.4.2020.12.5.42,14.0,0.0,0.0,9029142
GRENADA,12.4.2020.15.9.25,14.0,0.0,0.0,9040165
GRENADA,12.4.2020.18.22.1,14.0,0.0,0.0,9051721
GRENADA,12.4.2020.20.59.25,14.0,0.0,0.0,9061165
GRENADA,13.4.2020.0.7.13,14.0,0.0,0.0,9072433
GRENADA,13.4.2020.9.26.16,14.0,0.0,0.0,9105976
GRENADA,13.4.2020.11.59.14,14.0,0.0,0.0,9115154
GRENADA,13.4.2020.15.13.1,14.0,0.0,0.0,9126781
GRENADA,13.4.2020.20.23.47,14.0,0.0,0.0,9145427
GRENADA,13.4.2020.21.1.27,14.0,0.0,0.0,9147687
