Nation,Time,Confirmed Case,Death,Recover,timestamp
GUADELOUPE,3.4.2020.14.30.10,128.0,6.0,24.0,8260210
GUADELOUPE,3.4.2020.14.30.11,128.0,6.0,24.0,8260211
GUADELOUPE,3.4.2020.17.30.12,128.0,6.0,24.0,8271012
GUADELOUPE,3.4.2020.20.30.12,128.0,6.0,24.0,8281812
GUADELOUPE,3.4.2020.23.30.19,128.0,6.0,24.0,8292619
GUADELOUPE,4.4.2020.8.30.14,130.0,7.0,24.0,8325014
GUADELOUPE,4.4.2020.11.30.14,130.0,7.0,24.0,8335814
GUADELOUPE,4.4.2020.14.30.16,130.0,7.0,24.0,8346616
GUADELOUPE,4.4.2020.17.30.18,130.0,7.0,24.0,8357418
GUADELOUPE,4.4.2020.20.30.33,130.0,7.0,24.0,8368233
GUADELOUPE,4.4.2020.23.30.5,130.0,7.0,24.0,8379005
GUADELOUPE,5.4.2020.8.30.7,134.0,7.0,24.0,8411407
GUADELOUPE,5.4.2020.11.30.3,134.0,7.0,24.0,8422203
GUADELOUPE,5.4.2020.14.30.4,134.0,7.0,24.0,8433004
GUADELOUPE,5.4.2020.17.40.33,134.0,7.0,24.0,8444433
GUADELOUPE,5.4.2020.20.33.28,134.0,7.0,24.0,8454808
GUADELOUPE,5.4.2020.23.30.2,134.0,7.0,24.0,8465402
GUADELOUPE,6.4.2020.8.37.49,135.0,7.0,31.0,8498269
GUADELOUPE,6.4.2020.11.30.5,135.0,7.0,31.0,8508605
GUADELOUPE,6.4.2020.14.44.21,135.0,7.0,31.0,8520261
GUADELOUPE,6.4.2020.17.30.4,135.0,7.0,31.0,8530204
GUADELOUPE,6.4.2020.21.0.44,135.0,7.0,31.0,8542844
GUADELOUPE,7.4.2020.0.0.3,135.0,7.0,31.0,8553603
GUADELOUPE,7.4.2020.9.0.4,139.0,7.0,31.0,8586004
GUADELOUPE,7.4.2020.12.15.51,139.0,7.0,31.0,8597751
GUADELOUPE,7.4.2020.15.59.55,139.0,7.0,31.0,8611195
GUADELOUPE,7.4.2020.18.3.46,139.0,7.0,31.0,8618626
GUADELOUPE,7.4.2020.21.32.15,139.0,7.0,31.0,8631135
GUADELOUPE,8.4.2020.0.0.4,139.0,7.0,31.0,8640004
GUADELOUPE,8.4.2020.9.0.46,139.0,7.0,31.0,8672446
GUADELOUPE,8.4.2020.12.21.18,139.0,7.0,31.0,8684478
GUADELOUPE,8.4.2020.15.4.46,139.0,7.0,31.0,8694286
GUADELOUPE,8.4.2020.18.11.16,139.0,7.0,31.0,8705476
GUADELOUPE,8.4.2020.21.33.56,139.0,7.0,31.0,8717636
GUADELOUPE,9.4.2020.0.14.12,139.0,7.0,31.0,8727252
GUADELOUPE,9.4.2020.11.19.24,141.0,8.0,43.0,8767164
GUADELOUPE,9.4.2020.12.7.24,141.0,8.0,43.0,8770044
GUADELOUPE,9.4.2020.14.57.9,141.0,8.0,43.0,8780229
GUADELOUPE,9.4.2020.18.0.2,141.0,8.0,43.0,8791202
GUADELOUPE,10.4.2020.1.6.14,141.0,8.0,43.0,8816774
GUADELOUPE,10.4.2020.9.4.46,143.0,8.0,67.0,8845486
GUADELOUPE,10.4.2020.12.9.17,143.0,8.0,67.0,8856557
GUADELOUPE,10.4.2020.14.55.51,143.0,8.0,67.0,8866551
GUADELOUPE,10.4.2020.18.41.5,143.0,8.0,67.0,8880065
GUADELOUPE,10.4.2020.21.59.17,143.0,8.0,67.0,8891957
GUADELOUPE,11.4.2020.0.0.34,143.0,8.0,67.0,8899234
GUADELOUPE,11.4.2020.9.1.32,143.0,8.0,67.0,8931692
GUADELOUPE,11.4.2020.12.8.24,143.0,8.0,67.0,8942904
GUADELOUPE,11.4.2020.17.0.40,143.0,8.0,67.0,8960440
GUADELOUPE,11.4.2020.18.12.28,143.0,8.0,67.0,8964748
GUADELOUPE,11.4.2020.21.44.19,143.0,8.0,67.0,8977459
GUADELOUPE,11.4.2020.23.59.29,143.0,8.0,67.0,8985569
GUADELOUPE,12.4.2020.9.0.42,143.0,8.0,67.0,9018042
GUADELOUPE,12.4.2020.12.5.42,143.0,8.0,67.0,9029142
GUADELOUPE,12.4.2020.15.9.25,143.0,8.0,67.0,9040165
GUADELOUPE,12.4.2020.18.22.1,143.0,8.0,67.0,9051721
GUADELOUPE,12.4.2020.20.59.25,143.0,8.0,67.0,9061165
GUADELOUPE,13.4.2020.0.7.13,143.0,8.0,67.0,9072433
GUADELOUPE,13.4.2020.9.26.16,143.0,8.0,67.0,9105976
GUADELOUPE,13.4.2020.11.59.14,143.0,8.0,67.0,9115154
GUADELOUPE,13.4.2020.15.13.1,143.0,8.0,67.0,9126781
GUADELOUPE,13.4.2020.20.23.47,143.0,8.0,67.0,9145427
GUADELOUPE,13.4.2020.21.1.27,143.0,8.0,67.0,9147687
GUADELOUPE,14.4.2020.0.30.40,143.0,8.0,67.0,9160240
GUADELOUPE,14.4.2020.9.9.9,145.0,8.0,67.0,9191349
GUADELOUPE,14.4.2020.12.13.23,145.0,8.0,67.0,9202403
GUADELOUPE,14.4.2020.15.49.28,145.0,8.0,67.0,9215368
