Nation,Time,Confirmed Case,Death,Recover,timestamp
GUINEA-BISSAU,3.4.2020.14.30.10,9.0,0.0,0.0,8260210
GUINEA-BISSAU,3.4.2020.14.30.11,9.0,0.0,0.0,8260211
GUINEA-BISSAU,3.4.2020.17.30.12,9.0,0.0,0.0,8271012
GUINEA-BISSAU,3.4.2020.20.30.12,9.0,0.0,0.0,8281812
GUINEA-BISSAU,3.4.2020.23.30.19,9.0,0.0,0.0,8292619
GUINEA-BISSAU,4.4.2020.8.30.14,15.0,0.0,0.0,8325014
GUINEA-BISSAU,4.4.2020.11.30.14,15.0,0.0,0.0,8335814
GUINEA-BISSAU,4.4.2020.14.30.16,15.0,0.0,0.0,8346616
GUINEA-BISSAU,4.4.2020.17.30.18,15.0,0.0,0.0,8357418
GUINEA-BISSAU,4.4.2020.20.30.33,15.0,0.0,0.0,8368233
GUINEA-BISSAU,4.4.2020.23.30.5,15.0,0.0,0.0,8379005
GUINEA-BISSAU,5.4.2020.8.30.7,18.0,0.0,0.0,8411407
GUINEA-BISSAU,5.4.2020.11.30.3,18.0,0.0,0.0,8422203
GUINEA-BISSAU,5.4.2020.14.30.4,18.0,0.0,0.0,8433004
GUINEA-BISSAU,5.4.2020.17.40.33,18.0,0.0,0.0,8444433
GUINEA-BISSAU,5.4.2020.20.33.28,18.0,0.0,0.0,8454808
GUINEA-BISSAU,5.4.2020.23.30.2,18.0,0.0,0.0,8465402
GUINEA-BISSAU,6.4.2020.8.37.49,18.0,0.0,0.0,8498269
GUINEA-BISSAU,6.4.2020.11.30.5,18.0,0.0,0.0,8508605
GUINEA-BISSAU,6.4.2020.14.44.21,18.0,0.0,0.0,8520261
GUINEA-BISSAU,6.4.2020.17.30.4,18.0,0.0,0.0,8530204
GUINEA-BISSAU,6.4.2020.21.0.44,18.0,0.0,0.0,8542844
GUINEA-BISSAU,7.4.2020.0.0.3,18.0,0.0,0.0,8553603
GUINEA-BISSAU,7.4.2020.9.0.4,18.0,0.0,0.0,8586004
GUINEA-BISSAU,7.4.2020.12.15.51,18.0,0.0,0.0,8597751
GUINEA-BISSAU,7.4.2020.15.59.55,33.0,0.0,0.0,8611195
GUINEA-BISSAU,7.4.2020.18.3.46,33.0,0.0,0.0,8618626
GUINEA-BISSAU,7.4.2020.21.32.15,33.0,0.0,0.0,8631135
GUINEA-BISSAU,8.4.2020.0.0.4,33.0,0.0,0.0,8640004
GUINEA-BISSAU,8.4.2020.9.0.46,33.0,0.0,0.0,8672446
GUINEA-BISSAU,8.4.2020.12.21.18,33.0,0.0,0.0,8684478
GUINEA-BISSAU,8.4.2020.15.4.46,33.0,0.0,0.0,8694286
GUINEA-BISSAU,8.4.2020.18.11.16,33.0,0.0,0.0,8705476
GUINEA-BISSAU,8.4.2020.21.33.56,33.0,0.0,0.0,8717636
GUINEA-BISSAU,9.4.2020.0.14.12,33.0,0.0,0.0,8727252
GUINEA-BISSAU,9.4.2020.11.19.24,33.0,0.0,0.0,8767164
