Nation,Time,Confirmed Case,Death,Recover,timestamp
GUINEA,3.4.2020.14.30.10,52.0,1.0,1.0,8260210
GUINEA,3.4.2020.14.30.11,52.0,1.0,1.0,8260211
GUINEA,3.4.2020.17.30.12,52.0,1.0,1.0,8271012
GUINEA,3.4.2020.20.30.12,52.0,1.0,1.0,8281812
GUINEA,3.4.2020.23.30.19,73.0,1.0,2.0,8292619
GUINEA,4.4.2020.8.30.14,73.0,1.0,2.0,8325014
GUINEA,4.4.2020.11.30.14,73.0,1.0,2.0,8335814
GUINEA,4.4.2020.14.30.16,73.0,1.0,2.0,8346616
GUINEA,4.4.2020.17.30.18,73.0,1.0,2.0,8357418
GUINEA,4.4.2020.20.30.33,73.0,1.0,2.0,8368233
GUINEA,4.4.2020.23.30.5,73.0,1.0,2.0,8379005
GUINEA,5.4.2020.8.30.7,111.0,1.0,5.0,8411407
GUINEA,5.4.2020.11.30.3,111.0,1.0,5.0,8422203
GUINEA,5.4.2020.14.30.4,111.0,1.0,5.0,8433004
GUINEA,5.4.2020.17.40.33,111.0,1.0,5.0,8444433
GUINEA,5.4.2020.20.33.28,111.0,1.0,5.0,8454808
GUINEA,5.4.2020.23.30.2,121.0,1.0,5.0,8465402
GUINEA,6.4.2020.8.37.49,121.0,1.0,5.0,8498269
GUINEA,6.4.2020.11.30.5,121.0,1.0,5.0,8508605
GUINEA,6.4.2020.14.44.21,121.0,1.0,5.0,8520261
GUINEA,6.4.2020.17.30.4,121.0,1.0,5.0,8530204
GUINEA,6.4.2020.21.0.44,121.0,1.0,5.0,8542844
GUINEA,7.4.2020.0.0.3,121.0,1.0,5.0,8553603
GUINEA,7.4.2020.9.0.4,128.0,1.0,5.0,8586004
GUINEA,7.4.2020.12.15.51,128.0,1.0,5.0,8597751
GUINEA,7.4.2020.15.59.55,128.0,1.0,5.0,8611195
GUINEA,7.4.2020.18.3.46,128.0,1.0,5.0,8618626
GUINEA,7.4.2020.21.32.15,128.0,1.0,5.0,8631135
GUINEA,8.4.2020.0.0.4,128.0,1.0,5.0,8640004
GUINEA,8.4.2020.9.0.46,144.0,1.0,5.0,8672446
GUINEA,8.4.2020.12.21.18,144.0,1.0,5.0,8684478
GUINEA,8.4.2020.15.4.46,144.0,1.0,5.0,8694286
GUINEA,8.4.2020.18.11.16,144.0,1.0,5.0,8705476
GUINEA,8.4.2020.21.33.56,144.0,1.0,5.0,8717636
GUINEA,9.4.2020.0.14.12,144.0,1.0,5.0,8727252
GUINEA,9.4.2020.11.19.24,164.0,1.0,5.0,8767164
GUINEA,9.4.2020.12.7.24,164.0,1.0,5.0,8770044
GUINEA,9.4.2020.14.57.9,164.0,1.0,5.0,8780229
GUINEA,9.4.2020.18.0.2,164.0,1.0,5.0,8791202
GUINEA,10.4.2020.1.6.14,194.0,1.0,11.0,8816774
GUINEA,10.4.2020.9.4.46,194.0,1.0,11.0,8845486
GUINEA,10.4.2020.12.9.17,194.0,1.0,11.0,8856557
GUINEA,10.4.2020.14.55.51,194.0,1.0,11.0,8866551
GUINEA,10.4.2020.18.41.5,194.0,1.0,11.0,8880065
GUINEA,10.4.2020.21.59.17,194.0,1.0,11.0,8891957
GUINEA,11.4.2020.0.0.34,194.0,1.0,11.0,8899234
GUINEA,11.4.2020.9.1.32,212.0,1.0,15.0,8931692
GUINEA,11.4.2020.12.8.24,212.0,1.0,15.0,8942904
GUINEA,11.4.2020.17.0.40,212.0,1.0,15.0,8960440
GUINEA,11.4.2020.18.12.28,212.0,1.0,15.0,8964748
GUINEA,11.4.2020.21.44.19,212.0,1.0,15.0,8977459
GUINEA,11.4.2020.23.59.29,250.0,1.0,17.0,8985569
GUINEA,12.4.2020.9.0.42,250.0,1.0,17.0,9018042
GUINEA,12.4.2020.12.5.42,250.0,1.0,17.0,9029142
GUINEA,12.4.2020.15.9.25,250.0,1.0,17.0,9040165
GUINEA,12.4.2020.18.22.1,250.0,1.0,17.0,9051721
GUINEA,12.4.2020.20.59.25,250.0,1.0,17.0,9061165
GUINEA,13.4.2020.0.7.13,250.0,1.0,17.0,9072433
GUINEA,13.4.2020.9.26.16,250.0,1.0,17.0,9105976
GUINEA,13.4.2020.11.59.14,250.0,1.0,17.0,9115154
GUINEA,13.4.2020.15.13.1,250.0,1.0,17.0,9126781
GUINEA,13.4.2020.20.23.47,250.0,1.0,17.0,9145427
GUINEA,13.4.2020.21.1.27,250.0,1.0,17.0,9147687
GUINEA,14.4.2020.0.30.40,319.0,1.0,17.0,9160240
GUINEA,14.4.2020.9.9.9,319.0,1.0,17.0,9191349
GUINEA,14.4.2020.12.13.23,319.0,1.0,17.0,9202403
GUINEA,14.4.2020.15.49.28,319.0,1.0,17.0,9215368
GUINEA,14.4.2020.18.27.14,363.0,1.0,31.0,9224834
GUINEA,14.4.2020.21.18.50,363.0,1.0,31.0,9235130
GUINEA,15.4.2020.0.7.14,363.0,1.0,31.0,9245234
GUINEA,15.4.2020.9.0.9,363.0,1.0,31.0,9277209
GUINEA,15.4.2020.14.56.18,363.0,1.0,31.0,9298578
GUINEA,15.4.2020.19.52.38,404.0,1.0,31.0,9316358
