Nation,Time,Confirmed Case,Death,Recover,timestamp
GUYANA,3.4.2020.14.30.10,19.0,4.0,0.0,8260210
GUYANA,3.4.2020.14.30.11,19.0,4.0,0.0,8260211
GUYANA,3.4.2020.17.30.12,19.0,4.0,0.0,8271012
GUYANA,3.4.2020.20.30.12,19.0,4.0,0.0,8281812
GUYANA,3.4.2020.23.30.19,19.0,4.0,0.0,8292619
GUYANA,4.4.2020.8.30.14,23.0,4.0,0.0,8325014
GUYANA,4.4.2020.11.30.14,23.0,4.0,0.0,8335814
GUYANA,4.4.2020.14.30.16,23.0,4.0,0.0,8346616
GUYANA,4.4.2020.17.30.18,23.0,4.0,0.0,8357418
GUYANA,4.4.2020.20.30.33,23.0,4.0,0.0,8368233
GUYANA,4.4.2020.23.30.5,23.0,4.0,0.0,8379005
GUYANA,5.4.2020.8.30.7,24.0,4.0,0.0,8411407
GUYANA,5.4.2020.11.30.3,24.0,4.0,0.0,8422203
GUYANA,5.4.2020.14.30.4,24.0,4.0,0.0,8433004
GUYANA,5.4.2020.17.40.33,24.0,4.0,0.0,8444433
GUYANA,5.4.2020.20.33.28,24.0,4.0,0.0,8454808
GUYANA,5.4.2020.23.30.2,24.0,4.0,0.0,8465402
GUYANA,6.4.2020.8.37.49,29.0,4.0,0.0,8498269
GUYANA,6.4.2020.11.30.5,29.0,4.0,0.0,8508605
GUYANA,6.4.2020.14.44.21,29.0,4.0,0.0,8520261
GUYANA,6.4.2020.17.30.4,29.0,4.0,0.0,8530204
GUYANA,6.4.2020.21.0.44,29.0,4.0,0.0,8542844
GUYANA,7.4.2020.0.0.3,29.0,4.0,0.0,8553603
GUYANA,7.4.2020.9.0.4,31.0,5.0,8.0,8586004
GUYANA,7.4.2020.12.15.51,31.0,5.0,8.0,8597751
GUYANA,7.4.2020.15.59.55,31.0,5.0,8.0,8611195
GUYANA,7.4.2020.18.3.46,31.0,5.0,8.0,8618626
GUYANA,7.4.2020.21.32.15,31.0,5.0,8.0,8631135
GUYANA,8.4.2020.0.0.4,31.0,5.0,8.0,8640004
GUYANA,8.4.2020.9.0.46,33.0,5.0,8.0,8672446
GUYANA,8.4.2020.12.21.18,33.0,5.0,8.0,8684478
GUYANA,8.4.2020.15.4.46,33.0,5.0,8.0,8694286
GUYANA,8.4.2020.18.11.16,33.0,5.0,8.0,8705476
GUYANA,8.4.2020.21.33.56,33.0,5.0,8.0,8717636
GUYANA,9.4.2020.0.14.12,33.0,5.0,8.0,8727252
GUYANA,9.4.2020.11.19.24,37.0,6.0,8.0,8767164
GUYANA,9.4.2020.12.7.24,37.0,6.0,8.0,8770044
GUYANA,9.4.2020.14.57.9,37.0,6.0,8.0,8780229
GUYANA,9.4.2020.18.0.2,37.0,6.0,8.0,8791202
GUYANA,10.4.2020.1.6.14,37.0,6.0,8.0,8816774
GUYANA,10.4.2020.9.4.46,37.0,6.0,8.0,8845486
GUYANA,10.4.2020.12.9.17,37.0,6.0,8.0,8856557
GUYANA,10.4.2020.14.55.51,37.0,6.0,8.0,8866551
GUYANA,10.4.2020.18.41.5,37.0,6.0,8.0,8880065
GUYANA,10.4.2020.21.59.17,37.0,6.0,8.0,8891957
GUYANA,11.4.2020.0.0.34,37.0,6.0,8.0,8899234
GUYANA,11.4.2020.9.1.32,37.0,6.0,8.0,8931692
GUYANA,11.4.2020.12.8.24,40.0,6.0,8.0,8942904
GUYANA,11.4.2020.17.0.40,40.0,6.0,8.0,8960440
GUYANA,11.4.2020.18.12.28,40.0,6.0,8.0,8964748
GUYANA,11.4.2020.21.44.19,40.0,6.0,8.0,8977459
GUYANA,11.4.2020.23.59.29,40.0,6.0,8.0,8985569
GUYANA,12.4.2020.9.0.42,45.0,6.0,8.0,9018042
GUYANA,12.4.2020.12.5.42,45.0,6.0,8.0,9029142
GUYANA,12.4.2020.15.9.25,45.0,6.0,8.0,9040165
GUYANA,12.4.2020.18.22.1,45.0,6.0,8.0,9051721
GUYANA,12.4.2020.20.59.25,45.0,6.0,8.0,9061165
GUYANA,13.4.2020.0.7.13,45.0,6.0,8.0,9072433
GUYANA,13.4.2020.9.26.16,45.0,6.0,8.0,9105976
GUYANA,13.4.2020.11.59.14,45.0,6.0,8.0,9115154
GUYANA,13.4.2020.15.13.1,45.0,6.0,8.0,9126781
GUYANA,13.4.2020.20.23.47,45.0,6.0,8.0,9145427
GUYANA,13.4.2020.21.1.27,45.0,6.0,8.0,9147687
GUYANA,14.4.2020.0.30.40,45.0,6.0,8.0,9160240
GUYANA,14.4.2020.9.9.9,47.0,6.0,8.0,9191349
GUYANA,14.4.2020.12.13.23,47.0,6.0,8.0,9202403
GUYANA,14.4.2020.15.49.28,47.0,6.0,8.0,9215368
GUYANA,14.4.2020.18.27.14,47.0,6.0,8.0,9224834
GUYANA,14.4.2020.21.18.50,47.0,6.0,8.0,9235130
GUYANA,15.4.2020.0.7.14,47.0,6.0,8.0,9245234
GUYANA,15.4.2020.9.0.9,47.0,6.0,8.0,9277209
GUYANA,15.4.2020.14.56.18,47.0,6.0,8.0,9298578
GUYANA,15.4.2020.19.52.38,48.0,6.0,8.0,9316358
GUYANA,15.4.2020.21.18.33,48.0,6.0,8.0,9321513
GUYANA,16.4.2020.0.51.15,48.0,6.0,8.0,9334275
GUYANA,16.4.2020.9.4.51,55.0,6.0,8.0,9363891
GUYANA,16.4.2020.12.5.8,55.0,6.0,8.0,9374708
GUYANA,16.4.2020.14.57.8,55.0,6.0,8.0,9385028
GUYANA,16.4.2020.17.58.25,55.0,6.0,8.0,9395905
GUYANA,16.4.2020.22.41.20,55.0,6.0,8.0,9412880
GUYANA,17.4.2020.1.32.36,55.0,6.0,8.0,9423156
GUYANA,17.4.2020.9.11.4,55.0,6.0,8.0,9450664
GUYANA,17.4.2020.12.2.1,55.0,6.0,8.0,9460921
GUYANA,17.4.2020.14.56.35,57.0,6.0,9.0,9471395
GUYANA,17.4.2020.18.39.21,57.0,6.0,9.0,9484761
GUYANA,17.4.2020.22.45.21,57.0,6.0,9.0,9499521
GUYANA,18.4.2020.8.54.14,63.0,6.0,9.0,9536054
GUYANA,18.4.2020.13.55.54,63.0,6.0,9.0,9554154
GUYANA,18.4.2020.15.41.6,63.0,6.0,9.0,9560466
GUYANA,18.4.2020.18.3.48,63.0,6.0,9.0,9569028
GUYANA,19.4.2020.0.17.39,63.0,6.0,9.0,9591459
GUYANA,19.4.2020.9.10.8,63.0,6.0,9.0,9623408
GUYANA,19.4.2020.15.11.32,63.0,6.0,9.0,9645092
GUYANA,19.4.2020.18.7.21,63.0,6.0,9.0,9655641
GUYANA,19.4.2020.21.1.51,63.0,6.0,9.0,9666111
GUYANA,20.4.2020.0.0.38,63.0,7.0,9.0,9676838
GUYANA,20.4.2020.12.46.45,65.0,7.0,9.0,9722805
GUYANA,20.4.2020.15.15.13,65.0,7.0,9.0,9731713
GUYANA,20.4.2020.18.0.55,65.0,7.0,9.0,9741655
GUYANA,20.4.2020.20.51.26,65.0,7.0,9.0,9751886
GUYANA,20.4.2020.23.57.35,65.0,7.0,9.0,9763055
GUYANA,21.4.2020.12.5.6,66.0,7.0,9.0,9806706
GUYANA,21.4.2020.18.5.54,66.0,7.0,9.0,9828354
GUYANA,21.4.2020.20.56.52,66.0,7.0,9.0,9838612
GUYANA,22.4.2020.10.13.50,66.0,7.0,9.0,9886430
GUYANA,22.4.2020.12.1.15,66.0,7.0,9.0,9892875
GUYANA,22.4.2020.15.4.35,66.0,7.0,9.0,9903875
GUYANA,23.4.2020.0.41.34,67.0,7.0,9.0,9938494
GUYANA,23.4.2020.11.0.28,67.0,7.0,9.0,9975628
GUYANA,23.4.2020.18.9.30,67.0,7.0,9.0,10001370
GUYANA,23.4.2020.21.15.10,67.0,7.0,9.0,10012510
GUYANA,24.4.2020.12.38.27,70.0,7.0,12.0,10067907
GUYANA,24.4.2020.15.7.1,70.0,7.0,12.0,10076821
GUYANA,24.4.2020.18.5.8,70.0,7.0,12.0,10087508
GUYANA,25.4.2020.1.24.20,70.0,7.0,12.0,10113860
GUYANA,25.4.2020.10.29.29,73.0,7.0,12.0,10146569
GUYANA,25.4.2020.13.6.30,73.0,7.0,12.0,10155990
GUYANA,25.4.2020.15.13.19,73.0,7.0,12.0,10163599
GUYANA,25.4.2020.18.5.53,73.0,7.0,12.0,10173953
GUYANA,26.4.2020.0.2.26,73.0,7.0,12.0,10195346
GUYANA,26.4.2020.10.30.36,73.0,7.0,12.0,10233036
GUYANA,26.4.2020.14.0.20,74.0,8.0,12.0,10245620
GUYANA,26.4.2020.15.0.26,74.0,8.0,12.0,10249226
GUYANA,26.4.2020.18.4.29,74.0,8.0,12.0,10260269
GUYANA,26.4.2020.20.55.24,74.0,8.0,12.0,10270524
GUYANA,27.4.2020.1.26.23,74.0,8.0,12.0,10286783
GUYANA,27.4.2020.12.2.22,74.0,8.0,12.0,10324942
GUYANA,27.4.2020.18.28.29,74.0,8.0,12.0,10348109
GUYANA,27.4.2020.23.10.6,74.0,8.0,12.0,10365006
GUYANA,28.4.2020.0.52.18,74.0,8.0,12.0,10371138
GUYANA,28.4.2020.12.28.54,74.0,8.0,15.0,10412934
GUYANA,29.4.2020.0.5.46,74.0,8.0,15.0,10454746
GUYANA,29.4.2020.11.12.43,74.0,8.0,15.0,10494763
GUYANA,29.4.2020.13.2.52,74.0,8.0,15.0,10501372
GUYANA,29.4.2020.15.8.24,74.0,8.0,15.0,10508904
GUYANA,29.4.2020.18.9.12,74.0,8.0,15.0,10519752
GUYANA,29.4.2020.21.32.47,74.0,8.0,15.0,10531967
GUYANA,30.4.2020.0.17.29,74.0,8.0,15.0,10541849
GUYANA,30.4.2020.9.21.28,78.0,8.0,18.0,10574488
GUYANA,30.4.2020.12.29.51,78.0,8.0,18.0,10585791
GUYANA,30.4.2020.15.13.47,78.0,8.0,18.0,10595627
GUYANA,1.5.2020.0.5.16,78.0,8.0,18.0,10713916
GUYANA,1.5.2020.10.41.27,82.0,9.0,22.0,10752087
GUYANA,1.5.2020.11.53.59,82.0,9.0,22.0,10756439
GUYANA,1.5.2020.15.33.11,82.0,9.0,22.0,10769591
GUYANA,1.5.2020.17.55.59,82.0,9.0,22.0,10778159
GUYANA,1.5.2020.21.26.40,82.0,9.0,22.0,10790800
GUYANA,2.5.2020.0.11.13,82.0,9.0,22.0,10800673
GUYANA,2.5.2020.9.45.39,82.0,9.0,22.0,10835139
GUYANA,2.5.2020.12.46.52,82.0,9.0,22.0,10846012
GUYANA,2.5.2020.15.0.2,82.0,9.0,22.0,10854002
GUYANA,2.5.2020.18.0.30,82.0,9.0,22.0,10864830
GUYANA,3.5.2020.0.4.29,82.0,9.0,22.0,10886669
GUYANA,3.5.2020.11.56.15,82.0,9.0,22.0,10929375
GUYANA,3.5.2020.15.5.11,82.0,9.0,22.0,10940711
GUYANA,3.5.2020.17.57.14,82.0,9.0,22.0,10951034
GUYANA,3.5.2020.21.9.20,82.0,9.0,22.0,10962560
GUYANA,3.5.2020.23.58.14,82.0,9.0,22.0,10972694
GUYANA,4.5.2020.15.8.30,82.0,9.0,22.0,11027310
GUYANA,4.5.2020.18.37.54,82.0,9.0,22.0,11039874
GUYANA,4.5.2020.23.58.7,82.0,9.0,22.0,11059087
GUYANA,5.5.2020.1.13.37,82.0,9.0,22.0,11063617
GUYANA,5.5.2020.13.8.43,92.0,9.0,27.0,11106523
GUYANA,5.5.2020.15.1.21,92.0,9.0,27.0,11113281
GUYANA,5.5.2020.21.5.55,92.0,9.0,27.0,11135155
GUYANA,6.5.2020.0.0.44,92.0,9.0,27.0,11145644
GUYANA,6.5.2020.12.1.14,93.0,10.0,27.0,11188874
GUYANA,6.5.2020.18.0.4,93.0,10.0,27.0,11210404
GUYANA,7.5.2020.0.14.11,93.0,10.0,27.0,11232851
GUYANA,7.5.2020.11.57.25,93.0,10.0,27.0,11275045
GUYANA,7.5.2020.15.0.3,93.0,10.0,27.0,11286003
GUYANA,7.5.2020.18.26.51,93.0,10.0,27.0,11298411
GUYANA,7.5.2020.23.58.31,93.0,10.0,27.0,11318311
GUYANA,8.5.2020.12.2.6,93.0,10.0,34.0,11361726
GUYANA,8.5.2020.15.12.55,93.0,10.0,34.0,11373175
GUYANA,8.5.2020.18.26.19,93.0,10.0,34.0,11384779
GUYANA,8.5.2020.21.29.34,93.0,10.0,34.0,11395774
GUYANA,9.5.2020.0.43.24,93.0,10.0,34.0,11407404
GUYANA,9.5.2020.13.13.55,94.0,10.0,35.0,11452435
GUYANA,9.5.2020.15.22.29,94.0,10.0,35.0,11460149
GUYANA,9.5.2020.18.0.2,94.0,10.0,35.0,11469602
GUYANA,10.5.2020.0.44.24,94.0,10.0,35.0,11493864
GUYANA,10.5.2020.12.0.15,97.0,10.0,35.0,11534415
GUYANA,10.5.2020.15.9.2,97.0,10.0,35.0,11545742
GUYANA,10.5.2020.22.50.52,97.0,10.0,35.0,11573452
GUYANA,10.5.2020.23.59.1,97.0,10.0,35.0,11577541
GUYANA,11.5.2020.10.34.59,104.0,10.0,35.0,11615699
GUYANA,11.5.2020.14.55.28,104.0,10.0,35.0,11631328
GUYANA,11.5.2020.19.31.25,104.0,10.0,35.0,11647885
GUYANA,11.5.2020.21.0.14,104.0,10.0,35.0,11653214
GUYANA,12.5.2020.1.0.51,104.0,10.0,35.0,11667651
GUYANA,12.5.2020.10.8.26,109.0,10.0,36.0,11700506
GUYANA,12.5.2020.12.2.54,109.0,10.0,36.0,11707374
GUYANA,12.5.2020.15.0.2,109.0,10.0,36.0,11718002
GUYANA,12.5.2020.17.58.36,109.0,10.0,36.0,11728716
GUYANA,12.5.2020.21.1.11,109.0,10.0,36.0,11739671
GUYANA,12.5.2020.23.56.29,109.0,10.0,36.0,11750189
GUYANA,13.5.2020.10.34.40,113.0,10.0,39.0,11788480
GUYANA,13.5.2020.12.0.2,113.0,10.0,39.0,11793602
GUYANA,13.5.2020.16.27.8,113.0,10.0,39.0,11809628
GUYANA,13.5.2020.21.0.25,113.0,10.0,39.0,11826025
GUYANA,14.5.2020.0.30.12,113.0,10.0,39.0,11838612
GUYANA,14.5.2020.12.1.47,113.0,10.0,41.0,11880107
GUYANA,14.5.2020.15.54.36,113.0,10.0,41.0,11894076
GUYANA,14.5.2020.19.5.5,113.0,10.0,41.0,11905505
GUYANA,14.5.2020.20.56.4,113.0,10.0,41.0,11912164
GUYANA,15.5.2020.1.21.38,113.0,10.0,41.0,11928098
GUYANA,15.5.2020.12.16.9,113.0,10.0,42.0,11967369
GUYANA,15.5.2020.15.26.20,113.0,10.0,42.0,11978780
GUYANA,15.5.2020.17.53.43,113.0,10.0,42.0,11987623
GUYANA,15.5.2020.21.0.16,113.0,10.0,42.0,11998816
GUYANA,15.5.2020.23.56.42,113.0,10.0,42.0,12009402
GUYANA,16.5.2020.12.26.0,116.0,10.0,43.0,12054360
GUYANA,16.5.2020.17.5.26,116.0,10.0,43.0,12071126
GUYANA,16.5.2020.18.40.21,116.0,10.0,43.0,12076821
GUYANA,16.5.2020.23.58.26,116.0,10.0,43.0,12095906
GUYANA,17.5.2020.12.0.2,117.0,10.0,43.0,12139202
GUYANA,17.5.2020.14.58.45,117.0,10.0,43.0,12149925
GUYANA,17.5.2020.18.48.59,117.0,10.0,43.0,12163739
GUYANA,17.5.2020.21.23.35,117.0,10.0,43.0,12173015
GUYANA,18.5.2020.0.5.4,117.0,10.0,43.0,12182704
GUYANA,18.5.2020.12.2.55,117.0,10.0,43.0,12225775
GUYANA,18.5.2020.15.32.44,117.0,10.0,43.0,12238364
GUYANA,18.5.2020.18.17.4,117.0,10.0,43.0,12248224
GUYANA,18.5.2020.21.14.7,117.0,10.0,43.0,12258847
GUYANA,18.5.2020.23.56.7,117.0,10.0,43.0,12268567
GUYANA,19.5.2020.11.30.38,124.0,10.0,45.0,12310238
GUYANA,19.5.2020.16.31.59,124.0,10.0,45.0,12328319
GUYANA,19.5.2020.19.6.49,124.0,10.0,45.0,12337609
GUYANA,19.5.2020.21.27.31,124.0,10.0,45.0,12346051
GUYANA,19.5.2020.23.57.27,124.0,10.0,45.0,12355047
GUYANA,20.5.2020.12.3.0,125.0,10.0,46.0,12398580
GUYANA,20.5.2020.14.57.38,125.0,10.0,46.0,12409058
GUYANA,20.5.2020.17.44.53,125.0,10.0,46.0,12419093
GUYANA,20.5.2020.21.15.28,125.0,10.0,46.0,12431728
GUYANA,21.5.2020.0.14.36,125.0,10.0,46.0,12442476
GUYANA,21.5.2020.9.38.15,125.0,10.0,47.0,12476295
GUYANA,21.5.2020.12.11.17,125.0,10.0,47.0,12485477
GUYANA,21.5.2020.14.59.56,125.0,10.0,47.0,12495596
GUYANA,21.5.2020.21.24.22,125.0,10.0,47.0,12518662
GUYANA,22.5.2020.0.0.2,125.0,10.0,47.0,12528002
GUYANA,22.5.2020.10.37.17,127.0,10.0,57.0,12566237
GUYANA,22.5.2020.12.36.18,127.0,10.0,57.0,12573378
GUYANA,22.5.2020.16.6.0,127.0,10.0,57.0,12585960
GUYANA,22.5.2020.18.0.2,127.0,10.0,57.0,12592802
GUYANA,22.5.2020.21.0.9,127.0,10.0,57.0,12603609
GUYANA,23.5.2020.1.20.34,127.0,10.0,57.0,12619234
GUYANA,23.5.2020.12.7.16,127.0,10.0,57.0,12658036
GUYANA,23.5.2020.18.9.53,127.0,10.0,57.0,12679793
GUYANA,23.5.2020.22.2.48,127.0,10.0,57.0,12693768
GUYANA,24.5.2020.0.0.2,127.0,10.0,57.0,12700802
GUYANA,24.5.2020.12.54.52,127.0,10.0,58.0,12747292
GUYANA,24.5.2020.16.7.25,127.0,10.0,58.0,12758845
GUYANA,24.5.2020.18.12.44,127.0,10.0,58.0,12766364
GUYANA,24.5.2020.22.29.8,127.0,10.0,58.0,12781748
GUYANA,25.5.2020.1.32.8,127.0,10.0,58.0,12792728
GUYANA,25.5.2020.9.46.16,135.0,10.0,62.0,12822376
GUYANA,25.5.2020.12.12.38,135.0,10.0,62.0,12831158
GUYANA,25.5.2020.15.12.3,135.0,10.0,62.0,12841923
