Nation,Time,Confirmed Case,Death,Recover,timestamp
HAITI,3.4.2020.14.30.10,18.0,0.0,1.0,8260210
HAITI,3.4.2020.14.30.11,18.0,0.0,1.0,8260211
HAITI,3.4.2020.17.30.12,18.0,0.0,1.0,8271012
HAITI,3.4.2020.20.30.12,18.0,0.0,1.0,8281812
HAITI,3.4.2020.23.30.19,18.0,0.0,1.0,8292619
HAITI,4.4.2020.8.30.14,18.0,0.0,1.0,8325014
HAITI,4.4.2020.11.30.14,18.0,0.0,1.0,8335814
HAITI,4.4.2020.14.30.16,18.0,0.0,1.0,8346616
HAITI,4.4.2020.17.30.18,18.0,0.0,1.0,8357418
HAITI,4.4.2020.20.30.33,20.0,0.0,1.0,8368233
HAITI,4.4.2020.23.30.5,20.0,0.0,1.0,8379005
HAITI,5.4.2020.8.30.7,21.0,0.0,1.0,8411407
HAITI,5.4.2020.11.30.3,21.0,0.0,1.0,8422203
HAITI,5.4.2020.14.30.4,21.0,0.0,1.0,8433004
HAITI,5.4.2020.17.40.33,21.0,0.0,1.0,8444433
HAITI,5.4.2020.20.33.28,21.0,0.0,1.0,8454808
HAITI,5.4.2020.23.30.2,21.0,1.0,1.0,8465402
HAITI,6.4.2020.8.37.49,21.0,1.0,1.0,8498269
HAITI,6.4.2020.11.30.5,21.0,1.0,1.0,8508605
HAITI,6.4.2020.14.44.21,21.0,1.0,1.0,8520261
HAITI,6.4.2020.17.30.4,21.0,1.0,1.0,8530204
HAITI,6.4.2020.21.0.44,21.0,1.0,1.0,8542844
HAITI,7.4.2020.0.0.3,24.0,1.0,1.0,8553603
HAITI,7.4.2020.9.0.4,24.0,1.0,1.0,8586004
HAITI,7.4.2020.12.15.51,24.0,1.0,1.0,8597751
HAITI,7.4.2020.15.59.55,24.0,1.0,1.0,8611195
HAITI,7.4.2020.18.3.46,24.0,1.0,1.0,8618626
HAITI,7.4.2020.21.32.15,25.0,1.0,1.0,8631135
HAITI,8.4.2020.0.0.4,25.0,1.0,1.0,8640004
HAITI,8.4.2020.9.0.46,25.0,1.0,1.0,8672446
HAITI,8.4.2020.12.21.18,25.0,1.0,1.0,8684478
HAITI,8.4.2020.15.4.46,25.0,1.0,1.0,8694286
HAITI,8.4.2020.18.11.16,25.0,1.0,1.0,8705476
HAITI,8.4.2020.21.33.56,25.0,1.0,1.0,8717636
HAITI,9.4.2020.0.14.12,27.0,1.0,1.0,8727252
HAITI,9.4.2020.11.19.24,27.0,1.0,1.0,8767164
HAITI,9.4.2020.12.7.24,27.0,1.0,1.0,8770044
HAITI,9.4.2020.14.57.9,27.0,1.0,1.0,8780229
HAITI,9.4.2020.18.0.2,30.0,2.0,1.0,8791202
HAITI,10.4.2020.1.6.14,30.0,2.0,1.0,8816774
HAITI,10.4.2020.9.4.46,30.0,2.0,1.0,8845486
HAITI,10.4.2020.12.9.17,30.0,2.0,1.0,8856557
HAITI,10.4.2020.14.55.51,30.0,2.0,1.0,8866551
HAITI,10.4.2020.18.41.5,30.0,2.0,1.0,8880065
HAITI,10.4.2020.21.59.17,30.0,2.0,1.0,8891957
HAITI,11.4.2020.0.0.34,30.0,2.0,1.0,8899234
HAITI,11.4.2020.9.1.32,31.0,2.0,1.0,8931692
HAITI,11.4.2020.12.8.24,31.0,2.0,1.0,8942904
HAITI,11.4.2020.17.0.40,31.0,2.0,1.0,8960440
HAITI,11.4.2020.18.12.28,31.0,2.0,1.0,8964748
HAITI,11.4.2020.21.44.19,31.0,2.0,1.0,8977459
HAITI,11.4.2020.23.59.29,31.0,2.0,1.0,8985569
HAITI,12.4.2020.9.0.42,33.0,2.0,1.0,9018042
HAITI,12.4.2020.12.5.42,33.0,2.0,1.0,9029142
HAITI,12.4.2020.15.9.25,33.0,2.0,1.0,9040165
HAITI,12.4.2020.18.22.1,33.0,3.0,1.0,9051721
HAITI,12.4.2020.20.59.25,33.0,3.0,1.0,9061165
HAITI,13.4.2020.0.7.13,33.0,3.0,1.0,9072433
HAITI,13.4.2020.9.26.16,33.0,3.0,1.0,9105976
HAITI,13.4.2020.11.59.14,33.0,3.0,1.0,9115154
HAITI,13.4.2020.15.13.1,33.0,3.0,1.0,9126781
HAITI,13.4.2020.20.23.47,33.0,3.0,1.0,9145427
HAITI,13.4.2020.21.1.27,33.0,3.0,1.0,9147687
HAITI,14.4.2020.0.30.40,40.0,3.0,1.0,9160240
HAITI,14.4.2020.9.9.9,40.0,3.0,1.0,9191349
HAITI,14.4.2020.12.13.23,40.0,3.0,1.0,9202403
HAITI,14.4.2020.15.49.28,40.0,3.0,1.0,9215368
HAITI,14.4.2020.18.27.14,40.0,3.0,1.0,9224834
HAITI,14.4.2020.21.18.50,40.0,3.0,1.0,9235130
HAITI,15.4.2020.0.7.14,40.0,3.0,1.0,9245234
HAITI,15.4.2020.9.0.9,40.0,3.0,1.0,9277209
HAITI,15.4.2020.14.56.18,40.0,3.0,1.0,9298578
HAITI,15.4.2020.19.52.38,40.0,3.0,1.0,9316358
HAITI,15.4.2020.21.18.33,40.0,3.0,1.0,9321513
HAITI,16.4.2020.0.51.15,41.0,3.0,1.0,9334275
HAITI,16.4.2020.9.4.51,41.0,3.0,1.0,9363891
HAITI,16.4.2020.12.5.8,41.0,3.0,1.0,9374708
HAITI,16.4.2020.14.57.8,41.0,3.0,1.0,9385028
HAITI,16.4.2020.17.58.25,41.0,3.0,1.0,9395905
HAITI,16.4.2020.22.41.20,41.0,3.0,1.0,9412880
HAITI,17.4.2020.1.32.36,41.0,3.0,1.0,9423156
HAITI,17.4.2020.9.11.4,43.0,3.0,1.0,9450664
HAITI,17.4.2020.12.2.1,43.0,3.0,1.0,9460921
HAITI,17.4.2020.14.56.35,43.0,3.0,1.0,9471395
HAITI,17.4.2020.18.39.21,43.0,3.0,1.0,9484761
HAITI,17.4.2020.22.45.21,43.0,3.0,1.0,9499521
