Nation,Time,Confirmed Case,Death,Recover,timestamp
HONDURAS,3.4.2020.14.30.10,222.0,15.0,3.0,8260210
HONDURAS,3.4.2020.14.30.11,222.0,15.0,3.0,8260211
HONDURAS,3.4.2020.17.30.12,222.0,15.0,3.0,8271012
HONDURAS,3.4.2020.20.30.12,222.0,15.0,3.0,8281812
HONDURAS,3.4.2020.23.30.19,222.0,15.0,3.0,8292619
HONDURAS,4.4.2020.8.30.14,264.0,15.0,3.0,8325014
HONDURAS,4.4.2020.11.30.14,264.0,15.0,3.0,8335814
HONDURAS,4.4.2020.14.30.16,264.0,15.0,3.0,8346616
HONDURAS,4.4.2020.17.30.18,264.0,15.0,3.0,8357418
HONDURAS,4.4.2020.20.30.33,264.0,15.0,3.0,8368233
HONDURAS,4.4.2020.23.30.5,264.0,15.0,3.0,8379005
HONDURAS,5.4.2020.8.30.7,268.0,22.0,6.0,8411407
HONDURAS,5.4.2020.11.30.3,268.0,22.0,6.0,8422203
HONDURAS,5.4.2020.14.30.4,268.0,22.0,6.0,8433004
HONDURAS,5.4.2020.17.40.33,268.0,22.0,6.0,8444433
HONDURAS,5.4.2020.20.33.28,268.0,22.0,6.0,8454808
HONDURAS,5.4.2020.23.30.2,268.0,22.0,6.0,8465402
HONDURAS,6.4.2020.8.37.49,298.0,22.0,6.0,8498269
HONDURAS,6.4.2020.11.30.5,298.0,22.0,6.0,8508605
HONDURAS,6.4.2020.14.44.21,298.0,22.0,6.0,8520261
HONDURAS,6.4.2020.17.30.4,298.0,22.0,6.0,8530204
HONDURAS,6.4.2020.21.0.44,298.0,22.0,6.0,8542844
HONDURAS,7.4.2020.0.0.3,298.0,22.0,6.0,8553603
HONDURAS,7.4.2020.9.0.4,305.0,22.0,6.0,8586004
HONDURAS,7.4.2020.12.15.51,305.0,22.0,6.0,8597751
HONDURAS,7.4.2020.15.59.55,305.0,22.0,6.0,8611195
HONDURAS,7.4.2020.18.3.46,305.0,22.0,6.0,8618626
HONDURAS,7.4.2020.21.32.15,305.0,22.0,6.0,8631135
HONDURAS,8.4.2020.0.0.4,305.0,22.0,6.0,8640004
HONDURAS,8.4.2020.9.0.46,312.0,22.0,6.0,8672446
HONDURAS,8.4.2020.12.21.18,312.0,22.0,6.0,8684478
HONDURAS,8.4.2020.15.4.46,312.0,22.0,6.0,8694286
HONDURAS,8.4.2020.18.11.16,312.0,22.0,6.0,8705476
HONDURAS,8.4.2020.21.33.56,312.0,22.0,6.0,8717636
HONDURAS,9.4.2020.0.14.12,312.0,22.0,6.0,8727252
HONDURAS,9.4.2020.11.19.24,343.0,23.0,6.0,8767164
HONDURAS,9.4.2020.12.7.24,343.0,23.0,6.0,8770044
HONDURAS,9.4.2020.14.57.9,343.0,23.0,6.0,8780229
HONDURAS,9.4.2020.18.0.2,343.0,23.0,6.0,8791202
HONDURAS,10.4.2020.1.6.14,343.0,23.0,6.0,8816774
HONDURAS,10.4.2020.9.4.46,382.0,23.0,6.0,8845486
HONDURAS,10.4.2020.12.9.17,382.0,23.0,7.0,8856557
HONDURAS,10.4.2020.14.55.51,382.0,23.0,7.0,8866551
HONDURAS,10.4.2020.18.41.5,382.0,23.0,7.0,8880065
HONDURAS,10.4.2020.21.59.17,382.0,23.0,7.0,8891957
HONDURAS,11.4.2020.0.0.34,382.0,23.0,7.0,8899234
HONDURAS,11.4.2020.9.1.32,382.0,23.0,7.0,8931692
HONDURAS,11.4.2020.12.8.24,392.0,24.0,7.0,8942904
HONDURAS,11.4.2020.17.0.40,392.0,24.0,7.0,8960440
HONDURAS,11.4.2020.18.12.28,392.0,24.0,7.0,8964748
HONDURAS,11.4.2020.21.44.19,392.0,24.0,7.0,8977459
HONDURAS,11.4.2020.23.59.29,392.0,24.0,7.0,8985569
HONDURAS,12.4.2020.9.0.42,393.0,25.0,7.0,9018042
HONDURAS,12.4.2020.12.5.42,393.0,25.0,7.0,9029142
HONDURAS,12.4.2020.15.9.25,393.0,25.0,7.0,9040165
HONDURAS,12.4.2020.18.22.1,393.0,25.0,7.0,9051721
HONDURAS,12.4.2020.20.59.25,393.0,25.0,7.0,9061165
HONDURAS,13.4.2020.0.7.13,393.0,25.0,7.0,9072433
HONDURAS,13.4.2020.9.26.16,393.0,25.0,7.0,9105976
