Nation,Time,Confirmed Case,Death,Recover,timestamp
HUNGARY,2020-04-03 14:30:10,623.0,26.0,43.0,8260210
HUNGARY,2020-04-03 14:30:11,623.0,26.0,43.0,8260211
HUNGARY,2020-04-03 17:30:12,623.0,26.0,43.0,8271012
HUNGARY,2020-04-03 20:30:12,623.0,26.0,43.0,8281812
HUNGARY,2020-04-03 23:30:19,623.0,26.0,43.0,8292619
HUNGARY,2020-04-04 08:30:14,623.0,26.0,43.0,8325014
HUNGARY,2020-04-04 11:30:14,678.0,32.0,58.0,8335814
HUNGARY,2020-04-04 14:30:16,678.0,32.0,58.0,8346616
HUNGARY,2020-04-04 17:30:18,678.0,32.0,58.0,8357418
HUNGARY,2020-04-04 20:30:33,678.0,32.0,58.0,8368233
HUNGARY,2020-04-04 23:30:05,678.0,32.0,58.0,8379005
HUNGARY,2020-04-05 08:30:07,678.0,32.0,58.0,8411407
HUNGARY,2020-04-05 11:30:03,733.0,34.0,66.0,8422203
HUNGARY,2020-04-05 14:30:04,733.0,34.0,66.0,8433004
HUNGARY,2020-04-05 17:40:33,733.0,34.0,66.0,8444433
HUNGARY,2020-04-05 20:33:28,733.0,34.0,66.0,8454808
HUNGARY,2020-04-05 23:30:02,733.0,34.0,66.0,8465402
HUNGARY,2020-04-06 08:37:49,733.0,34.0,66.0,8498269
HUNGARY,2020-04-06 11:30:05,744.0,38.0,67.0,8508605
HUNGARY,2020-04-06 14:44:21,744.0,38.0,67.0,8520261
HUNGARY,2020-04-06 17:30:04,744.0,38.0,67.0,8530204
HUNGARY,2020-04-06 21:00:44,744.0,38.0,67.0,8542844
HUNGARY,2020-04-07 00:00:03,744.0,38.0,67.0,8553603
HUNGARY,2020-04-07 09:00:04,744.0,38.0,67.0,8586004
HUNGARY,2020-04-07 12:15:51,817.0,47.0,71.0,8597751
HUNGARY,2020-04-07 15:59:55,817.0,47.0,71.0,8611195
HUNGARY,2020-04-07 18:03:46,817.0,47.0,71.0,8618626
HUNGARY,2020-04-07 21:32:15,817.0,47.0,71.0,8631135
HUNGARY,2020-04-08 00:00:04,817.0,47.0,71.0,8640004
HUNGARY,2020-04-08 09:00:46,817.0,47.0,71.0,8672446
HUNGARY,2020-04-08 12:21:18,895.0,58.0,94.0,8684478
HUNGARY,2020-04-08 15:04:46,895.0,58.0,94.0,8694286
HUNGARY,2020-04-08 18:11:16,895.0,58.0,94.0,8705476
HUNGARY,2020-04-08 21:33:56,895.0,58.0,94.0,8717636
HUNGARY,2020-04-09 00:14:12,895.0,58.0,94.0,8727252
HUNGARY,2020-04-09 11:19:24,980.0,66.0,96.0,8767164
HUNGARY,2020-04-09 12:07:24,980.0,66.0,96.0,8770044
HUNGARY,2020-04-09 14:57:09,980.0,66.0,96.0,8780229
HUNGARY,2020-04-09 18:00:02,980.0,66.0,96.0,8791202
HUNGARY,2020-04-10 01:06:14,980.0,66.0,96.0,8816774
HUNGARY,2020-04-10 09:04:46,980.0,66.0,96.0,8845486
HUNGARY,2020-04-10 12:09:17,1190.0,77.0,112.0,8856557
HUNGARY,2020-04-10 14:55:51,1190.0,77.0,112.0,8866551
HUNGARY,2020-04-10 18:41:05,1190.0,77.0,112.0,8880065
HUNGARY,2020-04-10 21:59:17,1190.0,77.0,112.0,8891957
