Nation,Time,Confirmed Case,Death,Recover,timestamp
ICELAND,3.4.2020.14.30.10,1319.0,4.0,284.0,8260210
ICELAND,3.4.2020.14.30.11,1319.0,4.0,284.0,8260211
ICELAND,3.4.2020.17.30.12,1319.0,4.0,284.0,8271012
ICELAND,3.4.2020.20.30.12,1364.0,4.0,309.0,8281812
ICELAND,3.4.2020.23.30.19,1364.0,4.0,309.0,8292619
ICELAND,4.4.2020.8.30.14,1364.0,4.0,336.0,8325014
ICELAND,4.4.2020.11.30.14,1364.0,4.0,336.0,8335814
ICELAND,4.4.2020.14.30.16,1364.0,4.0,336.0,8346616
ICELAND,4.4.2020.17.30.18,1364.0,4.0,336.0,8357418
ICELAND,4.4.2020.20.30.33,1417.0,4.0,396.0,8368233
ICELAND,4.4.2020.23.30.5,1417.0,4.0,396.0,8379005
ICELAND,5.4.2020.8.30.7,1417.0,4.0,396.0,8411407
ICELAND,5.4.2020.11.30.3,1417.0,4.0,396.0,8422203
ICELAND,5.4.2020.14.30.4,1417.0,4.0,396.0,8433004
ICELAND,5.4.2020.17.40.33,1417.0,4.0,396.0,8444433
ICELAND,5.4.2020.20.33.28,1486.0,4.0,428.0,8454808
ICELAND,5.4.2020.23.30.2,1486.0,4.0,428.0,8465402
ICELAND,6.4.2020.8.37.49,1486.0,4.0,428.0,8498269
ICELAND,6.4.2020.11.30.5,1486.0,4.0,428.0,8508605
ICELAND,6.4.2020.14.44.21,1486.0,4.0,428.0,8520261
ICELAND,6.4.2020.17.30.4,1486.0,4.0,428.0,8530204
ICELAND,6.4.2020.21.0.44,1562.0,6.0,460.0,8542844
ICELAND,7.4.2020.0.0.3,1562.0,6.0,460.0,8553603
ICELAND,7.4.2020.9.0.4,1562.0,6.0,460.0,8586004
ICELAND,7.4.2020.12.15.51,1562.0,6.0,460.0,8597751
ICELAND,7.4.2020.15.59.55,1562.0,6.0,460.0,8611195
ICELAND,7.4.2020.18.3.46,1562.0,6.0,460.0,8618626
