Nation,Time,Confirmed Case,Death,Recover,timestamp
INDONESIA,2020-04-03 14:30:10,1986.0,181.0,134.0,8260210
INDONESIA,2020-04-03 14:30:11,1986.0,181.0,134.0,8260211
INDONESIA,2020-04-03 17:30:12,1986.0,181.0,134.0,8271012
INDONESIA,2020-04-03 20:30:12,1986.0,181.0,134.0,8281812
INDONESIA,2020-04-03 23:30:19,1986.0,181.0,134.0,8292619
INDONESIA,2020-04-04 08:30:14,1986.0,181.0,134.0,8325014
INDONESIA,2020-04-04 11:30:14,1986.0,181.0,134.0,8335814
INDONESIA,2020-04-04 14:30:16,1986.0,181.0,134.0,8346616
INDONESIA,2020-04-04 17:30:18,2092.0,191.0,150.0,8357418
INDONESIA,2020-04-04 20:30:33,2092.0,191.0,150.0,8368233
INDONESIA,2020-04-04 23:30:05,2092.0,191.0,150.0,8379005
INDONESIA,2020-04-05 08:30:07,2092.0,191.0,150.0,8411407
INDONESIA,2020-04-05 11:30:03,2092.0,191.0,150.0,8422203
INDONESIA,2020-04-05 14:30:04,2092.0,191.0,150.0,8433004
INDONESIA,2020-04-05 17:40:33,2273.0,198.0,164.0,8444433
INDONESIA,2020-04-05 20:33:28,2273.0,198.0,164.0,8454808
INDONESIA,2020-04-05 23:30:02,2273.0,198.0,164.0,8465402
INDONESIA,2020-04-06 08:37:49,2273.0,198.0,164.0,8498269
INDONESIA,2020-04-06 11:30:05,2273.0,198.0,164.0,8508605
INDONESIA,2020-04-06 14:44:21,2491.0,209.0,192.0,8520261
INDONESIA,2020-04-06 17:30:04,2491.0,209.0,192.0,8530204
INDONESIA,2020-04-06 21:00:44,2491.0,209.0,192.0,8542844
INDONESIA,2020-04-07 00:00:03,2491.0,209.0,192.0,8553603
INDONESIA,2020-04-07 09:00:04,2491.0,209.0,192.0,8586004
INDONESIA,2020-04-07 12:15:51,2491.0,209.0,192.0,8597751
INDONESIA,2020-04-07 15:59:55,2738.0,221.0,204.0,8611195
INDONESIA,2020-04-07 18:03:46,2738.0,221.0,204.0,8618626
INDONESIA,2020-04-07 21:32:15,2738.0,221.0,204.0,8631135
INDONESIA,2020-04-08 00:00:04,2738.0,221.0,204.0,8640004
INDONESIA,2020-04-08 09:00:46,2738.0,221.0,204.0,8672446
INDONESIA,2020-04-08 12:21:18,2738.0,221.0,204.0,8684478
INDONESIA,2020-04-08 15:04:46,2956.0,240.0,222.0,8694286
INDONESIA,2020-04-08 18:11:16,2956.0,240.0,222.0,8705476
INDONESIA,2020-04-08 21:33:56,2956.0,240.0,222.0,8717636
INDONESIA,2020-04-09 00:14:12,2956.0,240.0,222.0,8727252
INDONESIA,2020-04-09 11:19:24,2956.0,240.0,222.0,8767164
INDONESIA,2020-04-09 12:07:24,2956.0,240.0,222.0,8770044
INDONESIA,2020-04-09 14:57:09,3293.0,280.0,252.0,8780229
INDONESIA,2020-04-09 18:00:02,3293.0,280.0,252.0,8791202
INDONESIA,2020-04-10 01:06:14,3293.0,280.0,252.0,8816774
INDONESIA,2020-04-10 09:04:46,3293.0,280.0,252.0,8845486
INDONESIA,2020-04-10 12:09:17,3293.0,280.0,252.0,8856557
INDONESIA,2020-04-10 14:55:51,3512.0,306.0,282.0,8866551
INDONESIA,2020-04-10 18:41:05,3512.0,306.0,282.0,8880065
INDONESIA,2020-04-10 21:59:17,3512.0,306.0,282.0,8891957
INDONESIA,2020-04-11 00:00:34,3512.0,306.0,282.0,8899234
INDONESIA,2020-04-11 09:01:32,3512.0,306.0,282.0,8931692
INDONESIA,2020-04-11 12:08:24,3512.0,306.0,282.0,8942904
INDONESIA,2020-04-11 17:00:40,3842.0,327.0,286.0,8960440
INDONESIA,2020-04-11 18:12:28,3842.0,327.0,286.0,8964748
INDONESIA,2020-04-11 21:44:19,3842.0,327.0,286.0,8977459
INDONESIA,2020-04-11 23:59:29,3842.0,327.0,286.0,8985569
INDONESIA,2020-04-12 09:00:42,3842.0,327.0,286.0,9018042
INDONESIA,2020-04-12 12:05:42,3842.0,327.0,286.0,9029142
INDONESIA,2020-04-12 15:09:25,4241.0,373.0,359.0,9040165
INDONESIA,2020-04-12 18:22:01,4241.0,373.0,359.0,9051721
INDONESIA,2020-04-12 20:59:25,4241.0,373.0,359.0,9061165
INDONESIA,2020-04-13 00:07:13,4241.0,373.0,359.0,9072433
INDONESIA,2020-04-13 09:26:16,4241.0,373.0,359.0,9105976
INDONESIA,2020-04-13 11:59:14,4241.0,373.0,359.0,9115154
INDONESIA,2020-04-13 15:13:01,4557.0,399.0,380.0,9126781
INDONESIA,2020-04-13 20:23:47,4557.0,399.0,380.0,9145427
INDONESIA,2020-04-13 21:01:27,4557.0,399.0,380.0,9147687
INDONESIA,2020-04-14 00:30:40,4557.0,399.0,380.0,9160240
INDONESIA,2020-04-14 09:09:09,4557.0,399.0,380.0,9191349
INDONESIA,2020-04-14 12:13:23,4557.0,399.0,380.0,9202403
INDONESIA,2020-04-14 15:49:28,4839.0,459.0,426.0,9215368
INDONESIA,2020-04-14 18:27:14,4839.0,459.0,426.0,9224834
INDONESIA,2020-04-14 21:18:50,4839.0,459.0,426.0,9235130
INDONESIA,2020-04-15 00:07:14,4839.0,459.0,426.0,9245234
INDONESIA,2020-04-15 09:00:09,4839.0,459.0,426.0,9277209
INDONESIA,2020-04-15 14:56:18,5136.0,469.0,446.0,9298578
INDONESIA,2020-04-15 19:52:38,5136.0,469.0,446.0,9316358
INDONESIA,2020-04-15 21:18:33,5136.0,469.0,446.0,9321513
INDONESIA,2020-04-16 00:51:15,5136.0,469.0,446.0,9334275
INDONESIA,2020-04-16 09:04:51,5136.0,469.0,446.0,9363891
INDONESIA,2020-04-16 12:05:08,5136.0,469.0,446.0,9374708
INDONESIA,2020-04-16 14:57:08,5516.0,498.0,548.0,9385028
INDONESIA,2020-04-16 17:58:25,5516.0,496.0,548.0,9395905
INDONESIA,2020-04-16 22:41:20,5516.0,496.0,548.0,9412880
INDONESIA,2020-04-17 01:32:36,5516.0,496.0,548.0,9423156
INDONESIA,2020-04-17 09:11:04,5516.0,496.0,548.0,9450664
INDONESIA,2020-04-17 12:02:01,5516.0,496.0,548.0,9460921
INDONESIA,2020-04-17 14:56:35,5923.0,520.0,607.0,9471395
INDONESIA,2020-04-17 18:39:21,5923.0,520.0,607.0,9484761
INDONESIA,2020-04-17 22:45:21,5923.0,520.0,607.0,9499521
INDONESIA,2020-04-18 08:54:14,5923.0,520.0,607.0,9536054
INDONESIA,2020-04-18 13:55:54,5923.0,520.0,607.0,9554154
INDONESIA,2020-04-18 15:41:06,6248.0,535.0,631.0,9560466
INDONESIA,2020-04-18 18:03:48,6248.0,535.0,631.0,9569028
INDONESIA,2020-04-19 00:17:39,6248.0,535.0,631.0,9591459
INDONESIA,2020-04-19 09:10:08,6248.0,535.0,631.0,9623408
INDONESIA,2020-04-19 15:11:32,6575.0,582.0,686.0,9645092
INDONESIA,2020-04-19 18:07:21,6575.0,582.0,686.0,9655641
INDONESIA,2020-04-19 21:01:51,6575.0,582.0,686.0,9666111
INDONESIA,2020-04-20 00:00:38,6575.0,582.0,686.0,9676838
INDONESIA,2020-04-20 12:46:45,6575.0,582.0,686.0,9722805
INDONESIA,2020-04-20 15:15:13,6760.0,590.0,747.0,9731713
INDONESIA,2020-04-20 18:00:55,6760.0,590.0,747.0,9741655
INDONESIA,2020-04-20 20:51:26,6760.0,590.0,747.0,9751886
INDONESIA,2020-04-20 23:57:35,6760.0,590.0,747.0,9763055
INDONESIA,2020-04-21 12:05:06,6760.0,590.0,747.0,9806706
INDONESIA,2020-04-21 18:05:54,7135.0,616.0,842.0,9828354
INDONESIA,2020-04-21 20:56:52,7135.0,616.0,842.0,9838612
INDONESIA,2020-04-22 10:13:50,7135.0,616.0,842.0,9886430
INDONESIA,2020-04-22 12:01:15,7135.0,616.0,842.0,9892875
INDONESIA,2020-04-22 15:04:35,7418.0,635.0,913.0,9903875
INDONESIA,2020-04-23 00:41:34,7418.0,635.0,913.0,9938494
INDONESIA,2020-04-23 11:00:28,7418.0,635.0,913.0,9975628
INDONESIA,2020-04-23 18:09:30,7775.0,647.0,960.0,10001370
INDONESIA,2020-04-23 21:15:10,7775.0,647.0,960.0,10012510
INDONESIA,2020-04-24 12:38:27,7775.0,647.0,960.0,10067907
INDONESIA,2020-04-24 15:07:01,8211.0,689.0,1002.0,10076821
INDONESIA,2020-04-24 18:05:08,8211.0,689.0,1002.0,10087508
INDONESIA,2020-04-25 01:24:20,8211.0,689.0,1002.0,10113860
INDONESIA,2020-04-25 10:29:29,8211.0,689.0,1002.0,10146569
INDONESIA,2020-04-25 13:06:30,8211.0,689.0,1002.0,10155990
INDONESIA,2020-04-25 15:13:19,8607.0,720.0,1042.0,10163599
