Nation,Time,Confirmed Case,Death,Recover,timestamp
IRELAND,2020-04-03 14:30:10,3849.0,98.0,5.0,8260210
IRELAND,2020-04-03 14:30:11,3849.0,98.0,5.0,8260211
IRELAND,2020-04-03 17:30:12,3849.0,98.0,5.0,8271012
IRELAND,2020-04-03 20:30:12,3849.0,98.0,5.0,8281812
IRELAND,2020-04-03 23:30:19,4273.0,120.0,5.0,8292619
IRELAND,2020-04-04 08:30:14,4273.0,120.0,25.0,8325014
IRELAND,2020-04-04 11:30:14,4273.0,120.0,25.0,8335814
IRELAND,2020-04-04 14:30:16,4273.0,120.0,25.0,8346616
IRELAND,2020-04-04 17:30:18,4273.0,120.0,25.0,8357418
IRELAND,2020-04-04 20:30:33,4273.0,120.0,25.0,8368233
IRELAND,2020-04-04 23:30:05,4604.0,137.0,25.0,8379005
IRELAND,2020-04-05 08:30:07,4604.0,137.0,25.0,8411407
IRELAND,2020-04-05 11:30:03,4604.0,137.0,25.0,8422203
IRELAND,2020-04-05 14:30:04,4604.0,137.0,25.0,8433004
IRELAND,2020-04-05 17:40:33,4604.0,137.0,25.0,8444433
IRELAND,2020-04-05 20:33:28,4604.0,137.0,25.0,8454808
IRELAND,2020-04-05 23:30:02,4604.0,137.0,25.0,8465402
IRELAND,2020-04-06 08:37:49,4994.0,158.0,25.0,8498269
IRELAND,2020-04-06 11:30:05,4994.0,158.0,25.0,8508605
IRELAND,2020-04-06 14:44:21,4994.0,158.0,25.0,8520261
IRELAND,2020-04-06 17:30:04,4994.0,158.0,25.0,8530204
IRELAND,2020-04-06 21:00:44,4994.0,158.0,25.0,8542844
IRELAND,2020-04-07 00:00:03,5364.0,174.0,25.0,8553603
IRELAND,2020-04-07 09:00:04,5364.0,174.0,25.0,8586004
IRELAND,2020-04-07 12:15:51,5364.0,174.0,25.0,8597751
IRELAND,2020-04-07 15:59:55,5364.0,174.0,25.0,8611195
IRELAND,2020-04-07 18:03:46,5364.0,174.0,25.0,8618626
IRELAND,2020-04-07 21:32:15,5364.0,174.0,25.0,8631135
IRELAND,2020-04-08 00:00:04,5709.0,210.0,25.0,8640004
IRELAND,2020-04-08 09:00:46,5709.0,210.0,25.0,8672446
IRELAND,2020-04-08 12:21:18,5709.0,210.0,25.0,8684478
IRELAND,2020-04-08 15:04:46,5709.0,210.0,25.0,8694286
IRELAND,2020-04-08 18:11:16,5709.0,210.0,25.0,8705476
IRELAND,2020-04-08 21:33:56,5709.0,210.0,25.0,8717636
IRELAND,2020-04-09 00:14:12,6074.0,235.0,25.0,8727252
IRELAND,2020-04-09 11:19:24,6074.0,235.0,25.0,8767164
IRELAND,2020-04-09 12:07:24,6074.0,235.0,25.0,8770044
IRELAND,2020-04-09 14:57:09,6074.0,235.0,25.0,8780229
IRELAND,2020-04-09 18:00:02,6074.0,235.0,25.0,8791202
IRELAND,2020-04-10 01:06:14,6574.0,263.0,25.0,8816774
IRELAND,2020-04-10 09:04:46,6574.0,263.0,25.0,8845486
IRELAND,2020-04-10 12:09:17,6574.0,263.0,25.0,8856557
IRELAND,2020-04-10 14:55:51,6574.0,263.0,25.0,8866551
IRELAND,2020-04-10 18:41:05,6574.0,263.0,25.0,8880065
IRELAND,2020-04-10 21:59:17,6574.0,263.0,25.0,8891957
IRELAND,2020-04-11 00:00:34,7054.0,287.0,25.0,8899234
IRELAND,2020-04-11 09:01:32,8089.0,287.0,25.0,8931692
IRELAND,2020-04-11 12:08:24,8089.0,287.0,25.0,8942904
IRELAND,2020-04-11 17:00:40,8089.0,287.0,25.0,8960440
IRELAND,2020-04-11 18:12:28,8089.0,287.0,25.0,8964748
IRELAND,2020-04-11 21:44:19,8089.0,287.0,25.0,8977459
IRELAND,2020-04-11 23:59:29,8928.0,320.0,25.0,8985569
IRELAND,2020-04-12 09:00:42,8928.0,320.0,25.0,9018042
IRELAND,2020-04-12 12:05:42,8928.0,320.0,25.0,9029142
IRELAND,2020-04-12 15:09:25,8928.0,320.0,25.0,9040165
IRELAND,2020-04-12 18:22:01,8928.0,320.0,25.0,9051721
IRELAND,2020-04-12 20:59:25,8928.0,320.0,25.0,9061165
IRELAND,2020-04-13 00:07:13,9655.0,334.0,25.0,9072433
IRELAND,2020-04-13 09:26:16,9655.0,334.0,25.0,9105976
IRELAND,2020-04-13 11:59:14,9655.0,334.0,25.0,9115154
IRELAND,2020-04-13 15:13:01,9655.0,334.0,25.0,9126781
IRELAND,2020-04-13 20:23:47,9655.0,334.0,25.0,9145427
IRELAND,2020-04-13 21:01:27,9655.0,334.0,25.0,9147687
IRELAND,2020-04-14 00:30:40,10647.0,365.0,25.0,9160240
IRELAND,2020-04-14 09:09:09,10647.0,365.0,25.0,9191349
IRELAND,2020-04-14 12:13:23,10647.0,365.0,25.0,9202403
IRELAND,2020-04-14 15:49:28,10647.0,365.0,25.0,9215368
IRELAND,2020-04-14 18:27:14,10647.0,365.0,25.0,9224834
IRELAND,2020-04-14 21:18:50,10647.0,365.0,25.0,9235130
IRELAND,2020-04-15 00:07:14,11479.0,406.0,25.0,9245234
IRELAND,2020-04-15 09:00:09,11479.0,406.0,25.0,9277209
IRELAND,2020-04-15 14:56:18,11479.0,406.0,77.0,9298578
IRELAND,2020-04-15 19:52:38,11479.0,406.0,77.0,9316358
IRELAND,2020-04-15 21:18:33,11479.0,406.0,77.0,9321513
IRELAND,2020-04-16 00:51:15,12547.0,444.0,77.0,9334275
IRELAND,2020-04-16 09:04:51,12547.0,444.0,77.0,9363891
IRELAND,2020-04-16 12:05:08,12547.0,444.0,77.0,9374708
IRELAND,2020-04-16 14:57:08,12547.0,444.0,77.0,9385028
IRELAND,2020-04-16 17:58:25,12547.0,444.0,77.0,9395905
IRELAND,2020-04-16 22:41:20,12547.0,444.0,77.0,9412880
IRELAND,2020-04-17 01:32:36,13271.0,486.0,77.0,9423156
IRELAND,2020-04-17 09:11:04,13271.0,486.0,77.0,9450664
IRELAND,2020-04-17 12:02:01,13271.0,486.0,77.0,9460921
IRELAND,2020-04-17 14:56:35,13271.0,486.0,77.0,9471395
IRELAND,2020-04-17 18:39:21,13271.0,486.0,77.0,9484761
IRELAND,2020-04-17 22:45:21,13980.0,530.0,77.0,9499521
IRELAND,2020-04-18 08:54:14,13980.0,530.0,77.0,9536054
IRELAND,2020-04-18 13:55:54,13980.0,530.0,77.0,9554154
IRELAND,2020-04-18 15:41:06,13980.0,530.0,77.0,9560466
IRELAND,2020-04-18 18:03:48,13980.0,530.0,77.0,9569028
IRELAND,2020-04-19 00:17:39,14758.0,571.0,77.0,9591459
IRELAND,2020-04-19 09:10:08,14758.0,571.0,77.0,9623408
IRELAND,2020-04-19 15:11:32,14758.0,571.0,77.0,9645092
IRELAND,2020-04-19 18:07:21,14758.0,571.0,77.0,9655641
IRELAND,2020-04-19 21:01:51,14758.0,571.0,77.0,9666111
IRELAND,2020-04-20 00:00:38,15251.0,610.0,77.0,9676838
IRELAND,2020-04-20 12:46:45,15251.0,610.0,77.0,9722805
IRELAND,2020-04-20 15:15:13,15251.0,610.0,77.0,9731713
IRELAND,2020-04-20 18:00:55,15251.0,610.0,77.0,9741655
IRELAND,2020-04-20 20:51:26,15251.0,610.0,77.0,9751886
IRELAND,2020-04-20 23:57:35,15652.0,687.0,77.0,9763055
IRELAND,2020-04-21 12:05:06,15652.0,687.0,77.0,9806706
IRELAND,2020-04-21 18:05:54,15652.0,687.0,77.0,9828354
IRELAND,2020-04-21 20:56:52,15652.0,687.0,0.0,9838612
IRELAND,2020-04-22 10:13:50,16040.0,730.0,0.0,9886430
IRELAND,2020-04-22 12:01:15,16040.0,730.0,0.0,9892875
IRELAND,2020-04-22 15:04:35,16040.0,730.0,0.0,9903875
IRELAND,2020-04-23 00:41:34,16671.0,769.0,0.0,9938494
IRELAND,2020-04-23 11:00:28,16671.0,769.0,0.0,9975628
IRELAND,2020-04-23 18:09:30,16671.0,769.0,0.0,10001370
IRELAND,2020-04-23 21:15:10,16671.0,769.0,0.0,10012510
IRELAND,2020-04-24 12:38:27,17607.0,794.0,0.0,10067907
IRELAND,2020-04-24 15:07:01,17607.0,794.0,0.0,10076821
IRELAND,2020-04-24 18:05:08,17607.0,794.0,0.0,10087508
IRELAND,2020-04-25 01:24:20,18184.0,1014.0,0.0,10113860
IRELAND,2020-04-25 10:29:29,18184.0,1014.0,0.0,10146569
IRELAND,2020-04-25 13:06:30,18184.0,1014.0,0.0,10155990
IRELAND,2020-04-25 15:13:19,18184.0,1014.0,0.0,10163599
IRELAND,2020-04-25 18:05:53,18184.0,1014.0,0.0,10173953
IRELAND,2020-04-26 00:02:26,18561.0,1063.0,0.0,10195346
IRELAND,2020-04-26 10:30:36,18561.0,1063.0,0.0,10233036
IRELAND,2020-04-26 14:00:20,18561.0,1063.0,0.0,10245620
IRELAND,2020-04-26 15:00:26,18184.0,1014.0,0.0,10249226
IRELAND,2020-04-26 18:04:29,18561.0,1063.0,0.0,10260269
IRELAND,2020-04-26 20:55:24,18561.0,1063.0,0.0,10270524
IRELAND,2020-04-27 01:26:23,19262.0,1087.0,0.0,10286783
IRELAND,2020-04-27 12:02:22,19262.0,1087.0,0.0,10324942
IRELAND,2020-04-27 18:28:29,19262.0,1087.0,0.0,10348109
IRELAND,2020-04-27 23:10:06,19648.0,1102.0,0.0,10365006
IRELAND,2020-04-28 00:52:18,19648.0,1102.0,0.0,10371138
IRELAND,2020-04-28 12:28:54,19648.0,1102.0,0.0,10412934
IRELAND,2020-04-29 00:05:46,19877.0,1159.0,0.0,10454746
IRELAND,2020-04-29 11:12:43,19877.0,1159.0,0.0,10494763
IRELAND,2020-04-29 13:02:52,19877.0,1159.0,0.0,10501372
IRELAND,2020-04-29 15:08:24,19877.0,1159.0,0.0,10508904
IRELAND,2020-04-29 18:09:12,19877.0,1159.0,0.0,10519752
IRELAND,2020-04-29 21:32:47,19877.0,1159.0,0.0,10531967
IRELAND,2020-04-30 00:17:29,19877.0,1159.0,0.0,10541849
IRELAND,2020-04-30 09:21:28,20253.0,1190.0,0.0,10574488
IRELAND,2020-04-30 12:29:51,20253.0,1190.0,0.0,10585791
IRELAND,2020-04-30 15:13:47,20253.0,1190.0,0.0,10595627
IRELAND,2020-05-01 00:05:16,20612.0,1232.0,0.0,10713916
IRELAND,2020-05-01 10:41:27,20612.0,1232.0,0.0,10752087
IRELAND,2020-05-01 11:53:59,20612.0,1232.0,0.0,10756439
IRELAND,2020-05-01 15:33:11,20612.0,1232.0,0.0,10769591
IRELAND,2020-05-01 17:55:59,20612.0,1232.0,0.0,10778159
IRELAND,2020-05-01 21:26:40,20612.0,1232.0,0.0,10790800
