Nation,Time,Confirmed Case,Death,Recover,timestamp
ISLE OF MAN,2020-04-03 14:30:10,95.0,1.0,0.0,8260210
ISLE OF MAN,2020-04-03 14:30:11,95.0,1.0,0.0,8260211
ISLE OF MAN,2020-04-03 17:30:12,114.0,1.0,0.0,8271012
ISLE OF MAN,2020-04-03 20:30:12,114.0,1.0,0.0,8281812
ISLE OF MAN,2020-04-03 23:30:19,114.0,1.0,0.0,8292619
ISLE OF MAN,2020-04-04 08:30:14,114.0,1.0,0.0,8325014
ISLE OF MAN,2020-04-04 11:30:14,114.0,1.0,0.0,8335814
ISLE OF MAN,2020-04-04 14:30:16,114.0,1.0,0.0,8346616
ISLE OF MAN,2020-04-04 17:30:18,121.0,1.0,0.0,8357418
ISLE OF MAN,2020-04-04 20:30:33,121.0,1.0,0.0,8368233
ISLE OF MAN,2020-04-04 23:30:05,126.0,1.0,0.0,8379005
ISLE OF MAN,2020-04-05 08:30:07,126.0,1.0,0.0,8411407
ISLE OF MAN,2020-04-05 11:30:03,126.0,1.0,0.0,8422203
ISLE OF MAN,2020-04-05 14:30:04,126.0,1.0,0.0,8433004
ISLE OF MAN,2020-04-05 17:40:33,127.0,1.0,0.0,8444433
ISLE OF MAN,2020-04-05 20:33:28,127.0,1.0,0.0,8454808
ISLE OF MAN,2020-04-05 23:30:02,127.0,1.0,0.0,8465402
ISLE OF MAN,2020-04-06 08:37:49,127.0,1.0,0.0,8498269
ISLE OF MAN,2020-04-06 11:30:05,127.0,1.0,0.0,8508605
ISLE OF MAN,2020-04-06 14:44:21,138.0,1.0,0.0,8520261
ISLE OF MAN,2020-04-06 17:30:04,138.0,1.0,0.0,8530204
ISLE OF MAN,2020-04-06 21:00:44,138.0,1.0,0.0,8542844
ISLE OF MAN,2020-04-07 00:00:03,139.0,1.0,55.0,8553603
ISLE OF MAN,2020-04-07 09:00:04,139.0,1.0,55.0,8586004
ISLE OF MAN,2020-04-07 12:15:51,139.0,1.0,55.0,8597751
ISLE OF MAN,2020-04-07 15:59:55,150.0,1.0,73.0,8611195
ISLE OF MAN,2020-04-07 18:03:46,150.0,1.0,73.0,8618626
ISLE OF MAN,2020-04-07 21:32:15,150.0,1.0,73.0,8631135
ISLE OF MAN,2020-04-08 00:00:04,150.0,1.0,73.0,8640004
ISLE OF MAN,2020-04-08 09:00:46,150.0,1.0,73.0,8672446
ISLE OF MAN,2020-04-08 12:21:18,150.0,1.0,73.0,8684478
ISLE OF MAN,2020-04-08 15:04:46,158.0,1.0,80.0,8694286
ISLE OF MAN,2020-04-08 18:11:16,158.0,1.0,80.0,8705476
