Nation,Time,Confirmed Case,Death,Recover,timestamp
ITALY,3.4.2020.14.30.10,115495.0,13974.0,18278.0,8260210
ITALY,3.4.2020.14.30.11,115495.0,13974.0,18278.0,8260211
ITALY,3.4.2020.17.30.12,115495.0,13974.0,18278.0,8271012
ITALY,3.4.2020.20.30.12,115495.0,13974.0,18278.0,8281812
ITALY,3.4.2020.23.30.19,119827.0,14681.0,19758.0,8292619
ITALY,4.4.2020.8.30.14,119827.0,14681.0,19758.0,8325014
ITALY,4.4.2020.11.30.14,119827.0,14681.0,19758.0,8335814
ITALY,4.4.2020.14.30.16,119827.0,14681.0,19758.0,8346616
ITALY,4.4.2020.17.30.18,119827.0,14681.0,19758.0,8357418
ITALY,4.4.2020.20.30.33,120373.0,14761.0,19758.0,8368233
ITALY,4.4.2020.23.30.5,124632.0,15362.0,20996.0,8379005
ITALY,5.4.2020.8.30.7,124632.0,15362.0,20996.0,8411407
ITALY,5.4.2020.11.30.3,124884.0,15395.0,20996.0,8422203
ITALY,5.4.2020.14.30.4,124884.0,15395.0,20996.0,8433004
ITALY,5.4.2020.17.40.33,124884.0,15395.0,20996.0,8444433
ITALY,5.4.2020.20.33.28,124884.0,15395.0,20996.0,8454808
ITALY,5.4.2020.23.30.2,128948.0,15887.0,21815.0,8465402
ITALY,6.4.2020.8.37.49,128948.0,15887.0,21815.0,8498269
ITALY,6.4.2020.11.30.5,128948.0,15887.0,21815.0,8508605
ITALY,6.4.2020.14.44.21,128948.0,15887.0,21815.0,8520261
ITALY,6.4.2020.17.30.4,129681.0,15950.0,21815.0,8530204
ITALY,6.4.2020.21.0.44,129681.0,15950.0,21815.0,8542844
ITALY,7.4.2020.0.0.3,132547.0,16523.0,22837.0,8553603
ITALY,7.4.2020.9.0.4,132547.0,16523.0,22837.0,8586004
ITALY,7.4.2020.12.15.51,132779.0,16578.0,22837.0,8597751
ITALY,7.4.2020.15.59.55,132779.0,16578.0,22837.0,8611195
ITALY,7.4.2020.18.3.46,132779.0,16578.0,22837.0,8618626
ITALY,7.4.2020.21.32.15,132779.0,16578.0,22837.0,8631135
ITALY,8.4.2020.0.0.4,135586.0,17127.0,24392.0,8640004
ITALY,8.4.2020.9.0.46,135586.0,17127.0,24392.0,8672446
ITALY,8.4.2020.12.21.18,135586.0,17127.0,24392.0,8684478
ITALY,8.4.2020.15.4.46,136162.0,17198.0,24392.0,8694286
ITALY,8.4.2020.18.11.16,136162.0,17198.0,24392.0,8705476
ITALY,8.4.2020.21.33.56,139422.0,17669.0,26491.0,8717636
ITALY,9.4.2020.0.14.12,139422.0,17669.0,26491.0,8727252
ITALY,9.4.2020.11.19.24,139422.0,17669.0,26491.0,8767164
ITALY,9.4.2020.12.7.24,139715.0,17722.0,26491.0,8770044
ITALY,9.4.2020.14.57.9,139715.0,17722.0,26491.0,8780229
ITALY,9.4.2020.18.0.2,139715.0,17722.0,26491.0,8791202
ITALY,10.4.2020.1.6.14,143626.0,18279.0,28470.0,8816774
ITALY,10.4.2020.9.4.46,143626.0,18279.0,28470.0,8845486
ITALY,10.4.2020.12.9.17,143626.0,18279.0,28470.0,8856557
ITALY,10.4.2020.14.55.51,143626.0,18279.0,28470.0,8866551
ITALY,10.4.2020.18.41.5,144263.0,18349.0,28470.0,8880065
ITALY,10.4.2020.21.59.17,147577.0,18849.0,30455.0,8891957
ITALY,11.4.2020.0.0.34,147577.0,18849.0,30455.0,8899234
ITALY,11.4.2020.9.1.32,147577.0,18849.0,30455.0,8931692
