Nation,Time,Confirmed Case,Death,Recover,timestamp
JAMAICA,2020-04-03 14:30:10,47.0,3.0,2.0,8260210
JAMAICA,2020-04-03 14:30:11,47.0,3.0,2.0,8260211
JAMAICA,2020-04-03 17:30:12,47.0,3.0,2.0,8271012
JAMAICA,2020-04-03 20:30:12,47.0,3.0,2.0,8281812
JAMAICA,2020-04-03 23:30:19,47.0,3.0,2.0,8292619
JAMAICA,2020-04-04 08:30:14,53.0,3.0,7.0,8325014
JAMAICA,2020-04-04 11:30:14,53.0,3.0,7.0,8335814
JAMAICA,2020-04-04 14:30:16,53.0,3.0,7.0,8346616
JAMAICA,2020-04-04 17:30:18,53.0,3.0,7.0,8357418
JAMAICA,2020-04-04 20:30:33,53.0,3.0,7.0,8368233
JAMAICA,2020-04-04 23:30:05,53.0,3.0,7.0,8379005
JAMAICA,2020-04-05 08:30:07,55.0,3.0,7.0,8411407
JAMAICA,2020-04-05 11:30:03,55.0,3.0,8.0,8422203
JAMAICA,2020-04-05 14:30:04,55.0,3.0,8.0,8433004
JAMAICA,2020-04-05 17:40:33,55.0,3.0,8.0,8444433
JAMAICA,2020-04-05 20:33:28,55.0,3.0,8.0,8454808
JAMAICA,2020-04-05 23:30:02,55.0,3.0,8.0,8465402
JAMAICA,2020-04-06 08:37:49,58.0,3.0,8.0,8498269
JAMAICA,2020-04-06 11:30:05,58.0,3.0,8.0,8508605
JAMAICA,2020-04-06 14:44:21,58.0,3.0,8.0,8520261
JAMAICA,2020-04-06 17:30:04,58.0,3.0,8.0,8530204
JAMAICA,2020-04-06 21:00:44,58.0,3.0,8.0,8542844
JAMAICA,2020-04-07 00:00:03,58.0,3.0,8.0,8553603
JAMAICA,2020-04-07 09:00:04,59.0,3.0,8.0,8586004
JAMAICA,2020-04-07 12:15:51,59.0,3.0,8.0,8597751
JAMAICA,2020-04-07 15:59:55,59.0,3.0,8.0,8611195
JAMAICA,2020-04-07 18:03:46,59.0,3.0,8.0,8618626
JAMAICA,2020-04-07 21:32:15,59.0,3.0,8.0,8631135
