Nation,Time,Confirmed Case,Death,Recover,timestamp
JAPAN,2020-04-03 14:30:10,2873.0,73.0,505.0,8260210
JAPAN,2020-04-03 14:30:11,2873.0,73.0,505.0,8260211
JAPAN,2020-04-03 17:30:12,2880.0,73.0,514.0,8271012
JAPAN,2020-04-03 20:30:12,3110.0,77.0,514.0,8281812
JAPAN,2020-04-03 23:30:19,3129.0,77.0,514.0,8292619
JAPAN,2020-04-04 08:30:14,3142.0,77.0,514.0,8325014
JAPAN,2020-04-04 11:30:14,3142.0,78.0,514.0,8335814
JAPAN,2020-04-04 14:30:16,3278.0,78.0,514.0,8346616
JAPAN,2020-04-04 17:30:18,3389.0,78.0,514.0,8357418
JAPAN,2020-04-04 20:30:33,3403.0,78.0,514.0,8368233
JAPAN,2020-04-04 23:30:05,3500.0,84.0,514.0,8379005
JAPAN,2020-04-05 08:30:07,3506.0,84.0,514.0,8411407
JAPAN,2020-04-05 11:30:03,3516.0,85.0,514.0,8422203
JAPAN,2020-04-05 14:30:04,3708.0,85.0,514.0,8433004
JAPAN,2020-04-05 17:40:33,3806.0,86.0,514.0,8444433
JAPAN,2020-04-05 20:33:28,3854.0,93.0,514.0,8454808
JAPAN,2020-04-05 23:30:02,3854.0,93.0,514.0,8465402
JAPAN,2020-04-06 08:37:49,3865.0,93.0,575.0,8498269
JAPAN,2020-04-06 11:30:05,3872.0,94.0,575.0,8508605
JAPAN,2020-04-06 14:44:21,3985.0,95.0,575.0,8520261
JAPAN,2020-04-06 17:30:04,4006.0,95.0,575.0,8530204
JAPAN,2020-04-06 21:00:44,4072.0,97.0,592.0,8542844
JAPAN,2020-04-07 00:00:03,4083.0,97.0,592.0,8553603
JAPAN,2020-04-07 09:00:04,4100.0,97.0,592.0,8586004
JAPAN,2020-04-07 12:15:51,4111.0,97.0,592.0,8597751
JAPAN,2020-04-07 15:59:55,4289.0,97.0,592.0,8611195
JAPAN,2020-04-07 18:03:46,4289.0,97.0,592.0,8618626
JAPAN,2020-04-07 21:32:15,4445.0,98.0,622.0,8631135
JAPAN,2020-04-08 00:00:04,4459.0,98.0,622.0,8640004
JAPAN,2020-04-08 09:00:46,4472.0,98.0,622.0,8672446
JAPAN,2020-04-08 12:21:18,4490.0,98.0,622.0,8684478
JAPAN,2020-04-08 15:04:46,4632.0,98.0,622.0,8694286
JAPAN,2020-04-08 18:11:16,4802.0,98.0,622.0,8705476
JAPAN,2020-04-08 21:33:56,4961.0,103.0,681.0,8717636
JAPAN,2020-04-09 00:14:12,4961.0,103.0,681.0,8727252
JAPAN,2020-04-09 11:19:24,4973.0,105.0,681.0,8767164
JAPAN,2020-04-09 12:07:24,4973.0,105.0,681.0,8770044
JAPAN,2020-04-09 14:57:09,5183.0,105.0,681.0,8780229
JAPAN,2020-04-09 18:00:02,5492.0,107.0,681.0,8791202
JAPAN,2020-04-10 01:06:14,5548.0,107.0,681.0,8816774
JAPAN,2020-04-10 09:04:46,5553.0,108.0,685.0,8845486
JAPAN,2020-04-10 12:09:17,5553.0,108.0,685.0,8856557
