Nation,Time,Confirmed Case,Death,Recover,timestamp
JORDAN,3.4.2020.14.30.10,299.0,5.0,45.0,8260210
JORDAN,3.4.2020.14.30.11,299.0,5.0,45.0,8260211
JORDAN,3.4.2020.17.30.12,299.0,5.0,45.0,8271012
JORDAN,3.4.2020.20.30.12,299.0,5.0,45.0,8281812
JORDAN,3.4.2020.23.30.19,310.0,5.0,58.0,8292619
JORDAN,4.4.2020.8.30.14,310.0,5.0,58.0,8325014
JORDAN,4.4.2020.11.30.14,310.0,5.0,58.0,8335814
JORDAN,4.4.2020.14.30.16,310.0,5.0,58.0,8346616
JORDAN,4.4.2020.17.30.18,310.0,5.0,58.0,8357418
JORDAN,4.4.2020.20.30.33,310.0,5.0,58.0,8368233
JORDAN,4.4.2020.23.30.5,323.0,5.0,74.0,8379005
JORDAN,5.4.2020.8.30.7,323.0,5.0,74.0,8411407
JORDAN,5.4.2020.11.30.3,323.0,5.0,74.0,8422203
JORDAN,5.4.2020.14.30.4,323.0,5.0,74.0,8433004
JORDAN,5.4.2020.17.40.33,323.0,5.0,74.0,8444433
JORDAN,5.4.2020.20.33.28,323.0,5.0,74.0,8454808
JORDAN,5.4.2020.23.30.2,345.0,5.0,110.0,8465402
JORDAN,6.4.2020.8.37.49,345.0,5.0,110.0,8498269
JORDAN,6.4.2020.11.30.5,345.0,5.0,110.0,8508605
JORDAN,6.4.2020.14.44.21,345.0,5.0,110.0,8520261
JORDAN,6.4.2020.17.30.4,345.0,5.0,110.0,8530204
JORDAN,6.4.2020.21.0.44,345.0,5.0,110.0,8542844
JORDAN,7.4.2020.0.0.3,349.0,6.0,126.0,8553603
JORDAN,7.4.2020.9.0.4,349.0,6.0,126.0,8586004
JORDAN,7.4.2020.12.15.51,349.0,6.0,126.0,8597751
JORDAN,7.4.2020.15.59.55,349.0,6.0,126.0,8611195
JORDAN,7.4.2020.18.3.46,349.0,6.0,126.0,8618626
JORDAN,7.4.2020.21.32.15,349.0,6.0,126.0,8631135
JORDAN,8.4.2020.0.0.4,353.0,6.0,138.0,8640004
JORDAN,8.4.2020.9.0.46,353.0,6.0,138.0,8672446
JORDAN,8.4.2020.12.21.18,353.0,6.0,138.0,8684478
JORDAN,8.4.2020.15.4.46,353.0,6.0,138.0,8694286
JORDAN,8.4.2020.18.11.16,353.0,6.0,138.0,8705476
JORDAN,8.4.2020.21.33.56,353.0,6.0,138.0,8717636
JORDAN,9.4.2020.0.14.12,358.0,6.0,150.0,8727252
JORDAN,9.4.2020.11.19.24,358.0,6.0,150.0,8767164
JORDAN,9.4.2020.12.7.24,358.0,6.0,150.0,8770044
JORDAN,9.4.2020.14.57.9,358.0,6.0,150.0,8780229
JORDAN,9.4.2020.18.0.2,358.0,6.0,150.0,8791202
JORDAN,10.4.2020.1.6.14,372.0,7.0,161.0,8816774
JORDAN,10.4.2020.9.4.46,372.0,7.0,161.0,8845486
JORDAN,10.4.2020.12.9.17,372.0,7.0,161.0,8856557
JORDAN,10.4.2020.14.55.51,372.0,7.0,161.0,8866551
JORDAN,10.4.2020.18.41.5,372.0,7.0,161.0,8880065
JORDAN,10.4.2020.21.59.17,372.0,7.0,170.0,8891957
JORDAN,11.4.2020.0.0.34,372.0,7.0,170.0,8899234
JORDAN,11.4.2020.9.1.32,372.0,7.0,170.0,8931692
JORDAN,11.4.2020.12.8.24,372.0,7.0,170.0,8942904
JORDAN,11.4.2020.17.0.40,372.0,7.0,170.0,8960440
JORDAN,11.4.2020.18.12.28,372.0,7.0,170.0,8964748
JORDAN,11.4.2020.21.44.19,372.0,7.0,170.0,8977459
JORDAN,11.4.2020.23.59.29,381.0,7.0,177.0,8985569
JORDAN,12.4.2020.9.0.42,381.0,7.0,177.0,9018042
JORDAN,12.4.2020.12.5.42,381.0,7.0,177.0,9029142
JORDAN,12.4.2020.15.9.25,381.0,7.0,177.0,9040165
JORDAN,12.4.2020.18.22.1,381.0,7.0,177.0,9051721
JORDAN,12.4.2020.20.59.25,381.0,7.0,177.0,9061165
