Nation,Time,Confirmed Case,Death,Recover,timestamp
KENYA,3.4.2020.14.30.10,110.0,3.0,4.0,8260210
KENYA,3.4.2020.14.30.11,110.0,3.0,4.0,8260211
KENYA,3.4.2020.17.30.12,110.0,3.0,4.0,8271012
KENYA,3.4.2020.20.30.12,122.0,4.0,4.0,8281812
KENYA,3.4.2020.23.30.19,122.0,4.0,4.0,8292619
KENYA,4.4.2020.8.30.14,122.0,4.0,4.0,8325014
KENYA,4.4.2020.11.30.14,122.0,4.0,4.0,8335814
KENYA,4.4.2020.14.30.16,122.0,4.0,4.0,8346616
KENYA,4.4.2020.17.30.18,122.0,4.0,4.0,8357418
KENYA,4.4.2020.20.30.33,126.0,4.0,4.0,8368233
KENYA,4.4.2020.23.30.5,126.0,4.0,4.0,8379005
KENYA,5.4.2020.8.30.7,126.0,4.0,4.0,8411407
KENYA,5.4.2020.11.30.3,126.0,4.0,4.0,8422203
KENYA,5.4.2020.14.30.4,126.0,4.0,4.0,8433004
KENYA,5.4.2020.17.40.33,126.0,4.0,4.0,8444433
KENYA,5.4.2020.20.33.28,142.0,4.0,4.0,8454808
KENYA,5.4.2020.23.30.2,142.0,4.0,4.0,8465402
KENYA,6.4.2020.8.37.49,142.0,4.0,4.0,8498269
KENYA,6.4.2020.11.30.5,142.0,4.0,4.0,8508605
KENYA,6.4.2020.14.44.21,142.0,4.0,4.0,8520261
KENYA,6.4.2020.17.30.4,142.0,4.0,4.0,8530204
KENYA,6.4.2020.21.0.44,158.0,6.0,4.0,8542844
KENYA,7.4.2020.0.0.3,158.0,6.0,4.0,8553603
KENYA,7.4.2020.9.0.4,158.0,6.0,4.0,8586004
KENYA,7.4.2020.12.15.51,158.0,6.0,4.0,8597751
KENYA,7.4.2020.15.59.55,158.0,6.0,4.0,8611195
KENYA,7.4.2020.18.3.46,158.0,6.0,4.0,8618626
KENYA,7.4.2020.21.32.15,172.0,6.0,7.0,8631135
KENYA,8.4.2020.0.0.4,172.0,6.0,7.0,8640004
KENYA,8.4.2020.9.0.46,172.0,6.0,7.0,8672446
KENYA,8.4.2020.12.21.18,172.0,6.0,7.0,8684478
KENYA,8.4.2020.15.4.46,172.0,6.0,7.0,8694286
KENYA,8.4.2020.18.11.16,172.0,6.0,7.0,8705476
KENYA,8.4.2020.21.33.56,179.0,6.0,9.0,8717636
KENYA,9.4.2020.0.14.12,179.0,6.0,9.0,8727252
KENYA,9.4.2020.11.19.24,179.0,6.0,9.0,8767164
KENYA,9.4.2020.12.7.24,179.0,6.0,9.0,8770044
KENYA,9.4.2020.14.57.9,179.0,6.0,9.0,8780229
KENYA,9.4.2020.18.0.2,179.0,6.0,9.0,8791202
KENYA,10.4.2020.1.6.14,184.0,7.0,12.0,8816774
KENYA,10.4.2020.9.4.46,184.0,7.0,12.0,8845486
KENYA,10.4.2020.12.9.17,184.0,7.0,12.0,8856557
KENYA,10.4.2020.14.55.51,184.0,7.0,12.0,8866551
KENYA,10.4.2020.18.41.5,189.0,7.0,22.0,8880065
KENYA,10.4.2020.21.59.17,189.0,7.0,22.0,8891957
KENYA,11.4.2020.0.0.34,189.0,7.0,22.0,8899234
KENYA,11.4.2020.9.1.32,189.0,7.0,22.0,8931692
KENYA,11.4.2020.12.8.24,189.0,7.0,22.0,8942904
KENYA,11.4.2020.17.0.40,189.0,7.0,22.0,8960440
KENYA,11.4.2020.18.12.28,189.0,7.0,22.0,8964748
KENYA,11.4.2020.21.44.19,191.0,7.0,24.0,8977459
KENYA,11.4.2020.23.59.29,191.0,7.0,24.0,8985569
KENYA,12.4.2020.9.0.42,191.0,7.0,24.0,9018042
KENYA,12.4.2020.12.5.42,191.0,7.0,24.0,9029142
KENYA,12.4.2020.15.9.25,191.0,7.0,24.0,9040165
KENYA,12.4.2020.18.22.1,197.0,8.0,25.0,9051721
KENYA,12.4.2020.20.59.25,197.0,8.0,25.0,9061165
KENYA,13.4.2020.0.7.13,197.0,8.0,25.0,9072433
KENYA,13.4.2020.9.26.16,197.0,8.0,25.0,9105976
KENYA,13.4.2020.11.59.14,197.0,8.0,25.0,9115154
KENYA,13.4.2020.15.13.1,197.0,8.0,25.0,9126781
KENYA,13.4.2020.20.23.47,208.0,9.0,40.0,9145427
KENYA,13.4.2020.21.1.27,208.0,9.0,40.0,9147687
KENYA,14.4.2020.0.30.40,208.0,9.0,40.0,9160240
KENYA,14.4.2020.9.9.9,208.0,9.0,40.0,9191349
KENYA,14.4.2020.12.13.23,208.0,9.0,40.0,9202403
KENYA,14.4.2020.15.49.28,208.0,9.0,40.0,9215368
KENYA,14.4.2020.18.27.14,208.0,9.0,40.0,9224834
KENYA,14.4.2020.21.18.50,208.0,9.0,40.0,9235130
KENYA,15.4.2020.0.7.14,216.0,9.0,41.0,9245234
KENYA,15.4.2020.9.0.9,216.0,9.0,41.0,9277209
KENYA,15.4.2020.14.56.18,216.0,9.0,41.0,9298578
KENYA,15.4.2020.19.52.38,225.0,10.0,53.0,9316358
KENYA,15.4.2020.21.18.33,225.0,10.0,53.0,9321513
KENYA,16.4.2020.0.51.15,225.0,10.0,53.0,9334275
KENYA,16.4.2020.9.4.51,225.0,10.0,53.0,9363891
KENYA,16.4.2020.12.5.8,225.0,10.0,53.0,9374708
KENYA,16.4.2020.14.57.8,225.0,10.0,53.0,9385028
KENYA,16.4.2020.17.58.25,225.0,10.0,53.0,9395905
KENYA,16.4.2020.22.41.20,234.0,11.0,53.0,9412880
KENYA,17.4.2020.1.32.36,234.0,11.0,53.0,9423156
KENYA,17.4.2020.9.11.4,234.0,11.0,53.0,9450664
KENYA,17.4.2020.12.2.1,234.0,11.0,53.0,9460921
KENYA,17.4.2020.14.56.35,246.0,11.0,53.0,9471395
KENYA,17.4.2020.18.39.21,246.0,11.0,53.0,9484761
KENYA,17.4.2020.22.45.21,246.0,11.0,53.0,9499521
KENYA,18.4.2020.8.54.14,246.0,11.0,53.0,9536054
KENYA,18.4.2020.13.55.54,246.0,11.0,53.0,9554154
KENYA,18.4.2020.15.41.6,246.0,11.0,53.0,9560466
KENYA,18.4.2020.18.3.48,262.0,12.0,60.0,9569028
KENYA,19.4.2020.0.17.39,262.0,12.0,60.0,9591459
KENYA,19.4.2020.9.10.8,262.0,13.0,60.0,9623408
KENYA,19.4.2020.15.11.32,262.0,13.0,60.0,9645092
KENYA,19.4.2020.18.7.21,262.0,13.0,60.0,9655641
KENYA,19.4.2020.21.1.51,270.0,14.0,67.0,9666111
KENYA,20.4.2020.0.0.38,270.0,14.0,67.0,9676838
KENYA,20.4.2020.12.46.45,270.0,14.0,67.0,9722805
KENYA,20.4.2020.15.15.13,270.0,14.0,67.0,9731713
KENYA,20.4.2020.18.0.55,281.0,14.0,69.0,9741655
KENYA,20.4.2020.20.51.26,281.0,14.0,69.0,9751886
KENYA,20.4.2020.23.57.35,281.0,14.0,69.0,9763055
KENYA,21.4.2020.12.5.6,281.0,14.0,69.0,9806706
KENYA,21.4.2020.18.5.54,281.0,14.0,69.0,9828354
KENYA,21.4.2020.20.56.52,296.0,14.0,74.0,9838612
KENYA,22.4.2020.10.13.50,296.0,14.0,74.0,9886430
KENYA,22.4.2020.12.1.15,296.0,14.0,74.0,9892875
KENYA,22.4.2020.15.4.35,296.0,14.0,74.0,9903875
KENYA,23.4.2020.0.41.34,303.0,14.0,83.0,9938494
KENYA,23.4.2020.11.0.28,303.0,14.0,83.0,9975628
KENYA,23.4.2020.18.9.30,303.0,14.0,83.0,10001370
KENYA,23.4.2020.21.15.10,320.0,14.0,89.0,10012510
KENYA,24.4.2020.12.38.27,320.0,14.0,89.0,10067907
KENYA,24.4.2020.15.7.1,320.0,14.0,89.0,10076821
KENYA,24.4.2020.18.5.8,320.0,14.0,89.0,10087508
KENYA,25.4.2020.1.24.20,336.0,14.0,94.0,10113860
KENYA,25.4.2020.10.29.29,336.0,14.0,94.0,10146569
KENYA,25.4.2020.13.6.30,336.0,14.0,94.0,10155990
KENYA,25.4.2020.15.13.19,336.0,14.0,94.0,10163599
KENYA,25.4.2020.18.5.53,343.0,14.0,94.0,10173953
KENYA,26.4.2020.0.2.26,343.0,14.0,98.0,10195346
KENYA,26.4.2020.10.30.36,343.0,14.0,98.0,10233036
KENYA,26.4.2020.14.0.20,343.0,14.0,98.0,10245620
KENYA,26.4.2020.15.0.26,343.0,14.0,98.0,10249226
KENYA,26.4.2020.18.4.29,343.0,14.0,98.0,10260269
KENYA,26.4.2020.20.55.24,355.0,14.0,106.0,10270524
KENYA,27.4.2020.1.26.23,355.0,14.0,106.0,10286783
KENYA,27.4.2020.12.2.22,355.0,14.0,106.0,10324942
KENYA,27.4.2020.18.28.29,363.0,14.0,114.0,10348109
KENYA,27.4.2020.23.10.6,363.0,14.0,114.0,10365006
KENYA,28.4.2020.0.52.18,363.0,14.0,114.0,10371138
KENYA,28.4.2020.12.28.54,363.0,14.0,114.0,10412934
KENYA,29.4.2020.0.5.46,374.0,14.0,125.0,10454746
KENYA,29.4.2020.11.12.43,374.0,14.0,125.0,10494763
KENYA,29.4.2020.13.2.52,374.0,14.0,125.0,10501372
KENYA,29.4.2020.15.8.24,374.0,14.0,125.0,10508904
KENYA,29.4.2020.18.9.12,374.0,14.0,125.0,10519752
KENYA,29.4.2020.21.32.47,384.0,15.0,129.0,10531967
KENYA,30.4.2020.0.17.29,384.0,15.0,129.0,10541849
KENYA,30.4.2020.9.21.28,384.0,15.0,129.0,10574488
KENYA,30.4.2020.12.29.51,384.0,15.0,129.0,10585791
KENYA,30.4.2020.15.13.47,384.0,15.0,129.0,10595627
KENYA,1.5.2020.0.5.16,396.0,17.0,144.0,10713916
KENYA,1.5.2020.10.41.27,396.0,17.0,144.0,10752087
KENYA,1.5.2020.11.53.59,396.0,17.0,144.0,10756439
KENYA,1.5.2020.15.33.11,396.0,17.0,144.0,10769591
KENYA,1.5.2020.17.55.59,396.0,17.0,144.0,10778159
KENYA,1.5.2020.21.26.40,411.0,21.0,150.0,10790800
KENYA,2.5.2020.0.11.13,411.0,21.0,150.0,10800673
KENYA,2.5.2020.9.45.39,411.0,21.0,150.0,10835139
KENYA,2.5.2020.12.46.52,411.0,21.0,150.0,10846012
KENYA,2.5.2020.15.0.2,411.0,21.0,150.0,10854002
KENYA,2.5.2020.18.0.30,411.0,21.0,150.0,10864830
KENYA,3.5.2020.0.4.29,435.0,22.0,152.0,10886669
KENYA,3.5.2020.11.56.15,435.0,22.0,152.0,10929375
KENYA,3.5.2020.15.5.11,435.0,22.0,152.0,10940711
KENYA,3.5.2020.17.57.14,435.0,22.0,152.0,10951034
KENYA,3.5.2020.21.9.20,465.0,24.0,167.0,10962560
KENYA,3.5.2020.23.58.14,465.0,24.0,167.0,10972694
KENYA,4.5.2020.15.8.30,465.0,24.0,167.0,11027310
KENYA,4.5.2020.18.37.54,465.0,24.0,167.0,11039874
KENYA,4.5.2020.23.58.7,490.0,24.0,173.0,11059087
KENYA,5.5.2020.1.13.37,490.0,24.0,173.0,11063617
KENYA,5.5.2020.13.8.43,490.0,24.0,173.0,11106523
KENYA,5.5.2020.15.1.21,490.0,24.0,173.0,11113281
KENYA,5.5.2020.21.5.55,535.0,24.0,182.0,11135155
KENYA,6.5.2020.0.0.44,535.0,24.0,182.0,11145644
KENYA,6.5.2020.12.1.14,535.0,24.0,182.0,11188874
KENYA,6.5.2020.18.0.4,535.0,24.0,182.0,11210404
KENYA,7.5.2020.0.14.11,582.0,26.0,190.0,11232851
KENYA,7.5.2020.11.57.25,582.0,26.0,190.0,11275045
KENYA,7.5.2020.15.0.3,582.0,26.0,190.0,11286003
KENYA,7.5.2020.18.26.51,582.0,26.0,190.0,11298411
KENYA,7.5.2020.23.58.31,607.0,29.0,197.0,11318311
KENYA,8.5.2020.12.2.6,607.0,29.0,197.0,11361726
KENYA,8.5.2020.15.12.55,607.0,29.0,197.0,11373175
KENYA,8.5.2020.18.26.19,621.0,29.0,202.0,11384779
KENYA,8.5.2020.21.29.34,621.0,29.0,202.0,11395774
KENYA,9.5.2020.0.43.24,621.0,29.0,202.0,11407404
KENYA,9.5.2020.13.13.55,621.0,29.0,202.0,11452435
KENYA,9.5.2020.15.22.29,621.0,29.0,202.0,11460149
KENYA,9.5.2020.18.0.2,621.0,29.0,202.0,11469602
KENYA,10.5.2020.0.44.24,649.0,30.0,207.0,11493864
KENYA,10.5.2020.12.0.15,649.0,30.0,207.0,11534415
KENYA,10.5.2020.15.9.2,649.0,30.0,207.0,11545742
KENYA,10.5.2020.22.50.52,672.0,32.0,249.0,11573452
KENYA,10.5.2020.23.59.1,672.0,32.0,249.0,11577541
KENYA,11.5.2020.10.34.59,672.0,32.0,249.0,11615699
KENYA,11.5.2020.14.55.28,672.0,32.0,239.0,11631328
KENYA,11.5.2020.19.31.25,700.0,33.0,251.0,11647885
KENYA,11.5.2020.21.0.14,700.0,33.0,251.0,11653214
KENYA,12.5.2020.1.0.51,700.0,33.0,251.0,11667651
KENYA,12.5.2020.10.8.26,700.0,33.0,251.0,11700506
KENYA,12.5.2020.12.2.54,700.0,33.0,251.0,11707374
KENYA,12.5.2020.15.0.2,700.0,33.0,251.0,11718002
KENYA,12.5.2020.17.58.36,700.0,33.0,251.0,11728716
KENYA,12.5.2020.21.1.11,715.0,36.0,259.0,11739671
KENYA,12.5.2020.23.56.29,715.0,36.0,259.0,11750189
KENYA,13.5.2020.10.34.40,715.0,36.0,259.0,11788480
KENYA,13.5.2020.12.0.2,715.0,36.0,259.0,11793602
KENYA,13.5.2020.16.27.8,715.0,36.0,259.0,11809628
KENYA,13.5.2020.21.0.25,737.0,40.0,281.0,11826025
KENYA,14.5.2020.0.30.12,737.0,40.0,281.0,11838612
KENYA,14.5.2020.12.1.47,737.0,40.0,281.0,11880107
KENYA,14.5.2020.15.54.36,737.0,40.0,281.0,11894076
KENYA,14.5.2020.19.5.5,758.0,42.0,284.0,11905505
KENYA,14.5.2020.20.56.4,758.0,42.0,284.0,11912164
KENYA,15.5.2020.1.21.38,758.0,42.0,284.0,11928098
KENYA,15.5.2020.12.16.9,758.0,42.0,284.0,11967369
KENYA,15.5.2020.15.26.20,758.0,42.0,284.0,11978780
KENYA,15.5.2020.17.53.43,758.0,42.0,284.0,11987623
KENYA,15.5.2020.21.0.16,781.0,45.0,284.0,11998816
KENYA,15.5.2020.23.56.42,781.0,45.0,284.0,12009402
KENYA,16.5.2020.12.26.0,781.0,45.0,284.0,12054360
KENYA,16.5.2020.17.5.26,781.0,45.0,284.0,12071126
KENYA,16.5.2020.18.40.21,830.0,50.0,301.0,12076821
KENYA,16.5.2020.23.58.26,830.0,50.0,301.0,12095906
KENYA,17.5.2020.12.0.2,830.0,50.0,301.0,12139202
KENYA,17.5.2020.14.58.45,830.0,50.0,301.0,12149925
KENYA,17.5.2020.18.48.59,830.0,50.0,301.0,12163739
KENYA,17.5.2020.21.23.35,887.0,50.0,313.0,12173015
KENYA,18.5.2020.0.5.4,887.0,50.0,313.0,12182704
KENYA,18.5.2020.12.2.55,887.0,50.0,313.0,12225775
KENYA,18.5.2020.15.32.44,887.0,50.0,313.0,12238364
KENYA,18.5.2020.18.17.4,887.0,50.0,313.0,12248224
KENYA,18.5.2020.21.14.7,912.0,50.0,336.0,12258847
KENYA,18.5.2020.23.56.7,912.0,50.0,336.0,12268567
