Nation,Time,Confirmed Case,Death,Recover,timestamp
KOSOVO,3.4.2020.14.30.10,0.0,0.0,0.0,8260210
KOSOVO,3.4.2020.14.30.11,0.0,0.0,0.0,8260211
KOSOVO,3.4.2020.17.30.12,0.0,0.0,0.0,8271012
KOSOVO,3.4.2020.20.30.12,0.0,0.0,0.0,8281812
KOSOVO,3.4.2020.23.30.19,0.0,0.0,0.0,8292619
KOSOVO,4.4.2020.8.30.14,0.0,0.0,0.0,8325014
KOSOVO,4.4.2020.11.30.14,0.0,0.0,0.0,8335814
KOSOVO,4.4.2020.14.30.16,0.0,0.0,0.0,8346616
KOSOVO,4.4.2020.17.30.18,0.0,0.0,0.0,8357418
KOSOVO,4.4.2020.20.30.33,0.0,0.0,0.0,8368233
KOSOVO,4.4.2020.23.30.5,0.0,0.0,0.0,8379005
KOSOVO,5.4.2020.8.30.7,0.0,0.0,0.0,8411407
KOSOVO,5.4.2020.11.30.3,0.0,0.0,0.0,8422203
KOSOVO,5.4.2020.14.30.4,0.0,0.0,0.0,8433004
KOSOVO,5.4.2020.17.40.33,0.0,0.0,0.0,8444433
KOSOVO,5.4.2020.20.33.28,0.0,0.0,0.0,8454808
KOSOVO,5.4.2020.23.30.2,0.0,0.0,0.0,8465402
KOSOVO,6.4.2020.8.37.49,0.0,0.0,0.0,8498269
KOSOVO,6.4.2020.11.30.5,0.0,0.0,0.0,8508605
KOSOVO,6.4.2020.14.44.21,0.0,0.0,0.0,8520261
KOSOVO,6.4.2020.17.30.4,0.0,0.0,0.0,8530204
KOSOVO,6.4.2020.21.0.44,0.0,0.0,0.0,8542844
KOSOVO,7.4.2020.0.0.3,0.0,0.0,0.0,8553603
KOSOVO,7.4.2020.9.0.4,0.0,0.0,0.0,8586004
KOSOVO,7.4.2020.12.15.51,0.0,0.0,0.0,8597751
KOSOVO,7.4.2020.15.59.55,0.0,0.0,0.0,8611195
KOSOVO,7.4.2020.18.3.46,0.0,0.0,0.0,8618626
KOSOVO,7.4.2020.21.32.15,0.0,0.0,0.0,8631135
KOSOVO,8.4.2020.0.0.4,0.0,0.0,0.0,8640004
KOSOVO,8.4.2020.9.0.46,0.0,0.0,0.0,8672446
KOSOVO,8.4.2020.12.21.18,0.0,0.0,0.0,8684478
KOSOVO,8.4.2020.15.4.46,0.0,0.0,0.0,8694286
KOSOVO,8.4.2020.18.11.16,0.0,0.0,0.0,8705476
KOSOVO,8.4.2020.21.33.56,184.0,5.0,30.0,8717636
KOSOVO,9.4.2020.0.14.12,184.0,5.0,30.0,8727252
KOSOVO,9.4.2020.11.19.24,184.0,5.0,30.0,8767164
KOSOVO,9.4.2020.12.7.24,184.0,5.0,30.0,8770044
KOSOVO,9.4.2020.14.57.9,184.0,5.0,30.0,8780229
KOSOVO,9.4.2020.18.0.2,224.0,6.0,37.0,8791202
KOSOVO,10.4.2020.1.6.14,224.0,6.0,37.0,8816774
KOSOVO,10.4.2020.9.4.46,224.0,6.0,37.0,8845486
KOSOVO,10.4.2020.12.9.17,224.0,6.0,37.0,8856557
KOSOVO,10.4.2020.14.55.51,224.0,6.0,37.0,8866551
KOSOVO,10.4.2020.18.41.5,224.0,6.0,37.0,8880065
KOSOVO,10.4.2020.21.59.17,224.0,6.0,37.0,8891957
KOSOVO,11.4.2020.0.0.34,224.0,6.0,37.0,8899234
KOSOVO,11.4.2020.9.1.32,250.0,7.0,52.0,8931692
KOSOVO,11.4.2020.12.8.24,250.0,7.0,52.0,8942904
KOSOVO,11.4.2020.17.0.40,250.0,7.0,52.0,8960440
KOSOVO,11.4.2020.18.12.28,250.0,7.0,52.0,8964748
KOSOVO,11.4.2020.21.44.19,250.0,6.0,37.0,8977459
KOSOVO,11.4.2020.23.59.29,250.0,6.0,37.0,8985569
KOSOVO,12.4.2020.9.0.42,283.0,6.0,37.0,9018042
KOSOVO,12.4.2020.12.5.42,283.0,6.0,37.0,9029142
KOSOVO,12.4.2020.15.9.25,283.0,7.0,58.0,9040165
KOSOVO,12.4.2020.18.22.1,283.0,7.0,58.0,9051721
KOSOVO,12.4.2020.20.59.25,283.0,7.0,58.0,9061165
KOSOVO,13.4.2020.0.7.13,283.0,7.0,58.0,9072433
KOSOVO,13.4.2020.9.26.16,283.0,7.0,58.0,9105976
KOSOVO,13.4.2020.11.59.14,283.0,7.0,58.0,9115154
KOSOVO,13.4.2020.15.13.1,283.0,7.0,58.0,9126781
KOSOVO,13.4.2020.20.23.47,283.0,7.0,58.0,9145427
KOSOVO,13.4.2020.21.1.27,283.0,7.0,58.0,9147687
KOSOVO,14.4.2020.0.30.40,283.0,7.0,58.0,9160240
KOSOVO,14.4.2020.9.9.9,283.0,7.0,58.0,9191349
KOSOVO,14.4.2020.12.13.23,283.0,7.0,58.0,9202403
KOSOVO,14.4.2020.15.49.28,283.0,7.0,58.0,9215368
KOSOVO,14.4.2020.18.27.14,377.0,8.0,63.0,9224834
KOSOVO,14.4.2020.21.18.50,377.0,8.0,63.0,9235130
KOSOVO,15.4.2020.0.7.14,377.0,8.0,63.0,9245234
KOSOVO,15.4.2020.9.0.9,387.0,8.0,66.0,9277209
KOSOVO,15.4.2020.14.56.18,387.0,8.0,66.0,9298578
