Nation,Time,Confirmed Case,Death,Recover,timestamp
LATVIA,3.4.2020.14.30.10,493.0,1.0,31.0,8260210
LATVIA,3.4.2020.14.30.11,493.0,1.0,31.0,8260211
LATVIA,3.4.2020.17.30.12,493.0,1.0,30.0,8271012
LATVIA,3.4.2020.20.30.12,493.0,1.0,30.0,8281812
LATVIA,3.4.2020.23.30.19,493.0,1.0,30.0,8292619
LATVIA,4.4.2020.8.30.14,493.0,1.0,30.0,8325014
LATVIA,4.4.2020.11.30.14,493.0,1.0,30.0,8335814
LATVIA,4.4.2020.14.30.16,509.0,1.0,30.0,8346616
LATVIA,4.4.2020.17.30.18,509.0,1.0,30.0,8357418
LATVIA,4.4.2020.20.30.33,509.0,1.0,30.0,8368233
LATVIA,4.4.2020.23.30.5,509.0,1.0,30.0,8379005
LATVIA,5.4.2020.8.30.7,509.0,1.0,30.0,8411407
LATVIA,5.4.2020.11.30.3,509.0,1.0,30.0,8422203
LATVIA,5.4.2020.14.30.4,533.0,1.0,30.0,8433004
LATVIA,5.4.2020.17.40.33,533.0,1.0,30.0,8444433
LATVIA,5.4.2020.20.33.28,533.0,1.0,30.0,8454808
LATVIA,5.4.2020.23.30.2,533.0,1.0,30.0,8465402
LATVIA,6.4.2020.8.37.49,533.0,1.0,30.0,8498269
LATVIA,6.4.2020.11.30.5,533.0,1.0,30.0,8508605
LATVIA,6.4.2020.14.44.21,542.0,1.0,30.0,8520261
LATVIA,6.4.2020.17.30.4,542.0,1.0,30.0,8530204
LATVIA,6.4.2020.21.0.44,542.0,1.0,30.0,8542844
LATVIA,7.4.2020.0.0.3,542.0,1.0,30.0,8553603
LATVIA,7.4.2020.9.0.4,542.0,1.0,30.0,8586004
LATVIA,7.4.2020.12.15.51,542.0,1.0,30.0,8597751
LATVIA,7.4.2020.15.59.55,548.0,2.0,16.0,8611195
LATVIA,7.4.2020.18.3.46,548.0,2.0,16.0,8618626
LATVIA,7.4.2020.21.32.15,548.0,2.0,16.0,8631135
LATVIA,8.4.2020.0.0.4,548.0,2.0,16.0,8640004
LATVIA,8.4.2020.9.0.46,548.0,2.0,16.0,8672446
LATVIA,8.4.2020.12.21.18,548.0,2.0,16.0,8684478
LATVIA,8.4.2020.15.4.46,577.0,2.0,16.0,8694286
LATVIA,8.4.2020.18.11.16,577.0,2.0,16.0,8705476
LATVIA,8.4.2020.21.33.56,577.0,2.0,16.0,8717636
LATVIA,9.4.2020.0.14.12,577.0,2.0,16.0,8727252
LATVIA,9.4.2020.11.19.24,577.0,2.0,16.0,8767164
