Nation,Time,Confirmed Case,Death,Recover,timestamp
LIBERIA,3.4.2020.14.30.10,6.0,0.0,0.0,8260210
LIBERIA,3.4.2020.14.30.11,6.0,0.0,0.0,8260211
LIBERIA,3.4.2020.17.30.12,6.0,0.0,0.0,8271012
LIBERIA,3.4.2020.20.30.12,7.0,0.0,0.0,8281812
LIBERIA,3.4.2020.23.30.19,7.0,0.0,0.0,8292619
LIBERIA,4.4.2020.8.30.14,7.0,0.0,0.0,8325014
LIBERIA,4.4.2020.11.30.14,7.0,0.0,0.0,8335814
LIBERIA,4.4.2020.14.30.16,7.0,0.0,0.0,8346616
LIBERIA,4.4.2020.17.30.18,7.0,0.0,0.0,8357418
LIBERIA,4.4.2020.20.30.33,10.0,1.0,0.0,8368233
LIBERIA,4.4.2020.23.30.5,10.0,1.0,0.0,8379005
LIBERIA,5.4.2020.8.30.7,10.0,1.0,3.0,8411407
LIBERIA,5.4.2020.11.30.3,10.0,1.0,3.0,8422203
LIBERIA,5.4.2020.14.30.4,10.0,1.0,3.0,8433004
LIBERIA,5.4.2020.17.40.33,10.0,1.0,3.0,8444433
LIBERIA,5.4.2020.20.33.28,13.0,3.0,3.0,8454808
LIBERIA,5.4.2020.23.30.2,13.0,3.0,3.0,8465402
LIBERIA,6.4.2020.8.37.49,13.0,3.0,3.0,8498269
LIBERIA,6.4.2020.11.30.5,13.0,3.0,3.0,8508605
LIBERIA,6.4.2020.14.44.21,13.0,3.0,3.0,8520261
LIBERIA,6.4.2020.17.30.4,13.0,3.0,3.0,8530204
LIBERIA,6.4.2020.21.0.44,13.0,3.0,3.0,8542844
LIBERIA,7.4.2020.0.0.3,13.0,3.0,3.0,8553603
LIBERIA,7.4.2020.9.0.4,14.0,3.0,3.0,8586004
LIBERIA,7.4.2020.12.15.51,14.0,3.0,3.0,8597751
LIBERIA,7.4.2020.15.59.55,14.0,3.0,3.0,8611195
LIBERIA,7.4.2020.18.3.46,14.0,3.0,3.0,8618626
LIBERIA,7.4.2020.21.32.15,14.0,3.0,3.0,8631135
LIBERIA,8.4.2020.0.0.4,14.0,3.0,3.0,8640004
LIBERIA,8.4.2020.9.0.46,14.0,3.0,3.0,8672446
LIBERIA,8.4.2020.12.21.18,14.0,3.0,3.0,8684478
LIBERIA,8.4.2020.15.4.46,14.0,3.0,3.0,8694286
LIBERIA,8.4.2020.18.11.16,14.0,3.0,3.0,8705476
LIBERIA,8.4.2020.21.33.56,14.0,3.0,3.0,8717636
LIBERIA,9.4.2020.0.14.12,31.0,4.0,3.0,8727252
LIBERIA,9.4.2020.11.19.24,31.0,4.0,3.0,8767164
LIBERIA,9.4.2020.12.7.24,31.0,4.0,3.0,8770044
LIBERIA,9.4.2020.14.57.9,31.0,4.0,3.0,8780229
LIBERIA,9.4.2020.18.0.2,31.0,4.0,3.0,8791202
LIBERIA,10.4.2020.1.6.14,31.0,4.0,3.0,8816774
LIBERIA,10.4.2020.9.4.46,31.0,4.0,3.0,8845486
LIBERIA,10.4.2020.12.9.17,31.0,4.0,3.0,8856557
LIBERIA,10.4.2020.14.55.51,31.0,4.0,3.0,8866551
LIBERIA,10.4.2020.18.41.5,31.0,4.0,3.0,8880065
LIBERIA,10.4.2020.21.59.17,37.0,5.0,3.0,8891957
LIBERIA,11.4.2020.0.0.34,37.0,5.0,3.0,8899234
LIBERIA,11.4.2020.9.1.32,37.0,5.0,3.0,8931692
LIBERIA,11.4.2020.12.8.24,37.0,5.0,3.0,8942904
LIBERIA,11.4.2020.17.0.40,37.0,5.0,3.0,8960440
LIBERIA,11.4.2020.18.12.28,37.0,5.0,3.0,8964748
LIBERIA,11.4.2020.21.44.19,37.0,5.0,3.0,8977459
LIBERIA,11.4.2020.23.59.29,48.0,5.0,3.0,8985569
LIBERIA,12.4.2020.9.0.42,48.0,5.0,3.0,9018042
LIBERIA,12.4.2020.12.5.42,48.0,5.0,3.0,9029142
LIBERIA,12.4.2020.15.9.25,48.0,5.0,3.0,9040165
LIBERIA,12.4.2020.18.22.1,50.0,5.0,3.0,9051721
LIBERIA,12.4.2020.20.59.25,50.0,5.0,3.0,9061165
LIBERIA,13.4.2020.0.7.13,50.0,5.0,3.0,9072433
LIBERIA,13.4.2020.9.26.16,50.0,5.0,3.0,9105976
LIBERIA,13.4.2020.11.59.14,50.0,5.0,3.0,9115154
LIBERIA,13.4.2020.15.13.1,50.0,5.0,3.0,9126781
LIBERIA,13.4.2020.20.23.47,51.0,6.0,4.0,9145427
LIBERIA,13.4.2020.21.1.27,51.0,6.0,4.0,9147687
