Nation,Time,Confirmed Case,Death,Recover,timestamp
LIECHTENSTEIN,3.4.2020.14.30.10,75.0,0.0,0.0,8260210
LIECHTENSTEIN,3.4.2020.14.30.11,75.0,0.0,0.0,8260211
LIECHTENSTEIN,3.4.2020.17.30.12,75.0,0.0,0.0,8271012
LIECHTENSTEIN,3.4.2020.20.30.12,75.0,0.0,0.0,8281812
LIECHTENSTEIN,3.4.2020.23.30.19,75.0,0.0,0.0,8292619
LIECHTENSTEIN,4.4.2020.8.30.14,75.0,0.0,0.0,8325014
LIECHTENSTEIN,4.4.2020.11.30.14,75.0,0.0,0.0,8335814
LIECHTENSTEIN,4.4.2020.14.30.16,75.0,0.0,0.0,8346616
LIECHTENSTEIN,4.4.2020.17.30.18,75.0,0.0,0.0,8357418
LIECHTENSTEIN,4.4.2020.20.30.33,75.0,0.0,0.0,8368233
LIECHTENSTEIN,4.4.2020.23.30.5,77.0,0.0,0.0,8379005
LIECHTENSTEIN,5.4.2020.8.30.7,77.0,1.0,0.0,8411407
LIECHTENSTEIN,5.4.2020.11.30.3,77.0,1.0,0.0,8422203
LIECHTENSTEIN,5.4.2020.14.30.4,77.0,1.0,0.0,8433004
LIECHTENSTEIN,5.4.2020.17.40.33,77.0,1.0,0.0,8444433
LIECHTENSTEIN,5.4.2020.20.33.28,77.0,1.0,0.0,8454808
LIECHTENSTEIN,5.4.2020.23.30.2,77.0,1.0,0.0,8465402
LIECHTENSTEIN,6.4.2020.8.37.49,77.0,1.0,0.0,8498269
LIECHTENSTEIN,6.4.2020.11.30.5,77.0,1.0,0.0,8508605
LIECHTENSTEIN,6.4.2020.14.44.21,77.0,1.0,0.0,8520261
LIECHTENSTEIN,6.4.2020.17.30.4,77.0,1.0,0.0,8530204
LIECHTENSTEIN,6.4.2020.21.0.44,77.0,1.0,0.0,8542844
LIECHTENSTEIN,7.4.2020.0.0.3,77.0,1.0,55.0,8553603
LIECHTENSTEIN,7.4.2020.9.0.4,77.0,1.0,55.0,8586004
LIECHTENSTEIN,7.4.2020.12.15.51,77.0,1.0,55.0,8597751
LIECHTENSTEIN,7.4.2020.15.59.55,77.0,1.0,55.0,8611195
LIECHTENSTEIN,7.4.2020.18.3.46,77.0,1.0,55.0,8618626
LIECHTENSTEIN,7.4.2020.21.32.15,77.0,1.0,55.0,8631135
LIECHTENSTEIN,8.4.2020.0.0.4,77.0,1.0,55.0,8640004
LIECHTENSTEIN,8.4.2020.9.0.46,78.0,1.0,55.0,8672446
LIECHTENSTEIN,8.4.2020.12.21.18,78.0,1.0,55.0,8684478
LIECHTENSTEIN,8.4.2020.15.4.46,78.0,1.0,55.0,8694286
LIECHTENSTEIN,8.4.2020.18.11.16,78.0,1.0,55.0,8705476
LIECHTENSTEIN,8.4.2020.21.33.56,78.0,1.0,55.0,8717636
LIECHTENSTEIN,9.4.2020.0.14.12,78.0,1.0,55.0,8727252
