Nation,Time,Confirmed Case,Death,Recover,timestamp
LITHUANIA,2020-04-03 14:30:10,696.0,9.0,7.0,8260210
LITHUANIA,2020-04-03 14:30:11,696.0,9.0,7.0,8260211
LITHUANIA,2020-04-03 17:30:12,696.0,9.0,7.0,8271012
LITHUANIA,2020-04-03 20:30:12,696.0,9.0,7.0,8281812
LITHUANIA,2020-04-03 23:30:19,696.0,9.0,7.0,8292619
LITHUANIA,2020-04-04 08:30:14,696.0,9.0,7.0,8325014
LITHUANIA,2020-04-04 11:30:14,771.0,9.0,7.0,8335814
LITHUANIA,2020-04-04 14:30:16,771.0,9.0,7.0,8346616
LITHUANIA,2020-04-04 17:30:18,771.0,10.0,7.0,8357418
LITHUANIA,2020-04-04 20:30:33,771.0,10.0,7.0,8368233
LITHUANIA,2020-04-04 23:30:05,771.0,10.0,7.0,8379005
LITHUANIA,2020-04-05 08:30:07,771.0,11.0,7.0,8411407
LITHUANIA,2020-04-05 11:30:03,811.0,11.0,7.0,8422203
LITHUANIA,2020-04-05 14:30:04,811.0,11.0,7.0,8433004
LITHUANIA,2020-04-05 17:40:33,811.0,11.0,7.0,8444433
LITHUANIA,2020-04-05 20:33:28,811.0,12.0,7.0,8454808
LITHUANIA,2020-04-05 23:30:02,811.0,13.0,7.0,8465402
LITHUANIA,2020-04-06 08:37:49,811.0,13.0,7.0,8498269
LITHUANIA,2020-04-06 11:30:05,811.0,14.0,7.0,8508605
LITHUANIA,2020-04-06 14:44:21,843.0,14.0,8.0,8520261
LITHUANIA,2020-04-06 17:30:04,843.0,14.0,8.0,8530204
LITHUANIA,2020-04-06 21:00:44,843.0,14.0,8.0,8542844
LITHUANIA,2020-04-07 00:00:03,843.0,15.0,8.0,8553603
LITHUANIA,2020-04-07 09:00:04,843.0,15.0,8.0,8586004
LITHUANIA,2020-04-07 12:15:51,880.0,15.0,8.0,8597751
LITHUANIA,2020-04-07 15:59:55,880.0,15.0,8.0,8611195
LITHUANIA,2020-04-07 18:03:46,880.0,15.0,8.0,8618626
LITHUANIA,2020-04-07 21:32:15,880.0,15.0,8.0,8631135
LITHUANIA,2020-04-08 00:00:04,880.0,15.0,8.0,8640004
LITHUANIA,2020-04-08 09:00:46,880.0,15.0,8.0,8672446
LITHUANIA,2020-04-08 12:21:18,912.0,15.0,8.0,8684478
LITHUANIA,2020-04-08 15:04:46,912.0,15.0,8.0,8694286
LITHUANIA,2020-04-08 18:11:16,912.0,15.0,8.0,8705476
LITHUANIA,2020-04-08 21:33:56,912.0,15.0,8.0,8717636
LITHUANIA,2020-04-09 00:14:12,912.0,15.0,8.0,8727252
LITHUANIA,2020-04-09 11:19:24,955.0,15.0,8.0,8767164
LITHUANIA,2020-04-09 12:07:24,955.0,15.0,8.0,8770044
LITHUANIA,2020-04-09 14:57:09,955.0,15.0,8.0,8780229
LITHUANIA,2020-04-09 18:00:02,955.0,16.0,8.0,8791202
LITHUANIA,2020-04-10 01:06:14,955.0,16.0,8.0,8816774
LITHUANIA,2020-04-10 09:04:46,955.0,16.0,8.0,8845486
LITHUANIA,2020-04-10 12:09:17,999.0,17.0,8.0,8856557
LITHUANIA,2020-04-10 14:55:51,999.0,17.0,8.0,8866551
LITHUANIA,2020-04-10 18:41:05,999.0,22.0,54.0,8880065
LITHUANIA,2020-04-10 21:59:17,999.0,22.0,54.0,8891957
LITHUANIA,2020-04-11 00:00:34,999.0,22.0,54.0,8899234
LITHUANIA,2020-04-11 09:01:32,999.0,22.0,54.0,8931692
LITHUANIA,2020-04-11 12:08:24,1026.0,23.0,54.0,8942904
LITHUANIA,2020-04-11 17:00:40,1026.0,23.0,54.0,8960440
LITHUANIA,2020-04-11 18:12:28,1026.0,23.0,54.0,8964748
LITHUANIA,2020-04-11 21:44:19,1026.0,23.0,54.0,8977459
LITHUANIA,2020-04-11 23:59:29,1026.0,23.0,54.0,8985569
LITHUANIA,2020-04-12 09:00:42,1026.0,23.0,54.0,9018042
LITHUANIA,2020-04-12 12:05:42,1053.0,23.0,97.0,9029142
LITHUANIA,2020-04-12 15:09:25,1053.0,23.0,97.0,9040165
LITHUANIA,2020-04-12 18:22:01,1053.0,23.0,97.0,9051721
LITHUANIA,2020-04-12 20:59:25,1053.0,23.0,97.0,9061165
LITHUANIA,2020-04-13 00:07:13,1053.0,23.0,97.0,9072433
LITHUANIA,2020-04-13 09:26:16,1053.0,23.0,97.0,9105976
LITHUANIA,2020-04-13 11:59:14,1062.0,24.0,101.0,9115154
LITHUANIA,2020-04-13 15:13:01,1062.0,24.0,101.0,9126781
LITHUANIA,2020-04-13 20:23:47,1062.0,24.0,101.0,9145427
LITHUANIA,2020-04-13 21:01:27,1062.0,24.0,101.0,9147687
LITHUANIA,2020-04-14 00:30:40,1062.0,24.0,101.0,9160240
LITHUANIA,2020-04-14 09:09:09,1062.0,24.0,101.0,9191349
LITHUANIA,2020-04-14 12:13:23,1070.0,24.0,101.0,9202403
LITHUANIA,2020-04-14 15:49:28,1070.0,24.0,101.0,9215368
LITHUANIA,2020-04-14 18:27:14,1070.0,24.0,101.0,9224834
LITHUANIA,2020-04-14 21:18:50,1070.0,26.0,101.0,9235130
LITHUANIA,2020-04-15 00:07:14,1070.0,26.0,101.0,9245234
LITHUANIA,2020-04-15 09:00:09,1070.0,29.0,101.0,9277209
LITHUANIA,2020-04-15 14:56:18,1091.0,29.0,138.0,9298578
LITHUANIA,2020-04-15 19:52:38,1091.0,29.0,138.0,9316358
LITHUANIA,2020-04-15 21:18:33,1091.0,30.0,138.0,9321513
LITHUANIA,2020-04-16 00:51:15,1091.0,30.0,138.0,9334275
LITHUANIA,2020-04-16 09:04:51,1091.0,30.0,138.0,9363891
LITHUANIA,2020-04-16 12:05:08,1091.0,30.0,138.0,9374708
LITHUANIA,2020-04-16 14:57:08,1128.0,30.0,178.0,9385028
LITHUANIA,2020-04-16 17:58:25,1128.0,30.0,178.0,9395905
LITHUANIA,2020-04-16 22:41:20,1128.0,32.0,178.0,9412880
LITHUANIA,2020-04-17 01:32:36,1128.0,32.0,178.0,9423156
