Nation,Time,Confirmed Case,Death,Recover,timestamp
MADAGASCAR,2020-04-03 14:30:10,59.0,0.0,0.0,8260210
MADAGASCAR,2020-04-03 14:30:11,59.0,0.0,0.0,8260211
MADAGASCAR,2020-04-03 17:30:12,59.0,0.0,0.0,8271012
MADAGASCAR,2020-04-03 20:30:12,65.0,0.0,0.0,8281812
MADAGASCAR,2020-04-03 23:30:19,65.0,0.0,0.0,8292619
MADAGASCAR,2020-04-04 08:30:14,70.0,0.0,0.0,8325014
MADAGASCAR,2020-04-04 11:30:14,70.0,0.0,0.0,8335814
MADAGASCAR,2020-04-04 14:30:16,70.0,0.0,0.0,8346616
MADAGASCAR,2020-04-04 17:30:18,70.0,0.0,0.0,8357418
MADAGASCAR,2020-04-04 20:30:33,70.0,0.0,0.0,8368233
MADAGASCAR,2020-04-04 23:30:05,70.0,0.0,0.0,8379005
MADAGASCAR,2020-04-05 08:30:07,70.0,0.0,0.0,8411407
MADAGASCAR,2020-04-05 11:30:03,70.0,0.0,0.0,8422203
MADAGASCAR,2020-04-05 14:30:04,70.0,0.0,0.0,8433004
MADAGASCAR,2020-04-05 17:40:33,70.0,0.0,0.0,8444433
MADAGASCAR,2020-04-05 20:33:28,72.0,0.0,2.0,8454808
MADAGASCAR,2020-04-05 23:30:02,72.0,0.0,2.0,8465402
MADAGASCAR,2020-04-06 08:37:49,72.0,0.0,2.0,8498269
MADAGASCAR,2020-04-06 11:30:05,72.0,0.0,2.0,8508605
MADAGASCAR,2020-04-06 14:44:21,72.0,0.0,2.0,8520261
MADAGASCAR,2020-04-06 17:30:04,72.0,0.0,2.0,8530204
MADAGASCAR,2020-04-06 21:00:44,72.0,0.0,2.0,8542844
MADAGASCAR,2020-04-07 00:00:03,72.0,0.0,2.0,8553603
MADAGASCAR,2020-04-07 09:00:04,82.0,0.0,2.0,8586004
MADAGASCAR,2020-04-07 12:15:51,82.0,0.0,2.0,8597751
MADAGASCAR,2020-04-07 15:59:55,82.0,0.0,2.0,8611195
MADAGASCAR,2020-04-07 18:03:46,82.0,0.0,2.0,8618626
MADAGASCAR,2020-04-07 21:32:15,82.0,0.0,2.0,8631135
MADAGASCAR,2020-04-08 00:00:04,82.0,0.0,2.0,8640004
MADAGASCAR,2020-04-08 09:00:46,88.0,0.0,7.0,8672446
MADAGASCAR,2020-04-08 12:21:18,88.0,0.0,7.0,8684478
MADAGASCAR,2020-04-08 15:04:46,88.0,0.0,7.0,8694286
MADAGASCAR,2020-04-08 18:11:16,93.0,0.0,11.0,8705476
MADAGASCAR,2020-04-08 21:33:56,93.0,0.0,11.0,8717636
MADAGASCAR,2020-04-09 00:14:12,93.0,0.0,11.0,8727252
MADAGASCAR,2020-04-09 11:19:24,93.0,0.0,11.0,8767164
MADAGASCAR,2020-04-09 12:07:24,93.0,0.0,11.0,8770044
MADAGASCAR,2020-04-09 14:57:09,93.0,0.0,11.0,8780229
MADAGASCAR,2020-04-09 18:00:02,93.0,0.0,11.0,8791202
MADAGASCAR,2020-04-10 01:06:14,93.0,0.0,11.0,8816774
MADAGASCAR,2020-04-10 09:04:46,93.0,0.0,11.0,8845486
MADAGASCAR,2020-04-10 12:09:17,93.0,0.0,11.0,8856557
MADAGASCAR,2020-04-10 14:55:51,93.0,0.0,11.0,8866551
MADAGASCAR,2020-04-10 18:41:05,93.0,0.0,11.0,8880065
MADAGASCAR,2020-04-10 21:59:17,93.0,0.0,11.0,8891957
MADAGASCAR,2020-04-11 00:00:34,93.0,0.0,11.0,8899234
MADAGASCAR,2020-04-11 09:01:32,93.0,0.0,11.0,8931692
MADAGASCAR,2020-04-11 12:08:24,93.0,0.0,11.0,8942904
MADAGASCAR,2020-04-11 17:00:40,93.0,0.0,11.0,8960440
MADAGASCAR,2020-04-11 18:12:28,93.0,0.0,11.0,8964748
MADAGASCAR,2020-04-11 21:44:19,102.0,0.0,11.0,8977459
MADAGASCAR,2020-04-11 23:59:29,102.0,0.0,11.0,8985569
MADAGASCAR,2020-04-12 09:00:42,102.0,0.0,11.0,9018042
MADAGASCAR,2020-04-12 12:05:42,102.0,0.0,11.0,9029142
MADAGASCAR,2020-04-12 15:09:25,102.0,0.0,11.0,9040165
MADAGASCAR,2020-04-12 18:22:01,106.0,0.0,20.0,9051721
MADAGASCAR,2020-04-12 20:59:25,106.0,0.0,20.0,9061165
MADAGASCAR,2020-04-13 00:07:13,106.0,0.0,20.0,9072433
MADAGASCAR,2020-04-13 09:26:16,106.0,0.0,20.0,9105976
MADAGASCAR,2020-04-13 11:59:14,106.0,0.0,20.0,9115154
MADAGASCAR,2020-04-13 15:13:01,106.0,0.0,20.0,9126781
MADAGASCAR,2020-04-13 20:23:47,106.0,0.0,20.0,9145427
MADAGASCAR,2020-04-13 21:01:27,106.0,0.0,21.0,9147687
MADAGASCAR,2020-04-14 00:30:40,106.0,0.0,21.0,9160240
MADAGASCAR,2020-04-14 09:09:09,106.0,0.0,21.0,9191349
MADAGASCAR,2020-04-14 12:13:23,106.0,0.0,21.0,9202403
MADAGASCAR,2020-04-14 15:49:28,106.0,0.0,21.0,9215368
MADAGASCAR,2020-04-14 18:27:14,108.0,0.0,23.0,9224834
MADAGASCAR,2020-04-14 21:18:50,108.0,0.0,23.0,9235130
MADAGASCAR,2020-04-15 00:07:14,108.0,0.0,23.0,9245234
MADAGASCAR,2020-04-15 09:00:09,108.0,0.0,23.0,9277209
MADAGASCAR,2020-04-15 14:56:18,108.0,0.0,23.0,9298578
MADAGASCAR,2020-04-15 19:52:38,110.0,0.0,29.0,9316358
MADAGASCAR,2020-04-15 21:18:33,110.0,0.0,29.0,9321513
MADAGASCAR,2020-04-16 00:51:15,110.0,0.0,29.0,9334275
MADAGASCAR,2020-04-16 09:04:51,110.0,0.0,29.0,9363891
MADAGASCAR,2020-04-16 12:05:08,110.0,0.0,29.0,9374708
MADAGASCAR,2020-04-16 14:57:08,110.0,0.0,29.0,9385028
MADAGASCAR,2020-04-16 17:58:25,111.0,0.0,33.0,9395905
MADAGASCAR,2020-04-16 22:41:20,111.0,0.0,33.0,9412880
MADAGASCAR,2020-04-17 01:32:36,111.0,0.0,33.0,9423156
MADAGASCAR,2020-04-17 09:11:04,111.0,0.0,33.0,9450664
MADAGASCAR,2020-04-17 12:02:01,111.0,0.0,33.0,9460921
MADAGASCAR,2020-04-17 14:56:35,111.0,0.0,33.0,9471395
MADAGASCAR,2020-04-17 18:39:21,117.0,0.0,33.0,9484761
MADAGASCAR,2020-04-17 22:45:21,117.0,0.0,33.0,9499521
MADAGASCAR,2020-04-18 08:54:14,117.0,0.0,33.0,9536054
MADAGASCAR,2020-04-18 13:55:54,117.0,0.0,33.0,9554154
MADAGASCAR,2020-04-18 15:41:06,117.0,0.0,33.0,9560466
MADAGASCAR,2020-04-18 18:03:48,117.0,0.0,33.0,9569028
MADAGASCAR,2020-04-19 00:17:39,120.0,0.0,35.0,9591459
MADAGASCAR,2020-04-19 09:10:08,120.0,0.0,35.0,9623408
MADAGASCAR,2020-04-19 15:11:32,120.0,0.0,35.0,9645092
MADAGASCAR,2020-04-19 18:07:21,120.0,0.0,35.0,9655641
MADAGASCAR,2020-04-19 21:01:51,121.0,0.0,39.0,9666111
MADAGASCAR,2020-04-20 00:00:38,121.0,0.0,39.0,9676838
MADAGASCAR,2020-04-20 12:46:45,121.0,0.0,39.0,9722805
MADAGASCAR,2020-04-20 15:15:13,121.0,0.0,39.0,9731713
MADAGASCAR,2020-04-20 18:00:55,121.0,0.0,41.0,9741655
MADAGASCAR,2020-04-20 20:51:26,121.0,0.0,41.0,9751886
MADAGASCAR,2020-04-20 23:57:35,121.0,0.0,41.0,9763055
MADAGASCAR,2020-04-21 12:05:06,121.0,0.0,41.0,9806706
MADAGASCAR,2020-04-21 18:05:54,121.0,0.0,44.0,9828354
MADAGASCAR,2020-04-21 20:56:52,121.0,0.0,44.0,9838612
MADAGASCAR,2020-04-22 10:13:50,121.0,0.0,44.0,9886430
MADAGASCAR,2020-04-22 12:01:15,121.0,0.0,44.0,9892875
MADAGASCAR,2020-04-22 15:04:35,121.0,0.0,44.0,9903875
MADAGASCAR,2020-04-23 00:41:34,121.0,0.0,52.0,9938494
MADAGASCAR,2020-04-23 11:00:28,121.0,0.0,52.0,9975628
