Nation,Time,Confirmed Case,Death,Recover,timestamp
MALAYSIA,2020-04-03 14:30:10,3116.0,50.0,767.0,8260210
MALAYSIA,2020-04-03 14:30:11,3116.0,50.0,767.0,8260211
MALAYSIA,2020-04-03 17:30:12,3333.0,53.0,827.0,8271012
MALAYSIA,2020-04-03 20:30:12,3333.0,53.0,827.0,8281812
MALAYSIA,2020-04-03 23:30:19,3333.0,53.0,827.0,8292619
MALAYSIA,2020-04-04 08:30:14,3333.0,53.0,827.0,8325014
MALAYSIA,2020-04-04 11:30:14,3333.0,53.0,827.0,8335814
MALAYSIA,2020-04-04 14:30:16,3333.0,53.0,827.0,8346616
MALAYSIA,2020-04-04 17:30:18,3483.0,57.0,915.0,8357418
MALAYSIA,2020-04-04 20:30:33,3483.0,57.0,915.0,8368233
MALAYSIA,2020-04-04 23:30:05,3483.0,57.0,915.0,8379005
MALAYSIA,2020-04-05 08:30:07,3483.0,57.0,915.0,8411407
MALAYSIA,2020-04-05 11:30:03,3483.0,57.0,915.0,8422203
MALAYSIA,2020-04-05 14:30:04,3483.0,57.0,915.0,8433004
MALAYSIA,2020-04-05 17:40:33,3662.0,61.0,1005.0,8444433
MALAYSIA,2020-04-05 20:33:28,3662.0,61.0,1005.0,8454808
MALAYSIA,2020-04-05 23:30:02,3662.0,61.0,1005.0,8465402
MALAYSIA,2020-04-06 08:37:49,3662.0,61.0,1005.0,8498269
MALAYSIA,2020-04-06 11:30:05,3662.0,61.0,1005.0,8508605
MALAYSIA,2020-04-06 14:44:21,3662.0,61.0,1005.0,8520261
MALAYSIA,2020-04-06 17:30:04,3793.0,62.0,1241.0,8530204
MALAYSIA,2020-04-06 21:00:44,3793.0,62.0,1241.0,8542844
MALAYSIA,2020-04-07 00:00:03,3793.0,62.0,1241.0,8553603
MALAYSIA,2020-04-07 09:00:04,3793.0,62.0,1241.0,8586004
MALAYSIA,2020-04-07 12:15:51,3793.0,62.0,1241.0,8597751
MALAYSIA,2020-04-07 15:59:55,3963.0,63.0,1321.0,8611195
MALAYSIA,2020-04-07 18:03:46,3963.0,63.0,1321.0,8618626
