Nation,Time,Confirmed Case,Death,Recover,timestamp
MALDIVES,2020-04-03 14:30:10,19.0,0.0,13.0,8260210
MALDIVES,2020-04-03 14:30:11,19.0,0.0,13.0,8260211
MALDIVES,2020-04-03 17:30:12,19.0,0.0,13.0,8271012
MALDIVES,2020-04-03 20:30:12,19.0,0.0,13.0,8281812
MALDIVES,2020-04-03 23:30:19,19.0,0.0,13.0,8292619
MALDIVES,2020-04-04 08:30:14,19.0,0.0,13.0,8325014
MALDIVES,2020-04-04 11:30:14,19.0,0.0,13.0,8335814
MALDIVES,2020-04-04 14:30:16,19.0,0.0,13.0,8346616
MALDIVES,2020-04-04 17:30:18,19.0,0.0,13.0,8357418
MALDIVES,2020-04-04 20:30:33,19.0,0.0,13.0,8368233
MALDIVES,2020-04-04 23:30:05,19.0,0.0,13.0,8379005
MALDIVES,2020-04-05 08:30:07,19.0,0.0,13.0,8411407
MALDIVES,2020-04-05 11:30:03,19.0,0.0,13.0,8422203
MALDIVES,2020-04-05 14:30:04,19.0,0.0,13.0,8433004
MALDIVES,2020-04-05 17:40:33,19.0,0.0,13.0,8444433
MALDIVES,2020-04-05 20:33:28,19.0,0.0,13.0,8454808
MALDIVES,2020-04-05 23:30:02,19.0,0.0,13.0,8465402
MALDIVES,2020-04-06 08:37:49,19.0,0.0,13.0,8498269
MALDIVES,2020-04-06 11:30:05,19.0,0.0,13.0,8508605
MALDIVES,2020-04-06 14:44:21,19.0,0.0,13.0,8520261
MALDIVES,2020-04-06 17:30:04,19.0,0.0,13.0,8530204
MALDIVES,2020-04-06 21:00:44,19.0,0.0,13.0,8542844
MALDIVES,2020-04-07 00:00:03,19.0,0.0,13.0,8553603
MALDIVES,2020-04-07 09:00:04,19.0,0.0,13.0,8586004
MALDIVES,2020-04-07 12:15:51,19.0,0.0,13.0,8597751
MALDIVES,2020-04-07 15:59:55,19.0,0.0,13.0,8611195
MALDIVES,2020-04-07 18:03:46,19.0,0.0,13.0,8618626
