Nation,Time,Confirmed Case,Death,Recover,timestamp
MALI,2020-04-03 14:30:10,36.0,3.0,0.0,8260210
MALI,2020-04-03 14:30:11,36.0,3.0,0.0,8260211
MALI,2020-04-03 17:30:12,36.0,3.0,0.0,8271012
MALI,2020-04-03 20:30:12,36.0,3.0,0.0,8281812
MALI,2020-04-03 23:30:19,39.0,3.0,0.0,8292619
MALI,2020-04-04 08:30:14,39.0,3.0,0.0,8325014
MALI,2020-04-04 11:30:14,39.0,3.0,0.0,8335814
MALI,2020-04-04 14:30:16,39.0,3.0,0.0,8346616
MALI,2020-04-04 17:30:18,39.0,3.0,0.0,8357418
MALI,2020-04-04 20:30:33,41.0,3.0,1.0,8368233
MALI,2020-04-04 23:30:05,41.0,3.0,1.0,8379005
MALI,2020-04-05 08:30:07,41.0,3.0,1.0,8411407
MALI,2020-04-05 11:30:03,41.0,3.0,1.0,8422203
MALI,2020-04-05 14:30:04,41.0,3.0,1.0,8433004
MALI,2020-04-05 17:40:33,41.0,3.0,1.0,8444433
MALI,2020-04-05 20:33:28,41.0,3.0,1.0,8454808
MALI,2020-04-05 23:30:02,45.0,5.0,1.0,8465402
MALI,2020-04-06 08:37:49,45.0,5.0,1.0,8498269
MALI,2020-04-06 11:30:05,45.0,5.0,1.0,8508605
MALI,2020-04-06 14:44:21,45.0,5.0,1.0,8520261
MALI,2020-04-06 17:30:04,47.0,5.0,1.0,8530204
MALI,2020-04-06 21:00:44,47.0,5.0,1.0,8542844
MALI,2020-04-07 00:00:03,47.0,5.0,1.0,8553603
MALI,2020-04-07 09:00:04,47.0,5.0,9.0,8586004
MALI,2020-04-07 12:15:51,47.0,5.0,9.0,8597751
MALI,2020-04-07 15:59:55,47.0,5.0,9.0,8611195
MALI,2020-04-07 18:03:46,47.0,5.0,9.0,8618626
MALI,2020-04-07 21:32:15,56.0,5.0,12.0,8631135
MALI,2020-04-08 00:00:04,56.0,6.0,12.0,8640004
MALI,2020-04-08 09:00:46,56.0,6.0,12.0,8672446
MALI,2020-04-08 12:21:18,56.0,6.0,12.0,8684478
MALI,2020-04-08 15:04:46,56.0,6.0,12.0,8694286
MALI,2020-04-08 18:11:16,56.0,6.0,12.0,8705476
MALI,2020-04-08 21:33:56,56.0,6.0,12.0,8717636
MALI,2020-04-09 00:14:12,59.0,7.0,16.0,8727252
MALI,2020-04-09 11:19:24,59.0,7.0,16.0,8767164
MALI,2020-04-09 12:07:24,59.0,7.0,16.0,8770044
MALI,2020-04-09 14:57:09,59.0,7.0,16.0,8780229
MALI,2020-04-09 18:00:02,59.0,7.0,16.0,8791202
MALI,2020-04-10 01:06:14,74.0,7.0,22.0,8816774
MALI,2020-04-10 09:04:46,74.0,7.0,22.0,8845486
MALI,2020-04-10 12:09:17,74.0,7.0,22.0,8856557
MALI,2020-04-10 14:55:51,74.0,7.0,22.0,8866551
MALI,2020-04-10 18:41:05,87.0,7.0,22.0,8880065
MALI,2020-04-10 21:59:17,87.0,7.0,22.0,8891957
MALI,2020-04-11 00:00:34,87.0,7.0,22.0,8899234
MALI,2020-04-11 09:01:32,87.0,7.0,22.0,8931692
MALI,2020-04-11 12:08:24,87.0,7.0,22.0,8942904
MALI,2020-04-11 17:00:40,87.0,7.0,22.0,8960440
MALI,2020-04-11 18:12:28,87.0,7.0,22.0,8964748
MALI,2020-04-11 21:44:19,87.0,7.0,22.0,8977459
MALI,2020-04-11 23:59:29,87.0,7.0,22.0,8985569
MALI,2020-04-12 09:00:42,87.0,7.0,22.0,9018042
MALI,2020-04-12 12:05:42,87.0,7.0,22.0,9029142
MALI,2020-04-12 15:09:25,105.0,9.0,22.0,9040165
MALI,2020-04-12 18:22:01,105.0,9.0,22.0,9051721
MALI,2020-04-12 20:59:25,105.0,9.0,22.0,9061165
MALI,2020-04-13 00:07:13,105.0,9.0,22.0,9072433
MALI,2020-04-13 09:26:16,105.0,9.0,22.0,9105976
MALI,2020-04-13 11:59:14,105.0,9.0,22.0,9115154
MALI,2020-04-13 15:13:01,105.0,9.0,22.0,9126781
MALI,2020-04-13 20:23:47,105.0,9.0,22.0,9145427
MALI,2020-04-13 21:01:27,105.0,9.0,22.0,9147687
MALI,2020-04-14 00:30:40,123.0,10.0,26.0,9160240
MALI,2020-04-14 09:09:09,123.0,10.0,26.0,9191349
MALI,2020-04-14 12:13:23,123.0,10.0,26.0,9202403
MALI,2020-04-14 15:49:28,123.0,10.0,26.0,9215368
MALI,2020-04-14 18:27:14,123.0,10.0,26.0,9224834
MALI,2020-04-14 21:18:50,123.0,10.0,26.0,9235130
MALI,2020-04-15 00:07:14,144.0,13.0,34.0,9245234
MALI,2020-04-15 09:00:09,144.0,13.0,34.0,9277209
MALI,2020-04-15 14:56:18,144.0,13.0,34.0,9298578
MALI,2020-04-15 19:52:38,148.0,13.0,34.0,9316358
MALI,2020-04-15 21:18:33,148.0,13.0,34.0,9321513
MALI,2020-04-16 00:51:15,148.0,13.0,34.0,9334275
MALI,2020-04-16 09:04:51,148.0,13.0,34.0,9363891
MALI,2020-04-16 12:05:08,148.0,13.0,34.0,9374708
MALI,2020-04-16 14:57:08,148.0,13.0,34.0,9385028
MALI,2020-04-16 17:58:25,148.0,13.0,34.0,9395905
MALI,2020-04-16 22:41:20,148.0,13.0,34.0,9412880
MALI,2020-04-17 01:32:36,171.0,13.0,34.0,9423156
MALI,2020-04-17 09:11:04,171.0,13.0,34.0,9450664
MALI,2020-04-17 12:02:01,171.0,13.0,34.0,9460921
MALI,2020-04-17 14:56:35,171.0,13.0,34.0,9471395
MALI,2020-04-17 18:39:21,171.0,13.0,34.0,9484761
MALI,2020-04-17 22:45:21,171.0,13.0,34.0,9499521
MALI,2020-04-18 08:54:14,190.0,13.0,34.0,9536054
MALI,2020-04-18 13:55:54,190.0,13.0,34.0,9554154
MALI,2020-04-18 15:41:06,190.0,13.0,34.0,9560466
MALI,2020-04-18 18:03:48,190.0,13.0,34.0,9569028
MALI,2020-04-19 00:17:39,216.0,13.0,41.0,9591459
MALI,2020-04-19 09:10:08,216.0,13.0,41.0,9623408
MALI,2020-04-19 15:11:32,216.0,13.0,41.0,9645092
MALI,2020-04-19 18:07:21,216.0,13.0,41.0,9655641
MALI,2020-04-19 21:01:51,216.0,13.0,41.0,9666111
MALI,2020-04-20 00:00:38,224.0,14.0,42.0,9676838
MALI,2020-04-20 12:46:45,224.0,14.0,42.0,9722805
MALI,2020-04-20 15:15:13,224.0,14.0,42.0,9731713
MALI,2020-04-20 18:00:55,224.0,14.0,42.0,9741655
MALI,2020-04-20 20:51:26,224.0,14.0,42.0,9751886
MALI,2020-04-20 23:57:35,224.0,14.0,42.0,9763055
MALI,2020-04-21 12:05:06,246.0,14.0,56.0,9806706
MALI,2020-04-21 18:05:54,246.0,14.0,56.0,9828354
MALI,2020-04-21 20:56:52,258.0,14.0,57.0,9838612
MALI,2020-04-22 10:13:50,258.0,14.0,57.0,9886430
MALI,2020-04-22 12:01:15,258.0,14.0,57.0,9892875
MALI,2020-04-22 15:04:35,258.0,14.0,57.0,9903875
MALI,2020-04-23 00:41:34,293.0,17.0,73.0,9938494
MALI,2020-04-23 11:00:28,293.0,17.0,73.0,9975628
MALI,2020-04-23 18:09:30,293.0,17.0,73.0,10001370
MALI,2020-04-23 21:15:10,293.0,17.0,73.0,10012510
MALI,2020-04-24 12:38:27,309.0,21.0,77.0,10067907
MALI,2020-04-24 15:07:01,309.0,21.0,77.0,10076821
MALI,2020-04-24 18:05:08,309.0,21.0,77.0,10087508
MALI,2020-04-25 01:24:20,309.0,21.0,77.0,10113860
MALI,2020-04-25 10:29:29,325.0,21.0,87.0,10146569
MALI,2020-04-25 13:06:30,325.0,21.0,87.0,10155990
MALI,2020-04-25 15:13:19,325.0,21.0,87.0,10163599
MALI,2020-04-25 18:05:53,325.0,21.0,87.0,10173953
MALI,2020-04-26 00:02:26,370.0,21.0,91.0,10195346
MALI,2020-04-26 10:30:36,370.0,21.0,91.0,10233036
MALI,2020-04-26 14:00:20,370.0,21.0,91.0,10245620
MALI,2020-04-26 15:00:26,325.0,21.0,87.0,10249226
MALI,2020-04-26 18:04:29,370.0,21.0,91.0,10260269
MALI,2020-04-26 20:55:24,370.0,21.0,91.0,10270524
MALI,2020-04-27 01:26:23,389.0,23.0,112.0,10286783
MALI,2020-04-27 12:02:22,389.0,23.0,112.0,10324942
MALI,2020-04-27 18:28:29,408.0,23.0,113.0,10348109
MALI,2020-04-27 23:10:06,408.0,23.0,113.0,10365006
MALI,2020-04-28 00:52:18,408.0,23.0,113.0,10371138
MALI,2020-04-28 12:28:54,408.0,23.0,113.0,10412934
MALI,2020-04-29 00:05:46,424.0,24.0,122.0,10454746
MALI,2020-04-29 11:12:43,424.0,24.0,122.0,10494763
MALI,2020-04-29 13:02:52,424.0,24.0,122.0,10501372
MALI,2020-04-29 15:08:24,424.0,24.0,122.0,10508904
MALI,2020-04-29 18:09:12,424.0,24.0,122.0,10519752
MALI,2020-04-29 21:32:47,482.0,25.0,129.0,10531967
MALI,2020-04-30 00:17:29,482.0,25.0,129.0,10541849
MALI,2020-04-30 09:21:28,482.0,25.0,129.0,10574488
MALI,2020-04-30 12:29:51,482.0,25.0,129.0,10585791
MALI,2020-04-30 15:13:47,482.0,25.0,129.0,10595627
MALI,2020-05-01 00:05:16,490.0,26.0,135.0,10713916
MALI,2020-05-01 10:41:27,490.0,26.0,135.0,10752087
