Nation,Time,Confirmed Case,Death,Recover,timestamp
MARTINIQUE,2020-04-03 14:30:10,138.0,3.0,27.0,8260210
MARTINIQUE,2020-04-03 14:30:11,138.0,3.0,27.0,8260211
MARTINIQUE,2020-04-03 17:30:12,138.0,3.0,27.0,8271012
MARTINIQUE,2020-04-03 20:30:12,138.0,3.0,27.0,8281812
MARTINIQUE,2020-04-03 23:30:19,138.0,3.0,27.0,8292619
MARTINIQUE,2020-04-04 08:30:14,143.0,3.0,27.0,8325014
MARTINIQUE,2020-04-04 11:30:14,143.0,3.0,27.0,8335814
MARTINIQUE,2020-04-04 14:30:16,143.0,3.0,27.0,8346616
MARTINIQUE,2020-04-04 17:30:18,143.0,3.0,27.0,8357418
MARTINIQUE,2020-04-04 20:30:33,143.0,3.0,27.0,8368233
MARTINIQUE,2020-04-04 23:30:05,143.0,3.0,27.0,8379005
MARTINIQUE,2020-04-05 08:30:07,145.0,3.0,27.0,8411407
MARTINIQUE,2020-04-05 11:30:03,145.0,3.0,27.0,8422203
MARTINIQUE,2020-04-05 14:30:04,145.0,3.0,27.0,8433004
MARTINIQUE,2020-04-05 17:40:33,145.0,3.0,27.0,8444433
MARTINIQUE,2020-04-05 20:33:28,145.0,3.0,27.0,8454808
MARTINIQUE,2020-04-05 23:30:02,149.0,4.0,50.0,8465402
MARTINIQUE,2020-04-06 08:37:49,149.0,4.0,50.0,8498269
MARTINIQUE,2020-04-06 11:30:05,149.0,4.0,50.0,8508605
MARTINIQUE,2020-04-06 14:44:21,149.0,4.0,50.0,8520261
MARTINIQUE,2020-04-06 17:30:04,149.0,4.0,50.0,8530204
MARTINIQUE,2020-04-06 21:00:44,149.0,4.0,50.0,8542844
MARTINIQUE,2020-04-07 00:00:03,149.0,4.0,50.0,8553603
MARTINIQUE,2020-04-07 09:00:04,151.0,4.0,50.0,8586004
MARTINIQUE,2020-04-07 12:15:51,151.0,4.0,50.0,8597751
MARTINIQUE,2020-04-07 15:59:55,151.0,4.0,50.0,8611195
MARTINIQUE,2020-04-07 18:03:46,151.0,4.0,50.0,8618626
MARTINIQUE,2020-04-07 21:32:15,151.0,4.0,50.0,8631135
MARTINIQUE,2020-04-08 00:00:04,151.0,4.0,50.0,8640004
MARTINIQUE,2020-04-08 09:00:46,152.0,4.0,50.0,8672446
MARTINIQUE,2020-04-08 12:21:18,152.0,4.0,50.0,8684478
MARTINIQUE,2020-04-08 15:04:46,152.0,4.0,50.0,8694286
MARTINIQUE,2020-04-08 18:11:16,152.0,4.0,50.0,8705476
MARTINIQUE,2020-04-08 21:33:56,152.0,4.0,50.0,8717636
MARTINIQUE,2020-04-09 00:14:12,152.0,4.0,50.0,8727252
MARTINIQUE,2020-04-09 11:19:24,154.0,6.0,50.0,8767164
MARTINIQUE,2020-04-09 12:07:24,154.0,6.0,50.0,8770044
MARTINIQUE,2020-04-09 14:57:09,154.0,6.0,50.0,8780229
MARTINIQUE,2020-04-09 18:00:02,154.0,6.0,50.0,8791202
MARTINIQUE,2020-04-10 01:06:14,154.0,6.0,50.0,8816774
MARTINIQUE,2020-04-10 09:04:46,154.0,6.0,50.0,8845486
MARTINIQUE,2020-04-10 12:09:17,154.0,6.0,50.0,8856557
MARTINIQUE,2020-04-10 14:55:51,154.0,6.0,50.0,8866551
MARTINIQUE,2020-04-10 18:41:05,154.0,6.0,50.0,8880065
MARTINIQUE,2020-04-10 21:59:17,154.0,6.0,50.0,8891957
MARTINIQUE,2020-04-11 00:00:34,154.0,6.0,50.0,8899234
MARTINIQUE,2020-04-11 09:01:32,155.0,6.0,50.0,8931692
MARTINIQUE,2020-04-11 12:08:24,155.0,6.0,50.0,8942904
MARTINIQUE,2020-04-11 17:00:40,155.0,6.0,50.0,8960440
MARTINIQUE,2020-04-11 18:12:28,155.0,6.0,50.0,8964748
MARTINIQUE,2020-04-11 21:44:19,155.0,6.0,50.0,8977459
MARTINIQUE,2020-04-11 23:59:29,155.0,6.0,50.0,8985569
MARTINIQUE,2020-04-12 09:00:42,155.0,6.0,50.0,9018042
MARTINIQUE,2020-04-12 12:05:42,155.0,6.0,50.0,9029142
MARTINIQUE,2020-04-12 15:09:25,155.0,6.0,50.0,9040165
MARTINIQUE,2020-04-12 18:22:01,155.0,6.0,50.0,9051721
MARTINIQUE,2020-04-12 20:59:25,155.0,6.0,50.0,9061165
MARTINIQUE,2020-04-13 00:07:13,155.0,6.0,50.0,9072433
MARTINIQUE,2020-04-13 09:26:16,155.0,6.0,50.0,9105976
MARTINIQUE,2020-04-13 11:59:14,155.0,6.0,50.0,9115154
MARTINIQUE,2020-04-13 15:13:01,155.0,6.0,50.0,9126781
MARTINIQUE,2020-04-13 20:23:47,157.0,6.0,50.0,9145427
MARTINIQUE,2020-04-13 21:01:27,157.0,6.0,50.0,9147687
MARTINIQUE,2020-04-14 00:30:40,157.0,6.0,50.0,9160240
MARTINIQUE,2020-04-14 09:09:09,157.0,6.0,50.0,9191349
MARTINIQUE,2020-04-14 12:13:23,157.0,6.0,50.0,9202403
MARTINIQUE,2020-04-14 15:49:28,157.0,6.0,50.0,9215368
MARTINIQUE,2020-04-14 18:27:14,157.0,6.0,50.0,9224834
MARTINIQUE,2020-04-14 21:18:50,157.0,6.0,50.0,9235130
MARTINIQUE,2020-04-15 00:07:14,157.0,6.0,50.0,9245234
MARTINIQUE,2020-04-15 09:00:09,158.0,8.0,73.0,9277209
MARTINIQUE,2020-04-15 14:56:18,158.0,8.0,73.0,9298578
MARTINIQUE,2020-04-15 19:52:38,158.0,8.0,73.0,9316358
MARTINIQUE,2020-04-15 21:18:33,158.0,8.0,73.0,9321513
MARTINIQUE,2020-04-16 00:51:15,158.0,8.0,73.0,9334275
MARTINIQUE,2020-04-16 09:04:51,158.0,8.0,73.0,9363891
MARTINIQUE,2020-04-16 12:05:08,158.0,8.0,73.0,9374708
MARTINIQUE,2020-04-16 14:57:08,158.0,8.0,73.0,9385028
MARTINIQUE,2020-04-16 17:58:25,158.0,8.0,73.0,9395905
MARTINIQUE,2020-04-16 22:41:20,158.0,8.0,73.0,9412880
MARTINIQUE,2020-04-17 01:32:36,158.0,8.0,73.0,9423156
MARTINIQUE,2020-04-17 09:11:04,158.0,8.0,73.0,9450664
MARTINIQUE,2020-04-17 12:02:01,158.0,8.0,73.0,9460921
MARTINIQUE,2020-04-17 14:56:35,158.0,8.0,73.0,9471395
