Nation,Time,Confirmed Case,Death,Recover,timestamp
MAURITIUS,3.4.2020.14.30.10,169.0,7.0,0.0,8260210
MAURITIUS,3.4.2020.14.30.11,169.0,7.0,0.0,8260211
MAURITIUS,3.4.2020.17.30.12,169.0,7.0,0.0,8271012
MAURITIUS,3.4.2020.20.30.12,186.0,7.0,0.0,8281812
MAURITIUS,3.4.2020.23.30.19,186.0,7.0,0.0,8292619
MAURITIUS,4.4.2020.8.30.14,186.0,7.0,0.0,8325014
MAURITIUS,4.4.2020.11.30.14,186.0,7.0,0.0,8335814
MAURITIUS,4.4.2020.14.30.16,196.0,7.0,0.0,8346616
MAURITIUS,4.4.2020.17.30.18,196.0,7.0,0.0,8357418
MAURITIUS,4.4.2020.20.30.33,196.0,7.0,0.0,8368233
MAURITIUS,4.4.2020.23.30.5,196.0,7.0,0.0,8379005
MAURITIUS,5.4.2020.8.30.7,196.0,7.0,7.0,8411407
MAURITIUS,5.4.2020.11.30.3,196.0,7.0,7.0,8422203
MAURITIUS,5.4.2020.14.30.4,227.0,7.0,7.0,8433004
MAURITIUS,5.4.2020.17.40.33,227.0,7.0,7.0,8444433
MAURITIUS,5.4.2020.20.33.28,227.0,7.0,7.0,8454808
MAURITIUS,5.4.2020.23.30.2,227.0,7.0,7.0,8465402
MAURITIUS,6.4.2020.8.37.49,227.0,7.0,7.0,8498269
MAURITIUS,6.4.2020.11.30.5,227.0,7.0,7.0,8508605
MAURITIUS,6.4.2020.14.44.21,227.0,7.0,7.0,8520261
MAURITIUS,6.4.2020.17.30.4,227.0,7.0,7.0,8530204
MAURITIUS,6.4.2020.21.0.44,244.0,7.0,7.0,8542844
MAURITIUS,7.4.2020.0.0.3,244.0,7.0,7.0,8553603
MAURITIUS,7.4.2020.9.0.4,244.0,7.0,7.0,8586004
MAURITIUS,7.4.2020.12.15.51,244.0,7.0,7.0,8597751
MAURITIUS,7.4.2020.15.59.55,244.0,7.0,7.0,8611195
MAURITIUS,7.4.2020.18.3.46,244.0,7.0,7.0,8618626
MAURITIUS,7.4.2020.21.32.15,268.0,7.0,8.0,8631135
MAURITIUS,8.4.2020.0.0.4,268.0,7.0,8.0,8640004
MAURITIUS,8.4.2020.9.0.46,268.0,7.0,8.0,8672446
MAURITIUS,8.4.2020.12.21.18,268.0,7.0,8.0,8684478
MAURITIUS,8.4.2020.15.4.46,268.0,7.0,8.0,8694286
MAURITIUS,8.4.2020.18.11.16,268.0,7.0,8.0,8705476
MAURITIUS,8.4.2020.21.33.56,273.0,7.0,19.0,8717636
MAURITIUS,9.4.2020.0.14.12,273.0,7.0,19.0,8727252
MAURITIUS,9.4.2020.11.19.24,273.0,7.0,19.0,8767164
MAURITIUS,9.4.2020.12.7.24,273.0,7.0,19.0,8770044
MAURITIUS,9.4.2020.14.57.9,273.0,7.0,19.0,8780229
MAURITIUS,9.4.2020.18.0.2,273.0,7.0,19.0,8791202
MAURITIUS,10.4.2020.1.6.14,314.0,7.0,23.0,8816774
MAURITIUS,10.4.2020.9.4.46,314.0,7.0,23.0,8845486
MAURITIUS,10.4.2020.12.9.17,314.0,7.0,23.0,8856557
MAURITIUS,10.4.2020.14.55.51,314.0,7.0,23.0,8866551
MAURITIUS,10.4.2020.18.41.5,314.0,9.0,23.0,8880065
MAURITIUS,10.4.2020.21.59.17,318.0,9.0,23.0,8891957
MAURITIUS,11.4.2020.0.0.34,318.0,9.0,23.0,8899234
MAURITIUS,11.4.2020.9.1.32,318.0,9.0,23.0,8931692
MAURITIUS,11.4.2020.12.8.24,318.0,9.0,23.0,8942904
MAURITIUS,11.4.2020.17.0.40,318.0,9.0,23.0,8960440
MAURITIUS,11.4.2020.18.12.28,318.0,9.0,23.0,8964748
MAURITIUS,11.4.2020.21.44.19,319.0,9.0,28.0,8977459
MAURITIUS,11.4.2020.23.59.29,319.0,9.0,28.0,8985569
MAURITIUS,12.4.2020.9.0.42,319.0,9.0,28.0,9018042
MAURITIUS,12.4.2020.12.5.42,319.0,9.0,28.0,9029142
MAURITIUS,12.4.2020.15.9.25,319.0,9.0,28.0,9040165
MAURITIUS,12.4.2020.18.22.1,319.0,9.0,28.0,9051721
MAURITIUS,12.4.2020.20.59.25,324.0,9.0,42.0,9061165
MAURITIUS,13.4.2020.0.7.13,324.0,9.0,42.0,9072433
MAURITIUS,13.4.2020.9.26.16,324.0,9.0,42.0,9105976
MAURITIUS,13.4.2020.11.59.14,324.0,9.0,42.0,9115154
MAURITIUS,13.4.2020.15.13.1,324.0,9.0,42.0,9126781
MAURITIUS,13.4.2020.20.23.47,324.0,9.0,42.0,9145427
MAURITIUS,13.4.2020.21.1.27,324.0,9.0,42.0,9147687
MAURITIUS,14.4.2020.0.30.40,324.0,9.0,42.0,9160240
MAURITIUS,14.4.2020.9.9.9,324.0,9.0,42.0,9191349
MAURITIUS,14.4.2020.12.13.23,324.0,9.0,42.0,9202403
MAURITIUS,14.4.2020.15.49.28,324.0,9.0,42.0,9215368
MAURITIUS,14.4.2020.18.27.14,324.0,9.0,42.0,9224834
MAURITIUS,14.4.2020.21.18.50,324.0,9.0,51.0,9235130
MAURITIUS,15.4.2020.0.7.14,324.0,9.0,51.0,9245234
MAURITIUS,15.4.2020.9.0.9,324.0,9.0,51.0,9277209
MAURITIUS,15.4.2020.14.56.18,324.0,9.0,51.0,9298578
MAURITIUS,15.4.2020.19.52.38,324.0,9.0,65.0,9316358
MAURITIUS,15.4.2020.21.18.33,324.0,9.0,65.0,9321513
MAURITIUS,16.4.2020.0.51.15,324.0,9.0,65.0,9334275
MAURITIUS,16.4.2020.9.4.51,324.0,9.0,65.0,9363891
MAURITIUS,16.4.2020.12.5.8,324.0,9.0,65.0,9374708
MAURITIUS,16.4.2020.14.57.8,324.0,9.0,65.0,9385028
MAURITIUS,16.4.2020.17.58.25,324.0,9.0,65.0,9395905
MAURITIUS,16.4.2020.22.41.20,324.0,9.0,81.0,9412880
MAURITIUS,17.4.2020.1.32.36,324.0,9.0,81.0,9423156
